,imodulon,gene_ontology,pvalue,qvalue,precision,recall,f1score,TP,target_set_size,imodulon_size
0,1,polyketide synthase complex,8.46384010521514e-09,2.302164508618518e-06,0.3333333333333333,1.0,0.5,3.0,9.0,3.0
1,5,plasma membrane,6.0403105329060684e-05,0.016429644649504506,0.019261637239165328,0.5217391304347826,0.03715170278637771,12.0,623.0,23.0
2,6,methyltransferase activity,0.0002976511751807112,0.08096111964915345,0.3333333333333333,0.1111111111111111,0.16666666666666666,2.0,6.0,18.0
3,7,GroEL-GroES complex,3.6714257523101423e-06,0.0009986278046283587,1.0,0.25,0.4,2.0,2.0,8.0
4,19,host cell surface,7.451000572660101e-05,0.020266721557635477,0.6666666666666666,0.1,0.1739130434782609,2.0,3.0,20.0
5,21,extracellular region,0.00014861489754583888,0.040423252132468175,0.05357142857142857,0.375,0.09375,3.0,56.0,8.0
6,28,cytosolic large ribosomal subunit,1.2653320951131723e-28,3.4417032987078285e-26,0.5483870967741935,0.4594594594594595,0.5,17.0,31.0,37.0
7,28,cytosolic small ribosomal subunit,3.538449166641283e-09,4.812290866632145e-07,0.375,0.16216216216216217,0.22641509433962265,6.0,16.0,37.0
8,28,small ribosomal subunit,4.6461751495534736e-07,4.2125321355951493e-05,0.5,0.10810810810810811,0.17777777777777778,4.0,8.0,37.0
9,29,"proton-transporting ATP synthase complex, coupling factor F",6.113494162204191e-05,0.0166287041211954,0.5,0.15384615384615385,0.23529411764705882,2.0,4.0,13.0
10,30,response to cadmium ion,1.573468179559802e-05,0.004279833448402661,1.0,0.125,0.2222222222222222,2.0,2.0,16.0
11,31,cytoplasm,1.149952438118002e-07,3.1278706316809654e-05,0.05172413793103448,0.6,0.09523809523809525,6.0,116.0,10.0
12,36,plasma membrane fumarate reductase complex,0.00010227543167141233,0.027818917414624153,1.0,0.05,0.09523809523809523,2.0,2.0,40.0
13,40,growth of symbiont in host,1.3767846571145575e-05,0.0037448542673515963,1.0,0.13333333333333333,0.23529411764705882,2.0,2.0,15.0
14,50,methyltransferase activity,0.00023377164637560156,0.06358588781416362,0.3333333333333333,0.125,0.18181818181818182,2.0,6.0,16.0
15,52,plasma membrane,5.38548973147557e-05,0.01464853206961355,0.027287319422150885,0.425,0.05128205128205128,17.0,623.0,40.0
16,60,response to cholesterol,5.3235673408402426e-05,0.01448010316708546,1.0,0.06896551724137931,0.12903225806451613,2.0,2.0,29.0
17,61,nucleic acid phosphodiester bond hydrolysis,1.9330099347950317e-07,5.2577870226424865e-05,0.21052631578947367,0.3333333333333333,0.2580645161290323,4.0,19.0,12.0
18,61,defense response to virus,8.6540749875595e-06,0.0011769541983080922,1.0,0.16666666666666666,0.2857142857142857,2.0,2.0,12.0
19,64,plasma membrane respiratory chain complex I,1.225568232721042e-09,3.3335455930012344e-07,0.8,0.23529411764705882,0.3636363636363636,4.0,5.0,17.0
20,78,positive regulation of growth,1.2008342968729262e-16,3.2662692874943595e-14,0.36666666666666664,0.3333333333333333,0.3492063492063492,11.0,30.0,33.0
21,78,protein binding,0.00020659830656857882,0.02809736969332672,0.6666666666666666,0.06060606060606061,0.1111111111111111,2.0,3.0,33.0
22,78,"regulation of transcription, DNA-templated",0.0009856978764633988,0.08936994079934815,0.125,0.09090909090909091,0.10526315789473685,3.0,24.0,33.0
