,Unnamed: 0,regulator,regulator_id,evidence,gene_id
0,0,fhaB,Rv0019c,ChipSeq,Rv1733c
1,1,fhaA,Rv0020c,ChipSeq,Rv0020c
2,2,fhaA,Rv0020c,ChipSeq,Rv1733c
3,3,whiB5,Rv0022c,ChipSeq,Rv0013
4,4,whiB5,Rv0022c,ChipSeq,Rv0038
5,5,whiB5,Rv0022c,ChipSeq,Rv0050
6,6,whiB5,Rv0022c,ChipSeq,Rv0066c
7,7,whiB5,Rv0022c,ChipSeq,Rv0069c
8,8,whiB5,Rv0022c,ChipSeq,Rv0071
9,9,whiB5,Rv0022c,ChipSeq,Rv0087
10,10,whiB5,Rv0022c,ChipSeq,Rv0089
11,11,whiB5,Rv0022c,ChipSeq,Rv0095c
12,12,whiB5,Rv0022c,ChipSeq,Rv0107c
13,13,whiB5,Rv0022c,ChipSeq,Rv0124
14,14,whiB5,Rv0022c,ChipSeq,Rv0149
15,15,whiB5,Rv0022c,ChipSeq,Rv0161
16,16,whiB5,Rv0022c,ChipSeq,Rv0166
17,17,whiB5,Rv0022c,ChipSeq,Rv0168
18,18,whiB5,Rv0022c,ChipSeq,Rv0169
19,19,whiB5,Rv0022c,ChipSeq,Rv0170
20,20,whiB5,Rv0022c,ChipSeq,Rv0171
21,21,whiB5,Rv0022c,ChipSeq,Rv0180c
22,22,whiB5,Rv0022c,ChipSeq,Rv0194
23,23,whiB5,Rv0022c,ChipSeq,Rv0198c
24,24,whiB5,Rv0022c,ChipSeq,Rv0216
25,25,whiB5,Rv0022c,ChipSeq,Rv0218
26,26,whiB5,Rv0022c,ChipSeq,Rv0220
27,27,whiB5,Rv0022c,ChipSeq,Rv0226c
28,28,whiB5,Rv0022c,ChipSeq,Rv0236c
29,29,whiB5,Rv0022c,ChipSeq,Rv0241c
30,30,whiB5,Rv0022c,ChipSeq,Rv0260c
31,31,whiB5,Rv0022c,ChipSeq,Rv0293c
32,32,whiB5,Rv0022c,ChipSeq,Rv0334
