,iModulon,Gene
0,0,Rv0039c
1,0,Rv0040c
2,0,Rv0063
3,0,Rv0129c
4,0,Rv0179c
5,0,Rv0208c
6,0,Rv0309
7,0,Rv0312
8,0,Rv0888
9,0,Rv1075c
10,0,Rv1076
11,0,Rv1157c
12,0,Rv1158c
13,0,Rv1433
14,0,Rv1435c
15,0,Rv1469
16,0,Rv1477
17,0,Rv1478
18,0,Rv1497
19,0,Rv1566c
20,0,Rv1690
21,0,Rv1698
22,0,Rv1754c
23,0,Rv1772
24,0,Rv1773c
25,0,Rv1987
26,0,Rv2075c
27,0,Rv2292c
28,0,Rv2293c
29,0,Rv2525c
30,0,Rv2721c
31,0,Rv2894c
32,0,Rv3209
33,0,Rv3310
34,0,Rv3313c
35,0,Rv3341
36,0,Rv3342
37,0,Rv3352c
38,0,Rv3353c
39,0,Rv3354
40,0,Rv3413c
41,0,Rv3414c
42,0,Rv3675
43,0,Rv3717
44,0,Rv3810
45,1,Rv2932
46,1,Rv2933
47,2,Rv0341
48,2,Rv0342
49,2,Rv0343
50,3,Rv0071
51,3,Rv0072
52,3,Rv0073
53,3,Rv0826
54,3,Rv1573
55,3,Rv1574
56,3,Rv1575
57,3,Rv1576c
58,3,Rv1577c
59,3,Rv1578c
60,3,Rv1579c
61,3,Rv1580c
62,3,Rv1581c
63,3,Rv1582c
64,3,Rv1583c
65,3,Rv1584c
66,3,Rv1585c
67,3,Rv1586c
68,3,Rv1759c
69,3,Rv1760
70,3,Rv1761c
71,3,Rv1762c
72,3,Rv2017
73,3,Rv2077c
74,3,Rv2107
75,3,Rv2108
76,3,Rv2159c
77,3,Rv2353c
78,3,Rv2478c
79,3,Rv2527
80,3,Rv2658c
81,3,Rv2659c
82,3,Rv2818c
83,3,Rv2819c
84,3,Rv3143
85,3,Rv3322c
86,3,Rv3323c
87,3,Rv3324c
88,3,Rv3366
89,3,Rv3407
90,3,Rv3408
91,3,Rv3473c
92,3,Rv3829c
93,3,Rv3831
94,4,Rv0054
95,4,Rv0055
96,4,Rv0056
97,4,Rv0057
98,4,Rv0058
99,4,Rv0059
100,4,Rv0060
101,4,Rv0071
102,4,Rv0094c
103,4,Rv0095c
104,4,Rv0181c
105,4,Rv0182c
106,4,Rv0184
107,4,Rv0185
108,4,Rv0186
109,4,Rv0336
110,4,Rv0515
111,4,Rv0605
112,4,Rv0607
113,4,Rv0621
114,4,Rv0921
115,4,Rv0922
116,4,Rv1000c
117,4,Rv1128c
118,4,Rv1148c
119,4,Rv1277
120,4,Rv1278
121,4,Rv1279
122,4,Rv1316c
123,4,Rv1317c
124,4,Rv1377c
125,4,Rv1378c
126,4,Rv1406
127,4,Rv1407
128,4,Rv1547
129,4,Rv1587c
130,4,Rv1588c
131,4,Rv1702c
132,4,Rv1765c
133,4,Rv1833c
134,4,Rv1945
135,4,Rv1961
136,4,Rv2012
137,4,Rv2015c
138,4,Rv2024c
139,4,Rv2100
140,4,Rv2119
141,4,Rv2191
142,4,Rv2308
143,4,Rv2308a
144,4,Rv2312
145,4,Rv2578c
146,4,Rv2579
147,4,Rv2592c
148,4,Rv2593c
149,4,Rv2594c
150,4,Rv2717c
151,4,Rv2718c
152,4,Rv2719c
153,4,Rv2720
154,4,Rv2722
155,4,Rv2734
156,4,Rv2735c
157,4,Rv2736c
158,4,Rv2737c
159,4,Rv2789c
160,4,Rv2790c
161,4,Rv2792c
162,4,Rv2885c
163,4,Rv2886c
164,4,Rv2976c
165,4,Rv2977c
166,4,Rv2978c
167,4,Rv2979c
168,4,Rv3074
169,4,Rv3190A
170,4,Rv3198A
171,4,Rv3201c
172,4,Rv3202c
173,4,Rv3226c
174,4,Rv3263
175,4,Rv3296
176,4,Rv3297
177,4,Rv3370c
178,4,Rv3394c
179,4,Rv3395c
180,4,Rv3517
181,4,Rv3555c
182,4,Rv3585
183,4,Rv3586
184,4,Rv3644c
185,4,Rv3714c
186,4,Rv3776
187,4,Rv3827c
188,4,Rv3828c
189,5,Rv0079
190,5,Rv0080
191,5,Rv0569
192,5,Rv1733c
193,5,Rv1736c
194,5,Rv1737c
195,5,Rv1738
196,5,Rv1813c
197,5,Rv1996
198,5,Rv1997
199,5,Rv2007c
200,5,Rv2030c
201,5,Rv2031c
202,5,Rv2032
203,5,Rv2623
204,5,Rv2626c
205,5,Rv2627c
206,5,Rv2628
207,5,Rv3127
208,5,Rv3130c
209,5,Rv3131
210,5,Rv3134c
211,6,Rv0195
212,6,Rv0453
213,6,Rv0575c
214,6,Rv1116
215,6,Rv1375
216,6,Rv1376
217,6,Rv1403c
218,6,Rv1405c
219,6,Rv1507A
220,6,Rv1682
221,6,Rv1706c
222,6,Rv2389c
223,6,Rv2390c
224,6,Rv3532
225,6,Rv3745c
226,6,Rv3746c
227,7,Rv0047c
228,7,Rv0350
229,7,Rv0351
230,7,Rv0352
231,7,Rv0440
232,7,Rv0991c
233,7,Rv3417c
234,7,Rv3418c
235,8,Rv0283
236,8,Rv0284
237,8,Rv0285
238,8,Rv0286
239,8,Rv0287
240,8,Rv0288
241,8,Rv0289
242,8,Rv0290
243,8,Rv0291
244,8,Rv0338c
245,8,Rv0449c
246,8,Rv0450c
247,8,Rv0451c
248,8,Rv0481c
249,8,Rv1342c
250,8,Rv1343c
251,8,Rv1344
252,8,Rv1345
253,8,Rv1346
254,8,Rv1347c
255,8,Rv1348
256,8,Rv1349
257,8,Rv1519
258,8,Rv1520
259,8,Rv1847
260,8,Rv2121c
261,8,Rv2122c
262,8,Rv2123
263,8,Rv2377c
264,8,Rv2378c
265,8,Rv2379c
266,8,Rv2380c
267,8,Rv2381c
268,8,Rv2382c
269,8,Rv2383c
270,8,Rv2384
271,8,Rv2385
272,8,Rv2386c
273,8,Rv2622
274,8,Rv3402c
275,8,Rv3403c
276,8,Rv3839
277,8,Rv3840
278,8,Rv3841
279,9,Rv0446c
280,9,Rv0447c
281,9,Rv0448c
282,9,Rv0449c
283,9,Rv2873
284,9,Rv2874
285,9,Rv2875
286,9,Rv2876
287,10,Rv0186A
288,10,Rv0190
289,10,Rv0846c
290,10,Rv0847
291,10,Rv0848
292,10,Rv0849
293,10,Rv0967
294,10,Rv0968
295,10,Rv0969
296,10,Rv1812c
297,10,Rv1813c
298,10,Rv2654c
299,10,Rv2963
300,10,Rv2964
301,11,Rv3882c
302,11,Rv3883c
303,12,Rv0691A
304,12,Rv0692
305,12,Rv0693
306,12,Rv0694
307,12,Rv0695
308,12,Rv3269
309,13,Rv2635
310,13,Rv3113
311,13,Rv3745c
312,14,Rv1706A
313,14,Rv2546
314,15,Rv2498c
315,15,Rv2499c
316,15,Rv2500c
317,15,Rv2501c
318,15,Rv2502c
319,15,Rv2503c
320,15,Rv2504c
321,15,Rv2505c
322,16,Rv1935c
323,16,Rv1936
324,16,Rv1937
325,16,Rv1939
326,16,Rv1964
327,16,Rv1965
328,16,Rv1966
329,16,Rv1967
330,16,Rv1968
331,16,Rv1969
332,16,Rv1970
333,16,Rv1971
334,16,Rv1972
335,16,Rv1973
336,16,Rv1974
337,17,Rv3083
338,17,Rv3084
339,17,Rv3085
340,17,Rv3086
341,17,Rv3087
342,17,Rv3088
343,17,Rv3089
344,18,Rv3288c
345,18,Rv3289c
346,18,Rv3290c
347,19,Rv1296
348,19,Rv1986
349,19,Rv2422
350,19,Rv3288c
351,19,Rv3289c
352,19,Rv3290c
353,19,Rv3291c
354,19,Rv3862c
355,19,Rv3872
356,19,Rv3873
357,19,Rv3874
358,19,Rv3875
359,19,Rv3876
360,19,Rv3877
361,19,Rv3878
362,19,Rv3879c
363,20,Rv0244c
364,20,Rv0859
365,20,Rv0860
366,20,Rv0971c
367,20,Rv0972c
368,20,Rv0973c
369,20,Rv0974c
370,20,Rv0975c
371,20,Rv0976c
372,20,Rv1856c
373,20,Rv1857
374,20,Rv2724c
375,21,Rv1038c
376,21,Rv1195
377,21,Rv1196
378,21,Rv1197
379,21,Rv1198
380,21,Rv2347c
381,21,Rv3620c
382,22,Rv0603
383,22,Rv0793
384,22,Rv0887c
385,22,Rv1051c
386,22,Rv2224d
387,22,Rv2614A
388,22,Rv3638
389,22,Rv3653
390,22,Rv3656c
391,23,Rv1128c
392,23,Rv1129c
393,23,Rv1130
394,23,Rv1131
395,23,Rv1132
396,24,Rv0559c
397,24,Rv0560c
398,25,Rv0076c
399,25,Rv0077c
400,25,Rv0078
401,26,Rv3862c
402,26,Rv3880c
403,27,Rv0474
404,27,Rv3249c
405,27,Rv3250c
406,27,Rv3251c
407,27,Rv3252c
408,27,Rv3739c
409,27,Rv3740c
410,27,Rv3741c
411,27,Rv3742c
412,27,Rv3854c
413,27,Rv3855
414,28,Rv0651
415,28,Rv0652
416,28,Rv0667
417,28,Rv0668
418,28,Rv0700
419,28,Rv0701
420,28,Rv0702
421,28,Rv0703
422,28,Rv0704
423,28,Rv0705
424,28,Rv0706
425,28,Rv0707
426,28,Rv0708
427,28,Rv0709
428,28,Rv0710
429,28,Rv0714
430,28,Rv0715
431,28,Rv0716
432,28,Rv0717
433,28,Rv0718
434,28,Rv0719
435,28,Rv0720
436,28,Rv0721
437,28,Rv0722
438,28,Rv0723
439,28,Rv3456c
440,28,Rv3457c
441,28,Rv3458c
442,28,Rv3459c
443,28,Rv3460c
444,28,Rv3920c
445,28,Rv3921c
446,29,Rv0560c
447,29,Rv1303
448,29,Rv1304
449,29,Rv1456c
450,29,Rv1620c
451,29,Rv1621c
452,29,Rv1622c
453,29,Rv1623c
454,29,Rv1846c
455,29,Rv2069
456,29,Rv3290c
457,30,Rv0327c
458,30,Rv1992c
459,30,Rv1993c
460,30,Rv1994c
461,30,Rv1995
462,30,Rv2640c
463,30,Rv2641
464,30,Rv2642
465,30,Rv2643
466,30,Rv3054c
467,30,Rv3178
468,30,Rv3269
469,30,Rv3270
470,31,Rv1652
471,31,Rv1653
472,31,Rv1654
473,31,Rv1655
474,31,Rv1656
475,31,Rv1657
476,31,Rv1658
477,31,Rv1659
478,31,Rv2780
479,32,Rv0094c
480,32,Rv0815c
481,32,Rv1038c
482,32,Rv1041c
483,32,Rv1042c
484,32,Rv1047
485,32,Rv1149
486,32,Rv1197
487,32,Rv1313c
488,32,Rv1361c
489,32,Rv1588c
490,32,Rv3115
491,32,Rv3117
492,32,Rv3118
493,32,Rv3467
494,32,Rv3798
495,33,Rv1134
496,33,Rv2231B
497,33,Rv2422
498,33,Rv2614A
499,33,Rv3022A
500,34,Rv3064c
501,34,Rv3065
502,34,Rv3066
503,35,Rv0061c
504,35,Rv0170
505,35,Rv0682
506,35,Rv0921
507,35,Rv1502
508,35,Rv1662
509,35,Rv1861
510,35,Rv2063
511,35,Rv2352c
512,35,Rv2520c
513,35,Rv2652c
514,35,Rv2805
515,35,Rv2947c
516,35,Rv2975c
517,35,Rv3196A
518,35,Rv3221c
519,35,Rv3664c
520,35,Rv3828c
521,35,Rv3847
522,35,Rv3904c
523,35,Rv3922c
524,35,Rv3923c
525,36,Rv0079
526,36,Rv0104
527,36,Rv0146
528,36,Rv0165c
529,36,Rv0166
530,36,Rv0167
531,36,Rv0168
532,36,Rv0211
533,36,Rv0250c
534,36,Rv0458
535,36,Rv0459
536,36,Rv0467
537,36,Rv0468
538,36,Rv0655
539,36,Rv0867c
540,36,Rv1057
541,36,Rv1192
542,36,Rv1194c
543,36,Rv1550
544,36,Rv1552
545,36,Rv1553
546,36,Rv1592c
547,36,Rv1778c
548,36,Rv1779c
549,36,RV1984a
550,36,Rv2428
551,36,Rv2429
552,36,Rv2450c
553,36,Rv2485c
554,36,Rv2518c
555,36,Rv2640c
556,36,Rv2729c
557,36,Rv3484
558,37,Rv3093c
559,37,Rv3094c
560,37,Rv3095
561,38,Rv1134
562,38,Rv2283
563,38,Rv2653c
564,38,Rv3112
565,39,Rv0096
566,39,Rv0097
567,39,Rv0098
568,39,Rv0099
569,39,Rv0100
570,40,Rv3548c
571,40,Rv3549c
572,40,Rv3550
573,40,Rv3551
574,40,Rv3552
575,40,Rv3553
576,40,Rv3556c
577,40,Rv3557c
578,40,Rv3559c
579,40,Rv3560c
580,40,Rv3561
581,40,Rv3562
582,40,Rv3563
583,40,Rv3564
584,41,Rv0181c
585,41,Rv0273c
586,41,Rv1711
587,41,Rv1713
588,41,Rv1714
589,41,Rv1715
590,41,Rv1716
591,41,Rv2550c
592,41,Rv2551c
593,41,Rv2552c
594,42,Rv0155
595,42,Rv0156
596,42,Rv0157
597,42,Rv1570
598,42,Rv2463
599,42,Rv2656c
600,42,Rv2866
