k,Name,Regulator,Function,Category,n_genes,precision,recall,category_num
0,SigH,sigH,Sigma Factor involved in heat shock and oxidative stress response,Virulence/Persistence,45,0.0821917808,0.8,0
1,Polyketide Synthase Complex,,KEGG Map related to the synthesis of type II polyketide backbone ,Fatty Acid/Cholestrol,2,0.33333333330000003,1.0,1
2,IniR,iniR,Transcription factor that regulates the expression of the ini operon (iniBAC),Antibiotic,3,0.1,1.0,2
3,PyrR,pyrR,Transcription factor that regulates the expression of pyrimidine nucleotide operons,Nucleic Acids,44,0.0,0.0,3
4,WhiB4,whiB4,Redox-Responsive transcription regulator that regulates protection response during infection,Redox,95,0.1848341232,0.41052631580000004,4
5,DevR-1,devR,Transcription factor that is one of the primary regulators of hypoxia onset response,Redox,22,0.037037037,0.5,5
6,MarR,marR,Transcription factor that regulates the response to acid stress,Acid Stress,16,0.0,0.0,6
7,GroEL-GroES Complex,,Gene Ontology Term specific to the bacterial chaperonin complex,Amino Acids,8,0.0714285714,0.75,7
8,IdeR,ideR,Metal-Dependent DNA-Binding protein that controls genes related to iron metabolism,Metal Related,44,0.8409090909,0.8409090909,8
9,SigK,sigK,Sigma Factor involved in the production of antigenic proteins,Unknown Function,8,0.4117647059,0.875,9
10,RicR,ricR,Copper responsive transcription factor that regulates metal metabolism genes,Metal Related,14,0.5714285714,0.5714285714,10
11,EccE1 KO,,Single Gene iModulon that captures EccE1 knockout,KO,2,0.0,0.0,11
12,Mycofactocin Synthesis Pathway,,Manually annotated iModulon that captures multiple genes associated with mycofactocin metabolism,Fatty Acid/Cholestrol,6,0.8333333333,0.8333333333,12
13,SG_1,,Single Gene iModulon 1,Single Gene,3,0.0,0.0,13
14,SG_2,,Single Gene iModulon 2,Single Gene,2,0.0,0.0,14
15,BkaR,bkaR,Transcription factor that regulates genes related to branched-chain keto-acid metabolism,Central Carbon,8,0.16216216220000002,0.75,15
16,Mce3R,mce3R,Transcription factor that regulates the mce3 virulence operon,Virulence/Persistence,15,0.5,0.8,16
17,VirS,virS,Transcription factor that is activated and responds to acidic environments,Redox,7,0.875,1.0,17
18,Unc_1,,Uncharacterized iModulon 1,Uncharacterized,3,0.0,0.0,18
19,WhiB6,whiB6,Transcription factor that regulates ESX-1 system membrane transport proteins,Redox,16,0.33333333330000003,0.3125,19
20,FasR,fasR,Transcription factor that controls the expression of fatty acid metabolism genes,Fatty Acid/Cholestrol,12,1.0,0.4166666667,20
21,MprA,mprA,Transcription factor that regulates multiple stress responsive genes,Virulence/Persistence,7,0.023569023600000003,1.0,21
22,SG_3,,Single Gene iModulon 3,Single Gene,9,0.0,0.0,22
