sample,ReleaseDate,TaxID,ScientificName,species_tax_id,class_tax_id,strain_tax_id,species,LibraryLayout,Platform,Model,Run,SRAStudy,BioProject,ProjectID,Sample,BioSample,Submission,LibraryStrategy,LibrarySelection,LibrarySource,Body_Site,CenterName,InsertSize,InsertDev,SRA ID,Biosample,GEO Series,GEO Sample,PMID,biosample_strain,biosample_genotype,R1,R2,project,condition,Biological Replicates,reference_condition,passed_fastqc,passed_reads_mapped_to_CDS,passed_global_correlation,full_name,passed_similar_replicates,passed_number_replicates,DOI
SRX3995807,2018-04-29 10:56:12,83332,Mycobacterium tuberculosis H37Rv,1773,1760,83332,Mycobacterium tuberculosis,SINGLE,ILLUMINA,Illumina HiSeq 2500,SRR7064998,SRP142639,PRJNA453604,453604,SRS3219968,SAMN08982653,SRA695497,RNA-Seq,cDNA,TRANSCRIPTOMIC,0,GEO,0,0,5466071,8982653,GSE113683,GSM3111060,30301850,H37Rv,0,0,0,AX,AX_10_MIC,2,wt,True,True,True,AX:AX_10_MIC,True,True,https://dx.doi.org/10.1128%2FmBio.01276-18
SRX3995806,2018-04-29 10:56:12,83332,Mycobacterium tuberculosis H37Rv,1773,1760,83332,Mycobacterium tuberculosis,SINGLE,ILLUMINA,Illumina HiSeq 2500,SRR7064997,SRP142639,PRJNA453604,453604,SRS3219967,SAMN08982654,SRA695497,RNA-Seq,cDNA,TRANSCRIPTOMIC,0,GEO,0,0,5466070,8982654,GSE113683,GSM3111059,30301850,H37Rv,0,0,0,AX,AX_10_MIC,2,wt,True,True,True,AX:AX_10_MIC,True,True,https://dx.doi.org/10.1128%2FmBio.01276-18
SRX3995809,2018-04-29 10:56:12,83332,Mycobacterium tuberculosis H37Rv,1773,1760,83332,Mycobacterium tuberculosis,SINGLE,ILLUMINA,Illumina HiSeq 2500,SRR7065000,SRP142639,PRJNA453604,453604,SRS3219970,SAMN08982651,SRA695497,RNA-Seq,cDNA,TRANSCRIPTOMIC,0,GEO,0,0,5466073,8982651,GSE113683,GSM3111062,30301850,H37Rv,0,0,0,AX,AX_30_MIC,2,wt,True,True,True,AX:AX_30_MIC,True,True,https://dx.doi.org/10.1128%2FmBio.01276-18
SRX3995808,2018-04-29 10:56:12,83332,Mycobacterium tuberculosis H37Rv,1773,1760,83332,Mycobacterium tuberculosis,SINGLE,ILLUMINA,Illumina HiSeq 2500,SRR7064999,SRP142639,PRJNA453604,453604,SRS3219969,SAMN08982652,SRA695497,RNA-Seq,cDNA,TRANSCRIPTOMIC,0,GEO,0,0,5466072,8982652,GSE113683,GSM3111061,30301850,H37Rv,0,0,0,AX,AX_30_MIC,2,wt,True,True,True,AX:AX_30_MIC,True,True,https://dx.doi.org/10.1128%2FmBio.01276-18
SRX4619048,2019-10-31 17:06:04,83332,Mycobacterium tuberculosis H37Rv,1773,1760,83332,Mycobacterium tuberculosis,SINGLE,ILLUMINA,Illumina HiSeq 2500,SRR7763431,SRP159028,PRJNA488281,488281,SRS3721834,SAMN09928218,SRA764002,RNA-Seq,cDNA,TRANSCRIPTOMIC,0,GEO,0,0,6240963,9928218,GSE119158,GSM3359732,0,H37Rv,0,0,0,AX,QZ_10_MIC,2,wt,True,True,True,AX:QZ_10_MIC,True,True,https://dx.doi.org/10.1128%2FmBio.01276-18
SRX4619047,2019-10-31 17:06:04,83332,Mycobacterium tuberculosis H37Rv,1773,1760,83332,Mycobacterium tuberculosis,SINGLE,ILLUMINA,Illumina HiSeq 2500,SRR7763430,SRP159028,PRJNA488281,488281,SRS3721833,SAMN09928219,SRA764002,RNA-Seq,cDNA,TRANSCRIPTOMIC,0,GEO,0,0,6240962,9928219,GSE119158,GSM3359731,0,H37Rv,0,0,0,AX,QZ_10_MIC,2,wt,True,True,True,AX:QZ_10_MIC,True,True,https://dx.doi.org/10.1128%2FmBio.01276-18
SRX4619049,2019-10-31 17:06:04,83332,Mycobacterium tuberculosis H37Rv,1773,1760,83332,Mycobacterium tuberculosis,SINGLE,ILLUMINA,Illumina HiSeq 2500,SRR7763432,SRP159028,PRJNA488281,488281,SRS3721835,SAMN09928217,SRA764002,RNA-Seq,cDNA,TRANSCRIPTOMIC,0,GEO,0,0,6240964,9928217,GSE119158,GSM3359733,0,H37Rv,0,0,0,AX,QZ_30_MIC,2,wt,True,True,True,AX:QZ_30_MIC,True,True,https://dx.doi.org/10.1128%2FmBio.01276-18
SRX4619050,2019-10-31 17:06:04,83332,Mycobacterium tuberculosis H37Rv,1773,1760,83332,Mycobacterium tuberculosis,SINGLE,ILLUMINA,Illumina HiSeq 2500,SRR7763433,SRP159028,PRJNA488281,488281,SRS3721836,SAMN09928216,SRA764002,RNA-Seq,cDNA,TRANSCRIPTOMIC,0,GEO,0,0,6240965,9928216,GSE119158,GSM3359734,0,H37Rv,0,0,0,AX,QZ_30_MIC,2,wt,True,True,True,AX:QZ_30_MIC,True,True,https://dx.doi.org/10.1128%2FmBio.01276-18
SRX3995804,2018-04-29 10:56:12,83332,Mycobacterium tuberculosis H37Rv,1773,1760,83332,Mycobacterium tuberculosis,SINGLE,ILLUMINA,Illumina HiSeq 2500,SRR7064995,SRP142639,PRJNA453604,453604,SRS3219965,SAMN08982656,SRA695497,RNA-Seq,cDNA,TRANSCRIPTOMIC,0,GEO,0,0,5466068,8982656,GSE113683,GSM3111057,30301850,H37Rv,0,0,0,AX,wt,2,wt,True,True,True,AX:wt,True,True,https://dx.doi.org/10.1111%2Fmmi.14362
SRX3995805,2018-04-29 10:56:12,83332,Mycobacterium tuberculosis H37Rv,1773,1760,83332,Mycobacterium tuberculosis,SINGLE,ILLUMINA,Illumina HiSeq 2500,SRR7064996,SRP142639,PRJNA453604,453604,SRS3219966,SAMN08982655,SRA695497,RNA-Seq,cDNA,TRANSCRIPTOMIC,0,GEO,0,0,5466069,8982655,GSE113683,GSM3111058,30301850,H37Rv,0,0,0,AX,wt,2,wt,True,True,True,AX:wt,True,True,https://dx.doi.org/10.1111%2Fmmi.14362
SRX5089845,2019-10-31 17:10:07,1773,Mycobacterium tuberculosis,1773,1760,1773,Mycobacterium tuberculosis,SINGLE,ILLUMINA,Illumina HiSeq 2500,SRR8274755,SRP172122,PRJNA508198,508198,SRS4101658,SAMN10517946,SRA818403,RNA-Seq,cDNA,TRANSCRIPTOMIC,0,GEO,0,0,6866307,10517946,GSE123294,GSM3499425,31378263,0,0,0,0,ITM_04,00h_clinic_ctrl,2,00h_h37rv_control,True,True,True,ITM_04:00h_clinic_ctrl,True,True,https://doi.org/10.1016/j.tube.2019.05.002
SRX5089844,2019-10-31 17:10:07,1773,Mycobacterium tuberculosis,1773,1760,1773,Mycobacterium tuberculosis,SINGLE,ILLUMINA,Illumina HiSeq 2500,SRR8274754,SRP172122,PRJNA508198,508198,SRS4101657,SAMN10517947,SRA818403,RNA-Seq,cDNA,TRANSCRIPTOMIC,0,GEO,0,0,6866306,10517947,GSE123294,GSM3499424,31378263,0,0,0,0,ITM_04,00h_clinic_ctrl,2,00h_h37rv_control,True,True,True,ITM_04:00h_clinic_ctrl,True,True,https://doi.org/10.1016/j.tube.2019.05.002
SRX5089860,2019-10-31 17:10:08,1773,Mycobacterium tuberculosis,1773,1760,1773,Mycobacterium tuberculosis,SINGLE,ILLUMINA,Illumina HiSeq 2500,SRR8274770,SRP172122,PRJNA508198,508198,SRS4101673,SAMN10517931,SRA818403,RNA-Seq,cDNA,TRANSCRIPTOMIC,0,GEO,0,0,6866322,10517931,GSE123294,GSM3499440,31378263,0,0,0,0,ITM_04,00h_h37rv_control,3,00h_h37rv_control,True,True,True,ITM_04:00h_h37rv_control,True,True,https://doi.org/10.1016/j.tube.2019.05.002
SRX5089859,2019-10-31 17:10:08,1773,Mycobacterium tuberculosis,1773,1760,1773,Mycobacterium tuberculosis,SINGLE,ILLUMINA,Illumina HiSeq 2500,SRR8274769,SRP172122,PRJNA508198,508198,SRS4101672,SAMN10517932,SRA818403,RNA-Seq,cDNA,TRANSCRIPTOMIC,0,GEO,0,0,6866321,10517932,GSE123294,GSM3499439,31378263,0,0,0,0,ITM_04,00h_h37rv_control,3,00h_h37rv_control,True,True,True,ITM_04:00h_h37rv_control,True,True,https://doi.org/10.1016/j.tube.2019.05.002
SRX5089858,2019-10-31 17:10:08,1773,Mycobacterium tuberculosis,1773,1760,1773,Mycobacterium tuberculosis,SINGLE,ILLUMINA,Illumina HiSeq 2500,SRR8274768,SRP172122,PRJNA508198,508198,SRS4101671,SAMN10517933,SRA818403,RNA-Seq,cDNA,TRANSCRIPTOMIC,0,GEO,0,0,6866320,10517933,GSE123294,GSM3499438,31378263,0,0,0,0,ITM_04,00h_h37rv_control,3,00h_h37rv_control,True,True,True,ITM_04:00h_h37rv_control,True,True,https://doi.org/10.1016/j.tube.2019.05.002
SRX5089854,2019-10-31 17:10:08,1773,Mycobacterium tuberculosis,1773,1760,1773,Mycobacterium tuberculosis,SINGLE,ILLUMINA,Illumina HiSeq 2500,SRR8274764,SRP172122,PRJNA508198,508198,SRS4101667,SAMN10517937,SRA818403,RNA-Seq,cDNA,TRANSCRIPTOMIC,0,GEO,0,0,6866316,10517937,GSE123294,GSM3499434,31378263,0,0,0,0,ITM_04,06h_clinic_delam,3,00h_h37rv_control,True,True,True,ITM_04:06h_clinic_delam,True,True,https://doi.org/10.1016/j.tube.2019.05.002
SRX5089853,2019-10-31 17:10:07,1773,Mycobacterium tuberculosis,1773,1760,1773,Mycobacterium tuberculosis,SINGLE,ILLUMINA,Illumina HiSeq 2500,SRR8274763,SRP172122,PRJNA508198,508198,SRS4101666,SAMN10517938,SRA818403,RNA-Seq,cDNA,TRANSCRIPTOMIC,0,GEO,0,0,6866315,10517938,GSE123294,GSM3499433,31378263,0,0,0,0,ITM_04,06h_clinic_delam,3,00h_h37rv_control,True,True,True,ITM_04:06h_clinic_delam,True,True,https://doi.org/10.1016/j.tube.2019.05.002
SRX5089852,2019-10-31 17:10:07,1773,Mycobacterium tuberculosis,1773,1760,1773,Mycobacterium tuberculosis,SINGLE,ILLUMINA,Illumina HiSeq 2500,SRR8274762,SRP172122,PRJNA508198,508198,SRS4101665,SAMN10517939,SRA818403,RNA-Seq,cDNA,TRANSCRIPTOMIC,0,GEO,0,0,6866314,10517939,GSE123294,GSM3499432,31378263,0,0,0,0,ITM_04,06h_clinic_delam,3,00h_h37rv_control,True,True,True,ITM_04:06h_clinic_delam,True,True,https://doi.org/10.1016/j.tube.2019.05.002
SRX5089856,2019-10-31 17:10:08,1773,Mycobacterium tuberculosis,1773,1760,1773,Mycobacterium tuberculosis,SINGLE,ILLUMINA,Illumina HiSeq 2500,SRR8274766,SRP172122,PRJNA508198,508198,SRS4101669,SAMN10517935,SRA818403,RNA-Seq,cDNA,TRANSCRIPTOMIC,0,GEO,0,0,6866318,10517935,GSE123294,GSM3499436,31378263,0,0,0,0,ITM_04,06h_clinic_DMSO,3,00h_h37rv_control,True,True,True,ITM_04:06h_clinic_DMSO,True,True,https://doi.org/10.1016/j.tube.2019.05.002
SRX5089855,2019-10-31 17:10:08,1773,Mycobacterium tuberculosis,1773,1760,1773,Mycobacterium tuberculosis,SINGLE,ILLUMINA,Illumina HiSeq 2500,SRR8274765,SRP172122,PRJNA508198,508198,SRS4101668,SAMN10517936,SRA818403,RNA-Seq,cDNA,TRANSCRIPTOMIC,0,GEO,0,0,6866317,10517936,GSE123294,GSM3499435,31378263,0,0,0,0,ITM_04,06h_clinic_DMSO,3,00h_h37rv_control,True,True,True,ITM_04:06h_clinic_DMSO,True,True,https://doi.org/10.1016/j.tube.2019.05.002
SRX5089857,2019-10-31 17:10:08,1773,Mycobacterium tuberculosis,1773,1760,1773,Mycobacterium tuberculosis,SINGLE,ILLUMINA,Illumina HiSeq 2500,SRR8274767,SRP172122,PRJNA508198,508198,SRS4101670,SAMN10517934,SRA818403,RNA-Seq,cDNA,TRANSCRIPTOMIC,0,GEO,0,0,6866319,10517934,GSE123294,GSM3499437,31378263,0,0,0,0,ITM_04,06h_clinic_DMSO,3,00h_h37rv_control,True,True,True,ITM_04:06h_clinic_DMSO,True,True,https://doi.org/10.1016/j.tube.2019.05.002
SRX5089868,2019-10-31 17:10:08,1773,Mycobacterium tuberculosis,1773,1760,1773,Mycobacterium tuberculosis,SINGLE,ILLUMINA,Illumina HiSeq 2500,SRR8274778,SRP172122,PRJNA508198,508198,SRS4101681,SAMN10517952,SRA818403,RNA-Seq,cDNA,TRANSCRIPTOMIC,0,GEO,0,0,6866330,10517952,GSE123294,GSM3499448,31378263,0,0,0,0,ITM_04,06h_h37rv_delam,3,00h_h37rv_control,True,True,True,ITM_04:06h_h37rv_delam,True,True,https://doi.org/10.1016/j.tube.2019.05.002
SRX5089866,2019-10-31 17:10:08,1773,Mycobacterium tuberculosis,1773,1760,1773,Mycobacterium tuberculosis,SINGLE,ILLUMINA,Illumina HiSeq 2500,SRR8274776,SRP172122,PRJNA508198,508198,SRS4101679,SAMN10517954,SRA818403,RNA-Seq,cDNA,TRANSCRIPTOMIC,0,GEO,0,0,6866328,10517954,GSE123294,GSM3499446,31378263,0,0,0,0,ITM_04,06h_h37rv_delam,3,00h_h37rv_control,True,True,True,ITM_04:06h_h37rv_delam,True,True,https://doi.org/10.1016/j.tube.2019.05.002
SRX5089867,2019-10-31 17:10:08,1773,Mycobacterium tuberculosis,1773,1760,1773,Mycobacterium tuberculosis,SINGLE,ILLUMINA,Illumina HiSeq 2500,SRR8274777,SRP172122,PRJNA508198,508198,SRS4101680,SAMN10517953,SRA818403,RNA-Seq,cDNA,TRANSCRIPTOMIC,0,GEO,0,0,6866329,10517953,GSE123294,GSM3499447,31378263,0,0,0,0,ITM_04,06h_h37rv_delam,3,00h_h37rv_control,True,True,True,ITM_04:06h_h37rv_delam,True,True,https://doi.org/10.1016/j.tube.2019.05.002
SRX5089870,2019-10-31 17:10:08,1773,Mycobacterium tuberculosis,1773,1760,1773,Mycobacterium tuberculosis,SINGLE,ILLUMINA,Illumina HiSeq 2500,SRR8274780,SRP172122,PRJNA508198,508198,SRS4101683,SAMN10517950,SRA818403,RNA-Seq,cDNA,TRANSCRIPTOMIC,0,GEO,0,0,6866332,10517950,GSE123294,GSM3499450,31378263,0,0,0,0,ITM_04,06h_h37rv_DMSO,3,00h_h37rv_control,True,True,True,ITM_04:06h_h37rv_DMSO,True,True,https://doi.org/10.1016/j.tube.2019.05.002
SRX5089869,2019-10-31 17:10:08,1773,Mycobacterium tuberculosis,1773,1760,1773,Mycobacterium tuberculosis,SINGLE,ILLUMINA,Illumina HiSeq 2500,SRR8274779,SRP172122,PRJNA508198,508198,SRS4101682,SAMN10517951,SRA818403,RNA-Seq,cDNA,TRANSCRIPTOMIC,0,GEO,0,0,6866331,10517951,GSE123294,GSM3499449,31378263,0,0,0,0,ITM_04,06h_h37rv_DMSO,3,00h_h37rv_control,True,True,True,ITM_04:06h_h37rv_DMSO,True,True,https://doi.org/10.1016/j.tube.2019.05.002
SRX5089871,2019-10-31 17:10:08,1773,Mycobacterium tuberculosis,1773,1760,1773,Mycobacterium tuberculosis,SINGLE,ILLUMINA,Illumina HiSeq 2500,SRR8274781,SRP172122,PRJNA508198,508198,SRS4101684,SAMN10517949,SRA818403,RNA-Seq,cDNA,TRANSCRIPTOMIC,0,GEO,0,0,6866333,10517949,GSE123294,GSM3499451,31378263,0,0,0,0,ITM_04,06h_h37rv_DMSO,3,00h_h37rv_control,True,True,True,ITM_04:06h_h37rv_DMSO,True,True,https://doi.org/10.1016/j.tube.2019.05.002
SRX5089846,2019-10-31 17:10:07,1773,Mycobacterium tuberculosis,1773,1760,1773,Mycobacterium tuberculosis,SINGLE,ILLUMINA,Illumina HiSeq 2500,SRR8274756,SRP172122,PRJNA508198,508198,SRS4101659,SAMN10517945,SRA818403,RNA-Seq,cDNA,TRANSCRIPTOMIC,0,GEO,0,0,6866308,10517945,GSE123294,GSM3499426,31378263,0,0,0,0,ITM_04,24h_clinic_delam,3,00h_h37rv_control,True,True,True,ITM_04:24h_clinic_delam,True,True,https://doi.org/10.1016/j.tube.2019.05.002
SRX5089848,2019-10-31 17:10:07,1773,Mycobacterium tuberculosis,1773,1760,1773,Mycobacterium tuberculosis,SINGLE,ILLUMINA,Illumina HiSeq 2500,SRR8274758,SRP172122,PRJNA508198,508198,SRS4101661,SAMN10517943,SRA818403,RNA-Seq,cDNA,TRANSCRIPTOMIC,0,GEO,0,0,6866310,10517943,GSE123294,GSM3499428,31378263,0,0,0,0,ITM_04,24h_clinic_delam,3,00h_h37rv_control,True,True,True,ITM_04:24h_clinic_delam,True,True,https://doi.org/10.1016/j.tube.2019.05.002
SRX5089847,2019-10-31 17:10:07,1773,Mycobacterium tuberculosis,1773,1760,1773,Mycobacterium tuberculosis,SINGLE,ILLUMINA,Illumina HiSeq 2500,SRR8274757,SRP172122,PRJNA508198,508198,SRS4101660,SAMN10517944,SRA818403,RNA-Seq,cDNA,TRANSCRIPTOMIC,0,GEO,0,0,6866309,10517944,GSE123294,GSM3499427,31378263,0,0,0,0,ITM_04,24h_clinic_delam,3,00h_h37rv_control,True,True,True,ITM_04:24h_clinic_delam,True,True,https://doi.org/10.1016/j.tube.2019.05.002
SRX5089849,2019-10-31 17:10:07,1773,Mycobacterium tuberculosis,1773,1760,1773,Mycobacterium tuberculosis,SINGLE,ILLUMINA,Illumina HiSeq 2500,SRR8274759,SRP172122,PRJNA508198,508198,SRS4101662,SAMN10517942,SRA818403,RNA-Seq,cDNA,TRANSCRIPTOMIC,0,GEO,0,0,6866311,10517942,GSE123294,GSM3499429,31378263,0,0,0,0,ITM_04,24h_clinic_DMSO,3,00h_h37rv_control,True,True,True,ITM_04:24h_clinic_DMSO,True,True,https://doi.org/10.1016/j.tube.2019.05.002
SRX5089850,2019-10-31 17:10:07,1773,Mycobacterium tuberculosis,1773,1760,1773,Mycobacterium tuberculosis,SINGLE,ILLUMINA,Illumina HiSeq 2500,SRR8274760,SRP172122,PRJNA508198,508198,SRS4101663,SAMN10517941,SRA818403,RNA-Seq,cDNA,TRANSCRIPTOMIC,0,GEO,0,0,6866312,10517941,GSE123294,GSM3499430,31378263,0,0,0,0,ITM_04,24h_clinic_DMSO,3,00h_h37rv_control,True,True,True,ITM_04:24h_clinic_DMSO,True,True,https://doi.org/10.1016/j.tube.2019.05.002
SRX5089851,2019-10-31 17:10:07,1773,Mycobacterium tuberculosis,1773,1760,1773,Mycobacterium tuberculosis,SINGLE,ILLUMINA,Illumina HiSeq 2500,SRR8274761,SRP172122,PRJNA508198,508198,SRS4101664,SAMN10517940,SRA818403,RNA-Seq,cDNA,TRANSCRIPTOMIC,0,GEO,0,0,6866313,10517940,GSE123294,GSM3499431,31378263,0,0,0,0,ITM_04,24h_clinic_DMSO,3,00h_h37rv_control,True,True,True,ITM_04:24h_clinic_DMSO,True,True,https://doi.org/10.1016/j.tube.2019.05.002
SRX5089863,2019-10-31 17:10:08,1773,Mycobacterium tuberculosis,1773,1760,1773,Mycobacterium tuberculosis,SINGLE,ILLUMINA,Illumina HiSeq 2500,SRR8274773,SRP172122,PRJNA508198,508198,SRS4101676,SAMN10517957,SRA818403,RNA-Seq,cDNA,TRANSCRIPTOMIC,0,GEO,0,0,6866325,10517957,GSE123294,GSM3499443,31378263,0,0,0,0,ITM_04,24h_h37rv_delam,3,00h_h37rv_control,True,True,True,ITM_04:24h_h37rv_delam,True,True,https://doi.org/10.1016/j.tube.2019.05.002
SRX5089861,2019-10-31 17:10:08,1773,Mycobacterium tuberculosis,1773,1760,1773,Mycobacterium tuberculosis,SINGLE,ILLUMINA,Illumina HiSeq 2500,SRR8274771,SRP172122,PRJNA508198,508198,SRS4101674,SAMN10517930,SRA818403,RNA-Seq,cDNA,TRANSCRIPTOMIC,0,GEO,0,0,6866323,10517930,GSE123294,GSM3499441,31378263,0,0,0,0,ITM_04,24h_h37rv_delam,3,00h_h37rv_control,True,True,True,ITM_04:24h_h37rv_delam,True,True,https://doi.org/10.1016/j.tube.2019.05.002
SRX5089862,2019-10-31 17:10:08,1773,Mycobacterium tuberculosis,1773,1760,1773,Mycobacterium tuberculosis,SINGLE,ILLUMINA,Illumina HiSeq 2500,SRR8274772,SRP172122,PRJNA508198,508198,SRS4101675,SAMN10517929,SRA818403,RNA-Seq,cDNA,TRANSCRIPTOMIC,0,GEO,0,0,6866324,10517929,GSE123294,GSM3499442,31378263,0,0,0,0,ITM_04,24h_h37rv_delam,3,00h_h37rv_control,True,True,True,ITM_04:24h_h37rv_delam,True,True,https://doi.org/10.1016/j.tube.2019.05.002
