sample,RV1984a
SRX3995807,0.44152034900000003
SRX3995806,0.3658397332
SRX3995809,0.810165923
SRX3995808,0.6396392388000001
SRX4619048,0.6439347049
SRX4619047,0.7195024819
SRX4619049,0.7845983986
SRX4619050,0.8712240554
SRX3995804,0.4276702416
SRX3995805,-0.4276702416
SRX5089845,0.5642501874
SRX5089844,0.3627819027
SRX5089860,-0.14786460980000002
SRX5089859,-0.0118945418
SRX5089858,0.1597591516
SRX5089854,0.4903422116
SRX5089853,0.35526023840000004
SRX5089852,0.4344875848
SRX5089856,0.5645187865
SRX5089855,0.5922087893
SRX5089857,0.627449947
SRX5089868,0.5622553701
SRX5089866,0.4805320055
SRX5089867,0.4711620439
SRX5089870,0.9265214849000001
SRX5089869,1.0274690202
SRX5089871,0.8936056916
SRX5089846,0.40042310600000003
SRX5089848,0.5214480032000001
SRX5089847,0.2615424033
SRX5089849,0.6147139140000001
SRX5089850,0.5634925827
SRX5089851,0.7779420072000001
SRX5089863,0.5169842524
SRX5089861,0.4805316412
SRX5089862,0.7261702469
SRX5089865,0.725143712
SRX5089864,1.0392999096
SRX5388955,-0.1547472897
SRX5388957,0.0901809189
SRX5388954,-5.930100000000001e-05
SRX5388956,0.0646256718
SRX5388960,-0.5013978909
SRX5388961,-0.49662896980000004
SRX5388959,-0.5576878813
SRX5388958,-0.3709675631
SRX5388964,0.4282194903
SRX5388965,0.8243402775
SRX5388962,0.7169217146
SRX5388963,0.5803882858
SRX6889335,0.5987377249
SRX6889333,-0.5987377249
SRX6810002,0.099237847
SRX6810004,-0.12107161400000001
SRX6810003,0.021833767100000002
SRX6810006,-0.231690689
SRX6810005,-0.2388013649
SRX6810007,0.34002666200000004
ERX1818322,-0.040597815
ERX1818321,0.040597815
SRX2617830,0.2749020129
SRX2617831,0.28953768480000003
SRX2617833,0.1475805281
SRX2617832,0.138062861
SRX2617828,-0.117046283
SRX2617827,-0.0183141458
SRX2617829,0.13536042880000002
SRX3456119,0.3197578848
SRX3456118,-0.0460801639
SRX3456117,-0.3667656831
SRX3456101,-0.19774017
SRX3456099,0.07134508070000001
SRX3456100,0.1263950893
SRX3456107,2.304049953
SRX3456105,1.761410922
SRX4374122,-0.2275379763
SRX4374121,-0.3912172995
SRX4374123,-0.08382587920000001
SRX4374124,-0.0193462182
SRX4374125,0.18074296920000002
SRX4374126,-0.161396751
SRX4374127,0.0155254051
SRX4374128,-0.1266036313
SRX4374129,-0.6804080762
SRX4374130,0.3272345954
SRX4374132,-0.5513304697
SRX4374131,-0.6009329312
SRX4374133,0.4878537651
SRX4374135,-0.2898374624
SRX4374134,0.3026011356
SRX4374138,-0.5011345381
SRX4374136,0.1733641923
SRX4374137,-0.0438034599
SRX1091379,0.533506545
SRX1091380,0.4636795251
SRX1091377,0.0510238419
SRX1091378,-0.0510238419
SRX4647145,-0.1977188869
SRX4647146,-0.2169614403
SRX4647147,-0.1701651763
SRX4647144,0.029746542
SRX4647143,0.0006722877000000001
SRX4647142,-0.030418829600000002
SRX4647155,0.0426297969
SRX4647152,-0.2595734059
SRX4647153,-0.0783988823
SRX4647154,-0.113187641
SRX4647148,-0.48337422550000003
SRX4647149,-0.6032874392
SRX4647151,-0.655211714
SRX4647150,-0.565983467
SRX4647123,-0.0961856168
SRX4647124,-0.0238806419
SRX4647125,0.1200662587
SRX3103185,-0.0422212017
SRX3103189,-0.2167659127
SRX3103187,-0.18107394500000001
SRX3103184,0.06641726910000001
SRX3103188,0.0539576045
SRX3103186,-0.1203748736
SRX1372110,-0.3291234912
SRX1372111,-0.5647255788000001
SRX1372108,-0.2567533714
SRX1372109,0.2567533714
SRX4506085,-0.0005222833
SRX4506083,-0.2430599589
SRX4506089,-0.2996876604
SRX4506087,-0.1446239112
SRX4506077,0.0831476577
SRX4506079,-0.1115373165
SRX4506075,0.10822959680000001
SRX4506081,-0.0798399379
SRX4506084,-1.1015704186
SRX4506086,-1.2504083611
SRX4506088,-1.0497711891
SRX4506090,-1.2368731513
SRX4506078,-0.7718100090000001
SRX4506080,-0.7092139128
SRX4506082,-0.7377275589000001
SRX4506076,-0.6405399328
SRX5352221,-0.39847526450000004
SRX5352223,-0.8322351862
SRX5352222,-0.3535089375
SRX5352229,-0.6163555253
SRX5352227,-0.585596125
SRX5352228,-0.5979174108
SRX5352231,-0.45001594380000004
SRX5352232,-0.2126331176
SRX5352230,-1.0978919295
SRX5352225,0.059535203200000004
SRX5352224,-0.49873096790000004
SRX5352226,-0.6867936419
SRX5352220,0.010599068000000001
SRX5352219,-0.0388547665
SRX5352218,0.028255698500000002
SRX4498228,0.0554362897
SRX4498224,0.3100007623
SRX4498230,0.2545598817
SRX4498226,0.2480662341
SRX4498218,-0.0068108463
SRX4498216,-0.3364538199
SRX4498220,0.1171878023
SRX4498222,0.22607686400000002
SRX4498225,0.0770518228
SRX4498227,-0.10886063800000001
SRX4498231,0.1116528368
SRX4498229,-0.0419773292
SRX4498217,0.11298317640000001
SRX4498221,0.5620416493
SRX4498219,0.2576255527
SRX4498223,0.15052368230000002
SRX5079928,0.0984771061
