k,Name,in_iM,gene_weight,Regulator,Function,Category
36,Fumarate Reductase,True,0.071336378,,iModulon enriched with the Fumarate Reductase Gene Ontology term,Central Carbon
73,SG_11,False,0.0421451101,,Single Gene iModulon 11,Single Gene
57,SG_8,False,-0.0345113249,,Single Gene iModulon 8,Single Gene
13,SG_1,False,0.0309438922,,Single Gene iModulon 1,Single Gene
42,Nicotinate Metabolism,False,-0.0299889963,,iModulon enriched with the nicotinate and nicotinamide metabolism KEGG pathway,Central Carbon
53,Rv1776c+WhiB4,False,-0.0289047817,Rv1776c and whiB4 ,iModulon that maps to the intersection of the Rv1776c and Rv3681c regulon,Redox
69,Rv0135+Rv1019,False,0.028716436,Rv0135c and Rv1019,iModulon that maps to the intersection of the Rv0135c and Rv1019 regulons,Nucleic Acids
70,Lsr2,False,0.027904638800000003,lsr2,Sequence independent transcription factor that controls a wide variety of genes,Antibiotic
78,Positive Regulation of Growth,False,0.027305154600000003,,iModulon enriched with the Positive Regulation of Growth Gene Ontology term,Growth
74,SG_12,False,-0.0249500962,,Single Gene iModulon 12,Single Gene
72,Unc_8,False,-0.022536547400000002,,Uncharacterized iModulon 8,Uncharacterized
16,Mce3R,False,0.0219911713,mce3R,Transcription factor that regulates the mce3 virulence operon,Virulence/Persistence
15,BkaR,False,-0.0197144176,bkaR,Transcription factor that regulates genes related to branched-chain keto-acid metabolism,Central Carbon
21,MprA,False,-0.0194234429,mprA,Transcription factor that regulates multiple stress responsive genes,Virulence/Persistence
51,PhoP,False,0.018662845600000002,phoP,"Transcription factor that controls response to redox/acid stress, hypoxia, and virulence",Virulence/Persistence
29,Blal,False,0.0178707261,blaI,"Transcription regulator that regulates genes associated with antibiotic transport, detoxification, and cell wall function",Antibiotic
26,EspL KO,False,0.017589378200000002,,Single Gene iModulon that captures EspL knockout,KO
64,Mce1R,False,-0.016213508300000002,mce1R,Transcription factor that regulates the mce1 virulence operon,Virulence/Persistence
65,SG_10,False,0.0157929333,,Single Gene iModulon 10,Single Gene
48,Leucine Related,False,-0.0156450059,,Manually annotated iModulon with gene related to leucine metabolism,Amino Acids
39,SigC,False,-0.0154764861,sigC,Sigma Factor that plays a role in organism virulence and lethality,Virulence/Persistence
46,Rv2621c,False,-0.0152581942,Rv2621c,iModulon labeled with predicted regulon with unknown function,Unknown Function
63,SG_9,False,-0.0152174574,,Single Gene iModulon 9,Single Gene
10,RicR,False,0.014593964400000001,ricR,Copper responsive transcription factor that regulates metal metabolism genes,Metal Related
