k,Name,in_iM,gene_weight,Regulator,Function,Category
57,SG_8,False,0.08278479920000001,,Single Gene iModulon 8,Single Gene
46,Rv2621c,False,0.0695526501,Rv2621c,iModulon labeled with predicted regulon with unknown function,Unknown Function
75,Unc_9,False,0.0450812382,,Uncharacterized iModulon 9,Uncharacterized
42,Nicotinate Metabolism,False,-0.0449696803,,iModulon enriched with the nicotinate and nicotinamide metabolism KEGG pathway,Central Carbon
26,EspL KO,False,0.044615864500000005,,Single Gene iModulon that captures EspL knockout,KO
29,Blal,False,0.0436652707,blaI,"Transcription regulator that regulates genes associated with antibiotic transport, detoxification, and cell wall function",Antibiotic
73,SG_11,False,-0.0392258434,,Single Gene iModulon 11,Single Gene
39,SigC,False,0.032357519,sigC,Sigma Factor that plays a role in organism virulence and lethality,Virulence/Persistence
13,SG_1,False,0.0315800207,,Single Gene iModulon 1,Single Gene
12,Mycofactocin Synthesis Pathway,False,0.031122423200000002,,Manually annotated iModulon that captures multiple genes associated with mycofactocin metabolism,Fatty Acid/Cholestrol
65,SG_10,False,-0.0305292377,,Single Gene iModulon 10,Single Gene
72,Unc_8,False,0.0270054498,,Uncharacterized iModulon 8,Uncharacterized
68,Sulfur Metabolism,False,0.025426445800000003,,Kegg Map that displays the transport and metabolism of sulfur,Sulfur Metabolism
18,Unc_1,False,-0.024023456800000002,,Uncharacterized iModulon 1,Uncharacterized
35,Unc_4,False,-0.0228893678,,Uncharacterized iModulon 4,Uncharacterized
24,Salicylate Induced,False,-0.020849977500000002,,Manually annotated iModulon where genes were found to change expression when exposed to salicylate,Metal Related
63,SG_9,False,-0.0201266898,,Single Gene iModulon 9,Single Gene
66,M-box,False,0.0196825466,,Magnesium activated non-coding sRNA that regulates the function of genes associated with metal metabolism and virulence,Metal Related
56,Fatty Acid Biosynthesis,False,0.0196070487,trcR and Rv1776c and whiB4 ,"iModulon that maps to the intersection of the Rv1033c, Rv1776c, and Rv3681c regulons",Fatty Acid/Cholestrol
22,SG_3,False,-0.0186062791,,Single Gene iModulon 3,Single Gene
40,KstR2,False,0.0183675246,kstR2,Transcription factor that regulates a small regulon related to cholesterol utilization,Fatty Acid/Cholestrol
41,Unc_5,False,-0.0181488569,,Uncharacterized iModulon 5,Uncharacterized
17,VirS,False,-0.0175670086,virS,Transcription factor that is activated and responds to acidic environments,Redox
