sample,Rv0888
SRX3995807,0.5598744136
SRX3995806,0.5033913714
SRX3995809,0.3336446578
SRX3995808,0.2064487122
SRX4619048,0.4776253375
SRX4619047,0.2591720064
SRX4619049,0.0363568058
SRX4619050,0.2134231541
SRX3995804,0.0456378724
SRX3995805,-0.0456378724
SRX5089845,-0.6725663538000001
SRX5089844,-0.6863647992
SRX5089860,0.009155327000000001
SRX5089859,-0.032561014
SRX5089858,0.023405687
SRX5089854,-1.7390193347
SRX5089853,-1.721641129
SRX5089852,-1.9405050488
SRX5089856,-0.6615271761
SRX5089855,-0.48289278960000004
SRX5089857,-0.8603866984
SRX5089868,-0.5333401432
SRX5089866,-1.2049548283
SRX5089867,-0.9322565599
SRX5089870,0.8940037033
SRX5089869,0.7157815261
SRX5089871,0.8082488315
SRX5089846,-1.9698750799
SRX5089848,-1.602506232
SRX5089847,-1.660291728
SRX5089849,-0.6823706822000001
SRX5089850,-0.5488699021
SRX5089851,-0.45171178580000004
SRX5089863,-0.6094276544
SRX5089861,-0.8127801305
SRX5089862,-0.4817091552
SRX5089865,0.8611609733000001
SRX5089864,0.9234344142
SRX5388955,-0.08352284260000001
SRX5388957,0.0977690132
SRX5388954,-0.0421319687
SRX5388956,0.0278857981
SRX5388960,-2.3163315571
SRX5388961,-2.0037229276
SRX5388959,-2.2371418119
SRX5388958,-2.2423061013
SRX5388964,-1.092006545
SRX5388965,-0.9309692924
SRX5388962,-1.0506669783
SRX5388963,-1.0008956151
SRX6889335,-0.5537066121
SRX6889333,0.5537066121
SRX6810002,0.08005270340000001
SRX6810004,-0.10943423520000001
SRX6810003,0.029381531800000003
SRX6810006,-1.9472235995
SRX6810005,-2.2043539648
SRX6810007,-2.3057915429999998
ERX1818322,0.0400456061
ERX1818321,-0.0400456061
SRX2617830,1.5706676553
SRX2617831,1.5947189109000002
SRX2617833,0.7173194443
SRX2617832,0.6158158743000001
SRX2617828,0.007394983900000001
SRX2617827,-0.044212023
SRX2617829,0.036817039100000004
SRX3456119,0.3079839472
SRX3456118,-0.042323771600000004
SRX3456117,-0.2608477716
SRX3456101,-0.2728579127
SRX3456099,0.4294577292
SRX3456100,-0.15659981650000002
SRX3456107,2.0823651024
SRX3456105,2.0730374987
SRX4374122,0.8644878922
SRX4374121,1.4692757922
SRX4374123,1.3641521144
SRX4374124,-0.10422828940000001
SRX4374125,-0.1995611039
SRX4374126,0.3037893933
SRX4374127,0.3672972883
SRX4374128,0.3731723381
SRX4374129,0.0416990747
SRX4374130,-1.405206653
SRX4374132,-1.6108080114
SRX4374131,-1.5085618205
SRX4374133,-0.3709687604
SRX4374135,-1.4939121005
SRX4374134,-0.8685810665
SRX4374138,-2.137215806
SRX4374136,-1.6664877478
SRX4374137,-1.7257820844
SRX1091379,0.6758402687
SRX1091380,0.6807344159000001
SRX1091377,0.0409879613
SRX1091378,-0.0409879613
SRX4647145,0.0403539979
SRX4647146,0.1029332166
SRX4647147,0.1342980529
SRX4647144,0.013413129400000001
SRX4647143,-0.012697409000000002
SRX4647142,-0.0007157205
SRX4647155,-0.47777899570000004
SRX4647152,-0.4124237848
SRX4647153,-0.38519022280000004
SRX4647154,-0.3822551209
SRX4647148,-0.0352261215
SRX4647149,-0.0791132952
SRX4647151,-0.0744359515
SRX4647150,-0.110984675
SRX4647123,0.0559500062
SRX4647124,0.0259202631
SRX4647125,-0.0818702694
SRX3103185,-0.5650383511
SRX3103189,-0.4273070846
SRX3103187,-1.1036615925
SRX3103184,0.096635466
SRX3103188,0.0480401264
SRX3103186,-0.1446755924
SRX1372110,-0.5739757761000001
SRX1372111,-0.3050162549
SRX1372108,-0.2104236187
SRX1372109,0.2104236187
SRX4506085,0.21286118440000001
SRX4506083,0.18930408040000002
SRX4506089,0.1096954634
SRX4506087,0.1265351036
SRX4506077,0.0565501865
SRX4506079,-0.0319719697
SRX4506075,-0.016253275600000002
SRX4506081,-0.0083249412
SRX4506084,0.20275667960000002
SRX4506086,0.2657697552
SRX4506088,0.295266636
SRX4506090,0.1473955965
SRX4506078,-0.1136721499
SRX4506080,-0.1033549433
SRX4506082,-0.0115880166
SRX4506076,-0.06421477
SRX5352221,-0.3037240309
SRX5352223,-0.3495994311
SRX5352222,0.34677473410000004
SRX5352229,-1.8918449851
SRX5352227,-1.7763349334
SRX5352228,-2.0500649206
SRX5352231,-3.639393273
SRX5352232,-3.5291743799
SRX5352230,-3.1498532465
SRX5352225,-0.3772525833
SRX5352224,0.31017967500000004
SRX5352226,0.2641025001
SRX5352220,-0.0038278507
SRX5352219,-0.0816279902
SRX5352218,0.0854558409
SRX4498228,0.047946593700000005
SRX4498224,0.1447545304
SRX4498230,0.047739632000000004
SRX4498226,0.1355880276
SRX4498218,-0.050341241
SRX4498216,0.0102986065
SRX4498220,0.0514524058
SRX4498222,-0.0114097712
SRX4498225,0.3314919059
SRX4498227,0.3874573236
SRX4498231,0.3735472408
SRX4498229,0.30347489050000004
SRX4498217,0.1467385213
SRX4498221,0.3253215876
SRX4498219,0.3090474107
SRX4498223,0.3052472692
SRX5079928,2.2533066359
SRX5079930,2.0044287676
SRX5079929,1.7771835622
SRX5079923,1.4745530957000001
SRX5079924,1.3914710118
SRX5079922,1.1238117405999999
SRX5079920,0.0420091473
SRX5079921,-0.0879493097
SRX5079919,0.045940162400000005
SRX5079926,2.4212946884
SRX5079925,1.9995820095
SRX5079927,2.3931123894
SRX894005,1.9366457094
SRX894004,1.9795114608
SRX894006,2.3079085304999998
SRX893999,0.08950760590000001
SRX894000,0.0089895046
SRX893998,-0.0984971106
SRX4647489,0.0424721026
SRX4647490,-0.0424721026
SRX4647492,-0.0442637876
SRX4647491,-0.2742307645
SRX4647496,-0.052236916
SRX4647495,-0.2823027178
SRX4647499,-0.2955350815
SRX4647500,-0.41756437690000003
SRX4647493,-0.27491250840000003
SRX4647494,-0.1181205345
SRX4647497,-0.37641861600000004
SRX4647498,-0.2673008836
SRX4505482,-0.0243102933
SRX4505486,-0.23642562520000002
SRX4505484,-0.2770432769
SRX4505473,-0.3229144825
SRX4505476,-0.0414856422
SRX4505480,-0.0808778321
SRX4505478,0.0243424058
SRX4505474,0.0980210685
SRX4505483,-0.7603584473
SRX4505485,-0.8025422486
SRX4505487,-0.7223894694
SRX4505488,-0.8275321408
SRX4505481,-0.439486727
SRX4505477,-0.5151838674
SRX4505475,-0.4888710613
SRX4505479,-0.49820772830000004
SRX4605773,0.0477181654
SRX4605774,0.019022836600000002
SRX4605772,0.0033865995000000003
SRX4605771,-0.0033865995000000003
SRX5178871,0.2561741271
SRX5178872,0.074184842
SRX5178868,0.0460220054
SRX5178870,-0.014315128000000002
SRX5178869,-0.0317068774
ERX1404045,0.03697234
ERX1404046,-0.03697234
ERX1404043,0.0464433932
ERX1404044,0.2668159242
ERX237502,-2.7072452289
ERX237505,-2.3856101333
ERX237506,-2.5704014095
ERX237500,-1.0272619174
ERX237497,-0.9600640485
ERX237499,0.1903691945
ERX237507,0.0810519101
ERX237496,-0.1268638523
ERX237504,0.0458119421
ERX3772318,0.3586936348
ERX3772320,0.41727787390000004
ERX3772319,0.28838877360000004
ERX3772321,-0.1555205307
ERX3772322,-0.1047353874
ERX3772323,0.2602559181
SRX4314262,0.0596174878
SRX4314263,0.0090620783
SRX4314261,-0.068679566
SRX4314265,-1.6253155196
SRX4314266,-0.9100217654
SRX4314264,-1.738686773
SRX4314268,-0.6654838422
SRX4314267,-0.7778268338000001
SRX4314271,-1.4401460338
SRX4314272,-1.077988371
SRX4314275,-1.3234438463
SRX4314274,-1.4139879731
SRX4314273,-1.1679780896
SRX4314278,-0.6060410773
SRX4314276,-0.8769693854
SRX4314281,-1.1195947198
SRX4314279,-1.3885963256
SRX4314280,-1.1299685954
SRX4314284,-0.9431335067000001
SRX4314283,-0.7702163661
SRX4314282,-0.9190576198
SRX4314293,-1.3645882881
SRX4314292,-0.9627556781000001
SRX4314291,-1.7709850578
SRX4314297,-0.8068971938
SRX4314298,-0.5415819628
SRX4314299,-1.1082955505
SRX4314302,-1.1095443669
SRX4314301,-0.6411593146
SRX4314300,-0.3588612814
SRX4314305,-0.2446692702
SRX4314304,0.376749424
SRX4314303,0.1715190083
SRX4314309,-0.2943103525
SRX4314306,-0.1465061711
SRX4314308,-0.4204241784
SRX4314307,0.3400665405
SRX4314311,-1.0888550929
SRX4314317,-0.8393130943
SRX4314316,-0.669304462
SRX4314318,-1.3051696085
SRX4314319,-1.8496020786
SRX4314331,0.062375070000000005
