k,Name,in_iM,gene_weight,Regulator,Function,Category
49,Rv1828/SigH,False,0.0447216823,Rv1828 or sigH,iModulon that maps to the union of the Rv1828 and Rv3223c regulons,Redox
75,Unc_9,False,-0.026457708700000002,,Uncharacterized iModulon 9,Uncharacterized
2,IniR,False,-0.0238782748,iniR,Transcription factor that regulates the expression of the ini operon (iniBAC),Antibiotic
45,SigD,False,-0.022024713600000002,sigD,Sigma Factor that governs the expression of ribosomal genes and plays a role in virulence,Virulence/Persistence
46,Rv2621c,False,-0.021459304800000002,Rv2621c,iModulon labeled with predicted regulon with unknown function,Unknown Function
53,Rv1776c+WhiB4,False,0.0195596239,Rv1776c and whiB4 ,iModulon that maps to the intersection of the Rv1776c and Rv3681c regulon,Redox
78,Positive Regulation of Growth,False,-0.0190652106,,iModulon enriched with the Positive Regulation of Growth Gene Ontology term,Growth
44,SG_6,False,0.0190617003,,Single Genes iModulon 6,Single Gene
12,Mycofactocin Synthesis Pathway,False,-0.0188716388,,Manually annotated iModulon that captures multiple genes associated with mycofactocin metabolism,Fatty Acid/Cholestrol
70,Lsr2,False,-0.0184653246,lsr2,Sequence independent transcription factor that controls a wide variety of genes,Antibiotic
22,SG_3,False,-0.0172193902,,Single Gene iModulon 3,Single Gene
21,MprA,False,-0.016662523500000002,mprA,Transcription factor that regulates multiple stress responsive genes,Virulence/Persistence
61,Nucleic Acid Hydrolysis ,False,0.0153724068,,iModulon enriched with the Nucleic Acid Hydrolysis KEGG pathway,Nucleic Acids
28,WhiB1,False,-0.015311319700000001,whiB1,"Transcription repressor that is redox responsive, found to be nitric oxide sensitive",Redox
66,M-box,False,-0.015005806000000002,,Magnesium activated non-coding sRNA that regulates the function of genes associated with metal metabolism and virulence,Metal Related
64,Mce1R,False,0.014972199600000001,mce1R,Transcription factor that regulates the mce1 virulence operon,Virulence/Persistence
31,ArgR,False,-0.013480016400000001,argR,Transcription factor that regulates the L-arginine biosynthesis pathways,Amino Acids
63,SG_9,False,0.0133012658,,Single Gene iModulon 9,Single Gene
77,Central Carbon Metabolism,False,0.0130799139,,iModulon enriched with the Central Carbon Metabolism KEGG pathway,Central Carbon
27,Unc_2,False,0.0127316348,,Uncharacterized iModulon 2,Uncharacterized
8,IdeR,False,-0.0126983433,ideR,Metal-Dependent DNA-Binding protein that controls genes related to iron metabolism,Metal Related
42,Nicotinate Metabolism,False,0.0126030382,,iModulon enriched with the nicotinate and nicotinamide metabolism KEGG pathway,Central Carbon
50,Unc_6,False,-0.012530449400000001,,Uncharacterized iModulon 6,Uncharacterized
38,SG_5,False,0.0118985118,,Single Gene iModulon 5,Single Gene
18,Unc_1,False,-0.0115505118,,Uncharacterized iModulon 1,Uncharacterized
69,Rv0135+Rv1019,False,0.011331393700000001,Rv0135c and Rv1019,iModulon that maps to the intersection of the Rv0135c and Rv1019 regulons,Nucleic Acids
71,PDIM;PGL Synthesis,False,-0.0106833417,,Manually annotated iModulon that captures genes associated with PDIM and PGL synthesis,Virulence/Persistence
60,Rv0681,False,-0.0100796635,Rv0681,"Transcription with previously unknown function, regulates core fatty acid response",Unknown Function
