sample,Rv0959A
SRX3995807,-0.7381787678
SRX3995806,-0.2474582961
SRX3995809,-0.8225095517000001
SRX3995808,0.3237097268
SRX4619048,-0.2378227533
SRX4619047,0.1701395819
SRX4619049,-0.2178191729
SRX4619050,-1.9920442037
SRX3995804,-0.3410235431
SRX3995805,0.3410235431
SRX5089845,0.4800538787
SRX5089844,0.48689966500000004
SRX5089860,-0.28790681760000003
SRX5089859,0.11447612500000001
SRX5089858,0.17343069260000002
SRX5089854,-0.0225344394
SRX5089853,0.2225296841
SRX5089852,0.2708874636
SRX5089856,0.5206644699
SRX5089855,0.7920348228
SRX5089857,0.410039625
SRX5089868,0.1752381156
SRX5089866,0.055804794000000005
SRX5089867,0.3237836672
SRX5089870,0.5600524814
SRX5089869,0.39766229550000004
SRX5089871,0.4835707012
SRX5089846,0.4932870013
SRX5089848,0.3492372522
SRX5089847,0.6252993117
SRX5089849,0.769221985
SRX5089850,0.8839357978
SRX5089851,0.9960469853
SRX5089863,0.3241414029
SRX5089861,0.5072606551000001
SRX5089862,0.7225769625
SRX5089865,0.584664643
SRX5089864,0.8411405190000001
SRX5388955,-0.0636304159
SRX5388957,-0.0484226044
SRX5388954,0.008139410100000001
SRX5388956,0.1039136102
SRX5388960,-0.7710203063000001
SRX5388961,-0.3028712102
SRX5388959,-0.7031400767
SRX5388958,-0.6781787553
SRX5388964,-0.0533501131
SRX5388965,0.0265229859
SRX5388962,0.0251953403
SRX5388963,-0.072694308
SRX6889335,-0.3584005182
SRX6889333,0.3584005182
SRX6810002,0.6295512956
SRX6810004,-0.6546402927
SRX6810003,0.0250889971
SRX6810006,0.289512692
SRX6810005,0.34171056240000003
SRX6810007,1.3541815148
ERX1818322,0.2121754635
ERX1818321,-0.2121754635
SRX2617830,-0.3520920289
SRX2617831,-0.2564256616
SRX2617833,0.3319200402
SRX2617832,0.3398475653
SRX2617828,-0.2510386619
SRX2617827,0.2418908031
SRX2617829,0.0091478588
SRX3456119,-0.028357709300000002
SRX3456118,0.20976966830000002
SRX3456117,0.22540319890000002
SRX3456101,0.1495398168
SRX3456099,0.1655138259
SRX3456100,-0.3150536427
SRX3456107,0.0692922196
SRX3456105,-0.40643187940000003
SRX4374122,0.0661181542
SRX4374121,-0.08382094080000001
SRX4374123,-0.013318770700000001
SRX4374124,0.403395412
SRX4374125,-0.4876321796
SRX4374126,0.0842367676
SRX4374127,0.4518187833
SRX4374128,0.7045445570000001
SRX4374129,-0.0720752452
SRX4374130,-0.0146686227
SRX4374132,-0.6262453905
SRX4374131,-0.8362087623000001
SRX4374133,0.5124088130000001
SRX4374135,0.0146505134
SRX4374134,0.5004224882
SRX4374138,-0.48961151340000003
SRX4374136,0.1238537614
SRX4374137,-0.38726456000000004
SRX1091379,0.5057013899
SRX1091380,-0.0005836172
SRX1091377,-0.12529148140000002
SRX1091378,0.12529148140000002
SRX4647145,0.10805113740000001
SRX4647146,0.2488800254
SRX4647147,0.2351769193
SRX4647144,0.25408653400000003
SRX4647143,-0.22936132890000002
SRX4647142,-0.0247252051
SRX4647155,-0.9507864258000001
SRX4647152,-0.6808443885000001
SRX4647153,-0.8028214356000001
SRX4647154,-1.0137084795
SRX4647148,-1.0667280046
SRX4647149,-1.1301481683
SRX4647151,-1.2639404661
SRX4647150,-1.2636894041
SRX4647123,-0.0071890578
SRX4647124,0.16473370040000002
SRX4647125,-0.1575446426
SRX3103185,-0.0482399239
SRX3103189,-0.005580936900000001
SRX3103187,-0.1605427823
SRX3103184,0.2075512031
SRX3103188,-0.3091748261
SRX3103186,0.10162362300000001
SRX1372110,-0.12962389300000002
SRX1372111,-0.5195379096
SRX1372108,-0.2474264837
SRX1372109,0.2474264837
SRX4506085,-0.1511366063
SRX4506083,-0.1928630292
SRX4506089,-0.1536249674
