sample,Rv2104a
SRX3995807,-0.5854609462
SRX3995806,-0.4677100215
SRX3995809,-0.1776214008
SRX3995808,-0.5307499391
SRX4619048,-0.1744548578
SRX4619047,0.3620858575
SRX4619049,-0.029754703400000002
SRX4619050,0.1632794547
SRX3995804,0.0953356185
SRX3995805,-0.0953356185
SRX5089845,-0.3201586308
SRX5089844,-0.5275537352
SRX5089860,-0.0656988668
SRX5089859,-0.06742113870000001
SRX5089858,0.1331200055
SRX5089854,-1.4684941849
SRX5089853,-1.7188825975
SRX5089852,-1.1209234627
SRX5089856,-0.7659472376
SRX5089855,-0.7179502549
SRX5089857,-0.9004575994
SRX5089868,-0.8707341194
SRX5089866,-1.0103848357
SRX5089867,-1.2187416043
SRX5089870,-0.3322199745
SRX5089869,-0.1522912685
SRX5089871,-0.1839813454
SRX5089846,-1.382895652
SRX5089848,-1.5423492707
SRX5089847,-1.766307781
SRX5089849,-1.0554656772
SRX5089850,-0.9670867830000001
SRX5089851,-1.1966463927
SRX5089863,-1.2532967872
SRX5089861,-1.0658495295
SRX5089862,-0.9309936771
SRX5089865,-0.6670439796000001
SRX5089864,-0.25696308290000003
SRX5388955,-0.0839758063
SRX5388957,0.0557832191
SRX5388954,0.113039596
SRX5388956,-0.0848470088
SRX5388960,-0.37364844210000003
SRX5388961,-0.0405358372
SRX5388959,-0.5196521391
SRX5388958,-0.3844549593
SRX5388964,0.0590605913
SRX5388965,0.1407580829
SRX5388962,0.3842900731
SRX5388963,0.1764176932
SRX6889335,-0.6281018079
SRX6889333,0.6281018079
SRX6810002,-0.12383651080000001
SRX6810004,-0.0283828642
SRX6810003,0.15221937500000002
SRX6810006,0.9238035142000001
SRX6810005,1.6569445053
SRX6810007,0.3145104201
ERX1818322,0.2521569741
ERX1818321,-0.2521569741
SRX2617830,-0.4193605154
SRX2617831,-0.27443349780000004
SRX2617833,0.0761921456
SRX2617832,0.23011319090000001
SRX2617828,0.18335011950000002
SRX2617827,-0.13159696240000002
SRX2617829,-0.051753157
SRX3456119,-0.7134731243
SRX3456118,-0.38143481370000004
SRX3456117,-1.6647497859
SRX3456101,-0.1043274072
SRX3456099,0.7044263232
SRX3456100,-0.6000989159
SRX3456107,-1.1419974303
SRX3456105,-4.0024858158
SRX4374122,-0.1394593639
SRX4374121,0.0733341584
SRX4374123,-0.4277073505
SRX4374124,0.5556883725
SRX4374125,-0.4533725373
SRX4374126,-0.10231583520000001
SRX4374127,0.9525442553000001
SRX4374128,0.9160026552
SRX4374129,0.41832749090000004
SRX4374130,0.530824953
SRX4374132,-0.1512896393
SRX4374131,-0.1023868471
SRX4374133,0.5618443131
SRX4374135,-0.5901150855
SRX4374134,-0.2141461033
SRX4374138,-0.1880690258
SRX4374136,1.0278284364
SRX4374137,0.1028290761
SRX1091379,0.47196886590000003
SRX1091380,0.5425258775
SRX1091377,-0.0950882581
SRX1091378,0.0950882581
SRX4647145,-0.11778509370000001
SRX4647146,0.0743430004
SRX4647147,-0.0409325108
SRX4647144,0.0873347393
SRX4647143,-0.18215168180000002
SRX4647142,0.09481694260000001
SRX4647155,0.24908265440000002
