sample,Rv2224d
SRX3995807,0.2485742185
SRX3995806,1.0027144804
SRX3995809,0.18821824310000002
SRX3995808,0.35429776550000003
SRX4619048,0.7912156857
SRX4619047,0.9164008121
SRX4619049,-0.17901961100000002
SRX4619050,0.5122647545
SRX3995804,0.1626248618
SRX3995805,-0.1626248618
SRX5089845,-0.11249199030000001
SRX5089844,-0.37457150440000003
SRX5089860,-0.24057166770000002
SRX5089859,0.1558895625
SRX5089858,0.0846821052
SRX5089854,-0.9006349803
SRX5089853,-1.3632161553
SRX5089852,-0.5603107460000001
SRX5089856,-0.3955817829
SRX5089855,0.0303795254
SRX5089857,-0.4694964272
SRX5089868,-0.8120697829
SRX5089866,-0.0741227618
SRX5089867,-0.5906190853000001
SRX5089870,-0.042226987800000004
SRX5089869,-0.1024309051
SRX5089871,0.2251818734
SRX5089846,-1.1893710392
SRX5089848,-1.23202969
SRX5089847,-0.6706932216
SRX5089849,-0.48768872300000005
SRX5089850,-0.45163997510000004
SRX5089851,-0.5489403739000001
SRX5089863,-0.9880238962000001
SRX5089861,-0.2656367458
SRX5089862,-0.4488408183
SRX5089865,-0.6156229525
SRX5089864,-0.5038931895000001
SRX5388955,-0.1984623915
SRX5388957,0.2023997793
SRX5388954,-0.2381688511
SRX5388956,0.2342314634
SRX5388960,-0.23731061250000002
SRX5388961,0.6050372679
SRX5388959,-0.2861673203
SRX5388958,-0.2122951949
SRX5388964,0.3420796169
SRX5388965,0.3277879791
SRX5388962,0.6265551530000001
SRX5388963,0.082670874
SRX6889335,-0.3742652225
SRX6889333,0.3742652225
SRX6810002,-0.39376352670000003
SRX6810004,0.4315602639
SRX6810003,-0.0377967372
SRX6810006,1.1802905527
SRX6810005,1.1284595832
SRX6810007,1.0112765106
ERX1818322,-0.8144231944
ERX1818321,0.8144231944
SRX2617830,0.6940566466
SRX2617831,0.9302349623
SRX2617833,0.9236030374
SRX2617832,0.9738779784
SRX2617828,-0.2461537976
SRX2617827,0.0857339399
SRX2617829,0.1604198577
SRX3456119,-0.274528744
SRX3456118,-0.488992501
SRX3456117,-0.1021314591
SRX3456101,-0.0074580892
SRX3456099,0.3252080614
SRX3456100,-0.3177499722
SRX3456107,-1.3125286293
SRX3456105,-1.3226119697
SRX4374122,-0.5789434649
SRX4374121,-0.5096038654
SRX4374123,0.5732889548
SRX4374124,0.0698943512
SRX4374125,-0.1706443497
SRX4374126,0.10074999850000001
SRX4374127,0.39264545300000003
SRX4374128,0.5494684863
SRX4374129,0.263399406
SRX4374130,0.0899420318
SRX4374132,-0.3527994906
SRX4374131,-0.2119456352
SRX4374133,-0.2889004629
SRX4374135,-0.1426700528
SRX4374134,0.5201084975
SRX4374138,0.4656268638
SRX4374136,0.5238025683
SRX4374137,0.0983063237
SRX1091379,0.9622896646
SRX1091380,0.7504581474
SRX1091377,-0.1052228647
SRX1091378,0.1052228647
SRX4647145,0.2420734816
SRX4647146,-0.4989257856
SRX4647147,0.14425160650000002
SRX4647144,1.1797965907
SRX4647143,-0.7891839243000001
SRX4647142,-0.39061266640000003
SRX4647155,0.38647418640000003
SRX4647152,0.6817601689
SRX4647153,0.6326031621
SRX4647154,0.3391832137
SRX4647148,-0.06494814830000001
SRX4647149,0.0408686787
SRX4647151,0.4645011859
SRX4647150,0.6255948909
SRX4647123,0.32656843300000005
SRX4647124,-0.0727767903
SRX4647125,-0.2537916427
SRX3103185,0.12416708820000001
SRX3103189,0.2543117634
SRX3103187,-0.0716271651
SRX3103184,0.0227823719
SRX3103188,0.41289818380000004
SRX3103186,-0.4356805557
SRX1372110,0.40964651420000003
SRX1372111,0.4303513493
SRX1372108,0.6112688897
SRX1372109,-0.6112688897
SRX4506085,-0.0201557752
SRX4506083,0.3227235844
SRX4506089,0.2542581841
SRX4506087,0.4793343149
SRX4506077,0.0927788372
SRX4506079,-0.4705299147
SRX4506075,0.5039308299
SRX4506081,-0.1261797523
SRX4506084,-0.8418530177
SRX4506086,0.856920801
SRX4506088,0.9913445208
SRX4506090,1.4316447565
SRX4506078,0.8559429765000001
SRX4506080,-0.2418648887
SRX4506082,0.8714974689
SRX4506076,-0.34613857330000003
SRX5352221,0.23178839110000002
SRX5352223,-0.3662236428
SRX5352222,0.400065975
SRX5352229,1.220343144
SRX5352227,1.8983724171
SRX5352228,2.5808214144
SRX5352231,-1.3099934627
SRX5352232,-1.0295549531
SRX5352230,-0.11935071500000001
SRX5352225,-2.816226458
SRX5352224,-0.6826667307000001
SRX5352226,-2.816226458
SRX5352220,-0.0531423673
SRX5352219,-0.0730148443
SRX5352218,0.1261572116
SRX4498228,0.2928288483
SRX4498224,0.0303403918
SRX4498230,-0.4059276886
SRX4498226,-0.2717871642
SRX4498218,-0.5008635542000001
SRX4498216,-0.09024915700000001
SRX4498220,-0.37347139900000004
SRX4498222,0.9645841102
SRX4498225,-0.061285342300000004
SRX4498227,-3.365757258
SRX4498231,-0.8575615088
SRX4498229,-1.7554779747
SRX4498217,-1.7696383531
SRX4498221,-3.365757258
SRX4498219,-0.7839471385
SRX4498223,-2.3091849584
SRX5079928,-0.7540936481
SRX5079930,-0.5400346354000001
SRX5079929,-0.20439564370000002
SRX5079923,-0.026172469900000002
SRX5079924,0.078771676
SRX5079922,-0.1750287026
SRX5079920,0.2871356735
SRX5079921,-0.1371020593
SRX5079919,-0.1500336143
SRX5079926,-0.42476510160000003
SRX5079925,-0.375116887
SRX5079927,-0.1726345934
SRX894005,1.0111515604
SRX894004,0.8321015678
SRX894006,0.8290067983
SRX893999,-0.3308395995
SRX894000,0.1873735201
SRX893998,0.1434660793
SRX4647489,0.032331203100000004
SRX4647490,-0.032331203100000004
SRX4647492,-0.6635528565000001
SRX4647491,-0.06495645580000001
SRX4647496,-0.4706907937
SRX4647495,-0.28532962700000003
SRX4647499,0.3783705596
SRX4647500,-0.0016535472
SRX4647493,-0.6930027196
SRX4647494,-0.6764809149000001
SRX4647497,0.0807241722
SRX4647498,0.1526638851
SRX4505482,0.8323877634
SRX4505486,0.6508122382
SRX4505484,-0.5038680901
SRX4505473,0.7980411115
SRX4505476,-0.22334794230000002
SRX4505480,1.3102852956
SRX4505478,0.7865743098
SRX4505474,-1.8735116631
SRX4505483,1.0015271863
SRX4505485,0.8403385306000001
SRX4505487,1.1336200436000001
SRX4505488,0.7555941245000001
SRX4505481,1.408247614
SRX4505477,-0.6167887308000001
SRX4505475,1.6197826849
SRX4505479,0.7534493024000001
SRX4605773,0.4819819731
SRX4605774,0.8630638976
SRX4605772,-0.7040736895
SRX4605771,0.7040736895
SRX5178871,-0.7267474809000001
SRX5178872,-0.7452456886000001
SRX5178868,0.0825788029
SRX5178870,-0.8862789545
SRX5178869,0.8037001516000001
ERX1404045,-1.4822268232
ERX1404046,1.4822268232
ERX1404043,0.1036256203
ERX1404044,-0.4026035133
ERX237502,0.0
