sample,Rv2307D
SRX3995807,0.3056978426
SRX3995806,0.8235291665000001
SRX3995809,0.32383158300000003
SRX3995808,0.8828706126
SRX4619048,0.5767988702
SRX4619047,1.0197078498
SRX4619049,0.4010392531
SRX4619050,0.36499181540000003
SRX3995804,0.23502464680000001
SRX3995805,-0.23502464680000001
SRX5089845,0.7840818755000001
SRX5089844,0.5389875094000001
SRX5089860,-0.1365910032
SRX5089859,-0.0122011596
SRX5089858,0.14879216280000002
SRX5089854,0.5418320693
SRX5089853,0.3903866677
SRX5089852,0.5293519619
SRX5089856,0.3631500301
SRX5089855,0.4445486346
SRX5089857,0.1939248852
SRX5089868,0.0483110879
SRX5089866,0.19855346510000002
SRX5089867,0.0179155075
SRX5089870,-0.4473045383
SRX5089869,-0.0198317706
SRX5089871,-0.0126440835
SRX5089846,1.0147459975
SRX5089848,0.9250661323
SRX5089847,1.0242923965
SRX5089849,0.2896526265
SRX5089850,0.29680238410000004
SRX5089851,0.2460526869
SRX5089863,0.6959716543000001
SRX5089861,0.5490338227
SRX5089862,0.6151248693
SRX5089865,-0.6604310961000001
SRX5089864,-0.1701523254
SRX5388955,-0.1798567856
SRX5388957,0.0466614074
SRX5388954,0.0594386412
SRX5388956,0.073756737
SRX5388960,-0.09061317940000001
SRX5388961,-0.20923416020000002
SRX5388959,-0.099295085
SRX5388958,-0.1060842632
SRX5388964,0.15794163020000002
SRX5388965,0.41510352710000004
SRX5388962,0.2441804499
SRX5388963,0.2272704495
SRX6889335,-0.8180937612
SRX6889333,0.8180937612
SRX6810002,0.17395142430000002
SRX6810004,-0.3086279612
SRX6810003,0.1346765369
SRX6810006,0.40313563560000004
SRX6810005,0.269876123
SRX6810007,0.9958265063
ERX1818322,-0.35293223360000003
ERX1818321,0.35293223360000003
SRX2617830,-0.374603758
SRX2617831,-0.5349420689000001
SRX2617833,0.0987814312
SRX2617832,-0.0527251181
SRX2617828,-0.0492520817
SRX2617827,-0.0458792192
SRX2617829,0.09513130090000001
SRX3456119,0.3518105171
SRX3456118,0.47478814500000005
SRX3456117,0.44358348670000003
SRX3456101,-0.0924898085
SRX3456099,0.3067253552
SRX3456100,-0.2142355467
SRX3456107,-2.6982114888
SRX3456105,-0.5090708933
SRX4374122,0.6089207501
SRX4374121,0.4673952115
SRX4374123,0.6534801986000001
SRX4374124,0.3913202528
SRX4374125,-0.2118766827
SRX4374126,-0.1794435701
SRX4374127,0.4897796902
SRX4374128,0.4779128668
SRX4374129,0.1484797587
SRX4374130,0.1615302482
SRX4374132,-0.3328144967
SRX4374131,0.045647117800000005
SRX4374133,1.1417674816
SRX4374135,0.1459984205
SRX4374134,0.8490218091
SRX4374138,-0.8173621483
SRX4374136,-0.0324330916
SRX4374137,-0.3919338164
SRX1091379,0.6970068978
SRX1091380,0.3922849762
SRX1091377,-0.1247318968
SRX1091378,0.1247318968
SRX4647145,-0.15442700310000002
SRX4647146,-0.148694456
SRX4647147,-0.47720948500000004
SRX4647144,0.0151130184
SRX4647143,-0.12792956020000001
SRX4647142,0.1128165418
SRX4647155,-0.5888341717000001
SRX4647152,-0.9605021542000001
SRX4647153,-0.9425769985
SRX4647154,-0.9139389121
SRX4647148,-1.1654281189
SRX4647149,-0.8815288366
SRX4647151,-0.9623426517
SRX4647150,-0.7493606308
SRX4647123,0.23078558130000001
SRX4647124,-0.2581026732
SRX4647125,0.0273170919
SRX3103185,-0.6562256922
SRX3103189,-0.6160137653000001
SRX3103187,-0.8308250275
SRX3103184,-0.0041961483
SRX3103188,0.0764819477
SRX3103186,-0.0722857994
SRX1372110,0.7454934577
SRX1372111,0.6140282603
SRX1372108,-0.0561472365
SRX1372109,0.0561472365
SRX4506085,-0.1035544333
SRX4506083,-0.13242590810000002
SRX4506089,-0.30645107920000003
SRX4506087,-0.0339757606
SRX4506077,0.2873510647
SRX4506079,-0.000159841
SRX4506075,0.0371377019
SRX4506081,-0.3243289256
SRX4506084,-1.0356486273
SRX4506086,-0.9561329027000001
SRX4506088,-0.8439920146000001
SRX4506090,-0.9886488175
SRX4506078,-0.9807168307
SRX4506080,-0.9911771328000001
SRX4506082,-1.0098518859
SRX4506076,-0.8821214850000001
SRX5352221,-1.0237994676
SRX5352223,-1.0156633382
SRX5352222,-0.9066569662
SRX5352229,2.1267626048
SRX5352227,2.1395420534
SRX5352228,2.1846122839
SRX5352231,-3.6431153352
SRX5352232,-2.8996444207
SRX5352230,-4.4746108914
SRX5352225,-0.09598562620000001
SRX5352224,-1.1920024787
SRX5352226,-0.9803631112000001
SRX5352220,-0.0441067714
SRX5352219,0.0482734322
SRX5352218,-0.0041666607
SRX4498228,0.18530368730000002
SRX4498224,-0.026723026900000002
SRX4498230,0.2605662116
SRX4498226,-0.0206407365
SRX4498218,-0.15679139420000002
SRX4498216,-0.1286826817
SRX4498220,0.21049353980000002
SRX4498222,0.07498053610000001
SRX4498225,-0.4227529511
SRX4498227,-0.6830452887
SRX4498231,-0.3472900929
SRX4498229,-0.533283399
SRX4498217,-0.34241732280000003
SRX4498221,-0.13215282520000002
SRX4498219,-0.42362467330000003
SRX4498223,-0.5387572161
SRX5079928,-0.0088435074
SRX5079930,-0.18797036620000002
SRX5079929,-0.0377279941
SRX5079923,0.011034986600000001
SRX5079924,-0.12801441
SRX5079922,-0.1193243685
SRX5079920,-0.012770288000000001
SRX5079921,0.045402035300000004
SRX5079919,-0.0326317473
SRX5079926,0.1844354058
SRX5079925,0.0120915945
