sample,Rv2395B
SRX3995807,-0.2862121261
SRX3995806,0.1546832434
SRX3995809,-0.07690740630000001
SRX3995808,0.4150795484
SRX4619048,-0.0250388691
SRX4619047,0.49765198050000004
SRX4619049,-0.0356471177
SRX4619050,-0.48457683630000004
SRX3995804,-0.0916234808
SRX3995805,0.0916234808
SRX5089845,-0.6649648012
SRX5089844,-0.48542866440000004
SRX5089860,-0.0413236461
SRX5089859,-0.021094339400000002
SRX5089858,0.0624179855
SRX5089854,-2.3218454995
SRX5089853,-2.499320349
SRX5089852,-2.8405696809
SRX5089856,-0.0281287139
SRX5089855,-0.17637347320000002
SRX5089857,-0.2137399768
SRX5089868,0.28899336600000003
SRX5089866,0.1269986588
SRX5089867,0.0662847288
SRX5089870,0.3381594586
SRX5089869,0.3471268161
SRX5089871,0.36852527090000003
SRX5089846,-2.7112173316
SRX5089848,-2.3925941201
SRX5089847,-2.4034664237
SRX5089849,-0.1880715637
SRX5089850,0.052576138700000004
SRX5089851,-0.0489918816
SRX5089863,0.7435925242
SRX5089861,0.5870827576000001
SRX5089862,0.8795236373
SRX5089865,0.5807424246
SRX5089864,0.31160116730000004
SRX5388955,0.0646076947
SRX5388957,-0.0701652678
SRX5388954,0.0899443155
SRX5388956,-0.0843867424
SRX5388960,0.22738004750000002
SRX5388961,0.0867327608
SRX5388959,0.22618066220000002
SRX5388958,0.5407770004
SRX5388964,0.1178687164
SRX5388965,0.1948375213
SRX5388962,0.0681856768
SRX5388963,0.05722266
SRX6889335,0.5840074531
SRX6889333,-0.5840074531
SRX6810002,0.038437154
SRX6810004,-0.20093183080000002
SRX6810003,0.16249467680000002
SRX6810006,-1.4359787567
SRX6810005,-1.488800536
SRX6810007,-0.9457727256
ERX1818322,0.34379468700000004
ERX1818321,-0.34379468700000004
SRX2617830,-0.37562031370000004
SRX2617831,-0.0045527895
SRX2617833,-0.7620619139
SRX2617832,0.012522526400000001
SRX2617828,0.2816289401
SRX2617827,0.3376574372
SRX2617829,-0.6192863773
SRX3456119,-0.1681879503
SRX3456118,0.0097723012
SRX3456117,-0.0612919449
SRX3456101,-0.0531937752
SRX3456099,-0.1459273904
SRX3456100,0.1991211656
SRX3456107,3.0099076928
SRX3456105,2.8970155622
SRX4374122,-0.3784421194
SRX4374121,-0.1808885138
SRX4374123,-0.17840299980000002
SRX4374124,0.2502224234
SRX4374125,-0.1955386601
SRX4374126,-0.0546837633
SRX4374127,-0.5661915447
SRX4374128,-0.35588541970000004
SRX4374129,-0.5587886271
SRX4374130,0.033252378400000004
SRX4374132,-0.3782661029
SRX4374131,-0.48177403480000003
SRX4374133,-0.2054903068
SRX4374135,-0.8154010384
SRX4374134,-0.5918240639
SRX4374138,-0.5104425297
SRX4374136,-0.1350841915
SRX4374137,-0.3407023517
SRX1091379,0.1942562599
SRX1091380,0.1314578405
SRX1091377,-0.0509189347
SRX1091378,0.0509189347
SRX4647145,0.0894770713
SRX4647146,0.0881383745
SRX4647147,0.12185775730000001
SRX4647144,0.0186502974
SRX4647143,-0.0218720453
SRX4647142,0.0032217479
SRX4647155,-0.4027647681
SRX4647152,-0.32386949270000004
SRX4647153,-0.3275440273
SRX4647154,-0.6378120785
SRX4647148,-0.7848662228000001
SRX4647149,-0.7653266462
SRX4647151,-0.7423102215
SRX4647150,-0.7017980534
SRX4647123,-0.038803956
SRX4647124,0.0675583102
SRX4647125,-0.028754354200000002
SRX3103185,-0.2463362218
SRX3103189,-0.40308488330000003
