k,Name,in_iM,gene_weight,Regulator,Function,Category
73,SG_11,False,0.058527394,,Single Gene iModulon 11,Single Gene
18,Unc_1,False,-0.0311015203,,Uncharacterized iModulon 1,Uncharacterized
39,SigC,False,-0.0258475825,sigC,Sigma Factor that plays a role in organism virulence and lethality,Virulence/Persistence
66,M-box,False,0.0245078899,,Magnesium activated non-coding sRNA that regulates the function of genes associated with metal metabolism and virulence,Metal Related
14,SG_2,False,-0.0241420546,,Single Gene iModulon 2,Single Gene
21,MprA,False,-0.0240341468,mprA,Transcription factor that regulates multiple stress responsive genes,Virulence/Persistence
78,Positive Regulation of Growth,False,0.0230955092,,iModulon enriched with the Positive Regulation of Growth Gene Ontology term,Growth
43,LysG,False,-0.0229696026,lsyG,Transcription factor that controls the expression of LysE and requires lysine or histidine for activation ,Amino Acids
38,SG_5,False,0.0217115497,,Single Gene iModulon 5,Single Gene
1,Polyketide Synthase Complex,False,-0.0211591904,,KEGG Map related to the synthesis of type II polyketide backbone ,Fatty Acid/Cholestrol
22,SG_3,False,0.0195841124,,Single Gene iModulon 3,Single Gene
47,SG_7,False,0.018831209,,Single Gene iModulon 7,Single Gene
36,Fumarate Reductase,False,0.0179420694,,iModulon enriched with the Fumarate Reductase Gene Ontology term,Central Carbon
27,Unc_2,False,0.0172248663,,Uncharacterized iModulon 2,Uncharacterized
51,PhoP,False,0.0166495831,phoP,"Transcription factor that controls response to redox/acid stress, hypoxia, and virulence",Virulence/Persistence
49,Rv1828/SigH,False,-0.0166212541,Rv1828 or sigH,iModulon that maps to the union of the Rv1828 and Rv3223c regulons,Redox
17,VirS,False,-0.0158970774,virS,Transcription factor that is activated and responds to acidic environments,Redox
76,SG_13,False,0.01575731,,Single Gene iModulon 13,Single Gene
34,MbcA+Rv3249c+Rv3066,False,-0.0155075295,mbcA and Rv3249c and Rv3066,"iModulon that maps to the intersection of the Rv1990c, Rv3249c, and Rv3066 regulons",Virulence/Persistence
6,MarR,False,0.0153374453,marR,Transcription factor that regulates the response to acid stress,Acid Stress
10,RicR,False,0.0152846147,ricR,Copper responsive transcription factor that regulates metal metabolism genes,Metal Related
28,WhiB1,False,0.0152093582,whiB1,"Transcription repressor that is redox responsive, found to be nitric oxide sensitive",Redox
44,SG_6,False,0.014705844000000001,,Single Genes iModulon 6,Single Gene
61,Nucleic Acid Hydrolysis ,False,-0.0146093718,,iModulon enriched with the Nucleic Acid Hydrolysis KEGG pathway,Nucleic Acids
57,SG_8,False,0.0144747198,,Single Gene iModulon 8,Single Gene
4,WhiB4,False,-0.0144700004,whiB4,Redox-Responsive transcription regulator that regulates protection response during infection,Redox
11,EccE1 KO,False,0.013863515500000001,,Single Gene iModulon that captures EccE1 knockout,KO
9,SigK,False,0.013710790300000001,sigK,Sigma Factor involved in the production of antigenic proteins,Unknown Function
40,KstR2,False,-0.0133867844,kstR2,Transcription factor that regulates a small regulon related to cholesterol utilization,Fatty Acid/Cholestrol
77,Central Carbon Metabolism,False,-0.012924322600000001,,iModulon enriched with the Central Carbon Metabolism KEGG pathway,Central Carbon
50,Unc_6,False,-0.0123819324,,Uncharacterized iModulon 6,Uncharacterized
75,Unc_9,False,0.0122474394,,Uncharacterized iModulon 9,Uncharacterized
42,Nicotinate Metabolism,False,-0.012209275300000001,,iModulon enriched with the nicotinate and nicotinamide metabolism KEGG pathway,Central Carbon
16,Mce3R,False,-0.0109209344,mce3R,Transcription factor that regulates the mce3 virulence operon,Virulence/Persistence
2,IniR,False,-0.010845494300000001,iniR,Transcription factor that regulates the expression of the ini operon (iniBAC),Antibiotic
59,Rv0576,False,-0.010781742,Rv0576,Possible ArsR family transcription factor that regulates genes related to virulence,Virulence/Persistence
63,SG_9,False,-0.010604946300000001,,Single Gene iModulon 9,Single Gene
37,Rv3095,False,0.0102476997,Rv3095,iModulon labeled with predicted regulon with unknown function,Unknown Function
60,Rv0681,False,-0.0096765583,Rv0681,"Transcription with previously unknown function, regulates core fatty acid response",Unknown Function
48,Leucine Related,False,0.009065092700000001,,Manually annotated iModulon with gene related to leucine metabolism,Amino Acids
64,Mce1R,False,-0.008574348,mce1R,Transcription factor that regulates the mce1 virulence operon,Virulence/Persistence
46,Rv2621c,False,0.0083083468,Rv2621c,iModulon labeled with predicted regulon with unknown function,Unknown Function
54,Unc_7,False,0.0082928147,,Uncharacterized iModulon 7,Uncharacterized
3,PyrR,False,-0.0081738122,pyrR,Transcription factor that regulates the expression of pyrimidine nucleotide operons,Nucleic Acids
62,Rv2488c,False,0.0080352266,Rv2488c,LuxR family transcription factor that regulates genes associated with virulence,Virulence/Persistence
69,Rv0135+Rv1019,False,0.0079070344,Rv0135c and Rv1019,iModulon that maps to the intersection of the Rv0135c and Rv1019 regulons,Nucleic Acids
56,Fatty Acid Biosynthesis,False,-0.007887803,trcR and Rv1776c and whiB4 ,"iModulon that maps to the intersection of the Rv1033c, Rv1776c, and Rv3681c regulons",Fatty Acid/Cholestrol
12,Mycofactocin Synthesis Pathway,False,0.0077852398000000005,,Manually annotated iModulon that captures multiple genes associated with mycofactocin metabolism,Fatty Acid/Cholestrol
31,ArgR,False,-0.0077676870000000005,argR,Transcription factor that regulates the L-arginine biosynthesis pathways,Amino Acids
74,SG_12,False,0.0072963821,,Single Gene iModulon 12,Single Gene
79,WhiB4/IdeR,False,0.0071637974000000005,whiB4 or ideR,iModulon that maps to the union of the Rv3681c and Rv2711 regulons,Redox
13,SG_1,False,-0.0063066317,,Single Gene iModulon 1,Single Gene
26,EspL KO,False,-0.0063030134,,Single Gene iModulon that captures EspL knockout,KO
58,Zur,False,-0.0058388649,zur,Transcription factor that is activated by and regulates the metabolism of zinc,Metal Related
32,Unc_3,False,-0.0048662104,,Uncharacterized iModulon 3,Uncharacterized
29,Blal,False,0.0047376962000000005,blaI,"Transcription regulator that regulates genes associated with antibiotic transport, detoxification, and cell wall function",Antibiotic
