sample,Rv3172c
SRX3995807,0.0900071607
SRX3995806,0.0402297317
SRX3995809,-0.0569178446
SRX3995808,-0.2503679588
SRX4619048,0.18915978590000002
SRX4619047,-0.1318261127
SRX4619049,-0.2273643988
SRX4619050,-0.2770387615
SRX3995804,-0.1351152683
SRX3995805,0.1351152683
SRX5089845,1.2417215896
SRX5089844,1.2779359465
SRX5089860,-0.0293213521
SRX5089859,0.0449727264
SRX5089858,-0.0156513743
SRX5089854,1.9844175614
SRX5089853,2.2365852404
SRX5089852,2.2342423241000002
SRX5089856,0.8162244102
SRX5089855,0.7961743415
SRX5089857,0.7988581977
SRX5089868,0.7779599492
SRX5089866,1.0226559445
SRX5089867,0.6389423913000001
SRX5089870,0.2712992688
SRX5089869,0.3485290338
SRX5089871,0.1984346673
SRX5089846,2.7473177797
SRX5089848,3.1637599475
SRX5089847,3.0076878679
SRX5089849,1.0336598755
SRX5089850,0.8226435754
SRX5089851,0.9230562765
SRX5089863,0.551591854
SRX5089861,0.9044323877
SRX5089862,0.9174201387
SRX5089865,0.0736397943
SRX5089864,0.3738324038
SRX5388955,-0.0239597054
SRX5388957,-0.0060154743
SRX5388954,0.0583032182
SRX5388956,-0.0283280385
SRX5388960,-0.7188530067000001
SRX5388961,-0.4278308569
SRX5388959,-0.6940995718
SRX5388958,-0.6284672762
SRX5388964,-0.816939001
SRX5388965,-0.4166219816
SRX5388962,-0.18371581350000002
SRX5388963,-0.6691213688000001
SRX6889335,0.0245387198
SRX6889333,-0.0245387198
SRX6810002,0.3680497796
SRX6810004,-0.4044408295
SRX6810003,0.0363910499
SRX6810006,1.2127296502
SRX6810005,1.0485411007
SRX6810007,1.1862077725
ERX1818322,-0.2865527607
ERX1818321,0.2865527607
SRX2617830,0.6549985821000001
SRX2617831,0.6960633629
SRX2617833,0.5919524673000001
SRX2617832,0.5299346511
SRX2617828,0.0446982334
SRX2617827,-0.0046523693000000005
SRX2617829,-0.0400458641
SRX3456119,-0.054674644800000005
SRX3456118,-0.16489775310000002
SRX3456117,-0.039067660000000004
SRX3456101,-0.14145918030000001
SRX3456099,0.2883914382
SRX3456100,-0.1469322579
SRX3456107,-0.9479819882
SRX3456105,-0.37940745410000004
SRX4374122,-0.8997413196
SRX4374121,-0.6969116316
SRX4374123,-0.9853761688
SRX4374124,0.23991751890000002
SRX4374125,-0.20461126470000002
SRX4374126,-0.0353062542
SRX4374127,-0.1022242752
SRX4374128,0.1869038081
SRX4374129,-0.4979642996
SRX4374130,-0.2634666851
SRX4374132,-0.8095654826
SRX4374131,-0.6942074089
SRX4374133,-0.789427372
SRX4374135,-1.5860562488
SRX4374134,-1.0701833083
SRX4374138,-0.33756350690000003
SRX4374136,0.1934374654
SRX4374137,-0.0212753758
SRX1091379,1.0504664002
