sample,Rv3312b
SRX3995807,-0.6606418584
SRX3995806,-0.7671342844
SRX3995809,-0.9378241615
SRX3995808,-0.6708329858000001
SRX4619048,-0.7424108743000001
SRX4619047,-1.0796141266000001
SRX4619049,-0.9316596060000001
SRX4619050,-0.7056689207
SRX3995804,-0.1726643706
SRX3995805,0.1726643706
SRX5089845,-1.2504543302
SRX5089844,-1.6715281793
SRX5089860,-0.1972004615
SRX5089859,-0.10807668840000001
SRX5089858,0.3052771499
SRX5089854,-2.9403649179
SRX5089853,-3.4667933407
SRX5089852,-3.1252859495
SRX5089856,-1.7934311026
SRX5089855,-1.9498810369
SRX5089857,-1.7040641825
SRX5089868,-0.9856754767
SRX5089866,-1.3927903252
SRX5089867,-1.3510910748
SRX5089870,-0.0443498795
SRX5089869,-0.022324869100000002
SRX5089871,-0.2088084819
SRX5089846,-3.3642940634
SRX5089848,-2.1385893566
SRX5089847,-2.8544019938
SRX5089849,-1.2815083754
SRX5089850,-1.2533365712
SRX5089851,-1.2190888182
SRX5089863,-0.5887482427
SRX5089861,-0.5857535393000001
SRX5089862,-0.7556108999000001
SRX5089865,0.7734712859
SRX5089864,0.6576061058
SRX5388955,-0.3182436916
SRX5388957,0.0896580951
SRX5388954,0.07360011600000001
SRX5388956,0.1549854805
SRX5388960,-2.8659548381
SRX5388961,-2.4134103794
SRX5388959,-2.519564945
SRX5388958,-2.4024554696
SRX5388964,-1.0583341264
SRX5388965,-0.7387246947
SRX5388962,-1.0684628895
SRX5388963,-1.0432401366
SRX6889335,0.3730379106
SRX6889333,-0.3730379106
SRX6810002,0.1825991536
SRX6810004,-0.2569871694
SRX6810003,0.0743880158
SRX6810006,-1.7061151127
SRX6810005,-1.9959516880000001
SRX6810007,-1.7829629906000002
ERX1818322,0.37181178730000003
ERX1818321,-0.37181178730000003
SRX2617830,-0.22350591900000003
SRX2617831,-0.3333654897
SRX2617833,-0.4140206762
SRX2617832,-0.5738066443000001
SRX2617828,-0.1309420382
SRX2617827,0.0800348641
SRX2617829,0.0509071741
SRX3456119,-1.7000410937
SRX3456118,-1.7000410937
SRX3456117,-1.7000410937
SRX3456101,0.299249688
SRX3456099,1.4007914057
SRX3456100,-1.7000410937
SRX3456107,4.1502861269
SRX3456105,4.866778351
SRX4374122,-0.3438153633
SRX4374121,-0.2180929452
SRX4374123,-0.46809806800000003
SRX4374124,0.5135371923000001
SRX4374125,-0.4124110664
SRX4374126,-0.1011261259
SRX4374127,-0.9401518428000001
SRX4374128,-0.7604044716
SRX4374129,-0.6221456289
SRX4374130,-0.39999598280000004
SRX4374132,-1.3680119149
SRX4374131,-1.0732743558
SRX4374133,-0.4457544881
SRX4374135,-2.1813422263
SRX4374134,-1.3574651574
SRX4374138,-0.6576159045000001
SRX4374136,0.058741497000000004
SRX4374137,-0.9533645221
SRX1091379,1.3095010996
SRX1091380,1.1543689476
SRX1091377,0.30200134840000004
SRX1091378,-0.30200134840000004
SRX4647145,0.0706367329
SRX4647146,0.13854008580000002
SRX4647147,0.0167885849
SRX4647144,0.018602290400000002
SRX4647143,0.0046654506
SRX4647142,-0.0232677409
SRX4647155,-2.7193305929
SRX4647152,-2.3852471477
SRX4647153,-2.4920556808
SRX4647154,-2.6726646560000002
SRX4647148,-2.1244686183
SRX4647149,-2.3837005362
SRX4647151,-2.360266811
SRX4647150,-2.1697483733
SRX4647123,0.218702526
SRX4647124,0.0151838039
SRX4647125,-0.2338863299
SRX3103185,-0.1774598923
SRX3103189,0.6683135496
SRX3103187,-0.7578568809
SRX3103184,0.4692081406
SRX3103188,-0.7578568809
SRX3103186,0.2886487403
SRX1372110,-1.1632993985
SRX1372111,-1.4314247823000001
SRX1372108,0.1099014948
SRX1372109,-0.1099014948
SRX4506085,0.007986004100000001
SRX4506083,-0.0019350758000000001
SRX4506089,0.0515752107
SRX4506087,0.11740007670000001
SRX4506077,-0.0551264438
SRX4506079,0.0957259532
SRX4506075,-0.0006923409
SRX4506081,-0.0399071685
SRX4506084,-1.7765391681
SRX4506086,-1.7251273241
SRX4506088,-1.624007544
SRX4506090,-1.5826934205
SRX4506078,-1.7330666703
SRX4506080,-1.8089659502000002
SRX4506082,-2.1713089336999998
SRX4506076,-1.5870113799999999
SRX5352221,0.2225650179
SRX5352223,0.4006518934
SRX5352222,0.17234955600000001
SRX5352229,0.5704868389000001
SRX5352227,0.6629287951
SRX5352228,0.7336541446
SRX5352231,-3.2089700142
SRX5352232,-3.6760372636
SRX5352230,-2.1939815638
