,A,sigH
R2,,0.028198921323702053
xmin,,-2.8738657449
xmid,,-0.6531608560185441
xmax,,2.5959174634
ystart,,1.849832881211955
yend,,-4.293612590236665
SRX3995807,2.233529464,0.0583772264
SRX3995806,1.7476826080999999,0.1342711997
SRX3995809,1.9501594121,0.103076394
SRX3995808,1.2726141582000001,-0.023874720800000002
SRX4619048,2.2363270801,0.0765806745
SRX4619047,1.4616650394000001,0.0151449672
SRX4619049,1.7217398951,0.0032807742000000003
SRX4619050,1.7166455323,0.2081401239
SRX3995804,0.1990838328,0.3483013232
SRX3995805,-0.1990838328,-0.3483013232
SRX5089845,2.2807816873,-0.30465752560000003
SRX5089844,2.635200379,-0.36598790200000003
SRX5089860,0.0653023592,-0.10331236020000001
SRX5089859,-0.15365418250000001,-0.042317470100000004
SRX5089858,0.08835182330000001,0.1456298303
SRX5089854,4.0423593763,-1.0073581019
SRX5089853,4.2671801785,-1.1289458684
SRX5089852,4.16487257,-0.8239116669000001
SRX5089856,2.6208497183,-1.0084564054
SRX5089855,2.5972094783,-0.7858569042
SRX5089857,2.2964869686,-1.048449355
SRX5089868,1.3788001603,-1.0660539273
SRX5089866,0.5408696564000001,-1.0405838943
SRX5089867,1.2205087917,-1.1815057387
SRX5089870,1.2513483624,-0.9422664307
SRX5089869,0.7706908973000001,-0.7348053946
SRX5089871,0.6220651535,-0.6623702048
SRX5089846,2.520679828,-0.9979356082
SRX5089848,2.6690909494,-1.089088914
SRX5089847,2.8084717312,-1.307374409
SRX5089849,2.834350253,-1.1483072521
SRX5089850,3.0635527719,-1.3428662889
SRX5089851,3.3377828319000002,-1.2229595377
SRX5089863,1.0512552394,-1.5392303591
SRX5089861,-0.1851806263,-1.4222940951
SRX5089862,0.09926336270000001,-1.5240568855
SRX5089865,3.4468721991,-1.7160331800000002
SRX5089864,3.1623723723,-1.361497108
SRX5388955,0.136928492,-0.0529820497
SRX5388957,0.27943756810000003,0.0638539899
SRX5388954,-0.31745336960000003,-0.0180583965
SRX5388956,-0.0989126905,0.0071864562
SRX5388960,4.126278515,-0.1453999322
SRX5388961,2.0703838344,-0.1533765702
SRX5388959,3.9326201586,-0.1523125876
SRX5388958,4.1832265393,-0.153426157
SRX5388964,-1.5206068138000002,-0.27789061200000004
SRX5388965,-2.3552695592,-0.2890163615
SRX5388962,-2.0450903605,-0.2133824799
SRX5388963,-1.8527161361000002,-0.2204069491
SRX6889335,-0.8505173437,0.311642762
SRX6889333,0.8505173437,-0.311642762
SRX6810002,0.23121773480000002,0.1215466719
SRX6810004,0.5398534452,-0.17407239100000002
SRX6810003,-0.77107118,0.0525257191
SRX6810006,-6.852675296,1.0457034949
SRX6810005,-5.6279355319,1.1195981661
SRX6810007,-6.4681881635,0.9646039638
ERX1818322,-0.0801879357,-0.0030573447000000003
ERX1818321,0.0801879357,0.0030573447000000003
SRX2617830,2.8612692443,0.2251996675
SRX2617831,2.8454790431,0.0479498952
SRX2617833,1.911545946,0.4758324767
SRX2617832,2.1454998734,0.3266513561
SRX2617828,-0.1261209797,-0.0347839221
SRX2617827,-0.0346387559,-0.0124380476
SRX2617829,0.1607597356,0.047221969700000005
SRX3456119,0.5677133152,-0.1861700957
SRX3456118,0.1959109775,-0.0488938271
SRX3456117,0.5880984232,-0.1553868706
SRX3456101,0.2928414842,-0.030318012000000002
SRX3456099,0.35481926420000004,-0.0251358674
SRX3456100,-0.6476607484,0.0554538794
SRX3456107,4.6343827275,-0.7322673601
SRX3456105,4.1828710684,-0.7486637583
SRX4374122,2.6195668493,-0.1349370674
SRX4374121,5.3897114519,0.0033115637000000002
SRX4374123,3.9894725309,-0.1574365249
SRX4374124,-0.7042721535,0.16614693730000002
SRX4374125,-0.5142382662,-0.0525764212
SRX4374126,1.2185104197,-0.1135705162
SRX4374127,4.1665631611,0.2194091257
SRX4374128,3.4926447544,0.1549362847
SRX4374129,2.9412753273,-0.2119390414
SRX4374130,-5.1501806749,0.2094727743
SRX4374132,-5.3446381008,-0.18084534870000002
SRX4374131,-5.0091297861,0.1751563347
SRX4374133,2.3726148238,0.1908689321
SRX4374135,-0.6963425144000001,0.11857535150000001
SRX4374134,1.4464900678000001,0.25783479330000003
SRX4374138,-7.6318375861,-0.0450639575
SRX4374136,-6.0504341861,0.0730933945
SRX4374137,-6.1332239965,0.2079123907
SRX1091379,2.9941803562000002,1.0363648464
SRX1091380,3.037367747,1.0887329643
SRX1091377,0.13020597,0.020518295000000002
SRX1091378,-0.13020597,-0.020518295000000002
SRX4647145,0.1013179746,-0.025876005900000002
SRX4647146,0.4270000362,0.0346163615
SRX4647147,0.2420793181,-0.1433063631
SRX4647144,0.0764481547,-0.009776712600000001
SRX4647143,0.079068054,0.009893688900000001
SRX4647142,-0.15551620870000002,-0.0001169762
SRX4647155,3.6221374942,0.9080463358
SRX4647152,3.6620054162,0.7354263471
SRX4647153,3.5428406733999998,0.8432966544
SRX4647154,3.6272729228,1.0545729628
SRX4647148,3.3998185203,0.6572211906000001
SRX4647149,3.3235518159,0.6604507003
SRX4647151,3.6114190662,0.6498305268
SRX4647150,3.4484851848,0.5611080664
SRX4647123,-0.0813938751,-0.012342837300000001
SRX4647124,-0.0811154503,-0.050948680600000004
SRX4647125,0.16250932540000002,0.0632915178
SRX3103185,-0.5851472266000001,-0.4357673678
SRX3103189,-1.4895588251,0.059522652700000005
SRX3103187,-1.2570943087,-0.6930859921
SRX3103184,0.3455192795,-0.19431377500000002
SRX3103188,0.1560199959,0.21038820400000002
SRX3103186,-0.5015392754,-0.016074429
SRX1372110,-0.45295527550000003,-0.21264067860000002
SRX1372111,0.5169241197000001,-0.33422600880000003
SRX1372108,-1.2364754024,0.0710033959
SRX1372109,1.2364754024,-0.0710033959
SRX4506085,0.2258185702,0.083878753
SRX4506083,0.3152769677,0.1222173436
SRX4506089,0.2096801158,0.0777061465
SRX4506087,0.1800639819,0.0531844276
SRX4506077,0.1106010655,0.08959280230000001
SRX4506079,-0.1090623995,-0.0132542969
SRX4506075,-0.0791425791,-0.0198422954
SRX4506081,0.0776039132,-0.05649621
SRX4506084,1.7453304086,-0.0357211407
SRX4506086,1.4157377885,0.0621399824
SRX4506088,1.5269763056999999,-0.012383754200000001
SRX4506090,1.3017715810000001,-0.057187391500000004
SRX4506078,1.5567129103,-0.1432633297
SRX4506080,1.6621491282,-0.0150445947
SRX4506082,1.476047541,-0.0788486036
SRX4506076,1.6744805425,-0.0857839039
SRX5352221,-1.5254294399,-0.4546251188
SRX5352223,-2.2844610714,-0.5507168177
SRX5352222,-1.1316212486000001,-0.462282956
SRX5352229,-12.4389774388,-0.1954937792
SRX5352227,-12.0935937682,-0.22807724310000002
SRX5352228,-12.5737706719,-0.1428016655
SRX5352231,-10.921528943,1.4241018748
SRX5352232,-10.7975148563,1.3359149168
SRX5352230,-10.1375094528,1.3478720273
SRX5352225,-0.1621713405,-0.7303858859
SRX5352224,4.0384415678,-0.7704462573
SRX5352226,1.7623903889,-0.8057664902
SRX5352220,0.2085645107,0.061678957900000005
SRX5352219,-0.09797628550000001,-0.0415773981
SRX5352218,-0.1105882252,-0.020101559800000002
SRX4498228,0.35754256700000003,0.0344876269
SRX4498224,0.6490226141000001,0.0457478625
SRX4498230,0.18041647830000002,-0.0083630465
SRX4498226,0.4209607165,0.0257386008
SRX4498218,-0.0805870192,-0.0288592977
SRX4498216,-0.2876484545,-0.0556976016
SRX4498220,0.3330480094,0.0425261646
SRX4498222,0.0351874643,0.0420307347
SRX4498225,-0.19722319400000002,0.0683812198
SRX4498227,-0.4353257665,-0.0249643822
SRX4498231,-0.6310145396,-0.09523226230000001
SRX4498229,-0.6429376086,-0.028212458000000003
SRX4498217,-0.9210371566000001,-0.20839534740000001
SRX4498221,-0.9098311941,-0.1217991375
SRX4498219,-0.7310922948,-0.1451239158
SRX4498223,-0.7640426579,0.0059771006
SRX5079928,8.7441861678,-0.0274976892
SRX5079930,8.4350881023,-0.15807490230000001
SRX5079929,8.5271720546,-0.042264118100000005
SRX5079923,6.7156377825,0.0699982056
SRX5079924,6.3095930975,0.0184284403
SRX5079922,6.2571796343,-0.016058816
SRX5079920,0.057103166500000004,0.0189704335
SRX5079921,-0.5407966701,-0.0355433822
SRX5079919,0.4836935037,0.0165729487
SRX5079926,8.9626720954,-0.0290583648
SRX5079925,8.7200781349,-0.0486094356
SRX5079927,9.2191488337,-0.0414840152
SRX894005,0.11692003520000001,-0.7931579554
SRX894004,1.4640397728,-0.7343046721
SRX894006,0.8736139472000001,-0.7519751394
SRX893999,0.1972253262,0.0967690538
SRX894000,-0.1642363255,-0.002329587
SRX893998,-0.0329890007,-0.0944394669
SRX4647489,-0.022570743,0.0498194433
SRX4647490,0.022570743,-0.0498194433
SRX4647492,-0.5058083361,-0.06814848230000001
SRX4647491,-0.7306899903,-0.1359634754
SRX4647496,-0.1123179582,0.0769037231
SRX4647495,-0.352022139,0.0814377691
SRX4647499,-0.023602005500000002,0.0112047815
SRX4647500,-0.6149400209,0.0787769601
SRX4647493,1.9497320975,-0.23205702900000003
SRX4647494,2.0028158679,-0.1542546139
SRX4647497,0.1658370347,0.0036790549
SRX4647498,-0.608615962,0.1002273226
SRX4505482,-0.5544735837,0.0761798099
SRX4505486,-0.7019725166,-0.17306676040000002
SRX4505484,-0.3844874105,0.1726134509
SRX4505473,-1.1024887663,-0.1430096126
SRX4505476,0.0045822753,0.0241771562
SRX4505480,0.00960224,-0.0646914179
SRX4505478,0.057902792,-0.0349254378
SRX4505474,-0.0720873073,0.0754396995
SRX4505483,1.2648865842,0.8274727872000001
SRX4505485,0.9326602222,0.9000766356000001
SRX4505487,1.3918857996,1.001123085
SRX4505488,1.2700288154,0.8587893791000001
SRX4505481,0.9847883158,1.0156436773
SRX4505477,1.2114619897,0.8659947881000001
SRX4505475,1.4836218279,0.9057740701
SRX4505479,1.1089553229,1.0045860461
SRX4605773,0.5930736466000001,0.0019032550000000002
SRX4605774,0.6173558429,-0.0630600332
SRX4605772,-0.0244067112,0.0356054332
SRX4605771,0.0244067112,-0.0356054332
SRX5178871,2.4393221482,0.038013332000000004
SRX5178872,1.2397741942,0.1176608574
SRX5178868,-0.24816878280000002,-0.1752873255
SRX5178870,0.3974563809,0.0308250441
SRX5178869,-0.1492875981,0.1444622814
ERX1404045,0.1319582775,-0.0192651948
ERX1404046,-0.1319582775,0.0192651948
ERX1404043,2.2858575085,-0.1358874111
ERX1404044,2.6209952279,-0.041261863600000004
ERX237502,-1.9992623947000001,-1.6683731636
ERX237505,-1.9911178315,-1.2628821633
ERX237506,-2.0863076391,-1.803821046
ERX237500,11.5041030144,-2.7226806938
ERX237497,9.8613250377,-2.8738657449
