,A,ricR
R2,,0.5800096980021099
xmin,,-3.1308271506
xmid,,-2.585205476560273
xmax,,3.0603787899
ystart,,-11.964296429147495
yend,,16.338090792251684
SRX3995807,-4.4066528586,-0.4366587921
SRX3995806,-4.3176372823,0.21442425310000002
SRX3995809,-5.3579100492,-0.0374219789
SRX3995808,-5.7457061622,0.22579717500000002
SRX4619048,-4.6736436427,-0.280976014
SRX4619047,-5.2594528428,0.2147512725
SRX4619049,-5.6110524886,-0.2094931925
SRX4619050,-4.9513151093,-0.4021448311
SRX3995804,1.9748805809,0.2351097526
SRX3995805,-1.9748805809,-0.2351097526
SRX5089845,-4.3435903808,-0.3546932486
SRX5089844,-3.7970264276,-0.53635183
SRX5089860,0.3954435951,0.1193228102
SRX5089859,0.3311181635,0.1180383559
SRX5089858,-0.7265617586,-0.23736116610000002
SRX5089854,-2.8193158151,0.0833955135
SRX5089853,-2.5637930022,0.1659011436
SRX5089852,-2.4319001497,0.3818782718
SRX5089856,-4.9458995887,-0.2866993816
SRX5089855,-4.9526204867,-0.0796083851
SRX5089857,-5.1626582914,-0.19758315880000002
SRX5089868,-2.2467445585,0.6594485336
SRX5089866,-1.4252271002,0.4644893909
SRX5089867,-0.6658698919,0.5801951029
SRX5089870,-2.3882002011,-0.16517770950000002
SRX5089869,-2.8216248953000003,-0.28046397630000003
SRX5089871,-1.8381732254,0.0194930097
SRX5089846,-2.0800160997,-0.0715047801
SRX5089848,-1.9189301591,-0.033083699200000004
SRX5089847,-1.8326066267,-0.3113660566
SRX5089849,-8.9779285833,-0.9416378933
SRX5089850,-9.484090853,-0.8595260299
SRX5089851,-8.907962134,-0.6997861546
SRX5089863,-2.2190853678,0.1744391102
SRX5089861,-1.9326581267,0.2276924378
SRX5089862,-2.1627670419,0.3725728049
SRX5089865,-7.8811933165,-0.7367868665
SRX5089864,-7.982113486,-1.1410402477
SRX5388955,-0.1788210724,-0.0655208944
SRX5388957,-0.1500120556,0.045152103000000006
SRX5388954,0.17895888440000002,-0.0423604361
SRX5388956,0.1498742437,0.0627292275
SRX5388960,7.1514287651,2.5892169693
SRX5388961,7.7156109085,2.8300402602
SRX5388959,7.0637411091,2.4874191045
SRX5388958,7.0052084277,2.5090360358
SRX5388964,8.1877980845,2.0119186974
SRX5388965,7.8874892788,1.9803992477
SRX5388962,7.7900742791,1.9066385391
SRX5388963,8.0739986631,2.0178397891
SRX6889335,1.2615299528000001,-0.47567691230000003
SRX6889333,-1.2615299528000001,0.47567691230000003
SRX6810002,-0.06524110550000001,0.0210545158
SRX6810004,-0.4349709156,-0.008387575100000001
SRX6810003,0.5002120211000001,-0.0126669408
SRX6810006,4.8762602356,0.8106545202000001
SRX6810005,4.5033776286,0.9718716916000001
SRX6810007,4.9086153774,0.9376448909
ERX1818322,-1.1580428239,-0.0929071284
ERX1818321,1.1580428239,0.0929071284
SRX2617830,-1.3429238555,0.3126165871
SRX2617831,-1.1288465838,0.1595802143
SRX2617833,2.842017534,0.9781773868
SRX2617832,3.1538929082,0.5543270645
SRX2617828,-0.1044055163,0.0202052147
SRX2617827,0.0764323882,0.11574773420000001
SRX2617829,0.0279731281,-0.1359529488
SRX3456119,-0.0139668571,-0.32730149810000003
SRX3456118,-0.544037459,-0.2223659027
SRX3456117,0.28344553310000004,-0.3814179767
SRX3456101,0.3357338721,-0.1181746065
SRX3456099,-0.3784510343,0.09201884540000001
SRX3456100,0.0427171622,0.0261557611
SRX3456107,-15.4001799568,-1.6369840608000001
SRX3456105,-14.5483187104,-1.8977911834999999
SRX4374122,-1.1260793414,0.17098987200000001
SRX4374121,-1.5081764289000001,-0.0080063281
SRX4374123,-0.3967230048,-0.06366180760000001
SRX4374124,-0.6789763913,0.0957644436
SRX4374125,0.4430398759,-0.0242579801
SRX4374126,0.23593651540000002,-0.0715064635
SRX4374127,-1.58171843,-0.12923679200000002
SRX4374128,-2.4811341685,0.0520322843
SRX4374129,0.2866009644,-0.0747554395
SRX4374130,1.3711771127999999,0.1987276453
SRX4374132,2.4440109926,-0.0892671559
SRX4374131,1.1148747882,-0.0215567835
SRX4374133,-1.1858295845,0.2848147377
SRX4374135,1.0152758149,-0.18737261330000002
SRX4374134,-0.3481371687,0.2287075057
SRX4374138,1.7215284242000002,-0.2566621779
SRX4374136,0.0109422326,-0.12067265220000001
SRX4374137,0.0239395649,-0.33669106060000004
SRX1091379,2.7479390255,0.8053850244
SRX1091380,2.7234239668,0.8007376054
SRX1091377,-0.0101319817,0.0082466074
SRX1091378,0.0101319817,-0.0082466074
SRX4647145,-0.2839799697,-0.08786816310000001
SRX4647146,0.0989749107,-0.09785218100000001
SRX4647147,-0.1315896883,-0.0884845076
SRX4647144,-0.1335126226,-0.0181447569
SRX4647143,0.0713634054,0.0138355545
SRX4647142,0.0621492172,0.0043092025
SRX4647155,7.5122893059999996,1.2590780205
SRX4647152,7.3699577342,1.135657463
SRX4647153,7.3614034078,1.2361390184
SRX4647154,7.9755297868,1.196730697
SRX4647148,5.5739722309,0.7725833574000001
SRX4647149,5.2871082904,0.7380246899
SRX4647151,5.3450657314,0.7851517799000001
SRX4647150,5.3061673688,0.8208285580000001
SRX4647123,0.11411838760000001,-0.0654600037
SRX4647124,-0.2968182233,0.07313456460000001
SRX4647125,0.1826998357,-0.0076745609
SRX3103185,-0.47479457210000003,0.17153899720000002
SRX3103189,0.6494223221000001,0.5729233258
SRX3103187,0.8372960699,0.191097323
SRX3103184,-0.1471401483,0.1563991006
SRX3103188,0.0596919707,-0.203311449
SRX3103186,0.08744817760000001,0.046912348400000005
