,A,bkaR
R2,,0.1903852064255277
xmin,,-2.8000344539
xmid,,-0.4845956860615477
xmax,,2.4241165004000003
ystart,,-1.253722267670236
yend,,6.299054192878455
SRX3995807,0.8623280092000001,-0.7578755405000001
SRX3995806,1.5957841509000001,0.4023096371
SRX3995809,1.0293367654,-0.342734496
SRX3995808,1.6896993249,0.6190850352
SRX4619048,1.1350776959,-0.3204690859
SRX4619047,1.7693889826,0.7275574794
SRX4619049,2.2066116144,-0.0442587287
SRX4619050,1.7288569159,-0.109961552
SRX3995804,1.0041272385,-0.2226907243
SRX3995805,-1.0041272385,0.2226907243
SRX5089845,-2.9420849737,-0.4241220775
SRX5089844,-3.2560440802,-0.57355659
SRX5089860,-0.053710852,0.0568804245
SRX5089859,0.6661618731000001,0.0029319068
SRX5089858,-0.6124510211,-0.0598123313
SRX5089854,-0.6876248389,-0.0318037524
SRX5089853,-0.6564877168000001,0.0035213214
SRX5089852,-0.3165227905,0.0066801878
SRX5089856,-7.0082714904,-0.8178302451
SRX5089855,-7.6889923189000005,-0.9207366353
SRX5089857,-6.8451068242,-0.7960870091000001
SRX5089868,1.3409438335,-0.44410471370000004
SRX5089866,1.4786022828,-0.20086694930000001
SRX5089867,1.9177424528,-0.2503701653
SRX5089870,-7.1015070748,-0.8543539567
SRX5089869,-6.8440413403,-0.8385805657000001
SRX5089871,-5.598044161,-0.5439419926
SRX5089846,-4.0109190098,-0.7996494214000001
SRX5089848,-3.4112198474,-0.7796476587000001
SRX5089847,-3.7953845549,-0.9029116760000001
SRX5089849,-7.248536981,-0.9093281341
SRX5089850,-7.2262401039,-0.6481743506000001
SRX5089851,-6.5470766784,-0.6653616021000001
SRX5089863,-1.5658973300999999,-0.6876362766
SRX5089861,-1.0204210846,-0.8045728630000001
SRX5089862,-0.9455080591,-0.9741922375000001
SRX5089865,-6.6572174728,-0.9831758638
SRX5089864,-7.01376172,-0.9971008392
SRX5388955,-0.08091954100000001,-0.1911068541
