,A,mce3R
R2,,0.16582232901249538
xmin,,-2.1506179613
xmid,,-0.5053305833293099
xmax,,2.0222009208
ystart,,-2.5307587067345656
yend,,5.847310591323661
SRX3995807,0.4991171042,0.3694331965
SRX3995806,0.45283948890000003,0.5267751608
SRX3995809,1.1123242580000001,0.1400746478
SRX3995808,0.9665865433,0.33565904690000004
SRX4619048,0.4746693611,0.2598479499
SRX4619047,0.7911064152,0.4743521083
SRX4619049,1.7479124023,0.0807200337
SRX4619050,1.1925215225999999,0.1223328286
SRX3995804,0.7455433723,-0.0029733017
SRX3995805,-0.7455433723,0.0029733017
SRX5089845,-0.08274350820000001,-0.0933121558
SRX5089844,-0.6148441126,-0.09767613010000001
SRX5089860,0.0487429058,-0.046387049900000005
SRX5089859,0.025136127,-0.0080691548
SRX5089858,-0.07387903280000001,0.054456204700000004
SRX5089854,-1.0522390307,-0.16011360900000002
SRX5089853,-1.699957891,-0.2565049054
SRX5089852,-1.6887073389,-0.47962007910000004
SRX5089856,-3.4341071969,-0.1775654451
SRX5089855,-3.7716075903,-0.2980403951
SRX5089857,-3.0991001785,-0.1136269501
SRX5089868,-2.9084264556,-0.0901966458
SRX5089866,-2.7313068337,-0.0535169457
SRX5089867,-3.0672054989,-0.1268214806
SRX5089870,-5.8029436315,0.0529727116
SRX5089869,-5.71242554,0.0004279462
SRX5089871,-5.5688556604,0.0536462835
SRX5089846,-5.7477905656,-0.4685356111
SRX5089848,-5.4897961345,-0.542412593
SRX5089847,-5.7059212951,-0.5446151829
SRX5089849,-4.7618568199,-0.11394952700000001
SRX5089850,-5.0192025088,-0.16172524400000002
SRX5089851,-4.4117867743,-0.2469957012
SRX5089863,-5.5230404728,-0.0907613086
SRX5089861,-5.0245448999,-0.0588574378
SRX5089862,-5.3189012231,-0.0764993332
SRX5089865,-4.6008106257,0.030122807
SRX5089864,-4.3609560578,0.15693377220000002
SRX5388955,-0.43481271790000003,-0.1033618817
SRX5388957,-0.1694824707,0.0355477538
SRX5388954,0.3602051269,-0.0088293498
SRX5388956,0.2440900617,0.0766434777
SRX5388960,2.0085450557,-0.2099279051
SRX5388961,2.7948713097,-0.0131446414
SRX5388959,2.2118803461,-0.1295804854
SRX5388958,2.0785855221,-0.2072589983
SRX5388964,2.6679426945999998,-0.32753496390000003
SRX5388965,3.4072832287,-0.2131909236
SRX5388962,3.4089066235,-0.0732504522
SRX5388963,2.8296972206,-0.1721517075
SRX6889335,-0.9655186983,-0.1119742952
SRX6889333,0.9655186983,0.1119742952
SRX6810002,-0.3816609434,0.013887808100000001
SRX6810004,0.8773134265,-0.0675774605
SRX6810003,-0.49565248310000004,0.0536896523
SRX6810006,-5.1681154918,0.1578296633
SRX6810005,-4.5493866989,0.4220137258
SRX6810007,-4.5796741056,0.39748978090000003
ERX1818322,0.4858671746,0.21056195830000002
ERX1818321,-0.4858671746,-0.21056195830000002
SRX2617830,-4.1106624076,-0.2140978007
SRX2617831,-3.7031897217000003,-0.11730206060000001
SRX2617833,-1.6751687428,-0.6154506908
SRX2617832,-1.2157444466,-0.3926923694
SRX2617828,0.0541995188,0.07185169350000001
SRX2617827,-0.3690372062,0.0909984876
SRX2617829,0.3148376874,-0.16285018110000002
SRX3456119,-0.2462776523,-0.28779077480000004
SRX3456118,0.7824640562,0.303520012
SRX3456117,-0.5785905389,0.21909080490000002
SRX3456101,0.8817609725000001,0.050585246
SRX3456099,-1.3539386849000001,0.22305211200000002
SRX3456100,0.4721777125,-0.273637358
SRX3456107,-5.2361609915,1.0217615276
SRX3456105,-5.6673625905,0.7528418105
SRX4374122,3.1882479981,-0.259918973
SRX4374121,3.7730381995,-0.1369223691
SRX4374123,3.2534107161,-0.38058432280000004
SRX4374124,-0.06755847,-0.1031797839
SRX4374125,0.0968831324,-0.0368760358
SRX4374126,-0.0293246624,0.1400558197
SRX4374127,-1.7398301856,-0.1726504879
SRX4374128,-2.5975845257,-0.10465737230000001
SRX4374129,-2.4333410179,-0.2714173134
SRX4374130,-1.1947938148000001,-0.6672326358
SRX4374132,-2.8729082386,-0.7461644502
SRX4374131,-2.1079186779,-0.4585382756
SRX4374133,-1.6749548896,-0.21067293010000002
SRX4374135,-2.5070585749000003,-0.2119820583
SRX4374134,-2.4833629345,-0.2561255712
SRX4374138,-4.2672379713,-0.7925984792
SRX4374136,-3.7338784438,-0.7059390758
SRX4374137,-3.7752975483,-0.5487962069
SRX1091379,1.6149333308,-0.24785257400000002
SRX1091380,1.4954576249,-0.024020415200000002
SRX1091377,-0.07421340080000001,0.050270507900000004
SRX1091378,0.07421340080000001,-0.050270507900000004
SRX4647145,-0.3233511404,0.018221654900000002
SRX4647146,-0.22853771950000001,0.042335463000000004
SRX4647147,-0.20194471890000001,0.0283704738
SRX4647144,0.067334146,0.08452840880000001
SRX4647143,-0.12575269390000002,0.0145898886
SRX4647142,0.0584185479,-0.0991182974
SRX4647155,-3.3763044188,0.3361204962
SRX4647152,-3.4256644896,0.3062273109
SRX4647153,-3.348610934,0.3620770085
SRX4647154,-3.8920079944,0.1017631563
SRX4647148,-4.47562785,0.2364082951
SRX4647149,-4.2389437643,0.3464013016
SRX4647151,-4.4916658635,0.44017760380000004
SRX4647150,-4.0779495996,0.4222615443
SRX4647123,0.021973411,-0.0908911273
SRX4647124,0.1070825861,0.0759232564
SRX4647125,-0.12905599710000001,0.014967870900000001
SRX3103185,-0.9903039144,0.0651414035
SRX3103189,-0.3872970967,-0.07217808070000001
SRX3103187,-1.4165741575,-0.7017013075
SRX3103184,0.1755126459,-0.011947365100000001
SRX3103188,0.3967050152,0.3238472941
SRX3103186,-0.5722176611,-0.3118999289
SRX1372110,-2.9357224214,0.0935839197
SRX1372111,-1.5954701034,0.4157214556
SRX1372108,1.2540670226000001,-0.0840825674
SRX1372109,-1.2540670226000001,0.0840825674
SRX4506085,0.13693878410000002,0.04062391
SRX4506083,0.3924296896,0.2050791989
SRX4506089,0.36280546140000003,0.0676381049
SRX4506087,0.5700115597000001,0.1354645704
SRX4506077,0.0432210717,-0.1409710355
SRX4506079,0.4116443174,0.079744882
SRX4506075,-0.3638126351,-0.0795849453
SRX4506081,-0.091052754,0.1408110988
SRX4506084,-2.7015653532,0.5584713597000001
SRX4506086,-2.0302974757,0.677770811
SRX4506088,-2.2465154092,0.5365915934000001
SRX4506090,-1.9387813912,0.5117240474
SRX4506078,-0.973394321,0.5689702408
SRX4506080,-1.2281352599,0.5701920975
SRX4506082,-1.1007877773,0.7089356769
SRX4506076,-1.2302784351,0.5162862976
SRX5352221,0.3169081379,-0.9362708951000001
SRX5352223,1.3906301192,-0.7683506981
SRX5352222,2.0999538453,-0.5188232887
SRX5352229,-3.6626552671,0.0421369333
SRX5352227,-3.7012359417000003,0.0763231047
SRX5352228,-3.8310188086,0.0660632899
SRX5352231,13.7182654942,-2.0040818831
SRX5352232,13.5012022446,-1.2867573585
SRX5352230,14.1863515589,-2.1506179613
SRX5352225,3.4088782611,-0.771824716
SRX5352224,2.7645424126,-0.5641793048
SRX5352226,3.1229945491,-0.7329207471
SRX5352220,0.0098917856,0.0005019358000000001
SRX5352219,-0.2450211444,0.0276063055
SRX5352218,0.2351293589,-0.0281082413
SRX4498228,0.1666518576,0.17090976400000002
SRX4498224,0.2572893334,0.21943906700000002
SRX4498230,0.1834764768,-0.13440586870000001
SRX4498226,0.1321158816,0.1321203498
SRX4498218,-0.11216000890000001,0.1198426971
SRX4498216,0.3067305148,-0.2319664247
SRX4498220,0.1760135422,0.3204553316
SRX4498222,-0.3705840481,-0.2083316039
SRX4498225,-0.5090600738000001,0.0647446542
SRX4498227,-0.8692508123,0.0627746788
SRX4498231,-0.7002714883000001,-0.0159867507
SRX4498229,-0.5880867271,0.09835524500000001
SRX4498217,0.039836155500000005,-0.12928636870000002
SRX4498221,-0.38305194060000003,-0.0036883532
SRX4498219,-0.16793511760000002,0.0452743537
SRX4498223,0.1867718189,0.1138822089
SRX5079928,-1.976945888,-0.7442669354
SRX5079930,-1.9645440507,-0.64465236
SRX5079929,-2.0815930949,-0.7306726142000001
SRX5079923,-1.7099583064,-0.2615463356
SRX5079924,-2.0518468132,-0.7861032658
SRX5079922,-1.3298264649,-0.4989534008
SRX5079920,0.0526011908,0.1425664942
SRX5079921,-0.5680960182,-0.20781456880000002
SRX5079919,0.5154948274,0.0652480746
SRX5079926,-2.1436180085,-0.41699838370000003
SRX5079925,-1.7683914849,-0.48925375390000003
SRX5079927,-2.2174832088,-0.4707313548
SRX894005,6.5901555916,1.0026666011
SRX894004,6.4891223699000005,1.0244276014
SRX894006,5.5973151725,1.33097229
SRX893999,-0.3007417295,-0.2572839465
SRX894000,0.4172571011,0.1025131839
SRX893998,-0.1165153716,0.1547707626
SRX4647489,-0.4763231553,0.0102932456
SRX4647490,0.4763231553,-0.0102932456
SRX4647492,-0.074571696,-0.0628892733
SRX4647491,0.0236656745,-0.0937506967
SRX4647496,-3.4920021672,0.1965186961
SRX4647495,-3.2596229558,0.09128509630000001
SRX4647499,-2.7844125974000002,0.15578109040000002
SRX4647500,-2.9113543043,0.0953759532
SRX4647493,-4.2671269634,0.1201725122
SRX4647494,-4.6423699459000005,-0.0477658147
SRX4647497,-2.8949214082,0.18251228660000002
SRX4647498,-3.0276661233,0.0272655833
SRX4505482,-0.3396785565,-0.2003859392
SRX4505486,0.017060315,-0.1417956286
SRX4505484,-1.4590762059,-0.4167264505
SRX4505473,-0.3136360179,-0.2934057026
SRX4505476,0.21175267320000002,0.12393389960000001
SRX4505480,0.0430853271,-0.1955453624
SRX4505478,-0.5725700629,0.12894687400000002
SRX4505474,0.31773206260000003,-0.0573354113
SRX4505483,-1.6082548162,0.038327914500000004
SRX4505485,-1.9008800471,-0.0007395232
SRX4505487,-1.5661240479,0.0976329752
SRX4505488,-1.5636446626,0.1352746587
SRX4505481,-1.7222550566,0.1076046309
SRX4505477,-1.4872859135,0.0919982713
SRX4505475,-1.8855254417,0.3337939059
SRX4505479,-1.7437451758,-0.14560923080000002
SRX4605773,-0.1934637797,-0.0268686339
SRX4605774,0.46426016130000003,0.0969632121
SRX4605772,0.1396610844,-0.0412497557
SRX4605771,-0.1396610844,0.0412497557
SRX5178871,-0.3279860872,0.0664001987
SRX5178872,1.0552622791,0.1572759682
SRX5178868,-0.41126812890000003,0.0756766599
SRX5178870,0.1260461225,0.0787061943
SRX5178869,0.2852220064,-0.1543828541
ERX1404045,0.0045205805,-0.0649170541
ERX1404046,-0.0045205805,0.0649170541
ERX1404043,-0.1222410626,-0.2224782515
ERX1404044,-0.5447494834000001,0.0810122216
ERX237502,-0.5827689249,-0.9273363799000001
ERX237505,-0.202516194,-0.327255116
ERX237506,-0.9737987108,-0.8540312982
ERX237500,4.7602102849,0.055109853900000005
ERX237497,4.6826047808,0.0420887801
ERX237499,4.0402478719,0.2829399099
ERX237507,0.7298112656,-0.3577340805
ERX237496,-1.1061803567,-0.18518560010000001
ERX237504,0.3763690911,0.5429196805000001
ERX3772318,0.6821960016,0.39907401810000004
ERX3772320,0.9197008537,0.3407788974
ERX3772319,1.8847364347000002,0.45013576110000003
ERX3772321,-1.6014459124,-0.18345196390000001
ERX3772322,0.4194181104,-0.1766920434
ERX3772323,1.1820278021,0.3601440073
SRX4314262,-0.7400186633,-0.1268996763
SRX4314263,-0.5629893745,-0.25367662280000003
SRX4314261,1.3030080378,0.3805762992
SRX4314265,-1.0793480482,-0.1466449001
SRX4314266,0.9901871755,0.2011747076
SRX4314264,-3.0139508457,0.0104742541
SRX4314268,-8.4212117539,-0.2933778335
SRX4314267,-8.066204071,-0.2806266465
SRX4314271,-9.6402548152,-0.6161128757000001
SRX4314272,-10.0566890336,-0.5154883886
SRX4314275,-11.4376137634,-0.5052133118000001
SRX4314274,-10.3209432137,-0.5011672776
SRX4314273,-10.9273341549,-0.5416224040000001
SRX4314278,-9.9657442599,-0.8203589516
SRX4314276,-10.5246572492,-0.4431712749
SRX4314281,-11.144849885,-0.5068456398
SRX4314279,-12.1105296624,-0.7494333017
SRX4314280,-10.1667372035,-0.6866230104000001
SRX4314284,-11.6331983341,-0.8650968667000001
SRX4314283,-11.4735185228,-0.8860345806000001
SRX4314282,-11.585647508,-0.490800092
SRX4314293,-8.1513477886,-0.9621284492000001
SRX4314292,-10.5159035761,-0.6332227238
SRX4314291,-10.0661890292,-0.6251721287
SRX4314297,-8.8606630763,-0.6793229953000001
SRX4314298,-9.4000197192,-0.6938688877
SRX4314299,-8.734095717,-0.3957665845
SRX4314302,-7.1316973471,-0.0786273054
SRX4314301,-8.3941090117,-0.8814423869
SRX4314300,-7.3822146979,-0.4829041012
SRX4314305,-5.2102805996,-0.5196576162000001
