,A,virS
R2,,0.09419679614211895
xmin,,-3.6530705991
xmid,,
xmax,,3.5966022778999998
ystart,,-5.310404212120448
yend,,1.950761714041549
SRX3995807,0.2163849675,0.2504735408
SRX3995806,-0.06895396250000001,0.6703255218
SRX3995809,2.5844781361,0.5571475183
SRX3995808,2.6884854585999998,0.9228168096
SRX4619048,0.1895575063,0.0596979066
SRX4619047,0.1420062524,0.473815276
SRX4619049,0.9248936778,0.0360520264
SRX4619050,1.1347148249,0.12576796540000001
SRX3995804,0.5635714708,0.09166149920000001
SRX3995805,-0.5635714708,-0.09166149920000001
SRX5089845,-0.4811895389,-1.6480198207
SRX5089844,-0.8345156681,-1.6800298900000001
SRX5089860,0.0494225582,-0.23220200370000002
SRX5089859,-0.3045431536,0.174502341
SRX5089858,0.2551205954,0.0576996627
SRX5089854,1.1609973655,0.22486310950000002
SRX5089853,0.9183226293000001,0.2142542144
SRX5089852,0.7025861395,0.1313176805
SRX5089856,-0.20039188,-1.2062367751
SRX5089855,-0.9689289815000001,-1.4691973628000001
SRX5089857,-0.1260416665,-1.2161396639
SRX5089868,2.6870209649,0.671820634
SRX5089866,2.835511095,0.6815232463
SRX5089867,1.7035032973000002,1.0828634164
SRX5089870,2.5659753772,-0.3583715165
SRX5089869,2.3739410314000002,-0.5521788519
SRX5089871,1.6368800009000002,-0.44517571050000004
SRX5089846,0.0678386844,0.1694941166
SRX5089848,-0.0289048833,0.2346663638
SRX5089847,0.5400419033,0.0765795502
SRX5089849,-0.6835885852,-1.4876637937
SRX5089850,0.6484174614,-1.7072389079999999
SRX5089851,0.3307082717,-1.6962114216000002
SRX5089863,2.3150591194,0.028804502200000002
SRX5089861,2.4934798153,0.0426481377
SRX5089862,2.5626828348,0.1577177375
SRX5089865,4.6288100975,-1.7304555433000002
SRX5089864,3.7075693742,-1.6544639822
SRX5388955,0.6482064055,-0.0819041903
SRX5388957,-0.020950701500000002,-0.0864381239
SRX5388954,-0.3575490827,0.0387890882
SRX5388956,-0.2697066213,0.12955322600000002
SRX5388960,-1.2924055791,1.5101325402999999
SRX5388961,-1.4917789328,1.5854384848
SRX5388959,-1.1237847664,1.5130762051
SRX5388958,-1.1812262238,1.4791918076
SRX5388964,-6.0053409273,0.4095241532
SRX5388965,-6.0671232104,0.6307305815
SRX5388962,-5.8773909888,0.5982646783000001
SRX5388963,-6.0732578095,0.5517075173
SRX6889335,0.8731559786,0.5324974205
SRX6889333,-0.8731559786,-0.5324974205
SRX6810002,0.2203165806,0.06999706800000001
SRX6810004,0.4196480352,-0.39836893170000004
SRX6810003,-0.6399646158,0.3283718637
SRX6810006,-1.1204125978,0.052424749400000005
SRX6810005,-0.9112083374000001,0.0698641086
SRX6810007,-1.3194688063,0.0352223094
ERX1818322,1.1995509281,0.3368744627
ERX1818321,-1.1995509281,-0.3368744627
SRX2617830,-1.7971978372000001,0.9989026751000001
SRX2617831,-1.6889732457000002,1.0742919477
SRX2617833,-0.2263546962,0.6671398392
SRX2617832,-0.027081943600000002,0.7990742926000001
SRX2617828,-0.087881069,0.0764286306
SRX2617827,0.1590260829,-0.028559291
SRX2617829,-0.0711450139,-0.047869339600000005
SRX3456119,0.9924147469000001,0.10017018200000001
SRX3456118,1.1301881313,0.6709634114
SRX3456117,0.1168574467,0.0634551208
SRX3456101,0.5868863594,0.22095919560000002
SRX3456099,-0.2732432372,-0.0520228364
SRX3456100,-0.3136431222,-0.1689363592
SRX3456107,0.6551042665,-0.1302762496
SRX3456105,0.8290806552000001,0.19866008500000001
SRX4374122,2.644215598,-0.49145252050000005
SRX4374121,1.3276257208,-0.2661581165
SRX4374123,2.1633850017,-0.2954422563
SRX4374124,-0.48668523700000005,-0.212339045
SRX4374125,0.39962399590000003,0.07675784520000001
SRX4374126,0.0870612411,0.1355811998
SRX4374127,-3.9340033146,-0.5024511682
SRX4374128,-4.0734961912,-0.158360477
SRX4374129,-2.386059657,-0.9076986094
SRX4374130,0.8323565095000001,-0.1777728968
SRX4374132,-1.7708250652,-0.4010469908
SRX4374131,-0.23561853330000002,-0.17111110470000002
SRX4374133,-3.4580684386,-0.6545408453
SRX4374135,-3.9138419401,-1.1189085561
SRX4374134,-3.6383134619,-0.6676944111
SRX4374138,-1.4917621414,-0.6703519309
SRX4374136,-0.5776022630000001,-0.6316241453
SRX4374137,-0.3810822592,-0.41901033520000003
SRX1091379,-2.8011232662000003,0.4390964382
SRX1091380,-2.7094986593,0.6502872951
SRX1091377,0.08415046720000001,0.091101637
SRX1091378,-0.08415046720000001,-0.091101637
SRX4647145,-0.1746439216,0.1785781831
