,A,iniR
R2,,0.004069858992761466
xmin,,-1.8004081213
xmid,,0.3194433342429619
xmax,,2.0640555495
ystart,,0.35768936715201555
yend,,2.1258891544750464
SRX3995807,-1.6335461809,0.094943867
SRX3995806,-1.5257015060999999,0.5318907029000001
SRX3995809,-0.9733620865,0.3401051254
SRX3995808,-0.4121192279,0.882253009
SRX4619048,-1.5756154393,0.3620249661
SRX4619047,-0.6616021653,0.7919043145
SRX4619049,-0.4133914997,0.747356244
SRX4619050,-1.2865317083,0.4046772005
SRX3995804,-0.2275729343,0.11894849410000001
SRX3995805,0.2275729343,-0.11894849410000001
SRX5089845,1.1621316431,-0.3236536678
SRX5089844,0.9639384587000001,-0.1111217961
SRX5089860,-0.0453974115,0.0308677044
SRX5089859,0.1220660932,-0.009192515600000001
SRX5089858,-0.0766686817,-0.0216751889
SRX5089854,1.3634316723,-0.24290673780000002
SRX5089853,1.4790816022,-0.0903619153
SRX5089852,1.1959165693,-0.13117282400000002
SRX5089856,1.7636802099,0.1329446659
SRX5089855,1.5046507635,0.062005213100000005
SRX5089857,1.4130833039000001,0.09916520520000001
SRX5089868,0.44028885300000004,0.10783104240000001
SRX5089866,0.29022455610000003,0.0023733725
SRX5089867,-0.0998870959,0.2030220626
SRX5089870,1.3408304407,0.2601318807
SRX5089869,0.756889554,0.07613941340000001
SRX5089871,0.6858320455,0.2381418348
SRX5089846,2.2918818848,-0.33788838190000003
SRX5089848,1.853953823,-0.42280090600000003
SRX5089847,2.6314221436,-0.4302032095
SRX5089849,1.6057602931,-0.07483169540000001
SRX5089850,1.902831033,0.1523962023
SRX5089851,1.2142370092,-0.0274800062
SRX5089863,1.3745524329,0.1336038789
SRX5089861,0.9971192657000001,-0.1358327947
SRX5089862,0.9541901570000001,-0.0067048817
SRX5089865,1.6405784302000002,0.27776764190000003
SRX5089864,1.4016958304,-0.0078913164
SRX5388955,0.3080019023,-0.08972378880000001
SRX5388957,-0.3204768194,-0.0454284219
SRX5388954,0.1342861854,0.0669835282
SRX5388956,-0.12181126830000001,0.06816868250000001
SRX5388960,7.2591422308,1.0626933725
SRX5388961,6.7991465932,0.9833944292000001
SRX5388959,7.0428278759,1.1239244323
SRX5388958,7.6961605134,0.8901534829000001
SRX5388964,-2.6851564567,-0.4597595411
SRX5388965,-2.8778979622,-0.2668773736
SRX5388962,-2.9964385476,-0.278310334
SRX5388963,-2.9051613962,-0.36981281520000003
SRX6889335,-3.4144493043,-0.0651590268
SRX6889333,3.4144493043,0.0651590268
SRX6810002,0.2075149876,-0.08579837430000001
SRX6810004,-0.2189840274,-0.0121612812
SRX6810003,0.0114690398,0.0979596555
SRX6810006,-0.23574288870000001,0.9170656242
SRX6810005,-0.2096609981,0.8800252797
SRX6810007,-0.6785374877,0.9034450111000001
ERX1818322,0.4180220271,-0.054731043900000005
ERX1818321,-0.4180220271,0.054731043900000005
SRX2617830,-0.6956044469,-0.9960305795000001
SRX2617831,-0.4720950786,-0.8645098767
SRX2617833,-1.1524231393,-1.1038066573
SRX2617832,-0.5389685125,-0.8821468771000001
SRX2617828,0.30815418180000004,0.1169294372
SRX2617827,0.3698801948,0.0421538818
SRX2617829,-0.6780343766,-0.159083319
SRX3456119,-0.1124785398,-0.1289219748
SRX3456118,-0.4293954296,0.3067166447
SRX3456117,-0.9133752702,0.0651839552
SRX3456101,-0.1631791192,-0.0010911985
SRX3456099,0.1401517383,0.2759026834
SRX3456100,0.0230273809,-0.2748114849
SRX3456107,-2.9133640578,1.7259554204
SRX3456105,-2.2977653127,1.7710763186
SRX4374122,1.1849432892,0.0838869904
SRX4374121,1.5530854748,0.2636215543
SRX4374123,0.5083270641000001,-0.2601893343
SRX4374124,0.3124367538,0.057869612300000005
SRX4374125,-0.5181021436000001,0.0179750474
SRX4374126,0.2056653899,-0.0758446597
SRX4374127,-1.9052474788,0.5046564619
SRX4374128,-2.5015716886,0.5647060695
SRX4374129,-1.3745934951,0.017529611900000002
SRX4374130,-1.1443924085,0.1680288278
SRX4374132,-1.1947490083,-0.4219185958
SRX4374131,-1.459491992,0.081061986
SRX4374133,-2.084068552,0.7640656508
SRX4374135,-2.9630970228,0.3194423555
SRX4374134,-2.9591760381,0.7397371488000001
SRX4374138,-0.5442989758,-0.6803496059
SRX4374136,-0.2507026783,-0.18042221930000002
SRX4374137,-0.9474640037000001,-0.43284059350000004
SRX1091379,0.38496636160000003,0.38830667750000003
SRX1091380,0.36943342290000003,0.3708830866
SRX1091377,-0.015680025400000002,0.052886928400000005
SRX1091378,0.015680025400000002,-0.052886928400000005
SRX4647145,-0.2590374426,0.07089121200000001
SRX4647146,-0.6566706050000001,0.08774735360000001
SRX4647147,-0.2725641095,0.0197901867
SRX4647144,-0.012551022200000001,0.002088112
SRX4647143,-0.1200050529,-0.0484870387
SRX4647142,0.1325560751,0.0463989267
SRX4647155,4.8231338213,0.9320571706
SRX4647152,5.1695179866,1.0718721805
SRX4647153,5.065253796,0.9998828899000001
SRX4647154,4.5381930952000005,0.6990488234000001
SRX4647148,-1.3575369202,0.56197796
SRX4647149,-1.1750519914,0.49696839800000003
SRX4647151,-1.3249483597,0.5427869280000001
SRX4647150,-0.9261828866,0.6180707625
SRX4647123,-0.051306112200000004,0.1484258681
SRX4647124,0.0070313128,0.1346087835
SRX4647125,0.0442747995,-0.2830346516
SRX3103185,3.3939816192,0.3105823339
SRX3103189,2.0512606971,0.2006604251
SRX3103187,3.3262461634,0.0330338567
SRX3103184,0.2797699845,-0.0672007401
SRX3103188,-0.3872184154,-0.0014132826
SRX3103186,0.1074484309,0.0686140227
SRX1372110,0.0071174608,0.2772996144
SRX1372111,0.866846788,0.1875183741
SRX1372108,1.383282332,-0.22669619970000002
SRX1372109,-1.383282332,0.22669619970000002
SRX4506085,0.0148957446,0.0273202549
SRX4506083,0.1376205475,-0.0734436098
SRX4506089,0.1923830835,-0.0001961935
SRX4506087,0.2672090582,0.043298550400000003
SRX4506077,0.24072006110000002,-0.051695978100000005
SRX4506079,0.1175862362,0.0399876481
SRX4506075,-0.4770252654,-0.0034478699
SRX4506081,0.1187189681,0.0151561999
SRX4506084,-1.2659321397,0.050026767
SRX4506086,-1.2162916863,-0.0429600075
SRX4506088,-1.3183720635,0.0114926656
SRX4506090,-1.1005605704,0.0255292971
SRX4506078,-0.1450352692,0.39732594320000003
