locus,gene_weight,gene_name,gene_product,COG,operon,regulator,fasR,link
Rv0974c,0.2339037394,accD2,acetyl-/propionyl-CoA carboxylase subunit beta,Lipid transport and metabolism,Op630,"Rv0158,Rv0260c,Rv0328,Rv0452,senX3,regX3,Rv0744c,Rv0767c,csoR,Rv1332,Rv1353c,Rv1358,Rv1473A,Rv1719,Rv1776c,Rv2011c,Rv2324,fasR,sigF",True,https://mycobrowser.epfl.ch/genes/Rv0974c
Rv0975c,0.2322428258,fadE13,acyl-CoA dehydrogenase FadE13,Lipid transport and metabolism,Op630,"Rv0158,Rv0328,Rv0767c,csoR,Rv1332,Rv1358,Rv1719,Rv1776c,Rv2011c,Rv2324,fasR",True,https://mycobrowser.epfl.ch/genes/Rv0975c
Rv0244c,0.224704748,fadE5,acyl-CoA dehydrogenase FadE5,Lipid transport and metabolism,Op170,"Rv0067c,Rv0081,Rv0273c,Rv0302,Rv0324,Rv0691c,mbcA,Rv3058c,devR,sigH,Rv3249c,kstR,Rv3736",False,https://mycobrowser.epfl.ch/genes/Rv0244c
Rv0973c,0.22132076,accA2,acetyl/propionyl-CoA carboxylase subuit alpha,Lipid transport and metabolism,Op630,"Rv0158,Rv0260c,Rv0328,Rv0452,Rv0744c,Rv0767c,csoR,Rv1332,Rv1353c,Rv1358,Rv1473A,Rv1719,Rv1776c,Rv2011c,Rv2324,Rv2884,fasR,sigH,sigF",True,https://mycobrowser.epfl.ch/genes/Rv0973c
Rv0972c,0.2132875578,fadE12,acyl-CoA dehydrogenase fadE12,Lipid transport and metabolism,Op630,"Rv0158,Rv0260c,Rv0328,Rv0560c,Rv0744c,Rv1332,Rv1353c,Rv1358,Rv1816,Rv2884,fasR,sigF,Acid Shock",True,https://mycobrowser.epfl.ch/genes/Rv0972c
Rv0976c,0.2132045937,Rv0976c,hypothetical protein,Amino acid transport and metabolism,Op630,"Rv0328,Rv1332,Rv1776c,Rv2034,fasR",True,https://mycobrowser.epfl.ch/genes/Rv0976c
Rv0860,0.1474082537,fadB,fatty oxidation protein FadB,Lipid transport and metabolism,Op557,"Rv0081,Rv0324,csoR,lysG,mbcA,lsr2,Rv3736",False,https://mycobrowser.epfl.ch/genes/Rv0860
Rv0859,0.1407006138,Rv0859,acyltransferase,Lipid transport and metabolism,Op557,"Rv0081,Rv0158,Rv0678,sigH,lsr2",False,https://mycobrowser.epfl.ch/genes/Rv0859
Rv1856c,0.1332286094,Rv1856c,oxidoreductase,Lipid transport and metabolism,Op1166,"Rv0767c,Rv1816",False,https://mycobrowser.epfl.ch/genes/Rv1856c
Rv0971c,0.1324874938,echA7,enoyl-CoA hydratase EchA7,Lipid transport and metabolism,Op630,Rv0302,False,https://mycobrowser.epfl.ch/genes/Rv0971c
Rv2724c,0.1093269067,fadE20,acyl-CoA dehydrogenase FadE20,Lipid transport and metabolism,Op1723,"Rv0195,Rv0691c,Rv1353c,cmtR,Rv2324,sigH",False,https://mycobrowser.epfl.ch/genes/Rv2724c
Rv1857,0.1053683848,modA,molybdate ABC transporter substrate-binding lipoprotein ModA,Inorganic ion transport and metabolism,Op1167,"Rv0767c,Rv1816,mbcA",False,https://mycobrowser.epfl.ch/genes/Rv1857
