,A,fasR
R2,,0.018730059014379297
xmin,,-2.3089828299
xmid,,-1.3322961527010861
xmax,,1.9636250919
ystart,,-1.3978185782389827
yend,,1.7159227449695245
SRX3995807,1.2257996505,0.3224579608
SRX3995806,0.8917422933,0.5227164414000001
SRX3995809,1.3872846142,0.3128616858
SRX3995808,0.9697723708,0.6400800662
SRX4619048,1.3965891234,0.3990958545
SRX4619047,0.592951603,0.6104078846000001
SRX4619049,1.3001873657,0.4102104818
SRX4619050,1.8196920494,0.4488512409
SRX3995804,0.41669436940000004,0.0487273011
SRX3995805,-0.41669436940000004,-0.0487273011
SRX5089845,-2.6550588424,0.839331797
SRX5089844,-1.8589664169,0.8875246429
SRX5089860,0.0262147094,-0.0184758464
SRX5089859,0.4486591703,-0.0830123963
SRX5089858,-0.4748738796,0.10148824270000001
SRX5089854,1.4309964652,1.6724981213999999
SRX5089853,2.0553485056,1.6604520666
SRX5089852,1.5305484296,1.7919335038000002
SRX5089856,-0.5831899135,0.9595301956000001
SRX5089855,-0.7744560647000001,1.0471906019
SRX5089857,-0.8037032895,0.8599187985000001
SRX5089868,-2.835945746,0.7289308735000001
SRX5089866,-2.9923842689,0.8945879510000001
SRX5089867,-2.7286847285,0.7602040794
SRX5089870,-4.0066684075,0.1073180019
SRX5089869,-4.263088656,0.2485682727
SRX5089871,-4.2499484108,0.22021085010000002
SRX5089846,0.6253157362,1.9636250919
SRX5089848,0.583157822,1.6783289333
SRX5089847,0.8854807105,1.6716166801
SRX5089849,-1.4568276052,0.860451646
SRX5089850,-1.3929550788,1.1185138267
SRX5089851,-1.7457128041,0.9921499243
SRX5089863,-3.7596442675,1.1327447880000001
SRX5089861,-3.8431327115,1.0318882475
SRX5089862,-3.9216915357,0.9961997757000001
SRX5089865,-3.5457716486,0.1109499141
SRX5089864,-3.9560990169,0.3293379923
SRX5388955,-0.0011367262,-0.0402250086
SRX5388957,-0.10545769340000001,-0.0168389853
SRX5388954,0.008421178000000001,0.04156343
SRX5388956,0.0981732416,0.0155005639
SRX5388960,-1.6406897864,-0.3689362222
SRX5388961,-1.5601974173,-0.4946505789
SRX5388959,-1.5905076645,-0.3349886738
SRX5388958,-1.7974831930000001,-0.44399611520000004
SRX5388964,-3.6936623082,-1.3083463062
SRX5388965,-3.3472954264,-1.2714862413999999
SRX5388962,-3.0494370201,-1.3165763941
SRX5388963,-3.5142549212,-1.3323174358
SRX6889335,0.3797995501,0.0950930028
SRX6889333,-0.3797995501,-0.0950930028
SRX6810002,-0.4103644651,-0.0527536903
SRX6810004,-0.0091158725,-0.0104621735
SRX6810003,0.41948033770000004,0.06321586380000001
SRX6810006,0.5726215508,0.3319297295
SRX6810005,0.2935294513,0.3402440198
SRX6810007,0.6831420928,0.5562975903
ERX1818322,-0.7991693773,-0.0518690022
ERX1818321,0.7991693773,0.0518690022
SRX2617830,-1.2924631443,0.061774839000000005
SRX2617831,-1.4576715346,0.1517721265
SRX2617833,-1.1921013831,-0.6535423213
SRX2617832,-0.9731540937000001,-0.5252430178
SRX2617828,-0.1588072676,-0.014318908200000001
SRX2617827,0.1768493194,0.0330856358
SRX2617829,-0.0180420518,-0.0187667276
SRX3456119,-0.9179310618000001,-0.02032586
SRX3456118,-0.2732861824,-0.39871777610000003
SRX3456117,-1.9307258103,0.35174754540000003
SRX3456101,0.049312544800000004,-0.1382882384
SRX3456099,-0.6651449206000001,0.12657700900000002
SRX3456100,0.6158323758,0.0117112295
SRX3456107,-1.521071839,1.4530096608
SRX3456105,-1.002645181,1.4651016317
SRX4374122,-1.5956468634,-0.0301059051
SRX4374121,-2.2645953804,0.2318370039
SRX4374123,-1.2778394053,-0.19320807
SRX4374124,-0.22817326870000001,0.1451832996
SRX4374125,0.1569074296,-0.0800018256
SRX4374126,0.0712658391,-0.0651814741
SRX4374127,-2.727323178,-0.0975248382
SRX4374128,-3.0875746529,0.2358316363
SRX4374129,-2.6006989686,-0.21604144420000002
SRX4374130,0.3405502173,0.08556585650000001
SRX4374132,-0.1414381671,-0.5652980496000001
SRX4374131,0.5550352539,-0.2251807562
SRX4374133,-1.7638000192,-0.1082618723
SRX4374135,-0.8775033297,0.0932614895
SRX4374134,-1.1537830061,0.0225530392
SRX4374138,-0.0046524092,-0.5356388727
SRX4374136,0.5067879945,-0.1160944888
SRX4374137,0.1540475435,-0.2971823542
SRX1091379,3.1395072705000002,0.25655695100000003
SRX1091380,3.0731589772,0.2511785364
SRX1091377,0.0839030941,-0.019465320300000002
SRX1091378,-0.0839030941,0.019465320300000002
SRX4647145,-0.377116852,0.02461381
SRX4647146,-0.7218979280000001,-0.0230254542
SRX4647147,-0.7132990146,-0.060289064600000004
SRX4647144,-0.060308488800000004,0.012348452400000001
SRX4647143,-0.09499811350000001,-0.0230365382
SRX4647142,0.1553066023,0.0106880858
SRX4647155,-4.6458157981,0.1590511952
SRX4647152,-4.6832188188,0.126479848
SRX4647153,-4.3419877276,0.1122076448
SRX4647154,-4.6526033535,0.19279226570000002
SRX4647148,-3.9658197397,0.11765466170000001
SRX4647149,-4.3081732561,0.0698461102
SRX4647151,-3.8599822448000003,0.1247650448
SRX4647150,-4.1862011526,0.0033272756
SRX4647123,0.16870205870000002,-0.048062307900000004
SRX4647124,0.0803613448,0.031628876800000004
SRX4647125,-0.2490634035,0.0164334311
SRX3103185,0.1920182202,-0.0629345936
SRX3103189,0.5023410722,-0.0030536681000000003
SRX3103187,1.7294216454,-0.411116753
SRX3103184,-1.0414927644,0.092562555
SRX3103188,-0.0337126749,-0.0160312064
SRX3103186,1.0752054393,-0.07653134860000001
SRX1372110,1.4591779453,0.025504552700000002
SRX1372111,-0.76791579,0.0971076532
SRX1372108,-0.3022399443,0.0713576419
SRX1372109,0.3022399443,-0.0713576419
SRX4506085,-1.9402025992,-0.0853249558
SRX4506083,-1.9136235906999999,-0.0205136096
SRX4506089,-2.2043930011,-0.0063028254
SRX4506087,-1.8762057542,-0.00363749
SRX4506077,-0.11515341030000001,0.056826657
SRX4506079,0.1201765493,0.0263497034
SRX4506075,0.2407158363,-0.039492184
SRX4506081,-0.2457389754,-0.043684176400000004
SRX4506084,-8.7794825974,0.0973379149
SRX4506086,-8.5249159365,0.1347683747
SRX4506088,-8.6354643538,0.0456435652
SRX4506090,-8.1286150133,-0.0585978329
SRX4506078,-7.7821798261,0.0820595444
SRX4506080,-7.5262643528,0.1553609567
SRX4506082,-7.7523701789,0.0753401248
SRX4506076,-7.8614005588,0.21238786210000002
SRX5352221,-1.8949403063,-0.4100031188
SRX5352223,-1.3265647965,-0.5989428513
SRX5352222,-1.7856973728,-0.48973942940000004
SRX5352229,-0.4004375086,0.8156987222000001
SRX5352227,-0.8085378295000001,0.8322593587
SRX5352228,-0.3266653108,0.84748639
SRX5352231,3.1895664193,-1.9059312032
SRX5352232,3.5653278140999998,-2.0185141819
SRX5352230,3.573103251,-1.9899743574
SRX5352225,5.9485473995,-0.6543234154
SRX5352224,5.434823407,-0.6886978737
SRX5352226,5.7319685691,-0.5932459631
SRX5352220,-0.1422896391,0.0565359654
SRX5352219,0.0667725292,-0.0171994792
SRX5352218,0.0755171099,-0.0393364862
SRX4498228,0.07449400860000001,0.0097345172
SRX4498224,-0.2019289538,0.1476205672
SRX4498230,-0.17853369160000002,-0.0621359935
SRX4498226,-0.3303361791,0.0918695015
SRX4498218,-0.1805240414,0.1105360932
SRX4498216,0.059484364500000005,-0.044546894000000004
SRX4498220,0.0410977014,0.0063642873
SRX4498222,0.0799419754,-0.07235348650000001
SRX4498225,5.5877474536000005,-0.0664165989
SRX4498227,5.6828236424,-0.0998585758
SRX4498231,5.8323094669,-0.017969050900000002
SRX4498229,5.6499132329,-0.0469375961
SRX4498217,6.0131810185,-0.1333485518
SRX4498221,5.8625296786,-0.057881555300000005
SRX4498219,6.1527205091,-0.0237163006
SRX4498223,5.1561287995,-0.1333878328
SRX5079928,6.4074064831,-0.0728520134
SRX5079930,6.5953530709,-0.2977934008
SRX5079929,6.6315286655,-0.21286409720000002
SRX5079923,4.5813830622000005,-0.10363012640000001
SRX5079924,5.1019237479,-0.10896495960000001
SRX5079922,4.6414532815000005,-0.1763698703
SRX5079920,-0.14923450060000001,0.0629761948
SRX5079921,0.5381999514,-0.0439596121
SRX5079919,-0.3889654507,-0.0190165827
SRX5079926,5.6707382041,-0.061177108300000005
SRX5079925,5.6863298162,-0.1557694863
