,A,mprA
R2,,0.006144567705835269
xmin,,-2.0898784848
xmid,,-0.1483933256859264
xmax,,2.44175159
ystart,,-0.08664138293163193
yend,,-1.7547366244713407
SRX3995807,-4.305610543,0.22536514230000002
SRX3995806,-4.7493734399,0.1601433247
SRX3995809,-3.2387995147,0.3470406613
SRX3995808,-4.1802713401,0.2279566315
SRX4619048,-4.5080921079,0.039592475200000005
SRX4619047,-5.1706779972,0.2302291152
SRX4619049,-3.4630929206,0.5192889194
SRX4619050,-3.4626786079,0.4432783119
SRX3995804,-0.1489579721,0.11839747040000001
SRX3995805,0.1489579721,-0.11839747040000001
SRX5089845,-0.68672948,0.616680336
SRX5089844,-1.0147515118,0.5673626811
SRX5089860,0.2192047212,0.0149110265
SRX5089859,-0.3819194155,-0.0062085096
SRX5089858,0.1627146944,-0.0087025169
SRX5089854,-8.7393405519,0.45644581380000004
SRX5089853,-9.1758629861,0.3824169853
SRX5089852,-9.6648810047,0.4680324843
SRX5089856,-1.1813089354,0.49557648460000003
SRX5089855,-0.6580375475,0.42701911200000003
SRX5089857,-0.8641336315,0.47662570730000003
SRX5089868,-9.200974487,0.892673747
SRX5089866,-11.0832099664,0.8399246931000001
SRX5089867,-10.6312066731,0.7894083358
SRX5089870,-0.9806723016000001,0.1964944267
SRX5089869,-0.4125134018,0.3886746779
SRX5089871,-1.6312301769,0.37969765910000003
SRX5089846,-9.2854206283,1.2086753223
SRX5089848,-8.7033968217,0.9811437468
SRX5089847,-8.8542644418,1.0950342781
SRX5089849,-0.3483858522,0.3961565602
SRX5089850,-0.9772612356,0.5417465734
SRX5089851,-0.8220891979,0.4806669139
SRX5089863,-12.0362845109,1.2979111175
SRX5089861,-12.3232764478,1.3902072383
SRX5089862,-12.1482023482,1.4276063604
SRX5089865,0.6480329749,0.4602401501
SRX5089864,-0.0805800145,0.3619685151
SRX5388955,0.9666246900000001,-0.081316043
SRX5388957,-0.1471800727,0.027091239000000003
SRX5388954,-0.028038354300000002,0.0515775364
SRX5388956,-0.7914062629,0.0026472676000000002
SRX5388960,-15.0050523698,1.3345783262
SRX5388961,-15.2010032243,1.3450146916
SRX5388959,-14.8309169684,1.3287771239000001
SRX5388958,-14.169645514900001,1.2398672005
SRX5388964,5.9844375276,2.0216421003
SRX5388965,4.7087481416,2.0813003435
SRX5388962,5.9320494879000005,1.9378495353
SRX5388963,5.8915911382,2.0819896523
SRX6889335,-0.10214513830000001,0.1777477396
SRX6889333,0.10214513830000001,-0.1777477396
SRX6810002,-0.2685542171,0.133325631
SRX6810004,-0.1455195943,-0.078594913
SRX6810003,0.41407381130000004,-0.0547307179
SRX6810006,-6.1697418676,0.0188005273
SRX6810005,-5.2227745056,0.1680538755
SRX6810007,-7.285768914,0.0218411747
ERX1818322,0.9021787702,-0.21806799070000002
ERX1818321,-0.9021787702,0.21806799070000002
SRX2617830,-0.1593838022,0.5827335811000001
SRX2617831,-0.41994084270000004,0.6585195023
SRX2617833,-1.2402155917,1.1668086561
SRX2617832,-2.2004707224,1.2183617008
SRX2617828,0.1480086528,0.1148988707
SRX2617827,0.06659934470000001,0.0339809006
SRX2617829,-0.2146079975,-0.1488797714
SRX3456119,-0.6715321189,-0.06452723440000001
SRX3456118,-0.6709092225000001,-0.4041404355
SRX3456117,-1.2100286535,0.0942992665
SRX3456101,-0.5691304477,0.08300226990000001
SRX3456099,0.7785673117,0.1918932786
SRX3456100,-0.209436864,-0.27489554850000003
SRX3456107,7.1477000463,0.9461302971000001
SRX3456105,6.9781407424,1.1975854229
SRX4374122,0.9293177437000001,0.320795647
SRX4374121,0.30598109100000004,0.41411577190000004
SRX4374123,1.7616887895,0.1849039886
SRX4374124,-1.2324548033,0.0254313675
SRX4374125,0.6072729392,0.0186221816
SRX4374126,0.6251818640000001,-0.0440535491
SRX4374127,-2.5735013184,-0.164459878
SRX4374128,-4.0255974662,0.072396904
SRX4374129,-0.6359632798,-0.6810634244
SRX4374130,-1.0298162812,-0.5208772924
SRX4374132,-1.0232428146,-1.335609536
SRX4374131,0.2793645309,-0.9588587201000001
SRX4374133,0.0099820272,0.2441958777
SRX4374135,-0.17785524700000002,0.17130353780000002
SRX4374134,0.21310342910000002,0.2680605014
SRX4374138,0.2271945951,-1.2453263793
SRX4374136,-1.5319289845,-0.5323803907
SRX4374137,0.43476786310000004,-0.9143124398
SRX1091379,5.3984235034,-0.1114405557
SRX1091380,5.341796918,-0.1721640028
SRX1091377,-0.061175808000000005,-0.0014766189000000002
SRX1091378,0.061175808000000005,0.0014766189000000002
SRX4647145,-0.1726645875,0.0732288489
SRX4647146,-0.29163448610000003,0.040462836
SRX4647147,-0.1594878344,0.0290617378
SRX4647144,-0.027293574900000003,0.0017184183
SRX4647143,0.0468300849,0.030297721700000002
SRX4647142,-0.01953651,-0.0320161401
SRX4647155,0.1161003706,-1.1928828329
SRX4647152,-0.0186990654,-1.2243364876
SRX4647153,-0.052564933800000005,-1.1566969381
SRX4647154,0.5335218619000001,-1.2775682317000001
SRX4647148,1.2366231333,-2.0898784848
SRX4647149,1.1299108707,-2.0474494021
SRX4647151,1.0286923533,-1.9575956993
