,A,prpR
R2,,0.8065131027705221
xmin,,-4.8259541212
xmid,,-1.7669930300367205
xmax,,6.7775035844
ystart,,-3.74608692940133
yend,,15.04384459246663
SRX3995807,2.2087540736,0.28755862060000004
SRX3995806,2.0017480208,0.2215170766
SRX3995809,1.9557022078,-0.0257666602
SRX3995808,2.2333069216,0.5197883847
SRX4619048,2.4288990959,0.10358412950000001
SRX4619047,2.2064891921,0.4339090514
SRX4619049,2.3511947744,0.3882815126
SRX4619050,2.302834718,0.1966582725
SRX3995804,1.1870497655,0.0051310035
SRX3995805,-1.1870497655,-0.0051310035
SRX5089845,0.2463958473,0.5034057682
SRX5089844,-0.1397447109,0.1970290262
SRX5089860,0.1344701991,-0.015080727200000001
SRX5089859,0.21562308430000002,-0.0075806285000000004
SRX5089858,-0.3500932833,0.022661355600000002
SRX5089854,4.1644293697,2.091121106
SRX5089853,4.1044441528,1.8471233992
SRX5089852,4.2134035158,2.0134096457
SRX5089856,0.7794722260000001,0.7492119498
SRX5089855,0.8097944398,1.0339758566
SRX5089857,1.0881292253,0.9702208132000001
SRX5089868,7.6143622971,3.3601174212
SRX5089866,7.5735335251,3.3311698956
SRX5089867,8.0562246085,3.4057191405
SRX5089870,1.67552085,1.1518456699
SRX5089869,1.0737740675,0.9360253235
SRX5089871,1.1813971671,0.7283205454
SRX5089846,4.5546256803,1.5967771091
SRX5089848,4.9703780966,1.7110428025000002
SRX5089847,4.8303700231,1.7189760016000002
SRX5089849,0.7022897581,0.7864957170000001
SRX5089850,0.090044515,0.5500684741
SRX5089851,0.1952346533,0.4949773069
SRX5089863,9.1672844658,3.6824869195
SRX5089861,9.03391067,3.6436160943
SRX5089862,9.0791969898,3.6240968809
SRX5089865,0.5887892691000001,0.38149954610000003
SRX5089864,0.26223564120000004,0.7433207372
SRX5388955,-0.3677170698,-0.1932453542
SRX5388957,0.1371490763,-0.0510017116
SRX5388954,0.1525275187,0.0846232531
SRX5388956,0.0780404747,0.1596238127
SRX5388960,2.2473862831,-0.2176576933
SRX5388961,3.1298852508,0.5482494047
SRX5388959,2.2365313185,0.10589397290000001
SRX5388958,2.2414431703,-0.1441778718
SRX5388964,0.2892654841,0.0950684304
SRX5388965,0.8876547748,0.5771473765
SRX5388962,0.9973685569,0.5375970392
SRX5388963,0.4855224482,0.18647669660000002
SRX6889335,0.215438349,0.0889642085
SRX6889333,-0.215438349,-0.0889642085
SRX6810002,0.23732278210000002,0.2614382571
SRX6810004,-0.0651088263,-0.2671984146
SRX6810003,-0.1722139558,0.0057601575
SRX6810006,-1.6249443583,-0.2030083886
SRX6810005,-1.2902407196,0.2390123277
SRX6810007,-1.5467368627,0.0175521556
ERX1818322,1.7035046967,0.7081265392
ERX1818321,-1.7035046967,-0.7081265392
SRX2617830,8.3703502971,3.4100106546
SRX2617831,8.4586599807,3.3542833637
SRX2617833,5.5045199779,1.7241404619
SRX2617832,5.5888036172,1.7888023354
SRX2617828,-0.1616176755,0.0645778127
SRX2617827,0.009701934800000001,-0.09710175230000001
SRX2617829,0.1519157407,0.0325239396
SRX3456119,0.2807550488,0.3598366213
SRX3456118,-0.5161227097000001,-0.07407926620000001
SRX3456117,-0.2550888615,0.0489636648
SRX3456101,-0.1223559084,0.25928476
SRX3456099,-0.1186170505,-0.3026984681
SRX3456100,0.2409729589,0.043413708100000004
SRX3456107,5.8670691258000005,2.9081118536
SRX3456105,5.9155228148,3.0869217754
SRX4374122,-0.6285021589,-0.9850350706000001
SRX4374121,-0.7593140215,-1.0461035149
SRX4374123,-1.5557231209,-1.7974375614
SRX4374124,0.1462000907,0.4614652473
SRX4374125,0.4295026444,0.033160796400000005
SRX4374126,-0.575702735,-0.4946260436
SRX4374127,6.6461698354,3.3768581542
SRX4374128,6.1900681785,2.9770712762000002
SRX4374129,6.4480573274,2.8627790305
SRX4374130,-0.0840857882,1.321177577
SRX4374132,0.4711425201,1.1030463706
SRX4374131,0.2789683329,1.0368741162
SRX4374133,9.2720895845,4.2397056382
SRX4374135,8.2317167365,2.9109127738
SRX4374134,9.7655962889,4.2618052684
SRX4374138,-5.0338352588,-2.3230660242
SRX4374136,-5.8262341398,-2.189936882
SRX4374137,-5.9047326703,-2.5814594805
SRX1091379,4.435930437,2.4680396506
