,A,Rv0078,Rv2034
R2,,0.7602959943512687,0.5140675509110456
xmin,,-4.3513338915,-4.1334247821
xmid,,2.1572093811822275,1.2614027870031854
xmax,,4.6199712773,7.9899897644
ystart,,-0.009917992926242292,-0.07215834124338638
yend,,15.186711652420225,14.58989910048509
SRX3995807,-0.10900670280000001,-1.3786984580000001,-0.1631388564
SRX3995806,0.4199853334,0.41986756750000004,0.1112453167
SRX3995809,0.5106930286,-0.2826973425,-0.3237659566
SRX3995808,0.2953299851,0.1160380107,0.4891490101
SRX4619048,0.3081888143,-0.49019434500000003,-0.3776554062
SRX4619047,0.057775537200000004,0.4371685074,0.6371532096
SRX4619049,0.1832108997,-1.1933600542,0.284818742
SRX4619050,0.320963948,-0.8670315429000001,-0.7333443611
SRX3995804,1.2370931913,-0.105649988,-0.22160921860000002
SRX3995805,-1.2370931913,0.105649988,0.22160921860000002
SRX5089845,-2.6151429461999998,-0.8186283438,-2.4523617451
SRX5089844,-2.846856294,-0.9133395284,-1.7886948576
SRX5089860,0.1796590416,-0.1096475787,-0.22829569460000002
SRX5089859,-0.1938607188,0.0019303105000000001,0.2618522904
SRX5089858,0.0142016772,0.10771726820000001,-0.033556595700000004
SRX5089854,-0.2853769266,-0.2443905657,-2.694424885
SRX5089853,-0.5143835291000001,-0.2288944676,-2.3371252673000003
SRX5089852,-0.5965948617,-0.6122408669,-2.6959729398
SRX5089856,-0.8134686,0.0638097056,-3.0381319881
SRX5089855,-1.2048595513,-0.2765533471,-3.4070834457
SRX5089857,-0.45091120020000003,-0.1922796977,-3.1723598019
SRX5089868,0.5339088672,-0.0016417612000000001,-2.8537346827
SRX5089866,0.2830667685,-0.2076298839,-2.4524800169
SRX5089867,0.6947260266,0.018258161800000002,-2.4513127076
SRX5089870,0.1160780332,0.082486611,-2.1043019268
SRX5089869,0.1228871816,-0.026765488100000002,-2.5125250137
SRX5089871,0.7246669918,0.2013999665,-2.189535609
SRX5089846,-0.0205937386,-0.15126695140000002,-1.3156623352999999
SRX5089848,-0.0004815331,-0.1915950784,-1.7631409035
SRX5089847,-0.2480326303,-0.4040201282,-1.1247189994
SRX5089849,-1.0516995856,0.0648518245,-3.4556381012
SRX5089850,-1.8295379309,-0.008041140700000001,-3.1874856871
SRX5089851,-1.3204589433,0.05248153,-3.6365527906
SRX5089863,-0.21875750830000001,0.329715388,-2.5134519242
