locus,gene_weight,gene_name,gene_product,COG,operon,regulator,whiB1,link
Rv0705,0.14435567430000001,rpsS,30S ribosomal protein S19,"Translation, ribosomal structure and biogenesis",Op458,"Rv0023,Rv0081,Rv0135c,senX3,regX3,trcR,Rv1049,Rv1353c,marR,whiA,Rv1473A,Rv1776c,Rv1816,devR,whiB1,Rv3736",True,https://mycobrowser.epfl.ch/genes/Rv0705
Rv0706,0.14304014040000002,rplV,50S ribosomal protein L22,"Translation, ribosomal structure and biogenesis",Op458,"Rv0023,Rv0047c,Rv0081,Rv0135c,Rv0324,senX3,regX3,Rv0678,trcR,Rv1353c,marR,whiA,Rv1473A,Rv1776c,Rv1816,devR,whiB1,Rv3249c,Rv3736",True,https://mycobrowser.epfl.ch/genes/Rv0706
Rv0707,0.1407734399,rpsC,30S ribosomal protein S3,"Translation, ribosomal structure and biogenesis",Op458,"Rv0023,Rv0047c,Rv0081,Rv0135c,Rv0324,senX3,regX3,trcR,Rv1049,Rv1353c,marR,whiA,Rv1473A,Rv1776c,Rv1816,higA,devR,whiB1,Rv3249c,Rv3736",True,https://mycobrowser.epfl.ch/genes/Rv0707
Rv0704,0.1375283877,rplB,50S ribosomal protein L2,"Translation, ribosomal structure and biogenesis",Op458,"Rv0023,Rv0047c,Rv0081,Rv0135c,mprA,mprB,trcR,Rv1049,pyrR,marR,whiA,Rv1776c,devR,whiB1,Rv3249c,Rv3736",True,https://mycobrowser.epfl.ch/genes/Rv0704
Rv0703,0.1363322334,rplW,50S ribosomal protein L23,"Translation, ribosomal structure and biogenesis",Op457,"Rv0023,Rv0081,Rv0135c,trcR,Rv1049,Rv1353c,marR,whiA,Rv1473A,Rv1776c,Rv1816,Rv2034,whiB1,Rv3736",True,https://mycobrowser.epfl.ch/genes/Rv0703
Rv0708,0.13564876180000002,rplP,50S ribosomal protein L16,"Translation, ribosomal structure and biogenesis",Op458,"Rv0023,Rv0047c,Rv0081,Rv0135c,Rv0324,Rv0678,trcR,Rv1049,sigE,Rv1353c,marR,whiA,Rv1473A,Rv1776c,Rv1816,higA,Rv2989,devR,whiB1,Rv3249c,Rv3736",True,https://mycobrowser.epfl.ch/genes/Rv0708
Rv0709,0.1303264288,rpmC,50S ribosomal protein L29,"Translation, ribosomal structure and biogenesis",Op458,"Rv0023,Rv0047c,Rv0081,Rv0135c,Rv0324,Rv0678,trcR,Rv1049,Rv1353c,marR,whiA,Rv1473A,Rv1776c,Rv1816,higA,sigB,Rv2989,devR,whiB1,Rv3249c,Rv3736",True,https://mycobrowser.epfl.ch/genes/Rv0709
Rv0710,0.1139037682,rpsQ,30S ribosomal protein S17,"Translation, ribosomal structure and biogenesis",Op458,"Rv0023,Rv0047c,Rv0135c,Rv0324,senX3,regX3,Rv0678,trcR,Rv1049,Rv1353c,marR,whiA,Rv1473A,Rv1776c,Rv1816,higA,Rv2989,devR,whiB1,Rv3249c,Rv3736",True,https://mycobrowser.epfl.ch/genes/Rv0710
Rv0702,0.1120316335,rplD,50S ribosomal protein L4,"Translation, ribosomal structure and biogenesis",Op457,"Rv0081,trcR,sigE,marR,whiA,Rv1776c,Rv1816,devR,whiB1,Rv3736",True,https://mycobrowser.epfl.ch/genes/Rv0702
Rv0718,0.10941440990000001,rpsH,30S ribosomal protein S8,"Translation, ribosomal structure and biogenesis",Op463,"Rv0023,Rv0135c,Rv0302,csoR,Rv1049,Rv1353c,Rv1473A,devR,whiB1,lsr2,espR",True,https://mycobrowser.epfl.ch/genes/Rv0718
Rv0722,0.1039617773,rpmD,50S ribosomal protein L30,"Translation, ribosomal structure and biogenesis",Op463,"Rv0023,Rv0081,Rv0135c,Rv0678,csoR,Rv1049,Rv1353c,Rv1473A,cmtR,Rv2011c,Rv2034,Rv2887,devR,whiB1,lsr2,espR",True,https://mycobrowser.epfl.ch/genes/Rv0722
Rv0701,0.10366169830000001,rplC,50S ribosomal protein L3,"Translation, ribosomal structure and biogenesis",Op457,"Rv0081,Rv0135c,Rv0653c,trcR,Rv1049,marR,Rv1776c,Rv1816,sigB,devR,whiB1,Rv3736",True,https://mycobrowser.epfl.ch/genes/Rv0701
