,A,blaI
R2,,0.11831758158671157
xmin,,-2.5931097849
xmid,,-1.1571927205829275
xmax,,1.6804566172
ystart,,-3.4045678898230864
yend,,2.947009788736459
SRX3995807,3.8812256045,0.2904599413
SRX3995806,4.4560187686,0.45340393760000003
SRX3995809,5.1196307896,0.48686778690000004
SRX3995808,5.4784467705,0.7907534738
SRX4619048,4.841315112,0.6078476620000001
SRX4619047,5.3464759875,0.7785458251
SRX4619049,5.1788629042,0.9683580669
SRX4619050,5.3321073586,0.6892227843000001
SRX3995804,1.559726524,0.3131495452
SRX3995805,-1.559726524,-0.3131495452
SRX5089845,-4.9830641714,0.0939340342
SRX5089844,-4.7499345483,0.0133192108
SRX5089860,0.4072769425,0.014849865600000001
SRX5089859,0.0402755192,0.0797752069
SRX5089858,-0.4475524617,-0.0946250725
SRX5089854,-7.4080742652,0.5589653960000001
SRX5089853,-7.5006863492,0.6856477324
SRX5089852,-7.0611067787,0.6863665812
SRX5089856,-8.3587987987,-0.4112416827
SRX5089855,-8.635717530400001,-0.4739419167
SRX5089857,-8.3286895033,-0.3896753808
SRX5089868,-5.3080885152,0.8700677232
SRX5089866,-5.4346235447,0.8520500214000001
SRX5089867,-5.2623894138,0.9839158011
SRX5089870,-4.8433343975,-0.09447752100000001
SRX5089869,-4.7779638468000005,-0.13243530920000002
SRX5089871,-3.2197099368,0.0775329933
SRX5089846,-11.6528626387,-0.34947353940000003
SRX5089848,-11.5105363504,-0.1189540797
SRX5089847,-12.099848916,-0.396255313
SRX5089849,-10.6400247191,-1.0327947458
SRX5089850,-10.6007838629,-1.0387020707
SRX5089851,-9.586962765900001,-0.7915660214
SRX5089863,-9.7198419707,-0.28819407350000004
SRX5089861,-10.0603780164,-0.2506537434
SRX5089862,-10.3831938297,-0.11189104750000001
SRX5089865,-5.6919941569,-0.2865956819
SRX5089864,-6.2798484679,-0.5829943796
SRX5388955,0.056516145100000005,-0.1403982707
SRX5388957,0.0585942174,0.0158086872
SRX5388954,-0.1650326534,-3.51922e-05
SRX5388956,0.049922290800000005,0.1246247758
SRX5388960,1.8816417202,1.2941069465
SRX5388961,0.13109755110000001,1.2578161856
SRX5388959,1.7791632892,1.2791775437
SRX5388958,2.2193749564,1.1642507796000001
SRX5388964,-4.5643314566,0.7360383145
SRX5388965,-5.3888596582,0.6774146936000001
SRX5388962,-5.1267600735,0.6352982185
SRX5388963,-4.8035347777,0.6625833813
SRX6889335,4.8066658984,0.5155399515
SRX6889333,-4.8066658984,-0.5155399515
SRX6810002,0.0566000253,0.1107553216
SRX6810004,0.5574479605,-0.0794369431
SRX6810003,-0.6140479858,-0.0313183785
SRX6810006,-0.5938871363,0.8378540413000001
SRX6810005,-0.8983554182,0.8728746350000001
SRX6810007,-0.3276169578,0.8700263862000001
ERX1818322,-0.3885991634,-0.2613546442
ERX1818321,0.3885991634,0.2613546442
SRX2617830,-3.6302130201000002,0.1086290126
SRX2617831,-3.7621000186,0.1421639975
SRX2617833,-2.0352928208,0.6658286578
SRX2617832,-2.1868613697,0.6230830622
SRX2617828,0.0169497765,-0.0620979757
SRX2617827,-0.2614792883,0.036299641
SRX2617829,0.24452951180000002,0.0257983347
SRX3456119,0.8298095435,0.1958864975
SRX3456118,0.3201404579,-0.0276841425
SRX3456117,0.2974982981,-0.08672681730000001
SRX3456101,-0.7101918017000001,0.0162434852
SRX3456099,0.7677844353000001,-0.0732748621
SRX3456100,-0.057592633600000005,0.0570313769
SRX3456107,4.9894883709,0.7804382055
SRX3456105,5.0558582098,0.8881350308
SRX4374122,2.9471520460000002,0.7365166372
SRX4374121,2.3551744874000002,0.12489464950000001
SRX4374123,4.2834372687,0.31589620690000003
SRX4374124,0.2612398886,0.0721953145
SRX4374125,0.2159606289,0.025354272900000002
SRX4374126,-0.47720051750000003,-0.0975495874
SRX4374127,-4.2235229671,-0.4917292552
SRX4374128,-4.2461031259,-0.0482571815
SRX4374129,-4.5982784994,-0.8610771931000001
SRX4374130,0.9728531354000001,-0.016959954000000003
SRX4374132,-0.1066846937,-0.3531252069
SRX4374131,1.0848384105,-0.1575016941
SRX4374133,0.9176416491,0.22009292460000002
SRX4374135,1.8505050175000002,-0.0838336485
SRX4374134,1.5937019717,0.3213180345
SRX4374138,-2.8752419834,-0.8403113554
SRX4374136,-2.242699794,-0.29625132390000003
SRX4374137,-2.4809350116,-0.4578465886
SRX1091379,-3.2832253495,0.18802996330000002
SRX1091380,-3.2109633366,0.17209883210000002
SRX1091377,-0.0623274825,-0.0066847676000000005
SRX1091378,0.0623274825,0.0066847676000000005
SRX4647145,-0.1144974346,-0.040176047900000005
SRX4647146,0.0803926353,-0.0364353901
SRX4647147,-0.1728872249,-0.094601873
SRX4647144,0.0355588848,-0.0037120391000000003
SRX4647143,-0.08704541910000001,0.0036189077
SRX4647142,0.051486534300000004,9.313130000000001e-05
SRX4647155,-8.0620489419,-0.5483287201
SRX4647152,-7.8803041863,-0.6947317335000001
SRX4647153,-7.8515482952,-0.5774804039
SRX4647154,-8.1135566126,-0.6309172815
SRX4647148,-6.7939710380000005,-1.1530380725
SRX4647149,-6.7249056752000005,-1.1460401373
SRX4647151,-7.0560440248,-1.1896478899
SRX4647150,-6.8117304762,-1.1558676668
SRX4647123,-0.0061783977,0.003589839
SRX4647124,-0.0540080598,0.038333044000000004
SRX4647125,0.060186457500000005,-0.0419228831
SRX3103185,-0.3962440848,-0.0026310123
SRX3103189,-0.4772968515,-0.0530491778
SRX3103187,-2.9446577770999998,-0.3456178699
SRX3103184,0.8644826886,0.218798244
SRX3103188,0.0432822104,-0.18660167600000002
SRX3103186,-0.9077648989,-0.0321965679
SRX1372110,-0.45236472590000004,-0.8044685159
SRX1372111,-0.6746770498,-1.0678360614
SRX1372108,-0.6984094255000001,-0.0646477273
SRX1372109,0.6984094255000001,0.0646477273
SRX4506085,-0.1893556699,-0.060221874800000005
SRX4506083,-0.2906485053,-0.0799280193
SRX4506089,-0.1201111339,-0.053701931300000005
SRX4506087,-0.221107624,-0.0803364354
SRX4506077,-0.0242125145,0.0458496289
SRX4506079,-0.10554505830000001,-0.0084681181
SRX4506075,0.2104665407,-0.0484704777
SRX4506081,-0.0807089679,0.0110889669
SRX4506084,-4.9658029659,-0.9642284749000001
SRX4506086,-5.004283269,-0.9728485093
SRX4506088,-4.7500920854,-1.0211593706
SRX4506090,-5.0649205827,-1.1261544488
SRX4506078,-4.4822743569,-0.9234744391
SRX4506080,-4.2521725141,-0.9197718216
SRX4506082,-4.2310741337,-1.0248848701
SRX4506076,-4.2114047178,-0.7787992979
SRX5352221,4.063706685,0.6300461872
SRX5352223,4.693104131,0.6021269838000001
SRX5352222,5.5763553474,0.5970005833
SRX5352229,0.1337467688,0.3458926321
SRX5352227,0.18824880730000002,0.4072335754
SRX5352228,0.1412699883,0.4000616497
SRX5352231,12.0780818022,0.7578716154
SRX5352232,12.1828597651,0.7923618145
SRX5352230,12.8022083191,0.5680089909
SRX5352225,6.2419072271000005,1.0458196062
SRX5352224,5.5532015524,1.0029562538
SRX5352226,2.5066795973,0.7152360454000001
SRX5352220,-0.4045603016,-0.0624995156
SRX5352219,-0.26983521120000004,-0.043571805000000005
SRX5352218,0.6743955128,0.1060713206
SRX4498228,0.00042661800000000003,-0.036241213200000004
SRX4498224,0.023170424000000002,-0.018965089
SRX4498230,-0.31352050270000004,-0.09797009500000001
SRX4498226,-0.1751656346,-0.07554137450000001
SRX4498218,0.054320339,-0.0098820334
SRX4498216,-0.13942044680000001,-0.06597130350000001
SRX4498220,0.0045166852,-0.0276666365
SRX4498222,0.08058342260000001,0.1035199734
SRX4498225,0.6089659865,-0.24544608380000002
SRX4498227,0.954996112,-0.13860829430000002
SRX4498231,1.0755830604,-0.1233068556
SRX4498229,1.0270734133,-0.1810800616
SRX4498217,1.0322878895,-0.1212088538
SRX4498221,1.2032094984,-0.0016042220000000002
SRX4498219,1.2804277161,-0.1045064378
SRX4498223,1.2816048654,-0.0692932217
SRX5079928,-1.2666916883,0.0518668664
SRX5079930,-0.6466103146000001,0.0194613168
SRX5079929,-1.1507489912,-0.0123420011
SRX5079923,-0.7925469291,0.0673157247
SRX5079924,-0.6659194660000001,0.0004913521000000001
SRX5079922,-0.744683136,0.0318093894
SRX5079920,-0.0658198942,0.0051721219
SRX5079921,0.0725789441,-0.0293758475
SRX5079919,-0.0067590499,0.0242037256
SRX5079926,-0.7356159308,0.0799150235
SRX5079925,-0.9393606337,0.14611870570000002
SRX5079927,-1.0709979356,-0.0006553531
SRX894005,-2.1596597457,0.1017604435
SRX894004,-0.8618099204,0.1254743136
SRX894006,-0.9334350501,0.0097308662
SRX893999,-0.15263426330000002,0.0928265167
SRX894000,-0.34357264200000004,0.0452695144
SRX893998,0.4962069053,-0.13809603110000002
SRX4647489,-0.08615545150000001,-0.0134255439
SRX4647490,0.08615545150000001,0.0134255439
SRX4647492,-0.044663928400000004,0.0223845512
SRX4647491,-0.0382974846,0.10144269510000001
SRX4647496,0.004307696000000001,-0.3433621827
SRX4647495,0.2062079746,-0.1756468437
SRX4647499,-0.2425074057,-0.09849981940000001
SRX4647500,-0.5090870583,-0.037863864500000004
SRX4647493,-0.5807668807,-0.127901595
