locus,gene_weight,gene_name,gene_product,COG,operon,regulator,pyrR,link
Rv1577c,0.18728204440000001,Rv1577c,phage prohead protease,Function unknown,Op1003,Rv0023,False,https://mycobrowser.epfl.ch/genes/Rv1577c
Rv1585c,0.1816706934,Rv1585c,phage protein,No COG annotation,Op1007,"Rv0081,Rv0324,Rv0474,csoR,trcR,Rv1049,sigI,Rv1219c,Rv1353c,whiA,Rv2011c,Rv2034,Rv2887,Rv3160c,Rv3249c,whiB2,lrpA,kstR,espR,Acid Shock",False,https://mycobrowser.epfl.ch/genes/Rv1585c
Rv1586c,0.18070105620000002,Rv1586c,phage integrase,"Replication, recombination and repair",Op1007,"Rv0081,Rv0474,csoR,trcR,Rv1219c,Rv1353c,pyrR,Rv2011c,Rv2034,Rv2640c,Rv2887,Rv3160c,Rv3249c,kstR2,kstR,espR",True,https://mycobrowser.epfl.ch/genes/Rv1586c
Rv0073,0.1654060459,Rv0073,glutamine ABC transporter ATP-binding protein,Defense mechanisms,Op50,"Rv0023,Rv0330c,csoR,Rv1353c,Rv2250c,kstR,lsr2,Rv3736",False,https://mycobrowser.epfl.ch/genes/Rv0073
Rv1583c,0.1593929625,Rv1583c,phage protein,Function unknown,Op1006,"Rv0081,Rv0324,Rv0474,csoR,trcR,Rv1219c,Rv1353c,pyrR,Rv2011c,Rv2034,Rv2640c,Rv2887,Rv3160c,Rv3249c,whiB2,lrpA,kstR2,kstR,espR",True,https://mycobrowser.epfl.ch/genes/Rv1583c
Rv1584c,0.1578148123,Rv1584c,phage protein,No COG annotation,Op1006,"Rv0081,Rv0324,Rv0474,csoR,trcR,Rv1219c,Rv1353c,pyrR,Rv2011c,Rv2034,Rv2640c,Rv2887,Rv3160c,sigH,Rv3249c,lrpA,kstR2,kstR,espR",True,https://mycobrowser.epfl.ch/genes/Rv1584c
Rv1578c,0.157763381,Rv1578c,phage protein,"Replication, recombination and repair",Op1004,sigH,False,https://mycobrowser.epfl.ch/genes/Rv1578c
Rv1576c,0.15773186020000002,Rv1576c,phage capsid protein,Function unknown,Op1003,Rv0023,False,https://mycobrowser.epfl.ch/genes/Rv1576c
Rv0072,0.15621692780000002,Rv0072,glutamine ABC transporter permease,Defense mechanisms,Op50,"Rv0023,Rv0047c,Rv0678,csoR,Rv1353c,whiA,mbcA,Rv2324,Rv3488,kstR,lsr2,Rv3736",False,https://mycobrowser.epfl.ch/genes/Rv0072
Rv2077c,0.1524773414,Rv2077c,transmembrane protein,No COG annotation,Op1299,"Rv0494,csoR,mprA,mprB",False,https://mycobrowser.epfl.ch/genes/Rv2077c
Rv1760,0.1307763009,Rv1760,diacylglycerol acyltransferase,Lipid transport and metabolism,Op1101,"Rv0023,Rv0135c,Rv1353c,Rv1776c,Rv1816,mbcA,Rv2034,Rv2887,Rv3736",False,https://mycobrowser.epfl.ch/genes/Rv1760
Rv1582c,0.1280822643,Rv1582c,phage protein,"Replication, recombination and repair",Op1006,"Rv0023,Rv0081,Rv0324,Rv0474,csoR,trcR,Rv1219c,Rv1353c,pyrR,whiA,Rv2011c,Rv2034,Rv2640c,Rv2887,Rv3160c,Rv3249c,whiB2,lrpA,kstR2,kstR,espR",True,https://mycobrowser.epfl.ch/genes/Rv1582c
Rv1580c,0.1266478883,Rv1580c,phage protein,No COG annotation,Op1005,"Rv0023,Rv1353c,Rv2011c,Rv2034",False,https://mycobrowser.epfl.ch/genes/Rv1580c
