,A,pyrR
R2,,0.00030321133289890057
xmin,,-4.8032157665
xmid,,1.0692067520875819
xmax,,2.6202867577999998
ystart,,-0.9089694384548364
yend,,-5.174666763237133
SRX3995807,0.7247463992000001,-0.2132405786
SRX3995806,0.6856562150000001,0.9785321169000001
SRX3995809,0.46320803460000004,-0.3899285008
SRX3995808,0.7793472499,0.6775907971
SRX4619048,0.8914995972,-0.5297934237
SRX4619047,0.7065963579,0.9370774667
SRX4619049,1.3671799399,-0.2068194446
SRX4619050,1.3968562356,-0.3007696052
SRX3995804,0.4261797312,-0.3811362533
SRX3995805,-0.4261797312,0.3811362533
SRX5089845,-41.5483326902,-0.8229296327000001
SRX5089844,-41.8864073728,-0.9298768991
SRX5089860,0.3758689167,0.0463537652
SRX5089859,-0.0634522441,-0.1360171311
SRX5089858,-0.3124166726,0.0896633659
SRX5089854,-43.2299359914,-0.7426049205
SRX5089853,-42.8882889361,-0.6337984705
SRX5089852,-43.1083782284,-0.6665969111000001
SRX5089856,-42.561555117,-0.0443934732
SRX5089855,-42.4016356972,0.1655277251
SRX5089857,-42.5107086119,-0.0700499905
SRX5089868,-1.3550990708000001,-0.4100191908
SRX5089866,-0.2308178716,-0.3523105542
SRX5089867,-0.6231318737,-0.20940997460000002
SRX5089870,-1.9705835866,0.6833501849
SRX5089869,-2.2227737576,0.7961551001
SRX5089871,-1.3683061235,0.7017255681
SRX5089846,-42.9358167589,-0.1123739889
SRX5089848,-43.093758439,-0.1388678503
SRX5089847,-42.6077791509,-0.4399816436
SRX5089849,-42.981484884,0.0936960762
SRX5089850,-43.1196991643,-0.09602576310000001
SRX5089851,-43.067444883,0.1605407743
SRX5089863,-2.3092745043000003,0.1531895349
SRX5089861,-1.5486250868,-0.0737440357
SRX5089862,-1.7896724101,-0.199671064
SRX5089865,-2.830821911,-0.060551499
SRX5089864,-3.360417834,0.4304611819
SRX5388955,-0.08195742830000001,-0.0461732269
SRX5388957,-0.0139456388,0.019746359300000002
SRX5388954,0.1218669106,-0.07701108
SRX5388956,-0.0259638435,0.10343794760000001
SRX5388960,3.5877483927,-1.5165578516
SRX5388961,3.1606943566,-1.4956158424
SRX5388959,3.4712986722,-1.3864601949
SRX5388958,3.3734313021,-1.5357790423000002
SRX5388964,1.1248886594,-1.2582855279
SRX5388965,0.878765945,-1.2428133624
SRX5388962,0.9451935415,-1.3290827668
SRX5388963,0.9347578876,-1.3274966612
SRX6889335,-0.49455352300000005,0.0370396202
SRX6889333,0.49455352300000005,-0.0370396202
SRX6810002,-0.6585912485000001,0.1428898906
SRX6810004,0.7162261146000001,-0.36008268260000004
SRX6810003,-0.0576348661,0.21719279200000002
SRX6810006,2.5781277192000003,0.5569851834
SRX6810005,2.417338042,0.0975880039
SRX6810007,2.6527844842,0.7416417975
ERX1818322,0.500234567,-0.4142983637
ERX1818321,-0.500234567,0.4142983637
SRX2617830,-3.3386561216,0.3548319086
SRX2617831,-3.2973923035,0.3331278827
SRX2617833,1.9011096437,-1.2518779826
SRX2617832,1.7391634803,-1.0754556567
SRX2617828,-0.4417260073,-0.149196237
SRX2617827,0.2363585668,-0.0109948695
SRX2617829,0.2053674405,0.1601911065
SRX3456119,-0.3342452978,0.165532427
SRX3456118,-0.1701706329,0.5919134514000001
SRX3456117,0.4595898176,-0.017028652000000002
SRX3456101,-0.19133792800000002,0.3405655935
SRX3456099,0.45774013820000004,-0.4805062069
SRX3456100,-0.2664022102,0.1399406134
SRX3456107,-3.8070005523,2.2596730945
SRX3456105,-4.2428874328,2.6202867577999998
SRX4374122,1.469610119,-1.3114648276
SRX4374121,1.0591450913,-1.0088190524
SRX4374123,0.9654099061,-0.9750326715000001
SRX4374124,0.3686037775,-0.1025866619
SRX4374125,-0.1376045495,0.1705366925
SRX4374126,-0.230999228,-0.0679500306
SRX4374127,1.2949658706,0.1009041011
SRX4374128,1.0739775384,0.4310356073
SRX4374129,1.3048272853,-0.1233473033
SRX4374130,1.0719106501,0.4295559409
SRX4374132,0.5515449751,0.7404555297000001
SRX4374131,1.4017868132,0.6218646712
SRX4374133,1.7159913847000001,-0.3211100866
SRX4374135,1.4442972909,-0.5930180685
SRX4374134,2.1573688893,-0.7251118233
SRX4374138,0.13541361100000002,0.4834660791
SRX4374136,0.48874677990000004,0.5871234976
SRX4374137,0.1209917766,0.49629344750000004
SRX1091379,-1.4451668217,-0.2566645401
SRX1091380,-1.5496521571000001,0.0641916144
SRX1091377,0.033151105800000004,0.0934426354
SRX1091378,-0.033151105800000004,-0.0934426354
SRX4647145,-0.2058003216,0.1874169527
SRX4647146,-0.0858925405,0.26326512950000003
SRX4647147,-0.24840908,0.11853200430000001
SRX4647144,-0.0099017558,0.063589588
SRX4647143,0.035178769900000004,0.0948706728
