,A,argR
R2,,0.6111192370127742
xmin,,-4.4352794617
xmid,,
xmax,,3.3733467331
ystart,,-11.005925866643285
yend,,9.03089399296161
SRX3995807,1.8358830581,-0.2797833668
SRX3995806,2.9939276421,0.20784139710000002
SRX3995809,1.3669939878,0.5357961506
SRX3995808,3.8645637416,1.0924304308
SRX4619048,1.7228127048,0.4488760973
SRX4619047,3.7820443058,1.1456648721
SRX4619049,2.4864327974,0.0827677434
SRX4619050,0.9560566684,0.254899036
SRX3995804,0.2231075548,0.1543837197
SRX3995805,-0.2231075548,-0.1543837197
SRX5089845,-1.8423719391,0.4289122628
SRX5089844,-1.3744283845,0.5951088291000001
SRX5089860,0.1518407776,0.035117316100000004
SRX5089859,0.26779850650000003,-0.065734333
SRX5089858,-0.419639284,0.030617016900000002
SRX5089854,0.0130356802,0.9408280761000001
SRX5089853,0.0229260126,0.8487493952
SRX5089852,-0.5154701279,0.6151504174
SRX5089856,-0.2897380096,0.9065616925000001
SRX5089855,-1.3404088874,0.4281652899
SRX5089857,-0.2883267017,0.8012328211
SRX5089868,-0.3336060642,-0.0748650138
SRX5089866,-1.1430925239,-0.5240734229
SRX5089867,-0.34692712200000003,0.047237147300000004
SRX5089870,2.0666091624,1.0285385163
SRX5089869,0.6132268408,0.45718082670000004
SRX5089871,1.2904119169000001,0.6597234016
SRX5089846,1.3962692436,0.72876549
SRX5089848,0.8829521329000001,0.613754051
SRX5089847,1.7761339545000001,1.0055413675
SRX5089849,0.5900063276,1.2847846738
SRX5089850,0.47542495300000004,1.4600116014
SRX5089851,0.0473299209,1.2665442633000001
SRX5089863,0.9403223073,0.5250072547
SRX5089861,0.0748262383,-0.0660861798
SRX5089862,0.5201621312,0.2139537834
SRX5089865,0.5379913232,0.9159577728
SRX5089864,-0.2454740044,0.36485181250000004
SRX5388955,0.0137339036,0.0151687227
SRX5388957,-0.08495200630000001,-0.0522632783
SRX5388954,-0.149882587,-0.0277221864
