,-0.12483965031556375,-0.08917117879683126,-0.05350270727809876,-0.017834235759366268,0.017834235759366227,0.05350270727809871,0.08917117879683122,0.12483965031556372,0.1605081218342962,0.19617659335302867,0.23184506487176115,0.2675135363904937,0.30318200790922617,0.33885047942795865,0.3745189509466912,0.4101874224654236,0.44585589398415615,0.4815243655028887,0.5171928370216211,0.5528613085403536
thresh,-0.14267388607493,0.14267388607493,8,,,,,,,,,,,,,,,,,
unreg,0,0,18,1361,1278,26,2,0,0,0,0,0,0,0,0,0,1,0,0,0
Rv3066,0,0,0,14,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rv3249c,0,1,4,336,279,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mbcA,0,0,3,199,185,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rv3066 and Rv3249c,0,0,0,19,10,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Rv3066 and mbcA,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rv3249c and mbcA,0,0,0,85,52,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rv3066, Rv3249c, and mbcA",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
unreg_genes,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],['mmr'],[],[],[]
Rv3066_genes,[],[],[],"['Rv2478c' 'Rv3661' 'ldtA' 'mce1D' 'phoT' 'Rv2260' 'mshD' 'PPE50' 'moaB1'
 'Rv0412c' 'Rv3909' 'Rv3351c' 'Rv2407' 'dfp']","['Rv2676c' 'Rv1535' 'tesB2' 'Rv2263' 'acrA1' 'Rv2406c' 'PE35' 'mutT3'
 'Rv2675c' 'Rv3660c' 'lpqD' 'Rv2257c' 'Rv2258c' 'fdxD' 'vapC46']",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
Rv3249c_genes,[],['Rv3249c'],['rubB' 'Rv3587c' 'sahH' 'Rv0950c'],"['Rv1930c' 'PPE38' 'ethR' 'vapB13' 'Rv0687' 'Rv2722' 'ald' 'Rv1078' 'pdxH'
 'rpiB' 'Rv3768' 'Rv2143' 'rpsR1' 'Rv1593c' 'Rv3524' 'proA' 'murI'
 'Rv1375' 'PPE35' 'Rv3861' 'tmk' 'PPE8' 'Rv3906c' 'pbpA' 'Rv3860' 'PPE6'
 'Rv2466c' 'Rv1904' 'hflX' 'hsaG' 'Rv2716' 'Rv0128' 'accA1' 'ispF'
 'PE_PGRS47' 'htdZ' 'prsA' 'rplB' 'PE2' 'Rv2475c' 'Rv1337' 'rpmG2' 'lpqT'
 'murX' 'gmdA' 'Rv1473' 'gnd1' 'Rv2840c' 'glnA2' 'fadE19' 'Rv1724c'
 'Rv3900c' 'Rv2978c' 'Rv2426c' 'glnA1' 'Rv0831c' 'mce4F' 'rpsF' 'prpD'
 'sucD' 'sucC' 'Rv2239c' 'PE_PGRS25' 'Rv3382c' 'Rv0406c' 'Rv2081c' 'rubA'
 'Rv2516c' 'rpsA' 'Rv2410c' 'Rv0891c' 'Rv0052' 'pks6' 'mtc28' 'papA1'
 'dacB2' 'Rv1463' 'Rv1868' 'cysM' 'lprC' 'pup' 'Rv0276' 'htdX' 'Rv2886c'
 'cdd' 'pstP' 'echA8' 'nusA' 'Rv0881' 'Rv3218' 'eccCa1' 'guaB1' 'rmlB'
 'asd' 'relE' 'Rv1319c' 'PPE34' 'Rv1179c' 'ephC' 'htrA' 'Rv3769' 'gpdA1'
 'dnaB' 'Rv1701' 'gpm1' 'Rv3705A' 'PE1' 'nrdH' 'accD4' 'Rv2454c' 'prcB'
 'mmuM' 'scpB' 'gabT' 'bioB' 'Rv1540' 'fadE15' 'Rv3836' 'Rv0565c'
 'Rv0095c' 'esxP' 'eccCb1' 'mgtE' 'Rv1726' 'adhB' 'ftsZ' 'ppsD' 'manB'
 'purH' 'citE' 'rpsP' 'rplP' 'Rv0313' 'Rv1134' 'csd' 'nadE' 'citA'
 'Rv2969c' 'htpX' 'Rv3282' 'aroE' 'Rv1634' 'thiL' 'sdhC' 'Rv3054c'
 'Rv2690c' 'gltA2' 'rphA' 'rocE' 'pca' 'mscL' 'Rv2298' 'fdhF' 'dop'
 'Rv1910c' 'ldtB' 'parA' 'trmU' 'snoP' 'vapC1' 'mapA' 'Rv3827c' 'Rv2819c'
 'Rv2409c' 'lipL' 'secY' 'Rv1320c' 'kstD' 'Rv3058c' 'Rv0879c' 'echA19'
 'hadB' 'Rv2083' 'rpmC' 'Rv1265' 'ftsQ' 'PE8' 'ssb' 'drrB' 'cysH' 'PPE4'
 'Rv0075' 'Rv3837c' 'Rv1200' 'qcrA' 'Rv0547c' 'Rv0111' 'ceoB' 'Rv0047c'
 'Rv3263' 'echA13' 'engA' 'vapC13' 'whiB1' 'Rv1333' 'fgd1' 'espH'
 'Rv0380c' 'Rv0890c' 'fadD34' 'ppsE' 'drrC' 'accD5' 'Rv0298' 'fadD19'
 'Rv1376' 'erg3' 'Rv1907c' 'ppk1' 'vapB39' 'Rv3040c' 'hadA' 'ribG'
 'Rv3220c' 'Rv3690' 'Rv1109c' 'prpR' 'esxG' 'malQ' 'Rv0314c' 'fadD7'
 'cysS1' 'aftA' 'Rv1322A' 'Rv1498c' 'Rv0079' 'dinP' 'mmpL2' 'gltD' 'argS'
 'fabG4' 'Rv1711' 'accE5' 'Rv1324' 'glfT2' 'uvrD1' 'cyp141' 'Rv1585c'
 'Rv3555c' 'Rv0895' 'prcA' 'Rv1303' 'Rv2689c' 'Rv1893' 'fadE29' 'argG'
 'Rv3479' 'glnA3' 'fadD35' 'Rv1894c' 'ilvC' 'Rv0060' 'rnhB' 'Rv1140'
 'hemN' 'Rv0078A' 'Rv1428c' 'Rv0309' 'eccE1' 'Rv2342' 'pks13' 'hadC'
 'Rv0094c' 'lysS' 'Rv2575' 'eccE3' 'Rv2781c' 'Rv3209' 'eccC3' 'Rv1591'
 'Rv1288' 'pepD' 'Rv1342c' 'Rv0048c' 'Rv3377c' 'Rv2791c' 'Rv2326c'
 'Rv1073' 'Rv0907' 'Rv0007' 'Rv1582c' 'Rv2970A' 'Rv0686' 'Rv3693' 'sigG'
 'Rv2777c' 'murG' 'uvrB' 'Rv0338c' 'Rv0221' 'treZ' 'clpX' 'nusG' 'Rv0307c'
 'Rv1264' 'mmpL7' 'ftsW' 'Rv1928c' 'Rv1864c' 'Rv2908c' 'gcvH' 'rpoC'
 'ethA' 'acpA' 'Rv1648' 'eccA1' 'Rv3322c' 'murC' 'Rv0213c' 'pknA' 'hemK'
 'Rv0502' 'fadD2' 'Rv0680c' 'Rv0530' 'lppC' 'ansA' 'Rv3163c' 'Rv2499c'
 'Rv2738c' 'Rv1072' 'Rv2818c' 'Rv2707' 'Rv1586c' 'Rv2558' 'Rv1506c'
 'Rv3484' 'typA' 'Rv0760c' 'Rv2117' 'alaS' 'regX3' 'Rv0329c' 'lytB2'
 'lepB' 'Rv0814c']","['Rv3767c' 'che1' 'Rv0312' 'pknB' 'fprA' 'fadH' 'devB' 'Rv1816' 'Rv3538'
 'rplV' 'PE_PGRS55' 'sirA' 'glmU' 'fadE28' 'Rv2100' 'lipO' 'Rv0597c' 'tuf'
 'papA3' 'rpmA' 'htpG' 'PPE62' 'Rv0185' 'Rv2411c' 'Rv2082' 'rplI' 'Rv1877'
 'fadA2' 'coaE' 'pks4' 'recG' 'Rv2693c' 'Rv2943A' 'treY' 'Rv2958c'
 'Rv3050c' 'Rv1490' 'yajC' 'Rv3092c' 'PPE66' 'Rv1697' 'Rv1410c'
 'PE_PGRS13' 'snzP' 'bpoB' 'Rv0330c' 'eccC5' 'PE26' 'gid' 'dapF' 'ask'
 'Rv0799c' 'proB' 'nanT' 'Rv0183' 'eccB1' 'aceE' 'gyrB' 'nuoJ' 'Rv2553c'
 'Rv1584c' 'Rv0958' 'Rv0100' 'Rv2515c' 'sdhD' 'speE' 'Rv1100' 'secE1'
 'Rv0331' 'icd2' 'glf' 'Rv1647' 'mmpL12' 'pckA' 'ccsA' 'Rv1597' 'PPE13'
 'secD' 'trmD' 'lpdC' 'lprH' 'lipN' 'nuoL' 'secF' 'Rv2531c' 'Rv1097c'
 'Rv0059' 'dctA' 'Rv0669c' 'Rv2901c' 'ephG' 'Rv0759c' 'lppW' 'rplA'
 'Rv3439c' 'cmk' 'mmpS1' 'mpt83' 'mec' 'rpsQ' 'Rv1903' 'leuS' 'truA'
 'Rv2867c' 'rpsL' 'Rv3335c' 'fadE4' 'Rv2974c' 'cyp136' 'nuoM' 'eccB5'
 'rpsC' 'ponA1' 'PE4' 'Rv3695' 'cysO' 'Rv2203' 'mycP3' 'Rv3741c' 'Rv2084'
 'fadA6' 'pepN' 'Rv0830' 'ffh' 'fadA4' 'garA' 'accD1' 'Rv2219' 'nrdE'
 'Rv0839' 'Rv2118c' 'rpsG' 'glpX' 'PPE60' 'Rv2551c' 'Rv3720' 'treX'
 'Rv3784' 'Rv3005c' 'mutT1' 'ribA1' 'Rv3777' 'Rv2686c' 'amiC' 'eccD3'
 'nadC' 'Rv1318c' 'fba' 'fabG3' 'Rv3566A' 'rplK' 'purQ' 'rplS' 'Rv3217c'
 'nadA' 'fdhD' 'Rv3273' 'Rv0349' 'Rv3629c' 'Rv2000' 'Rv0315' 'Rv2951c'
 'Rv1465' 'Rv2915c' 'Rv2980' 'espK' 'PPE67' 'pepC' 'relG' 'TB27.3' 'fadB2'
 'umaA' 'esxW' 'scoA' 'Rv0731c' 'Rv1632c' 'Rv1289' 'tgs3' 'Rv3835' 'PPE16'
 'Rv2953' 'Rv0037c' 'Rv3235' 'Rv1419' 'mobA' 'Rv3212' 'Rv2390c' 'gnd2'
 'lpqL' 'Rv2522c' 'Rv1184c' 'rpoA' 'Rv0654' 'rpsB' 'Rv1833c' 'vapC39'
 'mazE3' 'rhlE' 'Rv3162c' 'groEL2' 'Rv0381c' 'Rv2459' 'Rv0224c' 'espG3'
 'tsf' 'Rv1587c' 'tal' 'pbpB' 'Rv1583c' 'Rv1999c' 'Rv1466' 'mycP1'
 'Rv0559c' 'ddn' 'mmpL5' 'prpC' 'PE_PGRS19' 'Rv1403c' 'fadA5' 'esxH'
 'galU' 'PE_PGRS12' 'tkt' 'fbiC' 'mmpS5' 'Rv3103c' 'furA' 'Rv1429'
 'Rv3694c' 'Rv0546c' 'PE_PGRS20' 'scoB' 'Rv2687c' 'Rv0880' 'Rv3901c'
 'katG' 'Rv0347' 'Rv1461' 'Rv0515' 'nuoN' 'Rv1245c' 'Rv2308' 'Rv2910c'
 'ppk2' 'Rv3612c' 'xerC' 'Rv2876' 'Rv2469c' 'trcR' 'acpM' 'Rv2944'
 'Rv2688c' 'Rv2864c' 'Rv1377c' 'pks16' 'Rv1929c' 'Rv0560c' 'Rv0225' 'fecB'
 'Rv0948c' 'Rv2219A' 'Rv1139c' 'vapC4' 'Rv2452c' 'Rv3272' 'cmaA2' 'Rv3074'
 'Rv1199c' 'Rv0992c' 'lppX' 'Rv1056' 'Rv0894' 'Rv1939' 'ino1' 'Rv1052'
 'Rv2706c' 'Rv2739c' 'Rv3023c' 'lppT']",['Rv1371' 'Rv1455' 'Rv0308' 'Rv3742c' 'alkB'],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
