,A,Rv3066,Rv3249c,mbcA
R2,,0.7854035523791036,0.05041945288275618,0.0161676999680328
xmin,,-3.2243356106,-3.9646046587,-2.4581452912
xmid,,-1.3275887060103073,,-0.3475729791853413
xmax,,3.7310855436,2.9234995279,3.438383904
ystart,,-3.253977434174071,2.096365173584297,0.40566240084750294
yend,,9.22142958925444,-1.6950592194224554,-1.5267390337389088
SRX3995807,-1.1246222646,-1.1354877832,-0.7117780951,-0.0600212631
SRX3995806,-0.08026482830000001,-0.1650333455,-0.4197377189,0.1933530618
SRX3995809,-0.0755317521,-0.58313327,-0.5143029016,-0.0629086533
SRX3995808,0.2029096446,0.38341250930000004,-0.3721411617,0.2951703724
SRX4619048,0.32728773920000004,-0.0893043039,-0.5274287799,0.4106156005
SRX4619047,0.2029416387,-0.0086914499,-0.40429794900000005,0.2150114157
SRX4619049,0.3400221465,-0.2516181295,-0.5752488953,0.1900172233
SRX4619050,0.5183840054000001,-0.5223271038,-0.5898734814000001,0.3261168024
SRX3995804,0.27262019260000003,-0.2146197951,0.0391693118,-0.0022803484
SRX3995805,-0.27262019260000003,0.2146197951,-0.0391693118,0.0022803484
SRX5089845,0.4671713309,-0.2889209542,-0.5406538682,-0.1969104152
SRX5089844,0.4542412462,0.0763758994,-0.3949084202,-0.36299220600000004
SRX5089860,0.1793345496,0.087595368,0.1195556133,0.0162482111
SRX5089859,0.1501016077,0.09893663800000001,-0.00041467720000000003,0.10157597010000001
SRX5089858,-0.32943615730000003,-0.186532006,-0.1191409362,-0.1178241812
SRX5089854,6.8480146011,2.8163673124,-3.2571728498,-0.715879343
SRX5089853,6.8370481519,2.9294530930000002,-3.1549114611,-0.760735708
SRX5089852,6.6658992242,2.4973401022,-3.0000695643,-0.704312919
SRX5089856,1.0787210688,0.3476994137,-2.8010235193,-0.5593783638000001
SRX5089855,1.0168466217,0.2138741744,-2.7166020114,-0.5331236312000001
SRX5089857,1.3722653293,0.4706188275,-2.7657845996,-0.6525306334000001
SRX5089868,5.6385122606,2.2006114954,-2.9405727129,-0.9369304123000001
SRX5089866,6.1104909914,2.5253907558,-3.0802068144,-1.0452956582
SRX5089867,5.9310675593,2.446605549,-3.0465080263,-0.8240129323000001
SRX5089870,0.7712011222,0.6676927084000001,-2.0150451533,-0.3232885513
SRX5089869,1.1959348915999999,0.3727531912,-2.1067094038,-0.34237347900000004
SRX5089871,1.5042217869,0.5181950789,-2.0161415161,-0.2195142165
SRX5089846,5.4607972844,1.97188717,-2.9293525421,-0.7749439929
SRX5089848,5.9708697809,2.172635432,-3.1083792988,-0.49860034100000006
SRX5089847,5.9375151227,2.4103190143,-3.0374131658,-0.5754745858
SRX5089849,1.3836547016,0.5898645286,-2.7062595544,-0.4271901165
SRX5089850,1.5575043225,0.6882532409000001,-2.6294389889,-0.6776059172000001
SRX5089851,1.8056715271,0.37757055230000003,-2.7398934609000003,-0.3641957946
SRX5089863,4.4259513034,1.5334101848000001,-3.2895608044,-0.8134478545
SRX5089861,4.9872294423,1.663656784,-3.1153324549,-0.7016192583
SRX5089862,4.2168932655999996,1.5320005591,-3.2413542328,-0.8508915643
SRX5089865,2.2624924461,0.8649800764000001,-1.9616570721,-0.3740008401
SRX5089864,2.2604412595,0.5674040737,-2.0139162511,-0.4056733267
SRX5388955,-0.2256354653,-0.0129159992,0.0692211028,-0.0885025242
SRX5388957,0.0824229446,-0.1683569378,0.0017480958000000001,0.15220488740000002
SRX5388954,0.2323235419,0.1968915491,-0.097460696,-0.1241426488
SRX5388956,-0.08911102130000001,-0.0156186121,0.0264914974,0.0604402855
SRX5388960,2.4490619055,1.0800456963,-0.7295619897000001,-0.39580523170000004
SRX5388961,2.9525102215,1.3081399179,-0.6659880809000001,-0.43960796230000004
SRX5388959,2.4750886968,1.2406825917,-0.706232705,-0.6250436412
SRX5388958,2.2387018822,1.0226547036,-0.8273804543000001,-0.45243178240000004
SRX5388964,1.6305435663,0.1547738492,-0.3371455223,0.5016778635
SRX5388965,1.8793619042,0.3599060665,-0.49655816010000003,0.23690774450000002
SRX5388962,2.0147102348,0.3042797825,-0.34157076480000004,0.3830558546
SRX5388963,1.7523323361,0.1123544801,-0.4073725049,0.4541218414
SRX6889335,0.7594155455,0.1148363793,-0.1419340862,-0.2268208709
SRX6889333,-0.7594155455,-0.1148363793,0.1419340862,0.2268208709
SRX6810002,0.3159982377,-0.3915903808,0.057975892700000003,-0.0078570102
SRX6810004,0.1136020568,0.2514557222,-0.2476813064,0.013013127400000001
SRX6810003,-0.42960029450000004,0.14013465860000002,0.18970541370000002,-0.0051561173000000005
SRX6810006,-0.8487008966,0.8885438486,1.0299666289,-0.4175555421
SRX6810005,-0.3792997395,0.6678265153,0.9340371319,-0.08475453990000001
SRX6810007,-0.9917956153,0.7429360686,1.0367043892,-0.2747355104
ERX1818322,-0.8307433552,0.12820012620000001,0.1319102665,0.4594470075
ERX1818321,0.8307433552,-0.12820012620000001,-0.1319102665,-0.4594470075
SRX2617830,1.5027020336999999,-0.10329271520000001,0.2123820744,-0.0059834715
SRX2617831,1.3358220451,0.0770209703,0.2127281682,-0.023131071000000003
SRX2617833,4.3753956627,0.5953855371,-0.4277671572,0.5181066292000001
SRX2617832,3.8655695281,0.9239022144000001,-0.4274576177,0.2202129635
SRX2617828,-0.2236509146,0.1243367767,-0.051214881600000005,0.0470364372
SRX2617827,-0.18856100820000002,0.1579600774,-0.0912434195,-0.048887889500000004
SRX2617829,0.4122119228,-0.28229685400000004,0.14245830110000002,0.0018514523
SRX3456119,0.843064663,0.2840371618,0.1251234646,0.1133227584
SRX3456118,1.1025713392,0.11662887270000001,0.2609831621,-0.4588462223
SRX3456117,1.0435954122,0.0550444981,-0.0087349747,0.0600456742
SRX3456101,0.0410689972,0.0591094282,-0.0481508743,-0.044235532200000004
SRX3456099,0.0112598158,0.0994747792,0.034255555800000004,-0.1158312888
SRX3456100,-0.052328813,-0.1585842074,0.0138953185,0.160066821
SRX3456107,-7.7817543353000005,-3.2243356106,-0.7573444636000001,-0.7540544823
SRX3456105,-7.5497865298,-2.10880586,-0.6807952431000001,-0.7645394488
SRX4374122,1.5013923302999999,0.5545853968000001,-0.47793900200000006,0.7065314570000001
SRX4374121,0.6294884172,0.4398670073,-0.47019832030000003,0.4403095319
SRX4374123,0.6271485742,0.1802218219,-0.4346492181,0.7782169433
SRX4374124,0.12223546560000001,-0.0124002346,-0.22873697580000002,-0.428544735
SRX4374125,-0.038164485500000005,0.0774969056,0.18399654410000002,0.39511282340000003
SRX4374126,-0.0840709801,-0.06509667100000001,0.0447404317,0.0334319115
SRX4374127,0.0708706603,0.22118708480000002,-0.388546796,-0.2967531183
SRX4374128,0.4114435078,0.3630687172,-0.3280884825,0.34054894820000003
SRX4374129,0.43314358470000003,-0.0527233068,-0.2842096743,-0.0258882444
SRX4374130,0.09602986670000001,0.18096154990000002,0.11925710070000001,-0.255495486
SRX4374132,-0.3637854387,-0.4654459542,-0.058856995,-0.1543751486
SRX4374131,-0.43785197730000003,-0.0758943497,0.5844495363000001,0.2095467794
SRX4374133,1.2181335537,0.8945852527,-0.7247754218,0.0921793047
SRX4374135,1.43348155,0.3754138226,-0.36995169840000003,0.18823566400000002
SRX4374134,1.6127395424,0.8202198294,-0.5282564252,0.2727825122
SRX4374138,0.6501776155,0.0641215706,-0.6118710349,-0.6673486491
SRX4374136,0.5473084447000001,0.2390879143,-0.5427956154,-0.8550016886
SRX4374137,0.45743903140000003,0.0689273504,-0.1957938675,-0.2530239841
SRX1091379,-1.0574058949,0.3149586059,2.8596366772,0.2220267799
SRX1091380,-1.0342340938,0.2949377835,2.9234995279,0.190434507
SRX1091377,0.1228389438,0.1429916027,0.008358019000000001,-0.09229497710000001
SRX1091378,-0.1228389438,-0.1429916027,-0.008358019000000001,0.09229497710000001
SRX4647145,0.5778587673000001,0.47718109140000003,-0.3977079099,0.0571593777
SRX4647146,0.6254091151,0.2143782952,-0.40847621910000004,0.0731286976
SRX4647147,0.6320029497,0.330199523,-0.5883167823000001,-0.0489356647
SRX4647144,-0.2293607738,-0.1424327369,-0.15125706700000002,-0.0098437527
SRX4647143,0.1744311416,0.07968542790000001,0.1076103137,-0.0352643244
SRX4647142,0.0549296322,0.062747309,0.0436467533,0.045108077100000005
SRX4647155,1.7303568247,1.142257871,-0.0658104657,-0.2191145777
SRX4647152,1.3173667068000001,0.9821126573000001,-0.10505764590000001,-0.3180047721
SRX4647153,1.6777618360000002,1.007375419,-0.0898616305,-0.230649299
SRX4647154,1.5172805718,0.7535734938,-0.0420050355,0.0522771181
SRX4647148,-0.6476258299000001,0.4494238473,0.018272770900000002,-0.45471625200000004
SRX4647149,-0.6709930582,0.41868617900000005,0.012640669200000001,-0.5372402067000001
SRX4647151,-0.3949776561,0.446964071,0.0745891347,-0.5284763289000001
SRX4647150,-1.005694903,0.40474292100000003,-0.013150344100000001,-0.9402091947000001
SRX4647123,-0.20947640750000002,-0.0039508103000000004,-0.0146396558,0.0087388792
SRX4647124,-0.1350895124,0.0033256406,-0.0040648482,-0.0089930326
SRX4647125,0.3445659199,0.0006251696000000001,0.018704504,0.0002541534
SRX3103185,0.5719689168000001,0.4902481785,-0.6561575549,-0.5821652302
SRX3103189,0.6000700693000001,0.1879564666,-0.3019314198,-0.1755022323
SRX3103187,1.9415449147000001,0.1940237913,-0.8410556865000001,-0.3445555491
SRX3103184,-0.6557962666,-0.4327235267,-0.6622896971000001,-0.0171004217
SRX3103188,0.8586647217000001,0.3057176858,-0.3484549125,0.2451509036
SRX3103186,-0.2028684551,0.1270058409,1.0107446096,-0.22805048190000002
SRX1372110,-0.43858543240000003,0.6265366398000001,-0.14772446990000002,-0.1231252422
SRX1372111,-0.5321773589000001,0.5039923547,0.0275580084,-0.3756694749
SRX1372108,0.21187867230000001,0.0263768202,-0.084921626,0.0022446277
SRX1372109,-0.21187867230000001,-0.0263768202,0.084921626,-0.0022446277
SRX4506085,3.0685141571,1.383016223,-0.730103876,-0.0390315232
SRX4506083,2.956914456,1.5360878742000001,-0.4882026015,-0.2754899669
SRX4506089,2.9103660964999998,1.4192774503,-1.3466389136,-0.0479770286
SRX4506087,2.8269139929,1.3751121974,-1.1094092114,-0.09168418340000001
SRX4506077,0.4040830554,-0.0660654081,-0.0070611907,0.08502814160000001
SRX4506079,-0.2126135805,0.009551760500000001,-0.0644387372,-0.0616429366
SRX4506075,-0.0611784295,-0.0550994857,0.3118864449,0.0694100831
SRX4506081,-0.1302910454,0.1116131332,-0.2403865171,-0.092795288
SRX4506084,0.592447837,0.2346646255,-3.4199706487,0.3674052574
SRX4506086,0.4385649064,0.4939084569,-3.4962124693,0.10095112240000001
SRX4506088,0.5986384198,0.5305548726,-3.4098348574,0.07242234160000001
SRX4506090,0.20471592100000002,0.6444320106,-3.4445679407,-0.17138978
SRX4506078,-0.6136763355,0.3047335767,-3.6688222589,-0.1640067546
SRX4506080,-0.42811203210000004,0.1824225559,-3.5666863234,-0.06687642
SRX4506082,-0.8197808072,0.2778746198,-3.664826309,-0.15605122570000002
SRX4506076,-0.5316735158,0.027215714300000002,-3.6899711722,-0.016146027400000002
