,A,sigC
R2,,0.2153934394587742
xmin,,-4.0228830985
xmid,,-0.41168997001024477
xmax,,3.5082538026
ystart,,-1.2211804356598004
yend,,11.32874120299125
SRX3995807,-0.4114041915,0.1891452804
SRX3995806,-3.0985770822,0.5883611763000001
SRX3995809,-1.0953327145,0.32605020490000003
SRX3995808,-4.2699190424,0.561787565
SRX4619048,-0.6927474838000001,0.3391318914
SRX4619047,-3.7770633459000003,0.6286931410000001
SRX4619049,-2.766178201,0.1719459821
SRX4619050,-1.3957725998,0.2162505412
SRX3995804,-0.33080834610000004,-0.07835416020000001
SRX3995805,0.33080834610000004,0.07835416020000001
SRX5089845,-2.6685148867,-0.7755123701000001
SRX5089844,-2.5695640639,-0.369361231
SRX5089860,-0.2257354664,-0.1884798352
SRX5089859,0.3512659121,0.053539215700000004
SRX5089858,-0.1255304457,0.1349406195
SRX5089854,-4.9120076769,-1.9525877423
SRX5089853,-4.7363715796,-1.7661348031
SRX5089852,-4.5989704989,-1.9003875714
SRX5089856,-2.9779073966,-0.898128982
SRX5089855,-3.8273891567,-0.9209370920000001
SRX5089857,-2.9519652349000003,-1.1019589648
SRX5089868,-4.2806577523,-1.8626186094000001
SRX5089866,-4.3703607506,-2.0598620058
SRX5089867,-3.8814611132,-2.1552078196
SRX5089870,-2.6710070479,-0.025228877
SRX5089869,-2.7853350452,-0.0247417801
SRX5089871,-2.9074887052,-0.2763485632
SRX5089846,-5.4970332782,-2.2130254083
SRX5089848,-4.6962815299,-2.3923271629
SRX5089847,-5.2719077311,-2.3254119628
SRX5089849,-2.7076735053,-1.5981078553999999
SRX5089850,-2.7293718142000003,-1.2527933118
SRX5089851,-1.9435174537000002,-1.5065914018000002
SRX5089863,-5.4583335947,-2.5674557675000003
SRX5089861,-5.4714031562,-2.4768266738999998
SRX5089862,-5.1991264951,-2.472297314
SRX5089865,-3.4638319793,-0.8656308538
SRX5089864,-3.2435618263,-0.4275024536
SRX5388955,-0.3227900636,-0.021551033100000002
SRX5388957,0.1681011682,-0.054478144000000006
SRX5388954,0.0810606543,0.0725107618
SRX5388956,0.0736282411,0.0035184153
SRX5388960,-1.9175503653,-2.3158035931
SRX5388961,-0.1619220272,-2.277064621
SRX5388959,-1.7787053354,-2.3374339101
SRX5388958,-1.9623519941,-2.2011455817
SRX5388964,-0.9304138454,-2.3192623334
SRX5388965,0.20927144960000002,-2.1194835108
SRX5388962,0.8763117349,-1.9213393928
SRX5388963,-0.24561793510000002,-2.1464428102
SRX6889335,-1.7064466229000002,0.9024616054
SRX6889333,1.7064466229000002,-0.9024616054
SRX6810002,0.5959829651,0.1098928727
SRX6810004,0.7085356257000001,-0.0625904531
SRX6810003,-1.3045185907999999,-0.047302419500000005
SRX6810006,-4.191409928,-0.4201584772
SRX6810005,-2.5409586259,-0.5760837123
SRX6810007,-4.8479700441,-0.7121368622
ERX1818322,0.2878569318,-0.40182990090000004
ERX1818321,-0.2878569318,0.40182990090000004
SRX2617830,1.2754515162,0.2098606623
SRX2617831,1.126928031,0.2341567162
SRX2617833,-0.5652202045,-0.8374976979000001
SRX2617832,-0.7353331144,-0.6275892674
SRX2617828,0.17895372410000002,-0.1054216963
SRX2617827,-0.3018339994,-0.0184069874
SRX2617829,0.12288027530000001,0.12382868370000001
SRX3456119,0.9648253524,-0.3964045163
SRX3456118,-0.6666285307,-0.0962488301
SRX3456117,1.0261129396,0.640307924
SRX3456101,-0.403752533,-0.8253889969
SRX3456099,0.4475101225,0.2595176215
SRX3456100,-0.0437575895,0.5658713754
SRX3456107,8.7627524339,2.7389150805
SRX3456105,9.3143571361,3.5082538026
SRX4374122,-3.3130582895,-0.4490266956
SRX4374121,-2.969675823,-0.4116898764
SRX4374123,-1.2900265304,-0.14010748480000002
SRX4374124,-0.7120091963,0.0449704561
SRX4374125,-0.247023759,0.0291825281
SRX4374126,0.9590329553,-0.07415298420000001
SRX4374127,-9.601248421,-1.3734210937
SRX4374128,-10.1959659939,-1.1934783791
SRX4374129,-6.9263151656,-1.9055100769000002
SRX4374130,-6.0623194951,-0.38374797790000004
SRX4374132,-3.5350540264,-0.5992421564
SRX4374131,-4.6270866759,-0.3487158271
SRX4374133,-7.3244429669,-0.6524299548
SRX4374135,-4.5409227067,-0.9737289678000001
SRX4374134,-7.7709856567,-1.011865638
SRX4374138,-2.4443630517,-0.4698541195
SRX4374136,-4.6602906836999995,0.0478653431
SRX4374137,-3.5171280915,0.10025754270000001
SRX1091379,4.117955819,1.6533427278000001
SRX1091380,4.0627551702,1.55357079
SRX1091377,-0.0034806315000000003,0.012090964000000001
SRX1091378,0.0034806315000000003,-0.012090964000000001
SRX4647145,0.0410086637,0.052011892600000005
SRX4647146,0.3009474615,0.0292552222
