,A,whiB4
R2,,0.1735395315682282
xmin,,-2.8338575925000002
xmid,,0.5495156429226308
xmax,,2.9839660519
ystart,,-1.2440408952786877
yend,,-39.22498853936793
SRX3995807,-0.18707118590000002,0.23128037340000002
SRX3995806,0.7787672423,0.3081656839
SRX3995809,-0.1322227981,0.1287653623
SRX3995808,0.8200211217000001,0.3142531538
SRX4619048,0.0975703242,0.2309327669
SRX4619047,1.0359890275,0.2738506978
SRX4619049,1.1129303158,0.0797832341
SRX4619050,0.7078700029,0.10801114090000001
SRX3995804,0.4501028386,0.1309597076
SRX3995805,-0.4501028386,-0.1309597076
SRX5089845,-1.5438073094,-0.0549835069
SRX5089844,-1.4338251049,-0.17211430590000001
SRX5089860,0.6173804269000001,-0.0978090488
SRX5089859,0.2210862215,-0.0269096698
SRX5089858,-0.8384666484000001,0.1247187186
SRX5089854,6.3831784905,-0.7631591471
SRX5089853,6.6193549145,-0.8938424622000001
SRX5089852,6.0027455033,-0.6334991198000001
SRX5089856,-2.3331153638,-0.438156111
SRX5089855,-2.3095654268,-0.278265505
SRX5089857,-2.3295471846,-0.4577993011
SRX5089868,6.8037043078,-0.24567028130000002
SRX5089866,7.8069858167,-0.38611053160000003
SRX5089867,6.9484264237,-0.3013259803
SRX5089870,-1.9632307687,-0.6180494082
SRX5089869,-2.4517122931,-0.33819380330000004
SRX5089871,-1.6864935134999999,-0.1647550437
SRX5089846,7.5545866134,-0.3908796975
SRX5089848,6.9976015832,-0.28630188300000003
SRX5089847,8.380101462,-0.6136113873
SRX5089849,-0.1368449899,-0.0752368971
SRX5089850,0.34735806950000003,-0.28406142830000003
SRX5089851,0.3811155835,-0.14462835470000002
SRX5089863,8.6796920193,-0.1907200533
SRX5089861,9.0639106528,-0.1783513531
SRX5089862,8.9898379853,-0.115649445
SRX5089865,-0.7037684097,-0.2928373435
SRX5089864,-0.7330040559000001,-0.3320693128
SRX5388955,-0.027167367300000002,-0.1376215524
SRX5388957,-0.25464552360000003,0.0470967378
SRX5388954,0.31914081710000003,0.0002360691
SRX5388956,-0.0373279261,0.0902887455
SRX5388960,0.8525602338,-1.0699971448
SRX5388961,2.0515493382,-1.0190079243
SRX5388959,0.8608006001,-1.0173068858
SRX5388958,0.9705208994000001,-1.1500019702
SRX5388964,-1.2523732137999999,-0.6177867091
SRX5388965,-0.7122871682,-0.7793247583
SRX5388962,-0.4128530165,-0.6563166691
SRX5388963,-0.9670762761,-0.7396799819000001
SRX6889335,0.5746239474,-0.3036202349
SRX6889333,-0.5746239474,0.3036202349
SRX6810002,-0.4807034136,-0.0943206229
SRX6810004,0.48312452510000004,-0.0118882721
SRX6810003,-0.0024211115000000003,0.1062088949
SRX6810006,2.9072380524,0.37153676680000003
SRX6810005,3.0402445695,0.47095769940000004
SRX6810007,3.2762167192,0.6000113337
ERX1818322,-1.0673338901,0.3344215904
ERX1818321,1.0673338901,-0.3344215904
SRX2617830,-0.9168701010000001,0.2136984945
SRX2617831,-0.7875361531,0.1369555071
SRX2617833,1.0051915807,0.2017862812
SRX2617832,1.1750848421,-0.313406801
SRX2617828,0.1718873539,0.0684377461
SRX2617827,0.4327867361,0.1199553715
SRX2617829,-0.60467409,-0.18839311760000002
SRX3456119,-0.4570800252,0.2625269966
SRX3456118,-0.7895926245,-0.2915219892
SRX3456117,0.299572626,0.1754643928
SRX3456101,0.2886153274,0.1844539721
SRX3456099,0.4835009236,-0.1508071286
SRX3456100,-0.772116251,-0.0336468435
SRX3456107,1.2028393064,1.3301565606999999
SRX3456105,1.6550227937000002,1.4224593388
SRX4374122,-0.1634610268,-0.3156512469
SRX4374121,-0.7056283192,0.035263295300000004
SRX4374123,-2.268635559,0.1368631256
SRX4374124,-0.9235322265,0.1435426319
SRX4374125,0.42220861060000003,-0.0907105445
SRX4374126,0.5013236158000001,-0.052832087400000005
SRX4374127,1.8376211188,0.2312223119
SRX4374128,0.9496188448,0.4890258012
SRX4374129,1.5879299602999999,0.1008003563
SRX4374130,-3.4264866007,0.5156355441
SRX4374132,-2.6631690283,0.0934298564
SRX4374131,-2.6036724203,-0.0213224012
SRX4374133,0.9992953330000001,0.0287214116
SRX4374135,1.2358578593,-0.6527443582
SRX4374134,1.9578796099,-0.3599912286
SRX4374138,-2.3069939562,-0.3562272288
SRX4374136,-3.185420191,0.35444489960000003
SRX4374137,-2.5592614058,0.17656186610000002
SRX1091379,-4.0604776632,0.2229174304
SRX1091380,-4.0821252836,0.3038375457
SRX1091377,-0.1030367829,0.025424137700000002
SRX1091378,0.1030367829,-0.025424137700000002
SRX4647145,-0.1161973899,0.1218697775
SRX4647146,-0.1466582977,0.25885207920000003
SRX4647147,-0.1363366727,0.1916022127
SRX4647144,-0.0228985032,-0.0333145381
SRX4647143,0.057162258,0.0341165381
SRX4647142,-0.034263754800000004,-0.000802
SRX4647155,2.0233421665,-0.18779066290000002
SRX4647152,2.1385240446,-0.26227963730000003
SRX4647153,2.3671402099,-0.1795792009
SRX4647154,1.7669332208,-0.0649672062
SRX4647148,3.0222452279,0.0129176264
SRX4647149,3.0660531023,0.0406213722
SRX4647151,2.9464754246,0.045493569000000005
SRX4647150,3.2891834064,-0.0223102757
SRX4647123,0.0253870224,-0.0769830463
SRX4647124,0.1588865635,0.0538248528
SRX4647125,-0.1842735859,0.0231581935
SRX3103185,0.2604945179,0.11127277390000001
SRX3103189,-0.5018263884,0.256080686
SRX3103187,-1.3228923154,-0.09737164520000001
SRX3103184,1.4603713636,-0.1083070264
SRX3103188,-0.4349949729,0.1481063719
SRX3103186,-1.0253763906,-0.0397993455
SRX1372110,0.5526376671000001,0.2966122858
SRX1372111,-0.1770508327,0.1194533747
SRX1372108,-1.111118876,-0.1665335362
SRX1372109,1.111118876,0.1665335362
SRX4506085,-0.1129694091,0.1854338778
SRX4506083,-0.1615244557,0.1717509632
SRX4506089,0.050858561600000005,0.0650451508
SRX4506087,-0.003051526,0.0189393448
SRX4506077,-0.034652625900000004,0.0272742646
SRX4506079,0.1279517077,-0.0715417067
SRX4506075,-0.2730097936,0.0908714042
SRX4506081,0.1797107118,-0.0466039621
SRX4506084,-0.5759393414,0.28739369670000003
SRX4506086,-0.7003175076,0.2974874265
SRX4506088,-0.6074276493,0.2851937748
SRX4506090,-0.1404906911,0.0572041297
SRX4506078,0.0673887525,-0.056758668500000005
SRX4506080,0.0307244931,0.0092934622
SRX4506082,0.2486237832,0.05207615
SRX4506076,-0.0028570938,-0.0064268647
SRX5352221,0.3144973098,-0.6225413434
SRX5352223,0.3347617104,-0.7724139044
SRX5352222,-0.5508635940000001,-0.41645212200000004
SRX5352229,6.9020557564,0.5072878209
SRX5352227,6.4116097396,0.4572301662
SRX5352228,6.5437244961,0.3378645111
SRX5352231,2.242705934,-2.4702638193
SRX5352232,1.0234831012,-2.4250774222
SRX5352230,2.1102951465,-2.8338575925000002
SRX5352225,3.2963696766,-0.062160549600000004
SRX5352224,4.0405907552,0.3353559468
SRX5352226,1.5110244894,0.1277133465
SRX5352220,0.4183434622,-0.0662699514
SRX5352219,0.056350737000000005,-0.071651585
SRX5352218,-0.4746941992,0.13792153640000002
SRX4498228,0.10905521030000001,0.075827103
SRX4498224,-0.1530486618,0.0646355044
SRX4498230,0.0349342843,-0.08029876700000001
SRX4498226,0.1356834077,-0.1146688486
SRX4498218,-0.2422787922,-0.0414040303
SRX4498216,0.0041268976,0.0633128745
SRX4498220,0.0649577533,-0.0724113947
SRX4498222,0.1731941413,0.0505025505
SRX4498225,-2.8903142227,0.6052197221
SRX4498227,-2.6482879458,0.7463306322000001
SRX4498231,-2.7762975531,0.5703155824
SRX4498229,-2.7880946311,0.6025915908
SRX4498217,-2.8354053705,0.5124056387
SRX4498221,-3.2594117466,0.5444533989
SRX4498219,-2.6404592578,0.4676572855
SRX4498223,-3.0629131928,0.5145138915
SRX5079928,-1.0575361096,-1.094094688
SRX5079930,-1.1528280876,-1.0987230935
SRX5079929,-1.1450511698999999,-1.0532563227
SRX5079923,-1.4219664097,-0.4531397941
SRX5079924,-1.0904531735,-0.41776176260000003
SRX5079922,-0.9337883834,-0.561672315
SRX5079920,-0.0890855173,0.0803928126
SRX5079921,-0.1282593918,-0.0609508543
SRX5079919,0.2173449091,-0.0194419583
SRX5079926,-1.2008029545,-0.9949990028000001
SRX5079925,-1.2942537117000001,-0.9943848033
SRX5079927,-0.9496275413,-1.0952559045
SRX894005,3.4383720815,-0.030079801700000002
SRX894004,3.9279475987,-0.4051112448
SRX894006,3.8779153637,-0.49478950660000004
SRX893999,-0.1517225865,0.2566252958
SRX894000,-0.1640609741,-0.0745679387
SRX893998,0.3157835605,-0.182057357
SRX4647489,-0.15516110500000002,0.0356517081
SRX4647490,0.15516110500000002,-0.0356517081
SRX4647492,0.3783505951,-0.0204975814
SRX4647491,0.8604631805,-0.0751349744
SRX4647496,0.3949624268,0.23050143320000002
SRX4647495,0.7851841356,0.0739877109
SRX4647499,1.6044684720000002,-0.1385207252
SRX4647500,1.2555318612,0.05614519900000001
SRX4647493,2.5656491534,-0.2281790809
