,A,kstR2
R2,,0.7180985930002557
xmin,,-2.6067851892
xmid,,-1.6317867774245678
xmax,,3.9533579513
ystart,,-7.461283151204568
yend,,17.44831421151334
SRX3995807,1.1838696389,-0.0642595787
SRX3995806,1.8133010868000001,0.0019473757000000001
SRX3995809,2.0907511416,0.2609071032
SRX3995808,2.6138380657,0.1643729196
SRX4619048,2.0153371542,0.2441334963
SRX4619047,2.4615647438,0.0525585926
SRX4619049,2.684317011,0.20169822280000002
SRX4619050,2.7513452892,0.5072394805
SRX3995804,1.0402065682,0.1744751545
SRX3995805,-1.0402065682,-0.1744751545
SRX5089845,0.2791167055,0.48547576080000004
SRX5089844,0.4022433178,0.2392355759
SRX5089860,0.0314062912,-0.0635518874
SRX5089859,0.2779865164,0.068970795
SRX5089858,-0.3093928076,-0.0054189076
SRX5089854,6.1201391884,0.8660986485000001
SRX5089853,6.7134822782,0.8960129293
SRX5089852,6.315425846,0.8978190779
SRX5089856,-0.5786826589,0.3098432399
SRX5089855,-0.78940599,0.33517329090000003
SRX5089857,-0.4052262645,0.3402945649
SRX5089868,4.5367792765,0.7795397463
SRX5089866,5.2624388933,0.8006144730000001
SRX5089867,4.4803117509,0.8048279078
SRX5089870,-1.4283156049,0.16692374170000002
SRX5089869,-1.7340331362999999,0.2023602911
SRX5089871,-1.1976550382,0.487048193
SRX5089846,5.9994073311000005,0.7702326627
SRX5089848,5.1748843778,0.9240928443
SRX5089847,5.8141012259,0.8859244924
SRX5089849,-1.6557080396,0.2581932119
SRX5089850,-1.0590589666,0.174695863
SRX5089851,-1.1826952009,0.3391794912
SRX5089863,3.8412050345,0.5500097376
SRX5089861,4.6227844312,0.8168154528
SRX5089862,4.5070021264,0.7467037308000001
SRX5089865,-2.907283773,-0.0400708055
SRX5089864,-3.5785107691,0.17659367880000001
SRX5388955,-0.1458578481,-0.1421548137
SRX5388957,-0.2631854232,-0.0173493999
SRX5388954,0.2930848474,0.0701123791
SRX5388956,0.115958424,0.0893918345
SRX5388960,4.0607332451,-0.1509543656
SRX5388961,4.1084171794,0.0754523292
SRX5388959,4.1916030806,-0.1258361069
SRX5388958,4.078539983,-0.1303528287
SRX5388964,0.571248348,-0.42971069
SRX5388965,1.1737839816,-0.3066554371
SRX5388962,1.1208363969,-0.1478619529
SRX5388963,0.8335484171,-0.2758258322
SRX6889335,1.3743549401,0.0452922596
SRX6889333,-1.3743549401,-0.0452922596
SRX6810002,0.0451474616,-0.038920066100000004
SRX6810004,-1.3842656963,-0.1812827623
SRX6810003,1.3391182347,0.2202028284
SRX6810006,3.5804665385,0.5629883593
SRX6810005,2.4274625027,0.50726147
SRX6810007,4.5442359163,1.0744029887
ERX1818322,0.0625764555,0.022790830300000002
ERX1818321,-0.0625764555,-0.022790830300000002
SRX2617830,-4.7041627712,-0.5013105139
SRX2617831,-4.5183784969000005,-0.3838780308
SRX2617833,-2.9911759192,-0.10244257200000001
SRX2617832,-2.3629890232,0.1333399848
SRX2617828,0.2595986112,0.1921333858
SRX2617827,0.4305226204,-0.052846021900000005
SRX2617829,-0.6901212315,-0.13928736390000002
SRX3456119,0.3854975202,0.2335151117
SRX3456118,0.7005382089000001,0.1098072734
SRX3456117,0.5005132290000001,-0.36368775070000003
SRX3456101,0.7645327312,-0.0342448615
SRX3456099,-0.48381475500000004,0.1616011222
SRX3456100,-0.2807179762,-0.1273562607
SRX3456107,-3.0579710714,0.4770189973
SRX3456105,-2.7087805072,0.3125216302
SRX4374122,1.8368916899,-0.0512982796
SRX4374121,0.9891178389,0.1316394375
SRX4374123,0.9478373993,-0.14072063040000002
SRX4374124,0.2352177792,0.2305775927
SRX4374125,-0.0550395168,-0.1044162191
SRX4374126,-0.1801782624,-0.1261613735
SRX4374127,2.1206602388,0.3307098066
SRX4374128,2.2060199327,0.5677119246
SRX4374129,1.2857752481,-0.2538284697
SRX4374130,3.7820761893,0.5746952996
SRX4374132,2.3736145085,-0.45690134
SRX4374131,3.2595255588,-0.0714436235
SRX4374133,2.345715212,0.1931061244
SRX4374135,1.5174150602,-0.030753022600000002
SRX4374134,2.6238624194,0.2002037032
SRX4374138,0.7719802981,-0.0120864603
SRX4374136,1.4835984132,0.5489563896
SRX4374137,1.3358186775,0.25967836450000004
SRX1091379,0.6317989956,0.8331289498000001
SRX1091380,0.3965971701,0.9409852623
SRX1091377,0.10481846060000001,0.0366078471
SRX1091378,-0.10481846060000001,-0.0366078471
SRX4647145,-0.2401049801,-0.045928210000000004
SRX4647146,-0.025975046800000002,0.2021545209
SRX4647147,0.0328670045,0.1636921111
SRX4647144,-0.044018360400000005,0.0455034147
SRX4647143,0.0128579086,-0.0057647937000000005
SRX4647142,0.0311604517,-0.039738621
SRX4647155,1.0968666481,0.6148073611
SRX4647152,1.2871155589,0.2409504946
SRX4647153,1.3460912993,0.44005645730000004
SRX4647154,0.852863279,0.6508764205
SRX4647148,1.6950237326000002,0.5043118088
SRX4647149,1.7189313701,0.7173726584
SRX4647151,1.4898444995,0.5143371275
SRX4647150,1.7209259006000002,0.47515820880000004
SRX4647123,-0.2633079097,-0.3332522869
SRX4647124,0.0565879847,0.28066441670000003
SRX4647125,0.20671992500000003,0.0525878701
SRX3103185,-0.1336343375,-0.1473956562
SRX3103189,0.1021551763,0.039477345000000004
SRX3103187,0.4421188143,-0.0557274108
SRX3103184,0.0810765135,-0.160716657
SRX3103188,-0.3093032203,-0.072666938
SRX3103186,0.2282267068,0.23338359500000003
SRX1372110,2.6424696495,0.057099669000000006
SRX1372111,2.3964614241,-0.0489733999
SRX1372108,-0.3660553045,-0.0589325142
SRX1372109,0.3660553045,0.0589325142
SRX4506085,-0.45849750240000003,-0.08023843430000001
SRX4506083,-0.4720639492,-0.056538739000000005
SRX4506089,-0.1647184125,-0.0689191116
SRX4506087,-0.12905470600000002,-0.012323858600000001
SRX4506077,-0.0213380453,-0.0476266149
SRX4506079,0.1240389789,-0.0357388947
SRX4506075,-0.3720792686,0.0896961643
SRX4506081,0.269378335,-0.0063306547000000005
SRX4506084,-2.4668228796,-0.32748575350000003
SRX4506086,-2.7349440523,-0.30875485
SRX4506088,-2.4313726208,-0.3013823417
SRX4506090,-1.8842928071,-0.2864333538
SRX4506078,-2.0627749478,-0.3213242938
SRX4506080,-2.2353869838,-0.44283237740000003
SRX4506082,-2.1664147046,-0.5177525842
SRX4506076,-2.3506462359,-0.2924694002
SRX5352221,0.1544634955,-0.5761111868000001
SRX5352223,-0.9108594178,-0.9931472304000001
