,A,sigD
R2,,0.06888418256803164
xmin,,-3.178351292
xmid,,1.897962821269717
xmax,,2.8582623012
ystart,,0.6579744771370422
yend,,9.69798798462395
SRX3995807,0.7208174933,0.0124657291
SRX3995806,-1.1558533307,0.48760634480000004
SRX3995809,0.1654265869,0.22030761740000002
SRX3995808,0.1618145053,0.8214521779
SRX4619048,-0.4356166675,0.3023853944
SRX4619047,0.040426231300000004,0.7611012705
SRX4619049,0.3153902746,0.2851308674
SRX4619050,-0.5505801437,-0.0226555422
SRX3995804,0.32235324190000003,-0.0512457502
SRX3995805,-0.32235324190000003,0.0512457502
SRX5089845,-4.4428284901,1.0769421265
SRX5089844,-1.0241246878,1.3415901657
SRX5089860,-0.1043576244,0.0363239764
SRX5089859,0.7409223782000001,-0.0188786835
SRX5089858,-0.6365647538,-0.0174452929
SRX5089854,-0.6632664504,1.9258320675
SRX5089853,-0.9927013598000001,2.0591425829
SRX5089852,-4.7234193064,2.225158053
SRX5089856,1.630419349,1.280564002
SRX5089855,-1.4814572387,1.4910536725
SRX5089857,0.4381199362,1.1423368953
SRX5089868,-2.8242957114,1.0303017109
SRX5089866,-3.8234453762,0.8210574519
SRX5089867,-1.8019149950000002,1.0421167918
SRX5089870,1.6012105631,0.435835966
SRX5089869,-2.0667335846,0.3509816776
SRX5089871,0.6105236146,0.31673376540000003
SRX5089846,2.3436097195,2.4380989815
SRX5089848,0.2961980556,2.1460433348
SRX5089847,6.6456589716,2.2996313459
SRX5089849,-1.6710920751,1.448777077
SRX5089850,2.3050197909,1.479382633
SRX5089851,-0.8070934797,1.3800709438
SRX5089863,-0.1453637388,1.3682591428
SRX5089861,-3.8384013134,1.2033026654
SRX5089862,-0.544242621,1.1528551232
SRX5089865,0.8161789393000001,0.8789785251000001
SRX5089864,-4.1677565175,0.6930900005
SRX5388955,0.9521830603,-0.027694294100000003
SRX5388957,-1.344156349,-0.0825035881
SRX5388954,0.9354533792,0.0160889027
SRX5388956,-0.5434800904,0.09410897950000001
SRX5388960,2.7981978527,1.0499122761
SRX5388961,2.8164126922,0.9162040724
SRX5388959,4.0655592441,0.8617152773000001
SRX5388958,3.8473694908000002,1.5921046088000002
SRX5388964,1.3008053729,-0.6787074019
SRX5388965,1.4648458616,-0.7639573042000001
SRX5388962,1.5016242212000002,-0.628940475
SRX5388963,1.6783219691,-0.7016472559
SRX6889335,-1.0650478684,-0.4022328844
SRX6889333,1.0650478684,0.4022328844
SRX6810002,0.3676947138,0.11650180140000001
SRX6810004,-0.0029700150000000003,0.0016599804
SRX6810003,-0.3647246987,-0.1181617818
SRX6810006,-1.3976923092,-0.44712885150000004
SRX6810005,-2.6466591789000002,-0.40406125670000004
SRX6810007,-2.6832190361,0.0921289342
ERX1818322,-0.5323067889,-0.3990296546
ERX1818321,0.5323067889,0.3990296546
SRX2617830,-5.8112992788,0.040525576
SRX2617831,-4.0387171747,0.1427831481
SRX2617833,-4.2653744544,-0.045969344100000004
SRX2617832,-2.8815575777999998,0.07286582280000001
SRX2617828,2.9147221961,0.039077327700000004
SRX2617827,2.4568011332,0.11739893200000001
SRX2617829,-5.3715233292,-0.1564762597
SRX3456119,-2.9582555864,0.2166929384
SRX3456118,-2.3134552048,-0.5249755387
SRX3456117,-4.9682208572,-0.6292404958000001
SRX3456101,0.4506016533,0.2220465646
SRX3456099,0.8198510663,0.1111550376
SRX3456100,-1.2704527196,-0.3332016022
SRX3456107,-18.5316137533,1.8979461990000002
SRX3456105,-17.0480586408,1.6257758949
SRX4374122,0.7426006726000001,0.0452852705
SRX4374121,0.6629945394,0.6102187163
SRX4374123,2.0286898747,0.094200342
SRX4374124,-2.7461725884,-0.0899872045
SRX4374125,1.3469612822,-0.11731814230000001
SRX4374126,1.3992113062,0.2073053468
SRX4374127,2.0440093893,0.8635682915
SRX4374128,2.0132392087,1.0008195454
SRX4374129,2.779513432,0.28086310130000003
SRX4374130,0.8811187556000001,-0.9585580484
SRX4374132,1.5041141085,-1.1627766538
SRX4374131,3.5794251963,-1.1075278861
SRX4374133,-0.46950386650000003,0.7281456792000001
SRX4374135,-0.7704476626000001,-0.1907982261
SRX4374134,0.8789712630000001,0.5424109445
SRX4374138,1.9141685062,-1.5807099151
SRX4374136,0.1574439698,-1.0644833643
SRX4374137,2.4246108551,-1.1726277094
SRX1091379,-4.5124787141,-0.0328332364
SRX1091380,-5.2291411491,-0.0250593629
SRX1091377,0.2281408776,0.022013671800000002
SRX1091378,-0.2281408776,-0.022013671800000002
SRX4647145,-0.23406915420000002,-0.0050202551
SRX4647146,-0.6129272325,0.10643082300000001
SRX4647147,-0.48689718530000003,0.0698080628
SRX4647144,0.049199641,0.0062119469
SRX4647143,-0.2553651476,0.023674099400000002
SRX4647142,0.2061655065,-0.0298860463
SRX4647155,-1.9151218795,1.0361035549
SRX4647152,0.6622151274,1.0103411338
SRX4647153,0.3316069052,1.0562296173
SRX4647154,-5.6038670762,0.7555224488000001
SRX4647148,-0.09581753400000001,0.7556911812
SRX4647149,0.33939127150000004,0.8360928698000001
SRX4647151,0.1952596322,0.8139552149
SRX4647150,1.2186066017,0.7549785448
SRX4647123,-0.0693941059,-0.14277290310000001
SRX4647124,0.1074851384,0.1247607345
SRX4647125,-0.038091032500000004,0.0180121686
SRX3103185,-0.3633566183,-0.032962408900000004
SRX3103189,-5.0784917332,-0.2158849306
SRX3103187,0.5962807407,-0.1693827401
SRX3103184,0.7300611561,0.0948587162
SRX3103188,-0.5907676661,0.0913205715
SRX3103186,-0.13929349,-0.1861792877
SRX1372110,4.2842943652,0.7698760423000001
SRX1372111,5.1176881938,0.8532768258000001
SRX1372108,1.2517814126,-0.4370217307
SRX1372109,-1.2517814126,0.4370217307
SRX4506085,0.4276916133,-0.0058182396
SRX4506083,0.42846906700000004,0.06094112300000001
SRX4506089,0.3526617828,0.1338061348
SRX4506087,0.7915810046,0.0630671708
SRX4506077,0.6790966704,0.083602434
SRX4506079,0.8538091415,0.0560187931
SRX4506075,-3.0464187653,-0.23818278180000002
SRX4506081,1.5135129535,0.0985615547
SRX4506084,1.620771311,0.4552818283
SRX4506086,0.5660246193,0.42603526610000003
SRX4506088,1.1141836441,0.3346626238
SRX4506090,2.4672069248,0.3260793704
SRX4506078,1.2879897982,0.4031328712
SRX4506080,1.2486353091,0.4620120781
SRX4506082,0.454256971,0.4547270403
SRX4506076,0.07866842,0.5521677291
SRX5352221,5.871437246,-0.597228881
SRX5352223,7.0849994666,-0.7141152807000001
SRX5352222,4.4425295861,-0.616864896
SRX5352229,1.5944885503,-2.0276404817
SRX5352227,-2.2995872071,-2.2421361601
SRX5352228,1.8681395570000001,-1.9098543641
SRX5352231,4.5523171368,-0.44341776450000003
SRX5352232,4.5311830817,-0.5677187921
SRX5352230,3.4924616913,-0.5279313329
SRX5352225,2.276637902,-0.11905538600000001
SRX5352224,2.9455756703000002,0.4408348359
SRX5352226,3.0696599825,-0.1367272378
SRX5352220,-0.40357828840000004,0.0885911806
SRX5352219,0.0164466493,0.0026120094
SRX5352218,0.38713163910000004,-0.09120318990000001
SRX4498228,1.0180838306,0.1088092404
SRX4498224,-1.028855595,0.1281919396
SRX4498230,0.3104927637,0.0537261615
SRX4498226,1.2248641203,0.0994678281
SRX4498218,-1.3474673997,-0.048134013
SRX4498216,2.6878971112,-0.0095570227
SRX4498220,0.1148790246,-0.0300070805
SRX4498222,-1.455308736,0.08769811620000001
SRX4498225,-0.0694448953,0.0615443488
SRX4498227,-0.28275197290000004,-0.1833183442
SRX4498231,-0.4463773243,-0.1929854282
SRX4498229,-0.246172472,-0.07355853180000001
SRX4498217,-0.7344682612,-0.0049488429
SRX4498221,-2.4109951496,0.0545608751
SRX4498219,-0.0832636253,-0.0284746778
SRX4498223,-2.2770519883,0.1701489346
SRX5079928,0.1967185964,1.1643379170000001
SRX5079930,-0.41188294950000004,0.9296966089
SRX5079929,-0.1154433093,1.1155957754
SRX5079923,-0.8039771996,0.9098896777000001
SRX5079924,-1.4556567731,0.8730117248
SRX5079922,0.4356292491,0.7213049343
SRX5079920,0.43441768420000004,-0.050011400500000004
SRX5079921,-0.1944150725,0.0119048942
SRX5079919,-0.2400026117,0.0381065063
SRX5079926,-0.3552002604,1.0483535714
SRX5079925,-0.40333145610000004,1.0466346536
SRX5079927,0.35331497570000003,1.3312200518
SRX894005,4.0242059898,-0.5851203392000001
SRX894004,3.8849056306,-0.6403893922
SRX894006,4.4317710899,-0.3902267733
SRX893999,-3.4885863952,-0.1905216854
SRX894000,-0.234695493,-0.18711656810000002
SRX893998,3.7232818882,0.37763825360000003
SRX4647489,-0.3354791004,-0.0319352947
SRX4647490,0.3354791004,0.0319352947
SRX4647492,0.5299630618,-0.058575443000000005
SRX4647491,1.3059168623000001,0.014945356000000002
SRX4647496,-4.9745145457,-0.2398348035
SRX4647495,-4.3501763637,0.060017821000000006
SRX4647499,0.0226825667,0.36252524880000003
SRX4647500,-1.2324050778,0.2072495718
SRX4647493,-2.1293395617,0.2547101205
SRX4647494,-3.2934849655000002,0.2516964367
SRX4647497,-1.8479002654,0.3968488774
SRX4647498,-4.1846930148,-0.0062492882000000005
SRX4505482,-2.5724492261,0.067062779
SRX4505486,1.4322868686999999,0.1707088839
SRX4505484,-3.2562401633,-0.06243458700000001
SRX4505473,0.3080080136,0.2332161412
SRX4505476,-0.6388177763,-0.204995522
SRX4505480,0.7462219058,0.0883695384
