,A,Rv2621c
R2,,0.2147364550734171
xmin,,-2.1199643612
xmid,,
xmax,,4.3081166002
ystart,,-5.385989947162477
yend,,9.882969831146788
SRX3995807,-1.531281523,0.181247188
SRX3995806,0.0262459737,0.23405616710000002
SRX3995809,-1.3238326624,0.45968126070000004
SRX3995808,0.3400120613,0.5218181274
SRX4619048,-1.3312056343,0.3273955243
SRX4619047,0.4871558682,0.6667958613
SRX4619049,-0.786547112,0.4332840898
SRX4619050,-1.5965497405,0.47999461400000004
SRX3995804,1.2226811179000001,0.0123935917
SRX3995805,-1.2226811179000001,-0.0123935917
SRX5089845,-3.42369755,-0.23568297130000002
SRX5089844,-3.0329817752,0.0195892241
SRX5089860,0.487328097,0.2335580177
SRX5089859,0.1114272428,-0.0166389282
SRX5089858,-0.5987553398000001,-0.2169190895
SRX5089854,3.6276531245,0.49696925220000004
SRX5089853,4.0855590063,0.563670455
SRX5089852,3.7428931651,0.6010133695000001
SRX5089856,-1.3161032349,0.1000763455
SRX5089855,-1.5383086937,0.0149914247
SRX5089857,-1.1371893204,0.0337186835
SRX5089868,0.5603198219000001,-0.2720183773
SRX5089866,1.7975760139,-0.2221905897
SRX5089867,1.5345767677,-0.3674261748
SRX5089870,-2.0753035556,-0.6988127048
SRX5089869,-2.5844482116,-0.8138632559000001
SRX5089871,-1.9877043637,-0.6185958585
SRX5089846,4.4280843294,-0.44737316590000004
SRX5089848,3.7738508827,-0.7965199517
SRX5089847,4.6522499981,-0.5854757102
SRX5089849,-3.4231016184,-1.1690168082
SRX5089850,-3.64178394,-1.0544198417
SRX5089851,-3.3719666535,-1.0393731399
SRX5089863,0.6804445646,-1.2867575287
SRX5089861,1.3379370927,-1.2615027664
SRX5089862,0.5848139099,-1.1600974678
SRX5089865,-5.7358888618,-2.0941291768
SRX5089864,-6.1027547846,-2.1199643612
SRX5388955,0.5106052113,-0.0657458023
SRX5388957,-0.1752744048,-0.0742572284
SRX5388954,-0.2139644585,0.1289905039
SRX5388956,-0.1213663479,0.0110125268
SRX5388960,10.0644088195,1.7942265607
SRX5388961,8.9656510667,1.8202036195
SRX5388959,9.9103446715,1.9183042153
SRX5388958,9.4380381705,1.7598662807
SRX5388964,5.624697611,0.2300783442
SRX5388965,4.5920177013,0.4341398745
SRX5388962,3.7562368879,0.265790333
SRX5388963,4.9764078214000005,0.2391999594
SRX6889335,0.31972409630000004,0.1557498087
SRX6889333,-0.31972409630000004,-0.1557498087
SRX6810002,-0.07060271330000001,-0.0370871463
SRX6810004,-0.3738407206,-0.5906004641
SRX6810003,0.4444434339,0.6276876104
SRX6810006,1.1764242532,2.5192421698
SRX6810005,0.2168099259,2.1826999417
SRX6810007,1.6155599423,2.5704484926999998
ERX1818322,0.0982985927,-0.2922529117
ERX1818321,-0.0982985927,0.2922529117
SRX2617830,1.5885220199,-0.2737177797
SRX2617831,1.6716590584,-0.10351066660000001
SRX2617833,3.4806521109,-0.1147234015
SRX2617832,4.5283512899,0.312517973
SRX2617828,-0.1026777306,0.051871868200000004
SRX2617827,0.26614184,0.21928841100000002
SRX2617829,-0.1634641094,-0.2711602792
SRX3456119,-0.3842723508,-0.1950507579
SRX3456118,-0.1465379194,0.0526699359
SRX3456117,0.3878212482,-0.2491870907
SRX3456101,-0.1716121088,-0.0354574072
SRX3456099,0.1223841168,0.1312555991
SRX3456100,0.049227992000000005,-0.09579819190000001
SRX3456107,-7.2538895936,-1.1065540692
SRX3456105,-6.6104602253,-0.9846219914000001
SRX4374122,0.5042020785,-0.043594975700000003
SRX4374121,1.2573004707,-0.0181168637
SRX4374123,1.7771488603,-0.3007863008
SRX4374124,-0.47887891860000004,0.1528721761
SRX4374125,0.4123281183,-0.0642778553
SRX4374126,0.0665508003,-0.0885943208
SRX4374127,1.8798317304,0.2725923161
SRX4374128,1.5286607824,0.48994440780000004
SRX4374129,3.1803251348,-0.4378103823
SRX4374130,3.8777391423000003,0.16080678850000002
SRX4374132,4.2539656137,-0.0175086055
SRX4374131,5.1114378158000005,0.0118883935
SRX4374133,1.4748052586,0.2016970137
SRX4374135,2.784863939,-0.2108399457
SRX4374134,1.9006391494,0.1468008116
SRX4374138,2.3052955718,-0.1910185935
SRX4374136,0.9738701964,-0.16790325180000001
SRX4374137,1.8047900217000001,-0.3291008427
SRX1091379,-2.150151014,0.6521049285
SRX1091380,-2.0336056859,0.65823197
SRX1091377,-0.1150241703,-0.0057442709
SRX1091378,0.1150241703,0.0057442709
SRX4647145,-0.0071324335,-0.0855714762
SRX4647146,-0.1770965023,-0.1667864514
SRX4647147,-0.15824511,0.0186569265
SRX4647144,0.0334492538,-0.115898502
SRX4647143,-0.10411907540000001,0.0506574558
SRX4647142,0.0706698216,0.0652410462
SRX4647155,5.5360019709,1.065206997
SRX4647152,6.0458807075,1.2366497183
SRX4647153,5.8746536063,1.0889377431
SRX4647154,5.5743216073,0.7317290934
SRX4647148,3.9686461178,0.6007918294
SRX4647149,4.3668015624,0.3937652039
SRX4647151,4.0629843807,0.5762528161
SRX4647150,4.4378845559,0.6521712552000001
SRX4647123,0.2215100364,0.12344596390000001
SRX4647124,-0.41321348150000003,-0.0730531412
SRX4647125,0.191703445,-0.0503928228
SRX3103185,2.1922710739,-0.028451615700000002
SRX3103189,0.8032881409,0.23235794980000002
SRX3103187,1.0995152446,-0.2850848783
SRX3103184,0.5134680753,-0.5206804303
SRX3103188,-0.7782845883,0.2572110513
SRX3103186,0.26481651300000003,0.263469379
SRX1372110,3.4046833989,2.2185917945
SRX1372111,3.2758915731,0.5713489634000001
SRX1372108,0.36709282590000003,-0.4416250862
SRX1372109,-0.36709282590000003,0.4416250862
SRX4506085,-1.1013927629,-0.07845615310000001
SRX4506083,-0.9089478243,0.008818197100000001
SRX4506089,-1.1640667918,-0.0015735671000000001
SRX4506087,-1.0667854615,-0.0012093229
SRX4506077,0.0606231242,0.059143096400000005
SRX4506079,0.1890169414,0.10269982400000001
