,A,sigH,Rv1828
R2,,0.10675090543812416,0.01921769548418084
xmin,,-2.8738657449,-3.2928379237
xmid,,,-0.9666559293075588
xmax,,2.5959174634,1.4573136751
ystart,,8.179713751275052,3.1613425472240726
yend,,-6.2592205638563465,-2.0768214274820433
SRX3995807,0.4498638821,0.0583772264,-0.0092549829
SRX3995806,1.2233896428,0.1342711997,0.1516319918
SRX3995809,0.6186118011,0.103076394,0.0391772862
SRX3995808,1.6440714982,-0.023874720800000002,0.1658298571
SRX4619048,0.7572361394,0.0765806745,0.0632491493
SRX4619047,1.5144095292,0.0151449672,0.2010368377
SRX4619049,1.3032173785,0.0032807742000000003,0.0030344654
SRX4619050,1.1757850193000001,0.2081401239,0.0425558079
SRX3995804,-0.8579652360000001,0.3483013232,-0.0717883513
SRX3995805,0.8579652360000001,-0.3483013232,0.0717883513
SRX5089845,1.2405896263,-0.30465752560000003,0.2495413229
SRX5089844,1.7002553709,-0.36598790200000003,0.1493476108
SRX5089860,0.5223754708,-0.10331236020000001,0.0035306071000000003
SRX5089859,-0.27392452240000004,-0.042317470100000004,-0.0269125937
SRX5089858,-0.24845094850000002,0.1456298303,0.0233819867
SRX5089854,-0.0734142354,-1.0073581019,0.626612206
SRX5089853,-0.1824909057,-1.1289458684,0.6271225073000001
SRX5089852,-0.3912882265,-0.8239116669000001,0.6268334671
SRX5089856,0.0218952562,-1.0084564054,0.5177146051
SRX5089855,-0.1360542777,-0.7858569042,0.378301115
SRX5089857,0.06327565710000001,-1.048449355,0.5398105138
SRX5089868,-1.2072952953,-1.0660539273,0.8081419175000001
SRX5089866,-1.2767381967,-1.0405838943,0.7779172119000001
SRX5089867,-1.6796503547000001,-1.1815057387,0.8373841838
SRX5089870,-1.8008106764,-0.9422664307,0.1978317582
SRX5089869,-2.0081544593,-0.7348053946,0.3725130621
SRX5089871,-1.7118464136,-0.6623702048,0.2211580995
SRX5089846,-3.2726708416,-0.9979356082,0.3694662603
SRX5089848,-3.1466614827,-1.089088914,0.5490003858
SRX5089847,-3.4898454121,-1.307374409,0.31957845300000004
SRX5089849,2.7466383798000003,-1.1483072521,0.4807758693
SRX5089850,3.3202087668,-1.3428662889,0.4552660684
SRX5089851,2.9864629689,-1.2229595377,0.5784483094
SRX5089863,-2.0856949093,-1.5392303591,0.7767499438000001
SRX5089861,-2.6298945639999998,-1.4222940951,0.7299124962
SRX5089862,-2.695980166,-1.5240568855,0.6695365790000001
SRX5089865,5.4458791986,-1.7160331800000002,0.3534196101
SRX5089864,4.3738677462,-1.361497108,0.3967774988
SRX5388955,0.5810661369,-0.0529820497,0.0428381605
SRX5388957,0.0161678012,0.0638539899,-0.042201663300000004
SRX5388954,-0.3931228639,-0.0180583965,-0.0165798247
SRX5388956,-0.20411107420000002,0.0071864562,0.0159433275
SRX5388960,-3.5254206442,-0.1453999322,0.5204444954
SRX5388961,-4.8428643769,-0.1533765702,0.4782385967
SRX5388959,-3.541702055,-0.1523125876,0.48054155060000003
SRX5388958,-3.4929111765,-0.153426157,0.42141401440000004
SRX5388964,-5.8318363807,-0.27789061200000004,0.2099066857
SRX5388965,-7.0448117902,-0.2890163615,0.1864625748
SRX5388962,-6.6881794962,-0.2133824799,0.0782378457
SRX5388963,-6.5131329795,-0.2204069491,0.1772935671
SRX6889335,0.5703739924,0.311642762,-0.059339306
SRX6889333,-0.5703739924,-0.311642762,0.059339306
SRX6810002,-0.2336015804,0.1215466719,-0.06885129770000001
SRX6810004,0.4268746599,-0.17407239100000002,-0.0169621821
SRX6810003,-0.1932730795,0.0525257191,0.08581347980000001
SRX6810006,3.6121696595,1.0457034949,0.2998567244
SRX6810005,4.198952932,1.1195981661,0.2779125991
SRX6810007,4.4242918029,0.9646039638,0.2922634618
ERX1818322,-1.2875092244,-0.0030573447000000003,0.10807949100000001
ERX1818321,1.2875092244,0.0030573447000000003,-0.10807949100000001
SRX2617830,-5.6289114447,0.2251996675,-0.0278554939
SRX2617831,-5.5391362665,0.0479498952,-0.0840069788
SRX2617833,-3.9193095641,0.4758324767,-0.0846064512
SRX2617832,-3.4081398524,0.3266513561,0.0018305675000000001
SRX2617828,0.14880980030000002,-0.0347839221,-0.0843047179
