,A,devR
R2,,0.6136312864158362
xmin,,-3.8857855916
xmid,,-2.440621197896702
xmax,,5.5357560441
ystart,,-15.40255530324191
yend,,38.74484256819628
SRX3995807,0.5909278863,0.1440828361
SRX3995806,0.7711708235,0.1756288315
SRX3995809,0.5420925511,0.1622708643
SRX3995808,-0.0759489795,0.3262798163
SRX4619048,0.49175861800000004,0.1055125184
SRX4619047,0.26225947580000003,0.1793820899
SRX4619049,1.4018502368,0.2755147267
SRX4619050,0.0639749802,0.0330585823
SRX3995804,0.42933951470000004,-0.0375905442
SRX3995805,-0.42933951470000004,0.0375905442
SRX5089845,-0.0603958639,1.6260483492
SRX5089844,0.6527549973,1.5723669840999999
SRX5089860,0.228085491,0.0652521539
SRX5089859,0.0877162636,-0.035575427800000003
SRX5089858,-0.3158017546,-0.029676726100000002
SRX5089854,-14.4353649358,0.17223473620000002
SRX5089853,-14.7635884989,0.1433585961
SRX5089852,-17.8251764963,0.2782411473
SRX5089856,-4.0563428866,1.1521427924
SRX5089855,-5.1442828812,1.144336512
SRX5089857,-3.3029699261,1.158191378
SRX5089868,-12.1706491818,-2.2045942243
SRX5089866,-13.9571457885,-2.6468425896000003
SRX5089867,-13.69799163,-2.4623414277
SRX5089870,-5.9412287346,-0.9134443867
SRX5089869,-5.5486995283,-0.8150375574000001
SRX5089871,-5.1042649933,-0.8608099574
SRX5089846,-19.1855017796,-0.1226792614
SRX5089848,-15.6777674316,-0.052958167800000004
SRX5089847,-18.253151266,-0.2888270243
SRX5089849,-6.6069712501,1.1416200114
SRX5089850,-6.2329398235,1.0145852368
SRX5089851,-5.1010707243,1.0847818923
SRX5089863,-17.8232198019,-3.2357864825
SRX5089861,-15.7810099678,-3.0556694819
SRX5089862,-16.3446334832,-3.2795514954
SRX5089865,-3.6027376949,-0.2148192468
SRX5089864,-4.1760245249,-0.4757668984
SRX5388955,-0.2104818474,0.0197201374
SRX5388957,0.3744452789,-0.0200292016
SRX5388954,0.0138826572,0.0288415646
SRX5388956,-0.17784608870000002,-0.0285325004
SRX5388960,-5.5458208143,0.3404284779
SRX5388961,-4.6240306869,0.49367555420000003
SRX5388959,-5.7039145305000005,0.27920957020000003
SRX5388958,-5.7196055813,0.6522132496
SRX5388964,3.6628343336,0.2166602944
SRX5388965,2.9184732647000002,0.42070033640000004
SRX5388962,3.8581742622,0.4946900453
SRX5388963,3.6297163225,0.4209718274
SRX6889335,-3.8817998622000003,-0.1394734326
SRX6889333,3.8817998622000003,0.1394734326
SRX6810002,-0.031028983500000003,0.1272006158
SRX6810004,1.1892429766000001,0.2065844511
SRX6810003,-1.1582139931,-0.33378506690000004
SRX6810006,-2.8864258756,-1.4001018818
SRX6810005,-2.5153367745,-1.1109224643
SRX6810007,-3.5295542035,-1.4245103271000001
ERX1818322,3.6270922283,0.2117428643
ERX1818321,-3.6270922283,-0.2117428643
SRX2617830,-0.3049214632,-0.5055499141
SRX2617831,-0.5875635525,-0.47137565410000004
SRX2617833,3.1027628294,-0.615034097
SRX2617832,2.7783700097,-0.6335525578
SRX2617828,-0.13860352750000002,0.0052512911
SRX2617827,-0.20478314800000003,-0.0328627432
SRX2617829,0.3433866756,0.0276114521
SRX3456119,0.1663266149,0.9465753677000001
SRX3456118,0.3497579252,0.7333985656
SRX3456117,1.0289039343,-0.0592995849
SRX3456101,-0.186284061,-0.0868112211
