locus,gene_weight,gene_name,gene_product,COG,operon,regulator,phoP,link
Rv3312A,0.2029483966,Rv3312A,pilin,Function unknown,Op2075,"Rv0023,Rv0135c,Rv0302,phoP,devR,whiB4",True,https://mycobrowser.epfl.ch/genes/Rv3312A
Rv2331,0.1715900435,Rv2331,hypothetical protein,Energy production and conversion,Op1469,"Rv0135c,Rv0678,Rv0691c,phoP,trcR,Rv1353c,sigH,whiB2,whiB4",True,https://mycobrowser.epfl.ch/genes/Rv2331
Rv1184c,0.1626676663,Rv1184c,hypothetical protein,Cell motility,Op775,"Rv0023,Rv0047c,Rv0081,Rv0135c,Rv0324,Rv0494,Rv0678,phoP,csoR,Rv1353c,Rv1776c,Rv2011c,Rv3249c,lsr2,whiB4,Rv3736",True,https://mycobrowser.epfl.ch/genes/Rv1184c
Rv3312b,0.14868090550000002,Rv3312b,hypothetical protein,No COG annotation,Op2074,,False,https://mycobrowser.epfl.ch/genes/Rv3312b
Rv3487c,0.1482206731,lipF,carboxylesterase LipF,Lipid transport and metabolism,Op2185,"phoP,Rv0767c,csoR,mprA,mprB,Rv2034,lsr2,Rv3830c",True,https://mycobrowser.epfl.ch/genes/Rv3487c
Rv3825c,0.14097558030000001,pks2,phthioceranic/hydroxyphthioceranic acid synthase,"Secondary metabolites biosynthesis, transport, and catabolism",Op2393,"whiB5,Rv0023,Rv0047c,Rv0081,Rv0135c,Rv0324,Rv0678,csoR,mprA,mprB,trcR,Rv1049,Rv1353c,whiA,Rv1719,Rv1776c,Rv1816,mbcA,Rv2011c,Rv2034,Rv2324,Rv2912c,lrpA,Rv3488,kstR,whiB4,Rv3736,Rv3830c,espR,sigM",False,https://mycobrowser.epfl.ch/genes/Rv3825c
Rv2395B,0.1404763214,aprB,acid and phagosome regulated protein AprB,No COG annotation,Op1514,,False,https://mycobrowser.epfl.ch/genes/Rv2395B
Rv2395A,0.130903237,aprA,acid and phagosome regulated protein AprA,No COG annotation,Op1513,,False,https://mycobrowser.epfl.ch/genes/Rv2395A
Rv1180,0.1245425461,pks3,polyketide beta-ketoacyl synthase,"Secondary metabolites biosynthesis, transport, and catabolism",Op773,"Rv0047c,Rv0081,Rv0678,phoP,Rv0880,mprA,mprB,Rv1353c,lysG,hrcA,Rv2642,kstR,lsr2,whiB4,sigM",True,https://mycobrowser.epfl.ch/genes/Rv1180
Rv3478,0.11647011430000001,PPE60,PE family protein PPE60,Cell motility,Op2176,"Rv0023,Rv0047c,Rv0081,Rv0302,tcrA,phoP,mprA,mprB,trcR,Rv1473A,Rv1776c,Rv1816,Rv2011c,Rv2034,Rv2887,Rv3249c,lsr2,sigM",True,https://mycobrowser.epfl.ch/genes/Rv3478
