,A,phoP
R2,,0.10663661031376226
xmin,,-1.7003909253
xmid,,-0.1474871023127484
xmax,,1.2815073978
ystart,,0.9486421044874696
yend,,-9.290327322967658
SRX3995807,-2.6613044937,0.24669375500000001
SRX3995806,-3.0959310808,0.1694783409
SRX3995809,-2.3003408782,0.2876342793
SRX3995808,-3.1427990088,0.1480415022
SRX4619048,-2.5783530111,0.2841223318
SRX4619047,-3.4629596174,0.1943783325
SRX4619049,-3.0016367505,0.2283299122
SRX4619050,-2.9512301523,0.23310922520000002
SRX3995804,-0.1298005887,0.12592340900000001
SRX3995805,0.1298005887,-0.12592340900000001
SRX5089845,-3.0157576965,0.0468887594
SRX5089844,-4.089676972,0.0548044825
SRX5089860,-0.6320857382,-0.0912597356
SRX5089859,-0.2007132597,0.0344843643
SRX5089858,0.8327989979,0.0567753713
SRX5089854,-13.2719690596,0.8078684346
SRX5089853,-13.8319011179,0.7065613056000001
SRX5089852,-14.4503151138,0.9088486117000001
SRX5089856,-4.7801871887,0.3808317648
SRX5089855,-5.5375743087,0.4991288937
SRX5089857,-4.3119328132,0.3939367507
SRX5089868,-3.7544302684,0.9150710309000001
SRX5089866,-4.0627710506,0.8765963962000001
SRX5089867,-3.7456640467,0.8662976744
SRX5089870,0.4184531704,0.1184927842
SRX5089869,0.5978525017,0.1946048987
SRX5089871,-0.3430968809,0.2090005168
SRX5089846,-14.3701487943,0.4355049962
SRX5089848,-11.938864614,0.3708954926
SRX5089847,-12.831713829,0.3311765547
SRX5089849,-4.0920046979,0.535924783
SRX5089850,-3.1504222662,0.3305580951
SRX5089851,-2.5877120745999997,0.3028017712
SRX5089863,0.155205645,0.1928625314
SRX5089861,-0.5069835252,0.3687536628
SRX5089862,-0.034256029800000004,0.4045555411
SRX5089865,3.133561273,-0.11577577480000001
SRX5089864,3.6790202801,-0.0223403485
SRX5388955,0.11784712330000001,0.1005621794
SRX5388957,0.3030448743,0.019511856600000002
SRX5388954,-0.0730352117,-0.0149457409
SRX5388956,-0.3478567859,-0.1051282951
SRX5388960,-10.1338971248,0.5672441572
SRX5388961,-11.5912417061,0.6718613188
SRX5388959,-10.1413140307,0.44090796
SRX5388958,-9.712681942,0.4172933492
SRX5388964,1.5158805743000001,-0.12072423600000001
SRX5388965,0.7602781975,-0.23495467350000002
SRX5388962,0.19032871640000001,-0.1611450965
SRX5388963,1.0141953812,-0.1423870897
SRX6889335,3.7508228132,-0.4404272758
SRX6889333,-3.7508228132,0.4404272758
SRX6810002,0.9278079481,0.1353183484
SRX6810004,-0.9042864272000001,-0.0032534769000000002
SRX6810003,-0.023521520900000002,-0.1320648716
SRX6810006,-13.1736199818,0.6617872468
SRX6810005,-13.1360985419,0.9412686796
SRX6810007,-13.6813261788,0.3282193983
ERX1818322,0.9480718134,0.1496038921
ERX1818321,-0.9480718134,-0.1496038921
SRX2617830,0.4187687344,-0.1957301321
SRX2617831,0.1675455612,-0.2666725984
SRX2617833,0.2420927592,0.16996439160000001
SRX2617832,0.0147561748,0.056683979
SRX2617828,-0.0728226882,0.026596588
SRX2617827,-0.17596640030000002,-0.0062043018
SRX2617829,0.2487890885,-0.0203922862
SRX3456119,-0.4965075185,-0.065796296
SRX3456118,-1.5087278778000002,-0.2782448762
SRX3456117,0.31369919160000004,-0.1145634393
SRX3456101,0.828830437,-0.010967956400000001
SRX3456099,-0.1652667566,0.0753479148
SRX3456100,-0.6635636803,-0.0643799583
SRX3456107,16.1540775873,-0.1773307412
SRX3456105,16.526348779,-0.31557004580000003
SRX4374122,0.4426164528,0.5444852795
SRX4374121,0.2917914035,0.5452084793
SRX4374123,1.0642024229,0.4146918392
SRX4374124,0.7801528319000001,0.0473924858
SRX4374125,-0.5861567501,-0.0705632264
SRX4374126,-0.1939960818,0.0231707406
SRX4374127,-4.5004375372,-0.1193559597
SRX4374128,-4.2841474153,0.0301328189
SRX4374129,-2.4729323848,-0.2713421429
SRX4374130,-1.2755365232,-0.1345006249
SRX4374132,-3.4393404172,-0.4490215182
SRX4374131,-3.4760562606,-0.3013958782
SRX4374133,-3.5446482009,0.2940143161
SRX4374135,-7.1584257966,-0.0908800914
SRX4374134,-6.3390344751,0.09649096480000001
SRX4374138,-3.6374999514,-0.6774309549
SRX4374136,-1.8953439736000002,-0.34464899320000003
SRX4374137,-3.3084834278,-0.49743399380000003
SRX1091379,3.0466068552,-0.7846745001000001
SRX1091380,2.7922506917,-0.7489923938
SRX1091377,0.0877058921,0.0018230303000000001
SRX1091378,-0.0877058921,-0.0018230303000000001
SRX4647145,-0.13558219200000002,0.0329910925
SRX4647146,0.056083513,0.11952205860000001
SRX4647147,0.13135760600000002,0.0716047696
SRX4647144,-0.0646878879,-0.0081355448
SRX4647143,0.116718315,0.0555935159
SRX4647142,-0.0520304271,-0.0474579711
SRX4647155,-10.2760691251,0.15725443020000002
SRX4647152,-10.4012809311,0.1136547837
SRX4647153,-10.2783150094,0.16437540380000001
SRX4647154,-10.2438499485,0.2309667595
SRX4647148,-9.2317258414,-0.1322498695
SRX4647149,-9.3672751833,-0.1027702412
SRX4647151,-9.2665983177,-0.11932252730000001
SRX4647150,-9.5258691561,-0.0960593456
SRX4647123,-0.026870951100000002,0.0487760255
SRX4647124,-0.1377950861,-0.0501105174
SRX4647125,0.1646660372,0.0013344919
SRX3103185,-3.3623689200999998,-0.2566489594
SRX3103189,-3.3425334412,-0.041847670000000003
SRX3103187,-3.0977643577,-0.3484249525
SRX3103184,0.6327901877000001,-0.0167743744
SRX3103188,-1.6457089067,0.0530738568
SRX3103186,1.012918719,-0.0362994824
SRX1372110,-7.9702605470000005,0.34944254010000003
SRX1372111,-6.5779424279,0.1865743755
SRX1372108,1.5616567853,-0.0236054766
SRX1372109,-1.5616567853,0.0236054766
SRX4506085,0.0615476594,0.2187941975
SRX4506083,-0.14420414580000002,0.1360499682
SRX4506089,-0.12596753100000002,0.1098821519
SRX4506087,-0.12912641830000002,0.11457664320000001
SRX4506077,0.2531239101,0.0271879309
SRX4506079,-0.0612481463,-0.095308023
SRX4506075,0.07078230170000001,0.0653146765
SRX4506081,-0.2626580655,0.0028054156
SRX4506084,-6.955186476,0.10379475710000001
SRX4506086,-6.9713788148999996,0.15170544960000001
SRX4506088,-6.9391879155,0.1362874417
SRX4506090,-7.1259863777,0.036306596000000003
SRX4506078,-7.952630935,0.114534308
SRX4506080,-7.7695924874,0.0088825546
SRX4506082,-8.0833931494,0.0575800828
SRX4506076,-7.409031637,0.0417415765
SRX5352221,2.5084253079,0.0329219989
SRX5352223,1.9911146216,0.0310085643
SRX5352222,2.4366728505,0.12645037380000002
SRX5352229,3.5372647491,-0.3325024875
SRX5352227,3.848815168,-0.1379282235
SRX5352228,3.6623071062,-0.18306604540000002
SRX5352231,-0.045318723400000004,-1.7003909253
SRX5352232,0.8854168508,-1.3464458959
SRX5352230,0.8848108956,-1.627958729
SRX5352225,6.551932041,-0.1630851217
SRX5352224,7.0742892606,-0.1528843679
SRX5352226,8.1491023721,-0.3911415922
SRX5352220,-0.3565269345,0.071451736
SRX5352219,-0.1547437862,-0.0159549157
SRX5352218,0.5112707207,-0.055496820200000005
SRX4498228,-0.1529213501,-0.022120855300000002
SRX4498224,0.204665693,0.1353043709
SRX4498230,-0.1239142507,0.091486386
SRX4498226,-0.5349158989,-0.1404396667
SRX4498218,-0.0448434402,0.0884340854
SRX4498216,-0.3530569982,0.0013270955
SRX4498220,0.5609565385,-0.0704907121
SRX4498222,-0.16305609999999998,-0.0192704687
SRX4498225,2.5084586305,0.0942093893
SRX4498227,2.5498181735000003,0.1729666537
SRX4498231,2.400156794,0.1180226266
SRX4498229,2.1462067171,0.08686001700000001
SRX4498217,2.4105847584,0.025498315900000002
SRX4498221,2.4392172954999998,0.0826027577
SRX4498219,2.7482526084,0.0308828609
SRX4498223,2.0867694216,-0.038279415000000004
SRX5079928,-1.3651182111,-0.3936177805
SRX5079930,-1.4588735035,-0.2852581082
SRX5079929,-1.4076238654,-0.2797488232
SRX5079923,-1.3212372424,-0.2754495176
SRX5079924,-0.9680763651000001,-0.3325010881
SRX5079922,-1.3078089377,-0.2259132915
SRX5079920,-0.1087488534,-0.0144564418
SRX5079921,0.2760512001,-0.0602005672
SRX5079919,-0.1673023467,0.07465700900000001
SRX5079926,-1.3937844018,-0.334581493
SRX5079925,-1.1329585157,-0.2205390325
SRX5079927,-1.4263850645,-0.3416072069
SRX894005,-11.1583118691,-1.1865708114
SRX894004,-11.3337656577,-1.6714188588
SRX894006,-10.565900441,-1.4261427423
SRX893999,0.6126190543000001,-0.056305156
SRX894000,0.0233809951,0.1169183436
SRX893998,-0.6360000494,-0.0606131876
SRX4647489,0.2837966659,0.0244298739
SRX4647490,-0.2837966659,-0.0244298739
SRX4647492,-0.1211977682,0.014227179900000001
SRX4647491,-0.6003471679,0.12231736330000001
SRX4647496,-0.011074947100000001,-0.011519699100000001
SRX4647495,-0.30978759580000004,0.059892601600000005
SRX4647499,-0.7567982439000001,-0.1006196536
SRX4647500,-0.7923105216,-0.0471627753
SRX4647493,-1.4452497438,0.049713152600000005
SRX4647494,-1.3177211991,0.10279788520000001
SRX4647497,-0.7390180118,-0.0461912892
SRX4647498,-0.4646182675,0.0303151514
SRX4505482,0.5138897554,0.0367172948
SRX4505486,0.2604888586,-0.1155625275
SRX4505484,0.9424506828,0.1754886763
SRX4505473,0.3897298239,-0.1357601956
SRX4505476,-0.206065772,0.0033608132000000003
SRX4505480,0.1058183617,-0.058560023
SRX4505478,0.1160943822,-0.0488045047
SRX4505474,-0.0158469719,0.1040037144
SRX4505483,-7.7232962726,-0.5159960275000001
SRX4505485,-7.614205933,-0.4544312492
SRX4505487,-7.6589755822,-0.3302581143
SRX4505488,-7.9531951087,-0.341993107
SRX4505481,-7.8646074226,-0.39968758200000004
SRX4505477,-8.2045338226,-0.5480072249
SRX4505475,-8.4242540003,-0.48406825330000003
SRX4505479,-7.760061236,-0.3529299637
SRX4605773,-0.0680544559,-0.0104088885
SRX4605774,-0.114835667,0.0415173127
SRX4605772,-0.2931849794,0.0169914097
SRX4605771,0.2931849794,-0.0169914097
SRX5178871,-0.6201713011000001,0.1018427616
SRX5178872,-0.5801954393000001,-0.1486772265
SRX5178868,0.085475437,0.1761292454
SRX5178870,0.2959764977,-0.11597677760000001
SRX5178869,-0.3814519348,-0.060152467800000005
ERX1404045,0.4544953814,0.0488326152
ERX1404046,-0.4544953814,-0.0488326152
ERX1404043,-0.1794449938,-0.2906329641
ERX1404044,0.5107636796,-0.1037865807
ERX237502,-5.3068449721,-0.4748587965
ERX237505,-5.289238716,-0.3572982568
ERX237506,-5.5836598969,-0.675523292
ERX237500,-1.7841930435000002,-0.5909411516
ERX237497,-2.2704202771,-0.4526676012
ERX237499,-1.1351049583,-0.5418905902
ERX237507,0.023994868000000003,-0.0814889513
ERX237496,0.1315517899,0.0609547771
ERX237504,-0.155546658,0.0205341742
ERX3772318,0.0633297106,0.0950163005
ERX3772320,-0.24628926510000002,0.1570164876
ERX3772319,-0.9171274239,0.027741976600000003
ERX3772321,1.1094405719,0.113364452
ERX3772322,-0.20909042590000002,-0.0806139782
ERX3772323,-0.9003501460000001,-0.0327504738
SRX4314262,0.2726125197,-0.043916405000000006
SRX4314263,0.7118226390000001,-0.1211204308
SRX4314261,-0.9844351587000001,0.1650368358
SRX4314265,-4.0282162285,0.1940730735
SRX4314266,-5.2897015448,0.080597033
SRX4314264,-3.2825394162,0.1099239276
SRX4314268,-1.146705253,0.2291944907
