locus,gene_weight,gene_name,gene_product,COG,operon,regulator,Rv1776c,whiB4,link
Rv0251c,0.2023489642,hsp,heat shock protein,"Post-translational modification, protein turnover,and chaperones",Op175,"Rv0023,hspR,phoP,Rv0818,trcR,Rv1776c,Rv1816,sigH,lsr2,whiB4,HPT-2b Induced",True,True,https://mycobrowser.epfl.ch/genes/Rv0251c
Rv2745c,0.1721332161,clgR,transcriptional regulator ClgR,Transcription,Op1735,"Rv0302,csoR,lsr2,whiB4,Rv3736",False,True,https://mycobrowser.epfl.ch/genes/Rv2745c
Rv2053c,0.1652872182,fxsA,transmembrane protein FxsA,Function unknown,Op1285,"Rv0047c,csoR,Rv1049,Rv1776c,Rv1816,whiB4",True,True,https://mycobrowser.epfl.ch/genes/Rv2053c
Rv2052c,0.14654240370000002,Rv2052c,hypothetical protein,Function unknown,Op1285,"Rv0047c,csoR,Rv1776c,Rv1816",True,False,https://mycobrowser.epfl.ch/genes/Rv2052c
Rv2710,0.1444260105,sigB,RNA polymerase sigma factor SigB,Transcription,Op1710,"Rv0023,Rv0081,Rv0494,sigL,trcR,sigE,Rv1816,Rv2011c,Rv2250c,sigH,whiB4",False,True,https://mycobrowser.epfl.ch/genes/Rv2710
Rv0351,0.1292446659,grpE,stress response protein GrpE,"Post-translational modification, protein turnover,and chaperones",Op240,"Rv0324,hspR,senX3,regX3,tcrA,Rv0678,sigI,Rv1353c,whiA,Rv1776c,Rv1816,Rv2034,Rv2989,devR,whiB4",True,True,https://mycobrowser.epfl.ch/genes/Rv0351
Rv0563,0.1265172002,htpX,protease HtpX,"Post-translational modification, protein turnover,and chaperones",Op370,"Rv0691c,Rv1167c,whiA,Rv1719,Rv1776c,Rv1816,Rv2011c,Rv3249c,whiB4",True,True,https://mycobrowser.epfl.ch/genes/Rv0563
Rv2744c,0.1247462342,35kd_ag,hypothetical protein,Transcription,Op1734,"Rv0302,Rv0678,csoR,whiA,Rv1776c,Rv2034,lsr2,whiB4,Rv3736",True,True,https://mycobrowser.epfl.ch/genes/Rv2744c
Rv0350,0.1240536002,dnaK,chaperone protein DnaK,"Post-translational modification, protein turnover,and chaperones",Op240,"Rv0324,Rv0678,csoR,sigI,Rv1353c,Rv1776c,Rv1816,devR,sigH,kstR,whiB4,Rv3830c",True,True,https://mycobrowser.epfl.ch/genes/Rv0350
Rv2694c,0.1231145253,Rv2694c,hypothetical protein,Transcription,Op1696,"Rv0023,Rv0302,lsr2",False,False,https://mycobrowser.epfl.ch/genes/Rv2694c
Rv1073,0.1182593306,Rv1073,hypothetical protein,Function unknown,Op698,"Rv0081,Rv0324,Rv0767c,csoR,Rv1219c,Rv1353c,Rv1473A,Rv1776c,Rv1816,Rv2034,Rv2989,Rv3249c,kstR,whiB4,Rv3736",True,True,https://mycobrowser.epfl.ch/genes/Rv1073
Rv2743c,0.1177579076,Rv2743c,hypothetical protein,No COG annotation,Op1734,"Rv0081,Rv0302,csoR,whiA,Rv1776c,Rv2034,lsr2,whiB4,Rv3736",True,True,https://mycobrowser.epfl.ch/genes/Rv2743c
Rv1072,0.11711790130000001,Rv1072,transmembrane protein,Function unknown,Op697,"csoR,Rv1219c,Rv1776c,Rv1816,Rv2034,Rv2250c,Rv3249c,whiB4",True,True,https://mycobrowser.epfl.ch/genes/Rv1072
Rv0352,0.1064635017,dnaJ1,chaperone protein DnaJ,"Post-translational modification, protein turnover,and chaperones",Op240,"Rv0324,hspR,tcrA,Rv0678,csoR,sigI,Rv1353c,whiA,Rv1776c,Rv1816,Rv2989,devR,kstR,whiB4,Rv3830c",True,True,https://mycobrowser.epfl.ch/genes/Rv0352
Rv0353,0.10419947140000001,hspR,heat shock protein transcriptional repressor HspR,Transcription,Op240,"Rv0081,Rv0324,hspR,tcrA,Rv0678,Rv0691c,whiA,Rv1776c,Rv1816,Rv2989,devR,kstR,whiB4,Rv3830c",True,True,https://mycobrowser.epfl.ch/genes/Rv0353
Rv2742c,0.09095649800000001,Rv2742c,hypothetical protein,No COG annotation,Op1733,"Rv0135c,mprA,mprB",False,False,https://mycobrowser.epfl.ch/genes/Rv2742c
Rv0250c,0.089562103,Rv0250c,hypothetical protein,No COG annotation,Op174,"Rv0023,Rv0081,Rv0135c,hspR,Rv0678,phoP,Rv0818,trcR,Rv1353c,Rv1473A,Rv1816,devR,lsr2,whiB4",False,True,https://mycobrowser.epfl.ch/genes/Rv0250c
Rv3837c,0.0880287065,Rv3837c,phosphoglycerate mutase,Carbohydrate transport and metabolism,Op2402,"mprA,mprB,Rv3249c",False,False,https://mycobrowser.epfl.ch/genes/Rv3837c
Rv2693c,0.07941003890000001,Rv2693c,integral membrane protein,Function unknown,Op1696,"Rv0023,Rv0302,devR,Rv3249c,lsr2",False,False,https://mycobrowser.epfl.ch/genes/Rv2693c
Rv2051c,0.0791035145,ppm1,polyprenol-monophosphomannose synthase,Cell wall/membrane/envelope biogenesis,Op1284,"Rv0135c,csoR,Rv1719,Rv1776c,Rv3736",True,False,https://mycobrowser.epfl.ch/genes/Rv2051c
Rv0384c,0.0776226468,clpB,chaperone protein ClpB,"Post-translational modification, protein turnover,and chaperones",Op260,"Rv0195,Rv0653c,csoR,mprA,mprB,Rv1353c,Rv1719,sigH,whiB4",False,True,https://mycobrowser.epfl.ch/genes/Rv0384c
