,A,Rv1776c,whiB4
R2,,0.07901309475585505,0.02665868922351433
xmin,,-4.0053163404,-2.8338575925000002
xmid,,-2.2114926615570316,-0.8816503937288696
xmax,,2.9926371777,2.9839660519
ystart,,-3.0094304805561682,2.4500016954588597
yend,,7.1145054032932835,-3.5442041143079273
SRX3995807,-3.574916096,0.4562606302,0.23128037340000002
SRX3995806,-3.4155530027,0.3429211515,0.3081656839
SRX3995809,-3.4002778378,0.4796383482,0.1287653623
SRX3995808,-1.8632542214,0.29673076200000004,0.3142531538
SRX4619048,-3.5571444402,0.4180682241,0.2309327669
SRX4619047,-2.5072826542,0.27867191680000003,0.2738506978
SRX4619049,-2.9461352582,0.562271089,0.0797832341
SRX4619050,-3.3077540258,0.3284921959,0.10801114090000001
SRX3995804,0.5507672946000001,0.0812570353,0.1309597076
SRX3995805,-0.5507672946000001,-0.0812570353,-0.1309597076
SRX5089845,1.2453155249,-0.18787955990000002,-0.0549835069
SRX5089844,1.0718229834,-0.2255917912,-0.17211430590000001
SRX5089860,0.0810591437,-0.0884106711,-0.0978090488
SRX5089859,0.0942807296,0.0042296459000000005,-0.0269096698
SRX5089858,-0.1753398733,0.0841810253,0.1247187186
SRX5089854,-3.3899866481,1.1711430873,-0.7631591471
SRX5089853,-3.4042877673,1.1439911768,-0.8938424622000001
SRX5089852,-2.6193987629,1.3366961018,-0.6334991198000001
SRX5089856,-5.9879712116,-0.2098960469,-0.438156111
SRX5089855,-5.8598114666,-0.0650683724,-0.278265505
SRX5089857,-5.9168836361,-0.0691405606,-0.4577993011
SRX5089868,-3.119307983,1.5769642157,-0.24567028130000002
SRX5089866,-2.3579739038,1.694816496,-0.38611053160000003
SRX5089867,-3.0110716157,1.5813833339,-0.3013259803
SRX5089870,-4.3532701677,-0.1270944907,-0.6180494082
SRX5089869,-4.2331779103,-0.08635452960000001,-0.33819380330000004
SRX5089871,-3.9768928372000003,0.0854312745,-0.1647550437
SRX5089846,-7.5299649417,0.7758733158000001,-0.3908796975
SRX5089848,-8.1737239329,0.6377300919000001,-0.28630188300000003
SRX5089847,-7.6479649486,0.31879068180000003,-0.6136113873
SRX5089849,-10.9341010785,-0.0501737214,-0.0752368971
SRX5089850,-11.1265303626,-0.1657575741,-0.28406142830000003
SRX5089851,-11.1902413339,-0.2306580474,-0.14462835470000002
SRX5089863,-9.8332957956,1.0375136818,-0.1907200533
SRX5089861,-8.2525260713,1.147255723,-0.1783513531
SRX5089862,-9.368373598,1.2043790733,-0.115649445
SRX5089865,-9.5719783979,-0.4090523331,-0.2928373435
SRX5089864,-9.4929204694,-0.40869503560000003,-0.3320693128
SRX5388955,0.3660432777,-0.14376263720000002,-0.1376215524
SRX5388957,-0.0887547519,0.0255209263,0.0470967378
SRX5388954,-0.032409613000000004,0.10155207270000001,0.0002360691
SRX5388956,-0.24487891280000001,0.0166896382,0.0902887455
SRX5388960,9.8815220357,0.3672457038,-1.0699971448
SRX5388961,9.5644630525,0.50062688,-1.0190079243
SRX5388959,9.2798923973,0.43816989770000003,-1.0173068858
SRX5388958,9.3719901917,0.4594893319,-1.1500019702
SRX5388964,10.9945876755,0.0214519717,-0.6177867091
SRX5388965,10.3737023197,0.2682614045,-0.7793247583
SRX5388962,9.3898776956,0.2441837011,-0.6563166691
SRX5388963,10.7081686165,0.10653805420000001,-0.7396799819000001
SRX6889335,-0.49594564480000003,0.1697072885,-0.3036202349
SRX6889333,0.49594564480000003,-0.1697072885,0.3036202349
SRX6810002,0.0200405398,0.22017086130000002,-0.0943206229
SRX6810004,-0.5975351214,-0.0435369028,-0.0118882721
SRX6810003,0.5774945816,-0.1766339585,0.1062088949
SRX6810006,5.6815197446,1.03490019,0.37153676680000003
SRX6810005,5.310011017,1.0908248163,0.47095769940000004
