,-0.23408453840854715,-0.1980715324995399,-0.16205852659053266,-0.1260455206815254,-0.09003251477251817,-0.05401950886351092,-0.018006502954503678,0.018006502954503567,0.05401950886351081,0.09003251477251806,0.1260455206815253,0.16205852659053255,0.1980715324995398,0.23408453840854704,0.2700975443175543,0.30611055022656153,0.3421235561355688,0.378136562044576,0.41414956795358326,0.4501625738625905
thresh,-0.0720260118180145,0.0720260118180145,8,,,,,,,,,,,,,,,,,
unreg,0,0,1,0,1,4,1151,1259,7,1,1,0,0,0,0,0,0,0,0,0
Rv1776c,0,0,0,0,0,5,375,384,8,1,0,0,0,0,0,0,0,0,0,0
whiB4,0,1,0,1,0,0,53,50,0,0,0,0,0,0,0,0,0,0,0,0
trcR,0,0,0,0,2,3,181,154,4,1,0,0,0,0,0,0,0,0,0,0
Rv1776c and whiB4,2,1,1,0,1,0,21,23,0,0,0,0,0,0,0,0,0,0,0,0
Rv1776c and trcR,0,1,0,1,0,0,70,77,2,0,0,0,0,0,1,0,0,0,0,0
whiB4 and trcR,0,0,0,0,0,1,23,15,0,0,0,0,0,0,0,0,0,0,0,0
"Rv1776c, whiB4, and trcR",2,0,0,1,0,0,10,5,0,0,0,0,0,0,0,0,0,0,0,0
unreg_genes,[],[],['Rv2248'],[],['fadD32'],[],[],[],[],['Rv0950c'],['Rv0263c'],[],[],[],[],[],[],[],[],[]
