locus,gene_weight,gene_name,gene_product,COG,operon,regulator,Rv1776c,whiB4,trcR,link
Rv0516c,0.28282484220000004,Rv0516c,anti-anti-sigma factor,Signal transduction mechanisms,Op342,"Rv0023,Rv0328,senX3,regX3,trcR,Rv1776c,Rv2011c,sigH,lsr2",True,False,True,https://mycobrowser.epfl.ch/genes/Rv0516c
Rv0263c,0.12446203900000001,Rv0263c,hypothetical protein,Amino acid transport and metabolism,Op181,"Rv0047c,csoR,mprA,mprB,mbcA,Rv2250c,whiB7,Rv3736",False,False,False,https://mycobrowser.epfl.ch/genes/Rv0263c
Rv0264c,0.1062659494,Rv0264c,hypothetical protein,Amino acid transport and metabolism,Op181,"csoR,mprA,mprB,Rv1776c,Rv2250c,Rv3736",True,False,False,https://mycobrowser.epfl.ch/genes/Rv0264c
Rv1057,0.0914979962,Rv1057,hypothetical protein,Function unknown,Op687,"Rv0023,Rv0081,trcR,Rv1816,mbcA,Rv2021c,Rv2034,Rv2720 ,sigH,Rv3249c,lsr2,Rv3830c",False,False,True,https://mycobrowser.epfl.ch/genes/Rv1057
Rv0950c,0.0720457684,Rv0950c,hypothetical protein,Cell wall/membrane/envelope biogenesis,Op615,"Rv0023,Rv0081,Rv2034,Rv3249c,Rv3736",False,False,False,https://mycobrowser.epfl.ch/genes/Rv0950c
Rv3800c,-0.0823295946,pks13,polyketide synthase,"Secondary metabolites biosynthesis, transport, and catabolism",Op2381,"Rv0047c,Rv0273c,Rv0302,Rv0678,csoR,trcR,Rv1049,whiA,Rv1719,Rv2011c,Rv2034,Rv2250c,Rv3249c,kstR,lsr2",False,False,True,https://mycobrowser.epfl.ch/genes/Rv3800c
Rv3801c,-0.0846707714,fadD32,long-chain-fatty-acid--AMP ligase FadD32,Lipid transport and metabolism,Op2381,"Rv0081,Rv0135c,Rv1049,whiA,mbcA,kstR,lsr2",False,False,False,https://mycobrowser.epfl.ch/genes/Rv3801c
Rv2845c,-0.0879574424,proS,proline--tRNA ligase,"Translation, ribosomal structure and biogenesis",Op1790,"Rv0047c,Rv0135c,phoP,Rv0767c,csoR,trcR,sigI,devR",False,False,True,https://mycobrowser.epfl.ch/genes/Rv2845c
Rv2524c,-0.0922022395,fas,fatty acid synthase,Lipid transport and metabolism,Op1596,"whiB5,Rv0023,Rv0047c,csoR,Rv1049,Rv1353c,whiA,Rv1776c,Rv1816,mbcA,vapB15,Rv2250c,sigH,mtrA,lsr2,whiB4,sigM",True,True,False,https://mycobrowser.epfl.ch/genes/Rv2524c
Rv0410c,-0.1107436574,pknG,serine/threonine-protein kinase PknG,Transcription,Op276,"Rv0023,Rv0047c,Rv0081,Rv0678,Rv0767c,trcR,Rv1049,Rv1255c,whiA,Rv1776c,Rv1816,Rv2250c,Rv3066,Rv3249c,kstR,lsr2,Rv3736",True,False,True,https://mycobrowser.epfl.ch/genes/Rv0410c
