locus,gene_weight,gene_name,gene_product,COG,operon,regulator,zur,link
Rv0280,0.2724290849,PPE3,PPE family protein PPE3,Cell motility,Op194,"Rv0081,Rv0324,Rv0328,Rv0474,tcrA,Rv0678,phoP,trcR,sigI,sigI,Rv1219c,Rv1255c,Rv1332,Rv1353c,Rv1460,Rv1473A,lysG,Rv2011c,sigC,clgR,Rv2887,Rv2989,Rv3050c,devR,Rv3160c,sigH,lrpA,sigD,kstR,whiB4,tcrX,espR,ethR",False,https://mycobrowser.epfl.ch/genes/Rv0280
Rv2058c,0.2646808074,rpmB2,50S ribosomal protein L28,"Translation, ribosomal structure and biogenesis",Op1287,"Rv0135c,Rv0767c,Rv1353c,Rv3736",False,https://mycobrowser.epfl.ch/genes/Rv2058c
Rv2056c,0.2330464783,rpsN2,30S ribosomal protein S14,"Translation, ribosomal structure and biogenesis",Op1287,"Rv0081,Rv0135c,Rv0767c,csoR,Rv1353c,Rv1719,lysG,Rv2034,zur,Rv3488,lsr2",True,https://mycobrowser.epfl.ch/genes/Rv2056c
Rv2990c,0.1893837619,Rv2990c,hypothetical protein,No COG annotation,Op1874,"Rv0047c,Rv0328,phoP,mbcA,Rv2021c,Rv2034,sigH,lsr2",False,https://mycobrowser.epfl.ch/genes/Rv2990c
Rv0106,0.18416936790000002,Rv0106,hypothetical protein,Function unknown,Op70,"csoR,mbcA,Rv2021c,sigH",False,https://mycobrowser.epfl.ch/genes/Rv0106
Rv2057c,0.1764300295,rpmG1,50S ribosomal protein L33,"Translation, ribosomal structure and biogenesis",Op1287,"Rv0081,Rv0135c,Rv0678,csoR,Rv1353c,Rv1719,Rv2034,zur,lsr2",True,https://mycobrowser.epfl.ch/genes/Rv2057c
Rv2055c,0.1502259722,rpsR2,30S ribosomal protein S18,"Translation, ribosomal structure and biogenesis",Op1287,zur,True,https://mycobrowser.epfl.ch/genes/Rv2055c
Rv0285,0.13939975640000002,PE5,PE family protein PE5,Function unknown,Op195,"Rv0047c,Rv0135c,Rv0302,Rv0767c,csoR,Rv1353c,Rv1776c,Rv1816,Rv2034,zur,lsr2,ideR",True,https://mycobrowser.epfl.ch/genes/Rv0285
Rv0287,0.13910718630000002,esxG,ESAT-6 like protein EsxG,No COG annotation,Op196,"Rv0047c,Rv0135c,Rv0302,Rv0324,Rv0767c,csoR,sigE,Rv1353c,Rv1719,Rv1776c,Rv1816,Rv2034,zur,Rv3249c,lsr2,ideR",True,https://mycobrowser.epfl.ch/genes/Rv0287
Rv0288,0.1343717297,esxH,ESAT-6-like protein EsxH,Function unknown,Op196,"Rv0047c,Rv0081,Rv0135c,Rv0302,Rv0324,Rv0767c,csoR,mprA,mprB,Rv1353c,Rv1473A,Rv1719,Rv1776c,Rv1816,Rv2034,zur,Rv2989,devR,Rv3249c,lsr2,ideR",True,https://mycobrowser.epfl.ch/genes/Rv0288
Rv0286,0.1330269918,PPE4,PPE family protein PPE4,Cell motility,Op195,"Rv0047c,Rv0081,Rv0135c,Rv0302,Rv0324,Rv0767c,csoR,mprA,mprB,trcR,Rv1353c,Rv1473A,Rv1719,Rv1776c,Rv1816,Rv2034,zur,devR,Rv3249c,lsr2,tcrX,ideR",True,https://mycobrowser.epfl.ch/genes/Rv0286
Rv0281,0.1319409956,Rv0281,S-adenosylmethionine-dependent methyltransferase,"Secondary metabolites biosynthesis, transport, and catabolism",Op194,"Rv0135c,Rv1816,zur",True,https://mycobrowser.epfl.ch/genes/Rv0281
Rv0290,0.1297224276,eccD3,ESX-3 secretion system protein EccD,Function unknown,Op197,"Rv0047c,Rv0081,Rv0135c,Rv0302,Rv0324,Rv0767c,csoR,mprA,mprB,Rv1353c,Rv1473A,Rv1776c,Rv1816,Rv2034,zur,Rv2989,devR,Rv3249c,lsr2,ideR",True,https://mycobrowser.epfl.ch/genes/Rv0290
Rv0283,0.1290826125,eccB3,ESX-3 secretion system protein EccB3,Function unknown,Op195,"Rv0047c,Rv0135c,Rv0302,Rv0767c,csoR,Rv1353c,Rv1816,Rv2034,Rv2324,zur,lsr2,ideR",True,https://mycobrowser.epfl.ch/genes/Rv0283
Rv0284,0.1290792573,eccC3,ESX-3 secretion system protein EccC3,"Cell cycle control, cell division, chromosome partitioning",Op195,"Rv0047c,Rv0135c,Rv0302,Rv0324,Rv0767c,Rv1049,Rv1776c,Rv1816,Rv2034,zur,Rv3249c,lsr2,ideR",True,https://mycobrowser.epfl.ch/genes/Rv0284
Rv2059,0.12840500700000002,Rv2059,hypothetical protein,Inorganic ion transport and metabolism,Op1288,"Rv0135c,csoR,Rv1049,Rv1719,Rv2034",False,https://mycobrowser.epfl.ch/genes/Rv2059
Rv0289,0.1282571043,espG3,ESX-3 secretion-associated protein EspG3,Function unknown,Op196,"Rv0047c,Rv0081,Rv0135c,Rv0302,Rv0324,Rv0767c,csoR,mprA,mprB,Rv1353c,Rv1473A,Rv1719,Rv1776c,Rv1816,Rv2034,zur,Rv2989,devR,Rv3249c,lsr2,ideR",True,https://mycobrowser.epfl.ch/genes/Rv0289
Rv0282,0.1249623524,eccA3,ESX-3 secretion system protein EccA,"Post-translational modification, protein turnover,and chaperones",Op195,"Rv0302,senX3,regX3,Rv0767c,Rv1776c,Rv1816,Rv2034,lsr2,Rv3830c,ideR",False,https://mycobrowser.epfl.ch/genes/Rv0282
Rv0291,0.12366750030000001,mycP3,membrane-anchored mycosin MycP,"Post-translational modification, protein turnover,and chaperones",Op197,"Rv0047c,Rv0081,Rv0135c,Rv0302,Rv0324,Rv0767c,csoR,Rv1353c,Rv1473A,Rv1719,Rv1776c,Rv1816,Rv2034,zur,Rv2989,devR,Rv3249c,lsr2,ideR",True,https://mycobrowser.epfl.ch/genes/Rv0291
Rv0292,0.11032572900000001,eccE3,ESX-3 secretion system protein EccE,Function unknown,Op197,"Rv0047c,Rv0081,Rv0135c,Rv0302,Rv0324,Rv0767c,csoR,mprA,mprB,Rv1353c,Rv1473A,Rv1719,Rv1816,Rv2034,zur,Rv2989,devR,Rv3249c,lsr2,ideR",True,https://mycobrowser.epfl.ch/genes/Rv0292
