,A,zur
R2,,0.04784012194736198
xmin,,-2.65952378
xmid,,
xmax,,3.0212753957
ystart,,2.3532458116943635
yend,,-3.29007860141877
SRX3995807,-1.1589356829,0.2162999234
SRX3995806,-0.2987127926,0.24773461770000002
SRX3995809,-0.6856958133000001,0.1502677463
SRX3995808,0.053332056200000005,-0.0013526862000000001
SRX4619048,-1.0384937162,0.3631091474
SRX4619047,-0.4313703715,0.1000579414
SRX4619049,-0.13211182700000001,0.30421532970000004
SRX4619050,-0.3829265291,0.31744525360000003
SRX3995804,-0.022928933000000002,0.6223423428
SRX3995805,0.022928933000000002,-0.6223423428
SRX5089845,2.475829252,-0.4093420354
SRX5089844,2.8531396899,-0.6473474385
SRX5089860,-0.3012627701,0.147577845
SRX5089859,0.15525886190000002,-0.0114319204
SRX5089858,0.1460039081,-0.13614592450000002
SRX5089854,0.7291891278,1.1913974171
SRX5089853,1.14969115,1.1663803705
SRX5089852,0.8340081518,1.2833140857
SRX5089856,2.5204793527,-0.3264009163
SRX5089855,2.3990345208,-0.4673675572
SRX5089857,2.2743989003,-0.2670144595
SRX5089868,0.8466991696,1.1880928749
SRX5089866,1.1793402452,1.4811551528
SRX5089867,1.5488183154000001,1.3983863369
SRX5089870,1.7821090129,-0.0371053286
SRX5089869,1.3008949719,0.0739525825
SRX5089871,0.8448099208000001,0.5105837075
SRX5089846,-2.5495754666,0.582569031
SRX5089848,-2.0202640197,0.8791032631000001
SRX5089847,-1.9706604905,0.4017071048
SRX5089849,0.7691504953,-1.1648033344
SRX5089850,1.1634019307,-1.1907584703
SRX5089851,0.8136915001,-0.7781963263
SRX5089863,-1.6861804063,1.3023097389
SRX5089861,-1.621076744,1.1271379781
SRX5089862,-1.1208862182,0.9704945841
SRX5089865,0.9021379841,-0.8330118149
SRX5089864,0.5509356374000001,-0.9927369562
SRX5388955,0.5157571272,-0.1780524497
SRX5388957,-0.35447265910000003,-0.0366260173
SRX5388954,0.0816810834,0.0370686943
SRX5388956,-0.2429655516,0.1776097728
SRX5388960,-0.5336745385,2.6162569490000003
SRX5388961,-0.6512846052,2.6859161762
SRX5388959,-0.4462531966,2.7524983054
SRX5388958,-0.10680024860000001,3.0212753957
SRX5388964,-1.4558294125,1.4524250075
SRX5388965,-1.8288179017,1.5449934188
SRX5388962,-1.6785079966,1.4326287165
SRX5388963,-1.6053476758,1.6173932411
SRX6889335,1.7190996461,-0.0007065626
SRX6889333,-1.7190996461,0.0007065626
SRX6810002,-0.4161558501,-0.1437567311
SRX6810004,1.2659430999999999,0.0410160054
SRX6810003,-0.8497872499,0.1027407258
SRX6810006,-13.23396192,0.2548628589
SRX6810005,-12.9446790431,0.11929236260000001
SRX6810007,-12.8589887547,0.6417251694
ERX1818322,-0.6726964001,0.0202892557
ERX1818321,0.6726964001,-0.0202892557
SRX2617830,-0.0132423881,0.5204357829
SRX2617831,-0.0818757054,0.49200448210000003
SRX2617833,-0.8342866571,0.9462504808000001
SRX2617832,-0.5938784707,1.0857552003
SRX2617828,0.037685620100000004,-0.051643645
SRX2617827,0.0994038314,-0.017031233700000002
SRX2617829,-0.13708945150000001,0.0686748787
SRX3456119,-0.2019562747,0.588788285
SRX3456118,-1.4669398058,0.3717432415
SRX3456117,0.4671040296,0.7511351249
SRX3456101,0.5413818731,0.080580154
SRX3456099,-0.8152394629,-0.3395877328
SRX3456100,0.2738575897,0.2590075788
SRX3456107,2.1080496392,0.8105790972
SRX3456105,0.1040392797,1.0432106197
SRX4374122,-3.9219980666,1.1152824104
SRX4374121,-4.1467604125,1.3197073392
SRX4374123,-4.0769771704,0.8789370027000001
SRX4374124,-0.49036107300000004,0.0311539023
SRX4374125,0.0041684252,0.10057689660000001
SRX4374126,0.48619264780000004,-0.131730799
SRX4374127,0.6277218081,0.0701290282
SRX4374128,-0.3678727815,0.3016691702
SRX4374129,-1.2696540735,0.0254493623
SRX4374130,-1.1173844336,0.1372399914
SRX4374132,0.1106750377,-0.5097492431
SRX4374131,-0.3761707883,0.0136061088
SRX4374133,-0.14237015050000001,0.293949654
SRX4374135,1.3856151439,0.6997578948000001
SRX4374134,1.0442042442,0.599985369
SRX4374138,3.2714556261,-0.8825332623000001
SRX4374136,2.0926793227,-0.42865626760000003
SRX4374137,2.7217931345,-0.3779451927
SRX1091379,-2.9993381304,0.436187127
SRX1091380,-3.0493405577,0.5476695059000001
SRX1091377,-0.09002461860000001,-0.0690606443
SRX1091378,0.09002461860000001,0.0690606443
SRX4647145,-0.3597297421,-0.1429989942
SRX4647146,-0.5502886835,-0.0898293825
SRX4647147,-0.5238361138000001,0.0152706804
SRX4647144,-0.1625369791,0.027492398
SRX4647143,-0.0905154829,-0.09695642580000001
SRX4647142,0.2530524619,0.06946402780000001
SRX4647155,2.0062046372,-0.4416047936
SRX4647152,1.8646952958,-0.5342920368
SRX4647153,1.9266882095,-0.47579467150000004
SRX4647154,1.8857098702,-0.3586452914
SRX4647148,-0.4203979812,-0.5363759444
SRX4647149,-0.6584763514,-0.3839629486
SRX4647151,-0.5323791788000001,-0.7656927355
SRX4647150,-0.36973767160000004,-0.5571480228
SRX4647123,-0.009866244500000001,-0.08175104400000001
SRX4647124,0.29135615200000003,0.0965516116
SRX4647125,-0.2814899075,-0.0148005676
SRX3103185,-2.2411705805,-0.061358934600000005
SRX3103189,-3.2710235947,0.042714385800000004
SRX3103187,-0.4156272661,-0.4517610226
SRX3103184,0.9898534089000001,0.1025723456
SRX3103188,-0.8396923456000001,-0.0122006571
SRX3103186,-0.1501610633,-0.0903716885
SRX1372110,3.9514911581,-0.6249811114
SRX1372111,3.9675599002,-0.5126151532000001
SRX1372108,1.9968329142,0.1347440252
SRX1372109,-1.9968329142,-0.1347440252
SRX4506085,-0.4907441329,0.1755646656
SRX4506083,-0.5217513976,0.1545964279
SRX4506089,-0.19945013920000002,0.1706501867
SRX4506087,-0.26854688190000003,0.2802952566
SRX4506077,-0.0510785547,0.08090725330000001
SRX4506079,0.3301059222,-0.12859047810000002
SRX4506075,-0.457340609,0.047129840900000004
SRX4506081,0.1783132415,0.0005533839
SRX4506084,-1.7604359158,-0.5850745942000001
SRX4506086,-1.7964176428,-0.4902420631
SRX4506088,-1.6346521873,-0.45670827810000003
SRX4506090,-1.3211679473,-0.4068577532
SRX4506078,-2.2815242565,-0.1724738478
SRX4506080,-2.4328566182,-0.1645623097
SRX4506082,-2.3926484243,-0.24501879470000001
SRX4506076,-2.4175602465,-0.2071553536
SRX5352221,-0.769879925,-0.7380557587000001
SRX5352223,-0.5597697829,-0.6550520591
SRX5352222,-1.6099285796,-0.4091608554
SRX5352229,6.9977960893,-0.6138536654
SRX5352227,7.353392472,-0.6585588756
SRX5352228,7.0677661808,-0.5884395958
SRX5352231,3.0801713383,-1.3548621381000001
SRX5352232,2.0391710437,-1.8701512184
SRX5352230,2.7695159927,-2.2237663929
SRX5352225,2.8522739839,-0.9878481290000001
SRX5352224,2.8401878164000003,-0.9029691514
SRX5352226,4.4118608104,-1.1648135357
SRX5352220,-0.06691391640000001,-0.276392803
SRX5352219,-0.0434215779,0.1430948625
SRX5352218,0.1103354943,0.1332979404
SRX4498228,0.2830217707,-0.0185799445
SRX4498224,0.21001510680000002,0.19868496670000002
SRX4498230,-0.1512418839,0.1494012921
SRX4498226,0.2172425858,0.1013780405
SRX4498218,-0.07090803970000001,0.1020177535
SRX4498216,0.25931028030000003,-0.10701199700000001
SRX4498220,0.0983171281,-0.0137335132
SRX4498222,-0.28671936870000003,0.0187277566
SRX4498225,2.6161411342000003,-0.39395415040000004
SRX4498227,2.4680286507,-0.28896753210000004
SRX4498231,2.262783706,-0.4734050724
SRX4498229,2.5160950763,-0.5225732384
SRX4498217,3.0096392429,-0.28460704810000004
SRX4498221,2.6456990048,-0.2197022771
SRX4498219,2.6213596922,-0.22746764430000002
SRX4498223,1.9482390793,-0.1909102241
SRX5079928,8.1802762047,-0.3349769888
SRX5079930,7.7987971054,-0.5180751218
SRX5079929,8.1385660673,-0.4506087192
SRX5079923,6.0881754178,-0.2402162008
SRX5079924,6.6770110471,-0.2835142537
SRX5079922,6.5769459217,-0.2703806431
SRX5079920,-0.1523969501,0.0626861695
SRX5079921,0.6436358046,-0.0508496907
SRX5079919,-0.49123885450000004,-0.011836478800000001
SRX5079926,7.6393296355,-0.4654703014
SRX5079925,7.6592392986,-0.5736011907
SRX5079927,8.1433128999,-0.5085229965
SRX894005,-0.9658075948,0.35868180510000003
SRX894004,-0.5416640991,0.36086483700000005
SRX894006,-0.8270666345000001,-0.106478364
SRX893999,-0.3901780955,0.12112911130000001
SRX894000,0.2657585905,-0.0325824735
SRX893998,0.1244195049,-0.08854663780000001
SRX4647489,-0.1731399016,0.059537251000000006
SRX4647490,0.1731399016,-0.059537251000000006
SRX4647492,-0.1789776079,-0.0830242129
SRX4647491,0.21442967740000002,-0.1047755357
SRX4647496,-0.1188542516,0.4340865565
SRX4647495,0.051745897900000004,0.1530084263
SRX4647499,0.7132140181000001,0.025693634
SRX4647500,0.7898403188,-0.059849837100000004
SRX4647493,1.6956422979,-0.4025122447
SRX4647494,1.9352236753,-0.19729428810000002
SRX4647497,0.3765259702,0.09715441450000001
SRX4647498,-0.3169815495,0.1272229709
SRX4505482,0.2115108064,-0.27150552
SRX4505486,1.2310295239,-0.2752278948
SRX4505484,0.566979109,0.0879208076
SRX4505473,1.5693250481,-0.28163415210000003
SRX4505476,-0.20967451250000002,0.12592067710000002
SRX4505480,0.5347747589,-0.11817177200000001
SRX4505478,-0.0434494318,-0.0009864148
SRX4505474,-0.2816508145,-0.0067624903
SRX4505483,-6.4607003238,0.6442127846
SRX4505485,-6.596638953,0.6188568676
SRX4505487,-6.621122492,0.7011576987
SRX4505488,-6.2542262637,0.7517951181
SRX4505481,-7.0740860993,0.4158396501
SRX4505477,-6.6468850255,0.292251855
SRX4505475,-6.5919432246,0.4953792087
SRX4505479,-7.2414169694,0.4360110096
SRX4605773,-0.0155427694,-0.0012549323
SRX4605774,-0.1800230826,-0.0515622367
SRX4605772,0.11899452220000001,0.0136160724
SRX4605771,-0.11899452220000001,-0.0136160724
SRX5178871,-0.178385174,-0.0664275446
SRX5178872,-0.43393464530000003,0.22759930150000002
SRX5178868,-0.106104869,-0.1555149454
SRX5178870,-0.0810906359,0.1109048871
SRX5178869,0.1871955049,0.044610058200000004
ERX1404045,-0.225052514,-0.2585829196
ERX1404046,0.225052514,0.2585829196
ERX1404043,1.1848799896,-0.4330766133
ERX1404044,1.6799110365,0.0271516908
ERX237502,-0.7936011016000001,-1.8598758849
ERX237505,-1.5597787794,-1.0371885578
ERX237506,-1.4530287701,-1.6489724002
ERX237500,-5.7038527035,-2.2510303374
ERX237497,-6.2780116309,-2.5855834323
ERX237499,-6.8813757515,-1.2401005282
