,A,Rv0576
R2,,0.023677129677794673
xmin,,-1.532010696
xmid,,0.7911277359357026
xmax,,2.1920368355
ystart,,-0.4412348269681621
yend,,11.59429557902044
SRX3995807,-1.109540715,-0.0706944318
SRX3995806,-1.0406922527,0.1054649988
SRX3995809,-1.5992411616000002,-0.1838069398
SRX3995808,-2.2948440027,0.3040093465
SRX4619048,-1.1540984156,-0.23221124070000002
SRX4619047,-1.9841313937,0.3121138113
SRX4619049,-2.4444224571,0.22322745870000002
SRX4619050,-2.1281330597,-0.0778235424
SRX3995804,1.684522586,-0.0463653601
SRX3995805,-1.684522586,0.0463653601
SRX5089845,-5.7045254534000005,-0.192845964
SRX5089844,-5.8125079647,-0.0217296262
SRX5089860,0.4764584283,0.0216664061
SRX5089859,0.5501424056,0.0105933237
SRX5089858,-1.0266008339,-0.032259729800000005
SRX5089854,-13.793465941200001,-0.0075304941
SRX5089853,-14.3162649153,0.1012543333
SRX5089852,-14.2037336581,-0.0373605336
SRX5089856,-21.7876882106,0.01508659
SRX5089855,-22.1943021641,-0.1407969473
SRX5089857,-21.0351168584,-0.024599835100000002
SRX5089868,-15.4907589332,-0.17904262170000002
SRX5089866,-14.7314985767,-0.1535986312
SRX5089867,-15.6337731255,-0.121904074
SRX5089870,-16.0918488885,-0.0164541273
SRX5089869,-16.4980493477,-0.166680288
SRX5089871,-13.8892688163,-0.18773519730000002
SRX5089846,-18.6683906185,0.2294263008
SRX5089848,-19.0411351582,0.1813445448
SRX5089847,-18.4971863441,0.30896410490000004
SRX5089849,-24.7645889128,0.0540476748
SRX5089850,-25.9686714774,0.23799375700000003
SRX5089851,-24.8051561883,-0.0227499241
SRX5089863,-21.8715088932,0.2930316404
SRX5089861,-19.576701528,0.265727933
SRX5089862,-20.6983659026,0.18931985640000001
SRX5089865,-20.2768729504,0.2001237673
SRX5089864,-19.8439391382,0.1205525596
SRX5388955,-0.5787186776000001,0.0036876701
SRX5388957,-0.1093930263,-0.0205812472
SRX5388954,0.1635275207,0.042573358400000004
SRX5388956,0.5245841831,-0.0256797813
SRX5388960,3.5926634518,0.1005812126
SRX5388961,5.7309470209,-0.0850694161
SRX5388959,3.5842121517,0.1549926448
SRX5388958,3.4746717408,0.1416667747
SRX5388964,1.3876651353,-0.6900176440000001
SRX5388965,2.5371341452,-0.6770510774
SRX5388962,2.8442976285,-0.6695070829
SRX5388963,1.8604586061,-0.7116311559
SRX6889335,0.6633849517,0.2289418295
SRX6889333,-0.6633849517,-0.2289418295
SRX6810002,0.1676700236,-0.0970217814
SRX6810004,-1.2658372468999999,0.015281916500000001
SRX6810003,1.0981672233,0.0817398649
SRX6810006,13.2246232246,0.0511300777
SRX6810005,12.7950763467,-0.0096723253
SRX6810007,12.446861702,0.34252539390000003
ERX1818322,-0.059882455200000004,-0.2478142539
ERX1818321,0.059882455200000004,0.2478142539
SRX2617830,-3.7946423229,-0.5361977979
SRX2617831,-3.8858409189,-0.448973848
SRX2617833,4.0370958226,-0.8587212843
SRX2617832,3.7222765689,-0.6579104096
SRX2617828,-0.23039488290000001,-0.0382489575
SRX2617827,-0.16809090170000002,0.0602932235
SRX2617829,0.3984857846,-0.022044266
SRX3456119,0.48133483450000003,0.21907927060000001
SRX3456118,0.6611340379,0.3166603491
SRX3456117,0.6279056104,0.1164944422
SRX3456101,-0.052217194800000005,0.047093533
SRX3456099,0.0997007682,-0.1619143396
SRX3456100,-0.0474835734,0.1148208066
SRX3456107,-24.5430536333,-0.3669333763
SRX3456105,-24.5763627477,-0.4664170892
SRX4374122,-0.20841913080000002,0.3548224994
SRX4374121,-0.20771458080000002,0.3113573732
SRX4374123,-0.2980407648,0.29349038850000003
SRX4374124,-0.6180633922000001,-0.1672666297
SRX4374125,0.4347765281,0.0424804196
SRX4374126,0.1832868641,0.12478621000000001
SRX4374127,-1.7549817359,0.1376953491
SRX4374128,-1.48071618,0.1221925013
SRX4374129,-0.1356403955,0.2399793305
SRX4374130,-1.8052167483,-0.5852189573000001
SRX4374132,-1.4631741125,-0.5080886738
SRX4374131,-1.1586709354,-0.42071261460000003
SRX4374133,-2.4135358606,0.4083654947
SRX4374135,-2.6506803517,0.37290552060000004
SRX4374134,-3.2525648691,0.3667502956
SRX4374138,-1.2483221014,-0.2930034285
SRX4374136,-1.311329886,-0.41710034960000003
SRX4374137,-0.6657775232,-0.3525239121
SRX1091379,20.1596758206,0.35566096950000003
SRX1091380,20.2190637651,0.44605130860000003
SRX1091377,-0.0201526421,-0.0212507864
SRX1091378,0.0201526421,0.0212507864
SRX4647145,-0.1089443135,-0.0217166505
SRX4647146,0.1317863662,-0.0891176312
