locus,gene_weight,gene_name,gene_product,COG,operon,regulator,marR,link
Rv1405c,0.3316858867,Rv1405c,methyltransferase,"Secondary metabolites biosynthesis, transport, and catabolism",Op907,"Rv0023,Rv1776c,Rv2250c",False,https://mycobrowser.epfl.ch/genes/Rv1405c
Rv1403c,0.23776314110000002,Rv1403c,methyltransferase,"Secondary metabolites biosynthesis, transport, and catabolism",Op905,"Rv0023,Rv0678,csoR,Rv1719,Rv1816,lysG,Rv3249c,lsr2",False,https://mycobrowser.epfl.ch/genes/Rv1403c
Rv0575c,0.2079629335,Rv0575c,oxidoreductase,Energy production and conversion,Op380,"Rv0081,Rv0576,Rv0678,marR,Rv1816,mbcA,Rv2021c,Rv2034,kstR,lsr2",True,https://mycobrowser.epfl.ch/genes/Rv0575c
Rv2390c,0.2056915352,Rv2390c,hypothetical protein,No COG annotation,Op1510,"Rv0023,Rv0081,Rv0302,Rv0324,Rv0494,Rv1219c,Rv1816,Rv3249c,Rv3736",False,https://mycobrowser.epfl.ch/genes/Rv2390c
Rv3746c,0.2051322576,PE34,PE family protein PE34,Function unknown,Op2346,"mprA,mprB",False,https://mycobrowser.epfl.ch/genes/Rv3746c
Rv0195,0.1999317932,Rv0195,two component transcriptional regulator,Transcription,Op137,"Rv0047c,Rv1776c,mbcA,cmtR,Rv2021c,Rv3736",False,https://mycobrowser.epfl.ch/genes/Rv0195
Rv1375,0.1751493789,Rv1375,hypothetical protein,Function unknown,Op890,"Rv0081,Rv0273c,devR,Rv3249c,lsr2",False,https://mycobrowser.epfl.ch/genes/Rv1375
Rv3745c,0.1695449042,Rv3745c,hypothetical protein,Carbohydrate transport and metabolism,Op2345,"marR,lsr2",True,https://mycobrowser.epfl.ch/genes/Rv3745c
Rv1682,0.160009176,Rv1682,hypothetical protein,"Cell cycle control, cell division, chromosome partitioning",Op1056,"Rv0081,Rv1776c,Rv2989",False,https://mycobrowser.epfl.ch/genes/Rv1682
Rv2389c,0.1294928842,rpfD,resuscitation-promoting factor RpfD,Cell wall/membrane/envelope biogenesis,Op1510,"Rv0023,Rv0047c,Rv0081,Rv0302,Rv0324,phoP,trcR,Rv1219c,marR,Rv1816,Rv2011c,Rv3736,Rv3830c",True,https://mycobrowser.epfl.ch/genes/Rv2389c
Rv3532,0.10956546090000001,PPE61,PPE family protein PPE61,Cell motility,Op2210,"Rv0047c,Rv0135c,Rv0767c,mbcA,Rv2021c",False,https://mycobrowser.epfl.ch/genes/Rv3532
Rv0453,0.0887969011,PPE11,PPE family protein PPE11,Cell motility,Op300,"Rv0081,Rv0302,Rv0678,Rv0767c,csoR,trcR,marR,Rv1473A,Rv1816,zur,devR,espR",True,https://mycobrowser.epfl.ch/genes/Rv0453
Rv1376,0.0850492397,Rv1376,hypothetical protein,Function unknown,Op890,"Rv0302,Rv1353c,marR,Rv3249c,kstR",True,https://mycobrowser.epfl.ch/genes/Rv1376
Rv1706c,0.0794269081,PPE23,PPE family protein PPE23,Cell motility,Op1066,"Rv0047c,Rv0818,trcR,marR,Rv1816,lsr2",True,https://mycobrowser.epfl.ch/genes/Rv1706c
Rv1116,0.0761048493,Rv1116,hypothetical protein,No COG annotation,Op728,"senX3,regX3",False,https://mycobrowser.epfl.ch/genes/Rv1116
Rv1507A,0.0726373436,Rv1507A,hypothetical protein,No COG annotation,Op964,"Rv0047c,Rv0081,Rv0324,devR,lsr2",False,https://mycobrowser.epfl.ch/genes/Rv1507A
