,A,marR
R2,,0.2395348785866096
xmin,,-3.3758525304
xmid,,0.4832938279408233
xmax,,1.6397365910000001
ystart,,0.40509132986422003
yend,,16.19617208925547
SRX3995807,-1.3186815347,0.5748709466
SRX3995806,-0.3565345237,0.5272517966
SRX3995809,-0.6210842398,0.5013658137
SRX3995808,-0.4219749915,0.4161582864
SRX4619048,-1.1743805499,0.428716386
SRX4619047,-0.7216297293,0.4584965717
SRX4619049,-0.7296091362,0.5186619025
SRX4619050,-1.0577102688,0.5416614350000001
SRX3995804,-0.5342522623,0.1689466769
SRX3995805,0.5342522623,-0.1689466769
SRX5089845,-3.0686277244,0.3143986254
SRX5089844,-2.9183622582,0.542701412
SRX5089860,-0.1698210781,-0.1550385829
SRX5089859,0.4216594342,0.1509759994
SRX5089858,-0.2518383561,0.0040625835
SRX5089854,-5.8296889304,0.48804840050000003
SRX5089853,-5.9963599406,0.5709085069000001
SRX5089852,-6.3466545432,0.6082430344
SRX5089856,-5.796956525,0.1791528318
SRX5089855,-6.3775511879,0.2007208215
SRX5089857,-5.5743539196,0.0509613171
SRX5089868,-5.5117822811,0.17303844170000002
SRX5089866,-5.5364761176,0.17400005600000001
SRX5089867,-6.3301620892,0.3552439967
SRX5089870,-4.4307993862,0.0113069773
SRX5089869,-3.8064589375,0.0075337772
SRX5089871,-2.760051519,-0.0743179036
SRX5089846,-3.9523660239,0.45674835810000003
SRX5089848,-4.0679807357,0.3270557841
SRX5089847,-3.3993298079,0.5280409505
SRX5089849,-6.2136049205,0.2659157878
SRX5089850,-6.0422041355,0.29769486230000003
SRX5089851,-5.8802083093,0.295588418
SRX5089863,-5.9959416132,0.0895477288
SRX5089861,-5.0653416781,0.3091731826
SRX5089862,-5.1734283341,0.2654238526
SRX5089865,-4.0703010234,-0.0379057222
SRX5089864,-4.1287813119,0.2233969613
SRX5388955,-0.5442124373,0.059288358000000006
SRX5388957,-0.0758613261,-0.026462882400000002
SRX5388954,0.2536519714,-0.0252833404
SRX5388956,0.366421792,-0.007542135300000001
SRX5388960,-0.0341480709,0.39979591810000004
SRX5388961,1.5710501717,0.4270898299
