locus,gene_weight,gene_name,gene_product,COG,operon,regulator,Rv2488c,link
Rv3161c,0.3782290236,Rv3161c,dioxygenase,Inorganic ion transport and metabolism,Op1973,"whiB5,Rv0081,Rv0324,Rv0678,sigL,Rv0767c,csoR,Rv1353c,Rv2021c,tcrX",False,https://mycobrowser.epfl.ch/genes/Rv3161c
Rv3160c,0.35169186220000004,Rv3160c,TetR family transcriptional regulator,Transcription,Op1973,"Rv0681,Rv0767c,csoR,Rv1116,Rv1353c,Rv1776c,mbcA,Rv2034,bkaR,Rv3160c,mtrA,tcrX",False,https://mycobrowser.epfl.ch/genes/Rv3160c
Rv3159c,0.2566173446,PPE53,PPE family protein PPE53,Cell motility,Op1972,"whiB5,Rv0023,Rv0081,Rv0135c,Rv0560c,Rv0678,Rv0767c,Rv0818,csoR,Rv1353c,whiA,lysG,mbcA,Rv2021c,Rv2034,bkaR,Rv3160c,Rv3249c,groEL1,lsr2,espR",False,https://mycobrowser.epfl.ch/genes/Rv3159c
Rv1218c,0.1860472627,Rv1218c,tetronasin ABC transporter ATP-binding protein,Defense mechanisms,Op798,"whiB5,Rv0302,Rv0328,Rv0678,Rv1219c,Rv2488c,sigH,kstR",True,https://mycobrowser.epfl.ch/genes/Rv1218c
Rv1219c,0.1858563497,Rv1219c,transcriptional regulator,Transcription,Op798,Rv0302,False,https://mycobrowser.epfl.ch/genes/Rv1219c
Rv1217c,0.18250034110000002,Rv1217c,tetronasin ABC transporter integral membrane protein,Cell wall/membrane/envelope biogenesis,Op798,"Rv0302,Rv0880,mprA,mprB,Rv1219c,Rv1353c,Rv2488c,sigH,kstR",True,https://mycobrowser.epfl.ch/genes/Rv1217c
Rv0677c,0.1526051703,mmpS5,membrane protein MmpS5,Function unknown,Op441,"Rv0081,devR,Rv3249c",False,https://mycobrowser.epfl.ch/genes/Rv0677c
Rv0676c,0.1451553793,mmpL5,transmembrane transport protein MmpL5,Function unknown,Op441,"Rv0047c,Rv0678,csoR,trcR,Rv1473A,Rv1719,Rv2011c,devR,Rv3249c,lsr2,Rv3736",False,https://mycobrowser.epfl.ch/genes/Rv0676c
Rv0678,0.1428849934,Rv0678,hypothetical protein,Transcription,Op442,"Rv0047c,Rv0081,devR",False,https://mycobrowser.epfl.ch/genes/Rv0678
Rv1216c,0.13567487420000002,Rv1216c,integral membrane protein,"Post-translational modification, protein turnover,and chaperones",Op798,"Rv0302,Rv0880,Rv1219c,Rv1353c,Rv2488c,kstR",True,https://mycobrowser.epfl.ch/genes/Rv1216c
Rv0452,0.1079992998,Rv0452,transcriptional regulator,Transcription,Op299,"Rv0081,csoR,sigH,espR",False,https://mycobrowser.epfl.ch/genes/Rv0452
Rv0451c,0.082612166,mmpS4,membrane protein MmpS4,Function unknown,Op298,"Rv0023,Rv0081,Rv0158,nadR,Rv0767c,csoR,Rv1776c,Rv1816,lsr2,espR,ideR",False,https://mycobrowser.epfl.ch/genes/Rv0451c
