locus,gene_weight,gene_name,gene_product,COG,operon,regulator,mce1R,link
Rv0170,0.13386568000000001,mce1B,Mce family protein Mce1B,"Secondary metabolites biosynthesis, transport, and catabolism",Op123,"whiB5,Rv0023,Rv0081,oxyS,Rv0158,Rv0678,phoP,mprA,mprB,Rv1049,sigI,Rv1219c,Rv1473A,Rv1719,Rv1776c,Rv1816,lysG,vapB15,Rv2011c,sigC,Rv2250c,Rv2324,hrcA,Rv2642,Rv2779c,Rv2887,Rv3066,moaR1,devR,Rv3167c,Rv3249c,whiB3,kstR,lsr2,Rv3736,tcrX,espR,mce1R",True,https://mycobrowser.epfl.ch/genes/Rv0170
Rv0169,0.13336980710000002,mce1A,Mce family protein Mce1A,"Secondary metabolites biosynthesis, transport, and catabolism",Op123,"whiB5,Rv0023,Rv0081,Rv0135c,phoP,mprA,mprB,Rv1049,sigI,Rv1473A,Rv1719,Rv1776c,Rv1816,Rv1828,Rv2011c,Rv2250c,Rv2324,Rv3066,devR,Rv3249c,whiB3,lsr2,Rv3736,espR,mce1R",True,https://mycobrowser.epfl.ch/genes/Rv0169
Rv3150,0.1258107172,nuoF,NADH-quinone oxidoreductase subunit F,Energy production and conversion,Op1971,"Rv0047c,Rv0494,trcR,Rv1353c,whiA,Rv1776c,Rv2011c,Rv2989,lsr2",False,https://mycobrowser.epfl.ch/genes/Rv3150
Rv3148,0.1241296894,nuoD,NADH-quinone oxidoreductase subunit D,Energy production and conversion,Op1971,"Rv0023,Rv0047c,Rv0081,Rv0494,Rv0678,trcR,Rv1353c,Rv2989,lsr2",False,https://mycobrowser.epfl.ch/genes/Rv3148
Rv3149,0.1235268486,nuoE,NADH-quinone oxidoreductase subunit E,Energy production and conversion,Op1971,"Rv0023,Rv0047c,Rv0081,mprA,mprB,trcR,whiA,Rv1776c,Rv2011c,Rv2989,lsr2",False,https://mycobrowser.epfl.ch/genes/Rv3149
Rv3147,0.1227183302,nuoC,NADH-quinone oxidoreductase subunit C,Energy production and conversion,Op1971,"Rv0023,Rv0081,Rv0494,csoR,Rv1353c,Rv2989,lsr2",False,https://mycobrowser.epfl.ch/genes/Rv3147
Rv0168,0.1226223791,yrbE1B,membrane protein,"Secondary metabolites biosynthesis, transport, and catabolism",Op123,"whiB5,Rv0023,Rv0081,Rv0135c,Rv0324,phoP,trcR,Rv1049,sigI,Rv1353c,Rv1473A,Rv1719,Rv1776c,Rv1816,lysG,Rv2011c,Rv2250c,Rv2324,hrcA,Rv3066,moaR1,devR,Rv3167c,Rv3249c,whiB3,lsr2,espR,mce1R",True,https://mycobrowser.epfl.ch/genes/Rv0168
Rv0173,0.1212628063,lprK,Mce family lipoprotein LprK,"Secondary metabolites biosynthesis, transport, and catabolism",Op123,"Rv0047c,Rv0081,Rv0135c,Rv0302,Rv0324,Rv0494,phoP,csoR,Rv1049,sigI,Rv1473A,Rv1776c,lysG,Rv2011c,sigC,Rv2250c,Rv2324,Rv2779c,Rv2887,Rv3066,devR,Rv3167c,Rv3249c,whiB3,kstR,lsr2,Rv3736,espR,mce1R",True,https://mycobrowser.epfl.ch/genes/Rv0173
Rv3152,0.1179233487,nuoH,NADH-quinone oxidoreductase subunit H,Energy production and conversion,Op1971,"Rv0023,Rv0081,Rv0135c,Rv0678,csoR,mprA,mprB,Rv1353c,Rv2250c,Rv2324,kstR,lsr2",False,https://mycobrowser.epfl.ch/genes/Rv3152
Rv0171,0.1176448541,mce1C,Mce family protein Mce1C,"Secondary metabolites biosynthesis, transport, and catabolism",Op123,"whiB5,Rv0023,Rv0047c,Rv0081,oxyS,Rv0135c,Rv0273c,Rv0302,phoP,csoR,Rv1049,sigI,Rv1219c,Rv1473A,Rv1719,Rv1816,lysG,Rv2011c,Rv2250c,Rv2324,Rv2779c,Rv2887,Rv3066,devR,Rv3167c,Rv3249c,whiB3,lsr2,Rv3736,espR,mce1R",True,https://mycobrowser.epfl.ch/genes/Rv0171
