,A,Rv0135c,Rv1019
R2,,0.03711904889274631,0.0002259421339109169
xmin,,-2.7762357092,-2.0520000519
xmid,,-0.6534253182614145,
xmax,,2.2040080257,1.899555232
ystart,,-1.6229243237582782,-1.2924598364495443
yend,,2.065984085879297,-0.3778346761667466
SRX3995807,-2.8581865669,-0.010926810700000001,0.3722997846
SRX3995806,-2.4449132194,0.2587130141,0.6607884404000001
SRX3995809,-1.4989727288,-0.1346993826,0.4594008372
SRX3995808,-1.9218092936,0.2647022658,1.1383827841
SRX4619048,-2.5553344677,0.1075932787,0.5397889837000001
SRX4619047,-2.7936178475,0.4390348094,0.8832227472
SRX4619049,-0.8791703817000001,0.3410149924,0.9455675829
SRX4619050,-0.6872003651,0.4983994741,0.7227995646
SRX3995804,0.3552802651,-0.0090412502,0.2438130805
SRX3995805,-0.3552802651,0.0090412502,-0.2438130805
SRX5089845,1.0095100273,-0.22794859350000002,-0.0874187474
SRX5089844,1.2609967695,-0.2564194065,-0.2825643285
SRX5089860,-0.2428211898,-0.0434881701,0.0547551526
SRX5089859,0.19809375740000001,0.0625305557,-0.0130667043
SRX5089858,0.044727432500000004,-0.0190423856,-0.0416884483
SRX5089854,-0.5183422168,1.8514583712000001,1.4544648164
SRX5089853,-0.1626464307,1.9612454339,1.316977031
SRX5089852,-0.2706625394,1.8869482374,1.5033169933
SRX5089856,-1.1007930348,-0.5814287212,-0.2623273673
SRX5089855,-1.4317708132,-0.6681658001,0.015539702800000001
SRX5089857,-1.3959650863,-0.517829156,-0.0954637485
SRX5089868,-0.8656174941,1.4460596436,1.6457177161
SRX5089866,-0.6794583315,1.6807334908,1.8009345675000001
SRX5089867,-0.5249763794,1.5208328653,1.6488005956
SRX5089870,-2.2862890077999998,-0.2443214213,-0.0467772531
SRX5089869,-2.5411122014,-0.2642146019,0.0366429998
SRX5089871,-2.7764669244,-0.3739379734,0.3858074079
SRX5089846,-0.0794952336,1.8058859665,1.4498423836
SRX5089848,0.1412858944,1.7288151995,1.4166806341
SRX5089847,0.36343215030000003,1.9140542661,1.3045427561
SRX5089849,-0.5738710885,-0.4414530427,-0.36667054530000004
SRX5089850,-0.058918808700000005,-0.5429170616,-0.26385472390000003
SRX5089851,-0.5401480747,-0.5102550686,-0.1296046528
SRX5089863,-0.6439222399,1.491923686,1.8855795418999999
SRX5089861,-0.3764297975,1.7417671534,1.899555232
SRX5089862,-0.1301657285,1.6231749508000002,1.7235309026
SRX5089865,-1.2957712951,-0.7513861205,-0.21377772080000002
SRX5089864,-1.5189032286000002,-0.4298864485,-0.1888788291
SRX5388955,-0.0420528916,-0.0702041147,-0.0750406551
SRX5388957,-0.079395978,0.043925157900000004,0.032904813000000005
SRX5388954,0.1053100825,-0.024801008000000003,0.10908834140000001
SRX5388956,0.0161387871,0.0510799647,-0.0669524992
SRX5388960,-1.3295529386,0.5752964853,1.8395479339
SRX5388961,-1.3413279754,0.5782321275,1.8219855239
SRX5388959,-1.3610056977,0.5558335106,1.8160966023
SRX5388958,-1.3227137131,0.3840852729,1.7813243636
SRX5388964,-2.1155600069,-0.7290466695000001,1.1099752481
SRX5388965,-1.9838379542000002,-0.5027987182,1.2372797893
SRX5388962,-2.209954666,-0.5819917642,1.1972934458
SRX5388963,-2.0058547702,-0.6432308618,1.2105616484
SRX6889335,0.9323916103000001,0.3254858215,-0.0079733101
SRX6889333,-0.9323916103000001,-0.3254858215,0.0079733101
SRX6810002,-0.281555644,0.0525875866,0.030983940100000003
SRX6810004,0.1921490489,0.1466429833,0.030621940700000003
SRX6810003,0.0894065951,-0.19923056990000002,-0.061605880800000005
SRX6810006,3.5575304319,0.3895918504,0.6918030542
SRX6810005,3.5259452613,0.5044569480000001,0.48711782680000004
SRX6810007,3.6452471879,0.2603874389,0.6645841033000001
ERX1818322,0.2633116947,-0.2303453764,0.0171016222
ERX1818321,-0.2633116947,0.2303453764,-0.0171016222
SRX2617830,-2.0190643105,0.0892931637,0.1331501208
SRX2617831,-2.134044571,0.0557759922,0.1006283401
SRX2617833,-0.7737465614,0.3198219244,0.8514324063
SRX2617832,-0.683855053,0.4062862378,0.7277274177
SRX2617828,-0.0621298174,-0.0720703308,-0.0624706191
SRX2617827,-0.1052543487,-0.0982898052,-0.029388977700000003
SRX2617829,0.1673841661,0.17036013600000002,0.0918595968
SRX3456119,-0.1447811198,0.1222805336,0.10557932340000001
SRX3456118,-0.8885505287000001,0.0619908376,-0.034499343700000004
SRX3456117,-0.2686151625,-0.2016317914,-0.1749062585
SRX3456101,0.3192981267,-0.0677607234,0.1958627771
SRX3456099,-0.2227311211,-0.0129462267,0.0385649598
SRX3456100,-0.0965670056,0.0807069502,-0.2344277368
SRX3456107,3.5528863078,-2.2587010621,0.9663886821000001
SRX3456105,3.3638967139,-2.1050168489,0.9136925585000001
SRX4374122,1.7101934461,-0.14319881780000002,0.6881143362000001
SRX4374121,0.7190457876,-0.0739707716,0.5445804215
SRX4374123,0.8658896898,-0.0939216556,0.5562842361
SRX4374124,0.6656124099,-0.0742401573,0.0955246906
SRX4374125,-0.5480827428,0.0026044979,-0.0729789135
SRX4374126,-0.1175296671,0.0716356595,-0.0225457771
SRX4374127,-0.9932096846,0.2474400227,0.054262327400000004
SRX4374128,-1.1144806298,0.1722248929,0.2510359242
SRX4374129,-0.8491926871000001,-0.23388389550000002,-0.330977601
SRX4374130,0.7358645122,-0.0230312269,0.1681223598
SRX4374132,-0.3671783227,-0.1498859868,-0.281153906
SRX4374131,-1.00703206,-0.15999582410000002,-0.13461427380000002
SRX4374133,-0.11780165840000001,0.1672873347,0.36977311160000004
SRX4374135,-1.1329613797,-0.0263331532,-0.25362310800000004
SRX4374134,-0.3188714281,0.13445716130000002,0.3619788298
SRX4374138,-0.640431305,-0.2953124817,-0.623877089
SRX4374136,0.2986911537,-0.13221226120000001,-0.2255963523
SRX4374137,-0.9328945868,-0.1510518868,-0.3643223961
SRX1091379,0.6293384928,0.3161939782,-0.4784149086
SRX1091380,0.5852988680000001,0.3075503726,-0.5098379668
SRX1091377,0.015628267,0.048542164400000004,0.0433846317
SRX1091378,-0.015628267,-0.048542164400000004,-0.0433846317
SRX4647145,-0.394604247,-0.14340282000000001,0.029393740800000002
SRX4647146,-0.2967987606,-0.2815098326,-0.0018958332
SRX4647147,-0.5072954501,-0.1911903614,0.1662944711
SRX4647144,-0.0018067529,-0.0121283741,0.0497977526
SRX4647143,-0.0561500157,-0.037375745,-0.0701593755
SRX4647142,0.0579567686,0.0495041191,0.0203616229
SRX4647155,-12.9911381936,-0.6163014091,-0.0865512287
SRX4647152,-13.2307094031,-0.5315175034,0.0031061082000000003
SRX4647153,-12.7557039826,-0.5443842601000001,-0.0623157812
SRX4647154,-13.0098397232,-0.6164562594,-0.2105790759
SRX4647148,-12.4896096008,-0.4673923471,-0.3317548261
SRX4647149,-12.8296733951,-0.5012640260000001,-0.2867506971
SRX4647151,-12.6577886632,-0.3640194356,-0.41490001600000004
SRX4647150,-12.4990948233,-0.6420856275,-0.4208727504
SRX4647123,0.324815419,-0.0210460378,-0.08845118610000001
SRX4647124,-0.0685296162,0.038211144700000005,0.12583973
SRX4647125,-0.2562858029,-0.0171651069,-0.0373885439
SRX3103185,-1.1449495552,-0.042996100100000004,0.0094825786
SRX3103189,-1.3599139137,0.3748858671,0.0150125138
SRX3103187,2.0463331177,-0.41826477500000003,-0.1272032759
SRX3103184,-0.6519015427,-0.1914609615,0.0314102677
SRX3103188,-0.8954752976,0.4292629683,0.1808954204
SRX3103186,1.5473768403000001,-0.23780200680000002,-0.2123056882
SRX1372110,2.5971090295,0.2349240028,-0.11305001710000001
SRX1372111,1.3396465834,0.035761726,-0.4261505694
SRX1372108,0.6863657689,-0.0471701469,0.0692668734
SRX1372109,-0.6863657689,0.0471701469,-0.0692668734
SRX4506085,1.0096186164,-0.1149179167,0.2566014594
SRX4506083,0.7924738857,-0.0653285503,0.2231277075
SRX4506089,1.3943242071,-0.1989041732,0.1415827999
SRX4506087,1.0668535897,-0.045859045,0.15855612230000002
SRX4506077,-0.1503953788,0.020210444600000002,0.0771662021
SRX4506079,0.0872870275,0.0018833964,-0.0692619714
SRX4506075,-0.28298708980000004,0.0655609977,-0.0409746647
SRX4506081,0.3460954411,-0.08765483880000001,0.033070434
SRX4506084,-6.2425923907,-0.8647402881,-0.5029070444
SRX4506086,-6.2582125197,-0.8361028304,-0.6549889017
SRX4506088,-6.060343083,-0.8814026882,-0.6326087656
SRX4506090,-5.7990495659,-0.9245045214000001,-0.7533142165000001
SRX4506078,-5.1126012583,-0.933653634,-0.5954419067
SRX4506080,-4.6958972037,-0.899018741,-0.6851982347000001
SRX4506082,-5.0330827614,-0.8098320018,-0.610592731
SRX4506076,-4.8665387016,-0.743413843,-0.539929638
SRX5352221,4.2270695064,-0.3482412842,-0.0302702042
SRX5352223,3.6003184653,-0.6684620161,-0.20815909640000002
SRX5352222,1.7110367382,-0.4090565313,-0.1026941401
SRX5352229,1.7347815152,0.7465809966,0.543746666
SRX5352227,0.8114168420000001,0.9335038714,0.5905805572
SRX5352228,0.7619302223000001,0.7640407511,0.4729425564
SRX5352231,10.9717459418,-2.5168877672,-0.9339719893
SRX5352232,10.198588995,-2.5373006662,-0.8939389607
SRX5352230,10.2349562755,-2.7762357092,-1.2882088771
SRX5352225,12.5170340081,-0.5961712489000001,-0.3601364018
SRX5352224,12.5415382466,-0.12214653700000001,-0.0165838042
SRX5352226,11.6296912979,-0.4262075796,-0.2648580987
SRX5352220,0.223607263,0.072116543,0.0143981731
SRX5352219,-0.32909535300000003,0.009851373600000001,-0.0434075814
SRX5352218,0.10548809,-0.08196791660000001,0.0290094083
SRX4498228,-0.1707814796,0.1349139848,-0.014755613800000001
SRX4498224,-0.3415840345,-0.014233201800000001,-0.031031753500000002
SRX4498230,-0.1306643281,0.0961774985,-0.051481399000000004
