,A,sigI
R2,,0.21754347966754883
xmin,,-2.4128684287
xmid,,
xmax,,2.8581079634
ystart,,9.572018233478392
yend,,-8.77181571271036
SRX3995807,-4.2814216132,-0.0952456438
SRX3995806,-4.2103150399,0.4378686559
SRX3995809,-5.289795357,-0.21160192760000002
SRX3995808,-5.6681472202,0.24836050510000002
SRX4619048,-4.9835636133,-0.18741682480000002
SRX4619047,-5.2348622762,0.4389240532
SRX4619049,-5.8767056341,0.3171282845
SRX4619050,-6.4420895327,-0.040958325500000003
SRX3995804,-1.3002266617,-0.1776510382
SRX3995805,1.3002266617,0.1776510382
SRX5089845,-3.7132798383,0.4110143647
SRX5089844,-3.3123604379,0.3778956506
SRX5089860,0.0179221183,-0.0328529231
SRX5089859,0.2524655094,-0.025385320200000002
SRX5089858,-0.2703876277,0.0582382433
SRX5089854,-4.1392335994,1.4511197042
SRX5089853,-4.2128927933,1.7207438993
SRX5089852,-3.7393155716,1.6263695671
SRX5089856,-0.7907177636,0.4109002524
SRX5089855,-0.8516480999999999,0.4642850142
SRX5089857,-0.9559712427,0.4284221663
SRX5089868,-1.7219502563,0.0625230345
SRX5089866,-3.2356084674,0.1185048289
SRX5089867,-2.1019733921,0.1388855592
SRX5089870,0.8552255009,0.2738021774
SRX5089869,0.38399181860000003,0.29015159830000004
SRX5089871,0.8562650865,0.1577101019
SRX5089846,-6.0699793698,1.6160310439
SRX5089848,-6.445349846,1.4864226462
SRX5089847,-6.6072372505,1.69996072
SRX5089849,1.1585096698,-0.037655704400000004
SRX5089850,-0.8523385307,0.18536507030000002
SRX5089851,-0.9031329744000001,0.18715222280000002
SRX5089863,-8.832762046,0.2184888492
SRX5089861,-7.1391407584,0.29606971400000004
SRX5089862,-7.165574808,0.1035292695
SRX5089865,1.0263785871,-0.040131184800000004
SRX5089864,1.6830524024,0.2897762277
SRX5388955,0.7877886443000001,-0.2473108446
SRX5388957,-0.2494710572,0.0513519481
SRX5388954,-0.19212547670000002,0.16127443290000001
SRX5388956,-0.34619211040000003,0.0346844636
SRX5388960,-4.8446760174,-0.3804574819
SRX5388961,-4.7063560648,0.20237133670000002
SRX5388959,-5.0269306363,-0.1826779195
SRX5388958,-4.282979077,-0.47889057620000003
SRX5388964,-5.7833384598,0.0941208479
SRX5388965,-6.3330969038,0.25376137790000003
SRX5388962,-5.7631712842,0.45380233400000003
SRX5388963,-5.8109110856,0.1378812878
SRX6889335,1.0440858414,0.0827119068
SRX6889333,-1.0440858414,-0.0827119068
SRX6810002,-0.013310419700000001,0.11164479440000001
SRX6810004,-0.0170288353,-0.043071408900000004
SRX6810003,0.0303392549,-0.0685733855
SRX6810006,-1.5147749249,-0.0145258834
SRX6810005,-0.8063712979000001,-0.2092901463
SRX6810007,-1.8377164479,-0.28890562070000003
ERX1818322,0.799471484,-0.0183370303
ERX1818321,-0.799471484,0.0183370303
SRX2617830,-1.7850976169,0.6816944806
SRX2617831,-1.8842447955,0.6843708692
SRX2617833,-1.3903971344000001,-0.2055845165
SRX2617832,-1.7617990845,0.1102833933
SRX2617828,0.1027296999,-0.1484495079
SRX2617827,0.041296129300000005,0.1362145388
SRX2617829,-0.1440258292,0.012234969200000001
SRX3456119,-0.5087847833,0.2521027602
SRX3456118,-0.1288777313,0.2106482476
SRX3456117,-0.7073041043,0.4287511673
SRX3456101,-0.3056740596,0.8280227934000001
SRX3456099,-0.0501148702,-0.3881362899
SRX3456100,0.35578892970000003,-0.4398865035
SRX3456107,-2.7665854953,1.4258116122
SRX3456105,-2.877914108,1.7552766499999999
SRX4374122,-4.5357778615,0.1835813386
SRX4374121,-2.945064213,-0.0721723162
SRX4374123,-2.1403041241,-0.2879077074
SRX4374124,-0.7439912388000001,0.2814756445
SRX4374125,-0.0647182079,-0.1785299187
SRX4374126,0.8087094467,-0.1029457258
SRX4374127,-1.6322353861,0.1010118529
SRX4374128,-3.4903861809,0.4386293483
SRX4374129,0.1624850948,-0.1660358153
SRX4374130,-3.4098795149,-0.3175023269
SRX4374132,0.2550497854,-0.7446091531
SRX4374131,-1.6245265599,-0.490697588
SRX4374133,-2.734643196,0.275426873
SRX4374135,0.691364608,-0.6097443542000001
SRX4374134,-3.1547644982,-0.2850790535
SRX4374138,2.305847586,-0.5726213187
SRX4374136,-0.2304551809,-0.3362939004
SRX4374137,1.3150556177000001,-0.42911692700000004
SRX1091379,-1.1219524474,0.1256346917
SRX1091380,-0.8237183114000001,0.34347442640000003
SRX1091377,-0.20975430920000002,-0.2443947605
SRX1091378,0.20975430920000002,0.2443947605
SRX4647145,0.2054358335,0.0740841836
SRX4647146,0.2253140313,0.046809281200000004
SRX4647147,0.1982070249,-0.09615218930000001
SRX4647144,0.0450332824,-0.0973500934
SRX4647143,0.0217466478,0.0271905581
SRX4647142,-0.0667799302,0.0701595353
SRX4647155,6.682153317,-0.310277903
SRX4647152,7.0456056256,0.0110896971
SRX4647153,6.5465935817,-0.2324460649
SRX4647154,6.9718539822,-0.4889211973
SRX4647148,6.6340050434,-0.462163668
SRX4647149,6.7622124547,-0.3405378102
SRX4647151,6.6734523059,-0.5588597817000001
SRX4647150,6.6458351869,-0.4546491723
SRX4647123,0.0220081627,0.0988539715
SRX4647124,0.014127886000000001,-0.2108528506
SRX4647125,-0.0361360486,0.1119988791
SRX3103185,1.6888997553,-0.252840934
SRX3103189,1.9360233999999998,0.1687054755
SRX3103187,-0.7264484920000001,-0.0301570113
SRX3103184,-0.3579544988,-0.2699435992
SRX3103188,1.449676838,0.0064924941
SRX3103186,-1.0917223392,0.2634511051
SRX1372110,0.674230973,-0.5731303348
SRX1372111,1.2227582148,-0.5663408284
SRX1372108,-0.9557038737,-0.19058559360000002
SRX1372109,0.9557038737,0.19058559360000002
SRX4506085,0.3202768071,0.2158582946
SRX4506083,0.2806431095,0.12569140680000002
SRX4506089,0.2095826042,0.0547321163
SRX4506087,0.3159366342,0.2058105133
SRX4506077,-0.2615089367,0.18637196390000002
SRX4506079,0.0341566392,0.055202557400000005
SRX4506075,-0.1251757749,-0.2636393555
SRX4506081,0.3525280724,0.0220648342
SRX4506084,8.5626281325,-0.30246986470000004
SRX4506086,8.5983852391,-0.5121851063
SRX4506088,8.6854058156,-0.9774961999999999
SRX4506090,9.0458623378,-0.9935109313
