,A,lsr2
R2,,0.15645818678889178
xmin,,-2.8754043101
xmid,,-1.0230801650124652
xmax,,2.7259207321
ystart,,-3.4129529013387874
yend,,7.9658921315426365
SRX3995807,2.5961678580000003,-0.088749115
SRX3995806,-0.7382576917,0.1305966457
SRX3995809,2.7587623091999998,-0.0439177696
SRX3995808,-6.059913486,-0.2405854456
SRX4619048,1.5867148689000001,-0.09653325330000001
SRX4619047,-5.2650982039,-0.10788554410000001
SRX4619049,-2.7450535215,-0.4564245256
SRX4619050,1.465421617,-0.4987796149
SRX3995804,1.3701621611,-0.1157040808
SRX3995805,-1.3701621611,0.1157040808
SRX5089845,4.4552425569,0.2884243765
SRX5089844,2.8175174706,0.6431625457
SRX5089860,-0.6403811598,-0.1362233749
SRX5089859,-0.1778341373,0.1566224678
SRX5089858,0.8182152971000001,-0.020399092900000002
SRX5089854,-4.588087103,-0.1692569732
SRX5089853,-5.1459197383,-0.011891044
SRX5089852,-2.7974927574,-0.2462975187
SRX5089856,0.4366857893,1.3175524199
SRX5089855,1.8599114236,0.8809044084000001
SRX5089857,0.5660686358,1.00203552
SRX5089868,-0.8634264377,-0.24065963380000002
SRX5089866,-2.8747995714,-0.5798380246
SRX5089867,-2.2110880327,-0.2982062833
SRX5089870,-0.31597276950000003,0.5634134354
SRX5089869,0.7102235252,0.28006023900000004
SRX5089871,1.6361982867,0.41689737790000003
SRX5089846,-3.0335958757,-0.0018684642
SRX5089848,-0.9304754358,-0.0498740715
SRX5089847,-4.6728008149,0.07775696580000001
SRX5089849,4.3019452494,1.2144666021
SRX5089850,1.8241784456999999,1.3471394633
SRX5089851,4.4645095488,1.1104856516
SRX5089863,-3.6375484163,-0.5899574984
SRX5089861,-2.5080101853,-0.7002146044
SRX5089862,-1.4734690596,-0.3008272823
SRX5089865,1.29820424,0.6067805514
SRX5089864,3.6899016833,0.5217008275
SRX5388955,-0.6906349434,0.0999896493
SRX5388957,1.0003014549,-0.1341609399
SRX5388954,-0.35421326280000004,0.06298293890000001
SRX5388956,0.0445467514,-0.0288116482
SRX5388960,-8.8601584182,-1.3099224537
SRX5388961,-6.0238114087,-1.551728838
SRX5388959,-9.2782350079,-1.3744427246
SRX5388958,-8.0460511099,-1.0230781591
SRX5388964,-5.8082516564,-0.6404311407000001
SRX5388965,-4.8765351201,-1.0986740371
SRX5388962,-1.9858295350000001,-0.7902345774
SRX5388963,-4.1044303424,-0.8575105532
SRX6889335,-0.6477999584,-0.5198524835
SRX6889333,0.6477999584,0.5198524835
SRX6810002,-1.2747033658,-0.1694565639
SRX6810004,0.313566455,-0.2698279159
SRX6810003,0.9611369109000001,0.4392844797
SRX6810006,-2.3615127386,0.3336305902
SRX6810005,-2.9002924507000003,-0.1631664219
SRX6810007,-1.5008469998,0.7346908806
ERX1818322,1.1087701344,-0.1316021795
ERX1818321,-1.1087701344,0.1316021795
SRX2617830,1.1622661887,-0.1865721448
SRX2617831,-0.1098111855,-0.282412867
SRX2617833,-0.8952949973000001,-0.3189738622
SRX2617832,-3.2766993315,-0.5595798903
SRX2617828,-0.4464266301,0.0875055527
SRX2617827,-1.3869250294,0.1515845409
SRX2617829,1.8333516595,-0.23909009350000002
SRX3456119,-0.6869733007000001,-0.08796021720000001
SRX3456118,0.9697805705,-0.0523753168
SRX3456117,0.2562064214,-0.1441316543
SRX3456101,-0.5585857957,0.028877499600000002
SRX3456099,0.2054823373,0.032685559
SRX3456100,0.3531034584,-0.061563058600000005
SRX3456107,-1.1836448645,-2.139580423
SRX3456105,-0.521317859,-2.1626619497
SRX4374122,-1.9950182776,-0.4157744105
SRX4374121,-0.0900728511,-0.6972189255
SRX4374123,-0.14209060880000002,-0.961833122
SRX4374124,0.9021862182,-0.1737530941
SRX4374125,-0.5463529709,0.1608151223
SRX4374126,-0.3558332473,0.0129379718
SRX4374127,-0.9409896949000001,-0.39553776350000003
SRX4374128,-3.9970580471,0.4382773493
SRX4374129,-1.0378178673,-0.7908393707
SRX4374130,-0.1047660148,-0.873698496
SRX4374132,-2.6616814379,-0.6021879321
SRX4374131,-1.7422450356999999,0.2621549568
SRX4374133,-0.216937175,0.00020355550000000002
SRX4374135,-2.4724679666,-0.32251676420000003
SRX4374134,-1.8832511321,0.3057318929
SRX4374138,-1.5076708726999999,-0.2215074813
SRX4374136,0.1618386531,-0.24617706400000003
SRX4374137,-0.17694845010000002,0.2175158349
SRX1091379,1.001767733,0.3073241429
SRX1091380,1.2696019051,0.19649052090000002
SRX1091377,-0.07310694620000001,0.0051342943
SRX1091378,0.07310694620000001,-0.0051342943
SRX4647145,0.1447209921,0.0547498858
SRX4647146,1.1711977653,0.0645345401
SRX4647147,-0.0622464431,0.0558299653
SRX4647144,0.029831037600000002,0.0329804643
SRX4647143,0.4852339265,0.0075892027
SRX4647142,-0.5150649641,-0.0405696671
SRX4647155,0.7045558085,0.7913569161
SRX4647152,-3.4369343926,0.9220023962
SRX4647153,-1.84793845,0.9631144716000001
SRX4647154,6.6330189076,0.5599657483
SRX4647148,1.5220685627,1.0038119029
SRX4647149,0.5594266682,0.9932134693
SRX4647151,0.31530434360000004,1.0220467833
SRX4647150,-0.6425442,1.0254106119
SRX4647123,-0.3097087443,-0.1577321003
SRX4647124,-0.2664292307,0.13577184720000002
SRX4647125,0.5761379750000001,0.021960253000000002
SRX3103185,-1.7248870064,-0.056664218200000005
SRX3103189,-0.270577381,-0.238709895
SRX3103187,-0.7845202975000001,-0.3001244058
SRX3103184,0.2273929203,0.1365018213
SRX3103188,-0.0387897404,0.0951308845
SRX3103186,-0.1886031799,-0.2316327059
SRX1372110,-0.4405810462,0.1431893512
SRX1372111,-1.162458281,0.30306535030000004
SRX1372108,-0.7897128563,-0.0448150561
SRX1372109,0.7897128563,0.0448150561
SRX4506085,0.8819482877,-0.1453886904
SRX4506083,0.2212057037,0.0275870463
SRX4506089,0.0804893114,0.0060857698
SRX4506087,-0.9788446541,0.099158679
SRX4506077,-0.22144457920000002,0.0309545928
SRX4506079,-1.6160854596,0.17452112390000002
SRX4506075,3.2310802645,-0.35846949
SRX4506081,-1.3935502256,0.1529937733
SRX4506084,-1.3107591287,0.7461923572
SRX4506086,-0.4895472844,0.7453160851
SRX4506088,-1.023365683,0.7906091447
SRX4506090,-2.8055934411,0.7473526464
SRX4506078,-3.8908818818,0.9292904993000001
SRX4506080,-2.5728251254,0.7819512205
SRX4506082,-3.3210816135,0.7408523154000001
SRX4506076,-2.0636669176,0.6133907069
SRX5352221,-0.5718546114,-0.5452447621000001
SRX5352223,-1.3948512291,-0.48167193560000005
SRX5352222,0.0714932662,-0.5236157608
SRX5352229,-16.1674528848,-0.668927942
SRX5352227,-14.5130838966,-0.5877679939
SRX5352228,-16.2125662226,-0.5728153461000001
SRX5352231,-15.5639562314,-0.9283355758
SRX5352232,-15.1072996949,-1.3142472741
SRX5352230,-14.6969983143,-0.8993967908
SRX5352225,-5.1918102026,-0.8886652606000001
SRX5352224,-4.5928436408,-0.6977372142
SRX5352226,-4.8254764766000005,-0.8092729802
SRX5352220,-0.4001282376,-0.0373566485
SRX5352219,0.043009783100000004,0.0473005681
SRX5352218,0.3571184545,-0.0099439196
SRX4498228,0.43731235760000003,0.1405613772
SRX4498224,3.6905608994,0.1667240045
SRX4498230,1.029943838,0.041976606300000004
SRX4498226,0.3124607862,0.23895661540000002
SRX4498218,1.0056558544,-0.0945603332
SRX4498216,-2.6022791213,0.17250306540000002
SRX4498220,0.1224730277,0.0525981346
SRX4498222,1.4741502392,-0.13054086680000002
SRX4498225,1.1143401536,-0.3738029205
SRX4498227,0.8155594203000001,-0.4937300774
SRX4498231,1.9885970016,-0.37201736960000004
SRX4498229,2.0153027834,-0.34985711340000003
SRX4498217,-0.4019489452,-0.2447353511
SRX4498221,2.2889062787,-0.3541264704
SRX4498219,0.3140036385,-0.3095373885
SRX4498223,0.4497124648,-0.5873875497000001
SRX5079928,-2.1077223462,-0.0819507279
SRX5079930,-1.5384642073,-0.2684284193
SRX5079929,-0.7856307990000001,-0.2456044835
SRX5079923,-0.2010616764,-0.0710800043
SRX5079924,1.3630911227,-0.2563113984
SRX5079922,-0.9492087682,-0.0019875697
SRX5079920,-0.4801557038,0.1576474581
SRX5079921,0.1488651057,-0.0726475803
SRX5079919,0.33129059800000005,-0.0849998779
SRX5079926,-2.3727294547,-0.21072309500000003
SRX5079925,-0.49474604200000005,-0.2751847361
SRX5079927,-2.1140870923,-0.0358495688
SRX894005,-3.9614227129,-0.0224097381
SRX894004,-2.9012808787,-0.0548117056
SRX894006,-3.4845218904,0.060200228
SRX893999,2.3812322338,-0.14760843980000002
SRX894000,-1.1773063502,-0.4531139601
SRX893998,-1.2039258836,0.6007223998
SRX4647489,1.067493902,0.0665169079
SRX4647490,-1.067493902,-0.0665169079
SRX4647492,-0.8208228040000001,-0.0735381596
SRX4647491,-2.4386755849,-0.2369172136
SRX4647496,4.9462898994,0.11233729290000001
SRX4647495,2.5816493417,0.0866573216
SRX4647499,-1.5438571046,-0.0659118683
SRX4647500,-0.042455092300000004,0.163292184
SRX4647493,1.7909839047,0.2267360696
SRX4647494,4.136520743,0.542561544
SRX4647497,-0.3002546545,0.0171648751
SRX4647498,2.6175822384,0.1063315371
SRX4505482,3.3946043396,-0.5508000681
SRX4505486,-2.2973224271,-0.048935183300000004
SRX4505484,7.3525053341,-0.2000796705
SRX4505473,-1.8184716657000002,-0.047829943400000005
SRX4505476,-0.3584115437,-0.14684425
SRX4505480,-0.34125156770000004,0.0576391549
SRX4505478,0.0927838424,0.1544281086
SRX4505474,0.606879269,-0.0652230135
SRX4505483,-2.2712724637,0.08510916190000001
SRX4505485,-0.1754800599,-0.1885309211
SRX4505487,-1.4612056714000001,-0.1981185399
SRX4505488,-4.6087169473,0.28744176660000004
SRX4505481,-2.0909887142,-0.1013108494
SRX4505477,-3.9975678290000003,0.2548321684
SRX4505475,-5.6666662997,0.7151235577
SRX4505479,-1.1444697582,-0.2041961193
SRX4605773,0.46320277390000003,0.0646297425
SRX4605774,-0.1909805621,0.08969639380000001
SRX4605772,1.0034932606,-3.22826e-05
SRX4605771,-1.0034932606,3.22826e-05
SRX5178871,0.3697593859,-0.1165905955
SRX5178872,-1.151892784,-0.1289162329
SRX5178868,-0.6176966814,-0.0379501472
SRX5178870,0.12385025740000001,0.0069006923000000005
SRX5178869,0.4938464241,0.0310494548
ERX1404045,0.3145110121,-0.2645741978
ERX1404046,-0.3145110121,0.2645741978
ERX1404043,0.8357285814000001,-0.1193655688
ERX1404044,1.7037664062,0.3516559509
ERX237502,-6.9820173446,-2.8424856032
ERX237505,-11.9835645137,-1.829967806
ERX237506,-12.3568537914,-2.8754043101
ERX237500,-1.8197495691,-2.0158611426
ERX237497,-1.8131003985,-1.8744759145
ERX237499,-6.073854648,-0.9734094903
ERX237507,-0.1514577436,0.0889763148
ERX237496,-0.0012418073,0.03326355
ERX237504,0.1526995509,-0.1222398648
ERX3772318,1.7596963507,0.1412972711
ERX3772320,1.0513192949,0.0528580541
ERX3772319,-1.0816041088,-0.11481414420000001
ERX3772321,0.9217828863,0.0013531756
ERX3772322,-1.0812494739,-0.013938885100000001
ERX3772323,0.15946658760000001,0.0125857096
SRX4314262,0.3081604397,-0.0374867667
SRX4314263,-0.2808199912,0.0272421459
SRX4314261,-0.0273404486,0.0102446208
SRX4314265,2.7442290134,0.2647546637
SRX4314266,0.5869235753,0.5143207513
SRX4314264,4.170874726,0.4802671274
