,A,ideR,whiB4
R2,,0.16180970639917414,0.007342981885257505
xmin,,-2.0394333873,-2.8338575925000002
xmid,,,0.792262339954171
xmax,,2.0630339949,2.9839660519
ystart,,-7.363316875214008,0.2889737273025186
yend,,7.2701827098316985,-6.177580910539046
SRX3995807,-3.1270955645,0.0637481172,0.23128037340000002
SRX3995806,-3.7993038661,0.0330115514,0.3081656839
SRX3995809,-3.919322166,-0.0437610084,0.1287653623
SRX3995808,-4.6739135407,0.3481500866,0.3142531538
SRX4619048,-3.6544482875,-6.390560000000001e-05,0.2309327669
SRX4619047,-4.2932905948,0.286538941,0.2738506978
SRX4619049,-4.8268079529,0.6457738596,0.0797832341
SRX4619050,-3.7400269947,-0.0461938535,0.10801114090000001
SRX3995804,3.6558644039,-0.0141025896,0.1309597076
SRX3995805,-3.6558644039,0.0141025896,-0.1309597076
SRX5089845,-1.2131922837,-0.0025454735,-0.0549835069
SRX5089844,-1.1091715104,0.0626908404,-0.17211430590000001
SRX5089860,-0.1473832634,-0.094294551,-0.0978090488
SRX5089859,0.2538910025,0.0703015242,-0.0269096698
SRX5089858,-0.1065077391,0.0239930268,0.1247187186
SRX5089854,-7.3838892529,1.3185581778,-0.7631591471
SRX5089853,-7.1655642398,1.3696340105,-0.8938424622000001
SRX5089852,-6.8453818853,1.3297020844,-0.6334991198000001
SRX5089856,-9.4451848908,-0.2051293139,-0.438156111
SRX5089855,-9.2922192921,-0.287156866,-0.278265505
SRX5089857,-9.1990614883,-0.26877391900000003,-0.4577993011
SRX5089868,-7.0528225542,1.1313454481,-0.24567028130000002
SRX5089866,-7.1599544526,1.2127174637,-0.38611053160000003
SRX5089867,-7.3104656114,1.2257631985,-0.3013259803
SRX5089870,-6.6001926465,-0.2338665812,-0.6180494082
SRX5089869,-5.9719542204,-0.0978841319,-0.33819380330000004
SRX5089871,-5.5003640314,-0.1435628594,-0.1647550437
SRX5089846,-9.5120750805,0.9402421205,-0.3908796975
SRX5089848,-8.6356427775,0.8217214835000001,-0.28630188300000003
SRX5089847,-9.2135932282,0.8899694164,-0.6136113873
SRX5089849,-12.523544472,-0.3839925884,-0.0752368971
SRX5089850,-13.0011387642,-0.4870785553,-0.28406142830000003
SRX5089851,-12.5703700649,-0.4093503134,-0.14462835470000002
SRX5089863,-10.6583974237,0.9114632770000001,-0.1907200533
SRX5089861,-9.575175850699999,1.0491825273,-0.1783513531
SRX5089862,-10.2833158508,0.9740236264000001,-0.115649445
SRX5089865,-11.0627042601,-0.6383575695,-0.2928373435
SRX5089864,-10.4459650922,-0.37891390500000005,-0.3320693128
SRX5388955,-0.1560442512,0.0216702997,-0.1376215524
SRX5388957,0.21792185800000002,-0.1027185432,0.0470967378
SRX5388954,-0.1107247324,0.0663635917,0.0002360691
SRX5388956,0.0488471257,0.0146846518,0.0902887455
SRX5388960,1.231129894,1.8464573392,-1.0699971448
SRX5388961,1.2214078936,2.0630339949,-1.0190079243
SRX5388959,0.8443759951,1.6878116605,-1.0173068858
SRX5388958,1.0704339746,2.0035628701,-1.1500019702
SRX5388964,2.5764882213,1.1474937259,-0.6177867091
SRX5388965,2.4229570276,1.2139108568,-0.7793247583
