,A,ideR
R2,,0.1339116985727946
xmin,,-2.0394333873
xmid,,0.2703220731527695
xmax,,2.0630339949
ystart,,0.7072098640072286
yend,,11.860626276542188
SRX3995807,-8.3046644345,0.0637481172
SRX3995806,-8.1541398374,0.0330115514
SRX3995809,-8.6048194817,-0.0437610084
SRX3995808,-8.5320172361,0.3481500866
SRX4619048,-8.4719226509,-6.390560000000001e-05
SRX4619047,-8.5870131206,0.286538941
SRX4619049,-8.7876869095,0.6457738596
SRX4619050,-8.9164884469,-0.0461938535
SRX3995804,5.6789162786,-0.0141025896
SRX3995805,-5.6789162786,0.0141025896
SRX5089845,0.6097539336000001,-0.0025454735
SRX5089844,0.6585099616,0.0626908404
SRX5089860,-0.0970015672,-0.094294551
SRX5089859,-0.3582002541,0.0703015242
SRX5089858,0.45520182130000003,0.0239930268
SRX5089854,4.6899893963,1.3185581778
SRX5089853,4.8577295063,1.3696340105
SRX5089852,4.9160424454000005,1.3297020844
SRX5089856,5.4907658654,-0.2051293139
SRX5089855,5.8441670897,-0.287156866
SRX5089857,5.3578894004,-0.26877391900000003
SRX5089868,8.3899468671,1.1313454481
SRX5089866,8.8477226345,1.2127174637
SRX5089867,8.708091208,1.2257631985
SRX5089870,8.3288835989,-0.2338665812
SRX5089869,7.93218535,-0.0978841319
SRX5089871,5.9040277831,-0.1435628594
SRX5089846,0.2956179778,0.9402421205
SRX5089848,0.4188018506,0.8217214835000001
SRX5089847,0.4910686455,0.8899694164
SRX5089849,-0.5074426023,-0.3839925884
SRX5089850,-0.0502053095,-0.4870785553
SRX5089851,-0.3749982505,-0.4093503134
SRX5089863,1.5151420956,0.9114632770000001
SRX5089861,2.3016380062,1.0491825273
SRX5089862,2.0781136021,0.9740236264000001
SRX5089865,0.6903827657,-0.6383575695
SRX5089864,1.0108972581,-0.37891390500000005
SRX5388955,-0.35711117400000003,0.0216702997
SRX5388957,-0.0566914845,-0.1027185432
SRX5388954,0.0877555565,0.0663635917
SRX5388956,0.32604710200000003,0.0146846518
SRX5388960,1.8579062702,1.8464573392
SRX5388961,2.4331722897,2.0630339949
SRX5388959,1.9305632730000002,1.6878116605
SRX5388958,1.7437450334,2.0035628701
SRX5388964,2.2695772153,1.1474937259
SRX5388965,2.6426455302000003,1.2139108568
SRX5388962,2.531218015,1.1696962282
SRX5388963,2.4513434393,1.1750518332
SRX6889335,-0.4471845984,-0.032787265600000004
SRX6889333,0.4471845984,0.032787265600000004
SRX6810002,0.3001169601,0.029316891100000003
SRX6810004,-0.5301445428,-0.0132945431
SRX6810003,0.2300275827,-0.016022348000000002
SRX6810006,-1.6406964018,0.5992351291
SRX6810005,-1.3446918089,0.609192586
SRX6810007,-0.9144678589,0.6477747624
ERX1818322,-0.5576857417000001,-0.0154615221
ERX1818321,0.5576857417000001,0.0154615221
SRX2617830,4.3770622153,0.41561184840000004
SRX2617831,4.4621849238,0.42085147110000004
SRX2617833,5.701395547,0.46781895300000004
SRX2617832,5.4862385032,0.7650647679
SRX2617828,-0.19433649660000002,0.049391043600000004
SRX2617827,0.2155976838,0.0894473839
SRX2617829,-0.0212611872,-0.1388384275
SRX3456119,-0.1043992255,-0.0038705924
SRX3456118,-0.014340447000000001,0.061761473100000006
SRX3456117,0.18008808110000002,-0.005594408600000001
SRX3456101,0.0359245785,0.0082683381
SRX3456099,0.4039467798,0.0810577745
SRX3456100,-0.4398713583,-0.08932611260000001
SRX3456107,1.0721032622,-1.5206879052
SRX3456105,0.8404893754,-1.2870256168
SRX4374122,-2.3759716812000002,0.4331458708
SRX4374121,-2.2100913449,0.30503868160000003
SRX4374123,-2.2887877393,0.0307697019
SRX4374124,0.0829536775,0.0306810624
SRX4374125,0.1494868976,-0.026399131500000002
SRX4374126,-0.23244057510000002,-0.0042819309000000005
SRX4374127,-3.2251564337,0.2203127869
SRX4374128,-2.7227585451,0.248735492
SRX4374129,0.4847280681,-0.1070818822
SRX4374130,-0.7240936868000001,0.0514461077
SRX4374132,9.2490008579,-0.330433354
SRX4374131,-1.3767842246,-0.0664230489
SRX4374133,-1.947635494,0.41808228010000004
SRX4374135,1.0539420643,0.16150365590000001
SRX4374134,-2.5533143306,0.21733004
SRX4374138,8.5970467294,-0.34066366600000003
SRX4374136,0.6309731812,0.060276478300000005
SRX4374137,0.37041119980000003,-0.19237875200000001
SRX1091379,-0.1557758161,-0.0157722057
SRX1091380,-0.020801314,-0.025080598000000003
SRX1091377,0.0418168893,-0.0136904296
SRX1091378,-0.0418168893,0.0136904296
SRX4647145,0.1469459916,-0.0478231593
SRX4647146,0.277955331,-0.1602562357
SRX4647147,0.35126244430000003,-0.08793373260000001
SRX4647144,0.057755048,0.0074260768000000005
SRX4647143,0.1047389497,-0.0371667713
SRX4647142,-0.1624939977,0.0297406945
SRX4647155,0.1648679924,-0.0266883298
SRX4647152,0.9146934246,0.2032679538
SRX4647153,0.407379362,0.2016630067
SRX4647154,0.0172984858,-0.0492157187
SRX4647148,0.00019622860000000002,-0.4093023799
SRX4647149,0.0917309573,-0.3046617384
SRX4647151,0.27756049580000003,-0.26285706200000003
SRX4647150,-0.09168886650000001,-0.2235033457
SRX4647123,-0.09647719610000001,-0.0027674265
SRX4647124,0.0417314235,-0.0191376344
SRX4647125,0.0547457727,0.021905060900000002
SRX3103185,0.8163253174,0.2450445332
SRX3103189,-0.15158927090000002,0.21064467180000002
SRX3103187,1.445949131,0.0371880944
SRX3103184,0.9941984011,0.0704718222
SRX3103188,-1.0890482855,-0.0188268361
SRX3103186,0.09484988450000001,-0.051644986100000005
SRX1372110,-4.0723585057,0.0736124472
SRX1372111,-2.6765521305,-0.08724019999999999
SRX1372108,0.3764234987,-0.0578754369
SRX1372109,-0.3764234987,0.0578754369
SRX4506085,-0.1855487218,-0.0714338141
SRX4506083,-0.2246641157,-0.0449330986
SRX4506089,-0.15538143540000002,-0.0702423345
SRX4506087,-0.29257393530000003,-0.033976713900000004
SRX4506077,-0.0751290136,-0.0151935974
SRX4506079,0.0419756664,0.037908020300000005
SRX4506075,0.027502269000000003,-0.061610224000000005
SRX4506081,0.0056510782,0.0388958011
SRX4506084,0.4657540867,-0.3251915074
SRX4506086,0.4426219799,-0.44369170620000004
SRX4506088,0.20729917050000002,-0.3863214183
SRX4506090,0.3453264917,-0.3780586353
SRX4506078,2.3468238132,-0.2778792799
SRX4506080,2.4309472787,-0.3339802042
SRX4506082,2.4970798245,-0.2246823252
SRX4506076,2.2900308066,-0.2046765122
SRX5352221,0.4592386089,-0.2919548254
SRX5352223,0.5469722041,-0.3047195203
SRX5352222,1.1754771303,-0.1647264738
SRX5352229,2.1716986433,-0.25095087650000003
SRX5352227,2.5087869718,-0.2585457454
SRX5352228,2.4101857524,-0.2547647819
SRX5352231,2.9370607347,-1.3477312124
SRX5352232,2.364478203,-1.0281976252
SRX5352230,3.057633278,-1.2742416064
SRX5352225,-1.8246632844000001,0.0100045793
SRX5352224,-1.7057546351,0.1509444722
SRX5352226,-1.6650310233,-0.222477365
SRX5352220,-0.5932438585,0.023659582300000002
SRX5352219,0.0136059219,0.0116308356
SRX5352218,0.5796379366000001,-0.0352904178
