,A,sigK
R2,,0.10017697497459577
xmin,,-2.831258825
xmid,,-0.11023461911999592
xmax,,3.7249028871
ystart,,0.060233847627424814
yend,,6.274431292868657
SRX3995807,0.9196730827,-0.052971811300000005
SRX3995806,0.3226022837,0.5627547204000001
SRX3995809,0.6451103378,0.060549401600000004
SRX3995808,-0.334333184,0.6680382183
SRX4619048,0.7680660180000001,0.15755367210000001
SRX4619047,-0.18515496380000002,0.5748872753000001
SRX4619049,0.2677873776,0.0681676169
SRX4619050,0.2505431408,0.10114909030000001
SRX3995804,0.7695447916,-0.061511251
SRX3995805,-0.7695447916,0.061511251
SRX5089845,1.9557418018,-0.502184523
SRX5089844,1.3337210014,-0.5042087663
SRX5089860,-0.1162910573,-0.1102199147
SRX5089859,0.0543216424,-0.0036123759
SRX5089858,0.061969414900000006,0.1138322905
SRX5089854,12.116203857,1.2497859192
SRX5089853,10.8598586556,1.1367906492
SRX5089852,11.1046371101,1.2111102783
SRX5089856,13.2756540148,0.9050894752
SRX5089855,13.7381613518,0.9580738615000001
SRX5089857,14.5685526249,1.0158396302
SRX5089868,11.3093127968,2.1625986311
SRX5089866,12.5724087734,2.5170002501
SRX5089867,11.637502103,2.1695984239
SRX5089870,12.315840973,1.4382426155
SRX5089869,12.8276195245,1.5460372048000002
SRX5089871,11.3860005283,1.2722821310999999
SRX5089846,7.1588862737,1.2158867923
SRX5089848,7.8180509929,1.1141044035
SRX5089847,6.8452841093,1.1327286186
SRX5089849,4.4631431789,0.0480042419
SRX5089850,4.5353607755,0.2025117746
SRX5089851,5.1628489212,0.12501190780000002
SRX5089863,8.2524668072,2.133848157
SRX5089861,9.653344578,2.3038922776
SRX5089862,8.2859910372,2.1259082249
SRX5089865,3.0808312165,0.3239894064
SRX5089864,3.4607029969,0.4719779538
SRX5388955,-0.3752025641,-0.1146313741
SRX5388957,-0.0215418356,0.0122459201
SRX5388954,0.1915979258,-0.0447125335
SRX5388956,0.20514647390000001,0.1470979875
SRX5388960,-1.7056544079,-0.9556719247000001
SRX5388961,-0.6777575382000001,-0.8073284309000001
SRX5388959,-1.4923153916,-0.8946659318
SRX5388958,-1.589921832,-0.9466257148
SRX5388964,-1.6825550042000001,-1.4562041994000001
SRX5388965,-1.0288072655,-1.3094499694000001
