,ReleaseDate,TaxID,ScientificName,species_tax_id,class_tax_id,strain_tax_id,species,LibraryLayout,Platform,Model,Run,SRAStudy,BioProject,ProjectID,Sample,BioSample,Submission,LibraryStrategy,LibrarySelection,LibrarySource,Body_Site,CenterName,InsertSize,InsertDev,SRA ID,Biosample,GEO Series,GEO Sample,PMID,biosample_strain,biosample_genotype,R1,R2,project,condition,reference_condition,passed_fastqc,passed_reads_mapped_to_CDS,passed_global_correlation,full_name,passed_similar_replicates,passed_number_replicates
ERX1101427,2017-09-22 07:55:23,83332,Mycobacterium tuberculosis H37Rv,1773,1760,83332,Mycobacterium tuberculosis,SINGLE,ILLUMINA,Illumina HiSeq 2500,ERR1022493,ERP012221,PRJEB10919,411807,ERS853141,SAMEA3545992,ERA486526,RNA-Seq,RANDOM,TRANSCRIPTOMIC,,RACHELPJLAI,0,0,4512065,7691899,,,,,,,,sputum,expn_growth,expn_growth,True,True,True,sputum:expn_growth,True,True
ERX1101430,2017-09-22 07:55:23,83332,Mycobacterium tuberculosis H37Rv,1773,1760,83332,Mycobacterium tuberculosis,SINGLE,ILLUMINA,Illumina HiSeq 2500,ERR1022496,ERP012221,PRJEB10919,411807,ERS853140,SAMEA3545991,ERA486526,RNA-Seq,RANDOM,TRANSCRIPTOMIC,,RACHELPJLAI,0,0,4512068,7691912,,,,,,,,sputum,expn_growth,expn_growth,True,True,True,sputum:expn_growth,True,True
ERX1404043,2016-12-02 11:01:27,83332,Mycobacterium tuberculosis H37Rv,1773,1760,83332,Mycobacterium tuberculosis,SINGLE,ILLUMINA,Illumina HiSeq 2000,ERR1332451,ERP014650,PRJEB13114,341617,ERS1091711,SAMEA3904577,ERA585446,RNA-Seq,RT-PCR,TRANSCRIPTOMIC,,OSLO UNIVERSITY HOSPITAL,0,0,3478950,6100540,,,27724857,,,,,genotoxic,growth_supplement,control,True,True,True,genotoxic:growth_supplement,True,True
ERX1404044,2016-12-02 11:01:27,83332,Mycobacterium tuberculosis H37Rv,1773,1760,83332,Mycobacterium tuberculosis,SINGLE,ILLUMINA,Illumina HiSeq 2000,ERR1332452,ERP014650,PRJEB13114,341617,ERS1091712,SAMEA3904578,ERA585446,RNA-Seq,RT-PCR,TRANSCRIPTOMIC,,OSLO UNIVERSITY HOSPITAL,0,0,3478951,6100541,,,27724857,,,,,genotoxic,growth_supplement,control,True,True,True,genotoxic:growth_supplement,True,True
ERX1404045,2016-12-02 11:01:27,83332,Mycobacterium tuberculosis H37Rv,1773,1760,83332,Mycobacterium tuberculosis,SINGLE,ILLUMINA,Illumina HiSeq 2000,ERR1332453,ERP014650,PRJEB13114,341617,ERS1091713,SAMEA3904579,ERA585446,RNA-Seq,RT-PCR,TRANSCRIPTOMIC,,OSLO UNIVERSITY HOSPITAL,0,0,3478952,6100542,,,27724857,,,,,genotoxic,control,control,True,True,True,genotoxic:control,True,True
ERX1404046,2016-12-02 11:01:27,83332,Mycobacterium tuberculosis H37Rv,1773,1760,83332,Mycobacterium tuberculosis,SINGLE,ILLUMINA,Illumina HiSeq 2000,ERR1332454,ERP014650,PRJEB13114,341617,ERS1091714,SAMEA3904580,ERA585446,RNA-Seq,RT-PCR,TRANSCRIPTOMIC,,OSLO UNIVERSITY HOSPITAL,0,0,3478953,6100543,,,27724857,,,,,genotoxic,control,control,True,True,True,genotoxic:control,True,True
ERX1818322,2017-08-02 07:22:40,83332,Mycobacterium tuberculosis H37Rv,1773,1760,83332,Mycobacterium tuberculosis,PAIRED,ILLUMINA,Illumina HiSeq 1500,ERR1749134;ERR1749135,ERP020415,PRJEB18483,396863,ERS1465369,SAMEA20440918,ERA771499,RNA-Seq,RANDOM,TRANSCRIPTOMIC,,"Core Facility Microarray/Genomics, Max Planck Institute for Infection Biology, Berlin, D-10117, Germany",350,2,4334726,7437433,,,,,,,,THP-1,00h_THP_B,00h_THP_B,True,True,True,THP-1:00h_THP_B,True,True
ERX1818323,2017-08-02 07:22:40,83332,Mycobacterium tuberculosis H37Rv,1773,1760,83332,Mycobacterium tuberculosis,PAIRED,ILLUMINA,Illumina HiSeq 1500,ERR1749136;ERR1749137,ERP020415,PRJEB18483,396863,ERS1465370,SAMEA20441668,ERA771499,RNA-Seq,RANDOM,TRANSCRIPTOMIC,,"Core Facility Microarray/Genomics, Max Planck Institute for Infection Biology, Berlin, D-10117, Germany",350,2,4334727,7437434,,,,,,,,THP-1,00h_THP_B,00h_THP_B,True,True,True,THP-1:00h_THP_B,True,True
ERX2351092,2018-02-13 07:58:42,83332,Mycobacterium tuberculosis H37Rv,1773,1760,83332,Mycobacterium tuberculosis,SINGLE,ILLUMINA,Illumina HiSeq 2500,ERR2299755,ERP105223,PRJEB23469,428826,ERS2200165,SAMEA104588883,ERA1209399,RNA-Seq,unspecified,TRANSCRIPTOMIC,,SCHOOL OF VETERINARY MEDICINE,0,0,5095215,8524028,,,,,,,,THP-1,04h_THP_C_enriched,00h_THP_B,True,True,True,THP-1:04h_THP_C_enriched,True,True
ERX2351093,2018-02-13 07:58:42,83332,Mycobacterium tuberculosis H37Rv,1773,1760,83332,Mycobacterium tuberculosis,SINGLE,ILLUMINA,Illumina HiSeq 2500,ERR2299756,ERP105223,PRJEB23469,428826,ERS2200166,SAMEA104588884,ERA1209399,RNA-Seq,unspecified,TRANSCRIPTOMIC,,SCHOOL OF VETERINARY MEDICINE,0,0,5095216,8524029,,,,,,,,THP-1,04h_THP_C_enriched,00h_THP_B,True,True,True,THP-1:04h_THP_C_enriched,True,True
