,regulator,regulator_id,evidence,gene_id
0,fhaB,Rv0019c,ChipSeq,Rv1733c
1,fhaA,Rv0020c,ChipSeq,Rv0020c
2,fhaA,Rv0020c,ChipSeq,Rv1733c
3,whiB5,Rv0022c,ChipSeq,Rv0013
4,whiB5,Rv0022c,ChipSeq,Rv0038
5,whiB5,Rv0022c,ChipSeq,Rv0050
6,whiB5,Rv0022c,ChipSeq,Rv0066c
7,whiB5,Rv0022c,ChipSeq,Rv0069c
8,whiB5,Rv0022c,ChipSeq,Rv0071
9,whiB5,Rv0022c,ChipSeq,Rv0087
10,whiB5,Rv0022c,ChipSeq,Rv0089
11,whiB5,Rv0022c,ChipSeq,Rv0095c
12,whiB5,Rv0022c,ChipSeq,Rv0107c
13,whiB5,Rv0022c,ChipSeq,Rv0124
14,whiB5,Rv0022c,ChipSeq,Rv0149
15,whiB5,Rv0022c,ChipSeq,Rv0161
16,whiB5,Rv0022c,ChipSeq,Rv0166
17,whiB5,Rv0022c,ChipSeq,Rv0168
18,whiB5,Rv0022c,ChipSeq,Rv0169
19,whiB5,Rv0022c,ChipSeq,Rv0170
20,whiB5,Rv0022c,ChipSeq,Rv0171
21,whiB5,Rv0022c,ChipSeq,Rv0180c
22,whiB5,Rv0022c,ChipSeq,Rv0194
23,whiB5,Rv0022c,ChipSeq,Rv0198c
24,whiB5,Rv0022c,ChipSeq,Rv0216
25,whiB5,Rv0022c,ChipSeq,Rv0218
26,whiB5,Rv0022c,ChipSeq,Rv0220
27,whiB5,Rv0022c,ChipSeq,Rv0226c
28,whiB5,Rv0022c,ChipSeq,Rv0236c
29,whiB5,Rv0022c,ChipSeq,Rv0241c
30,whiB5,Rv0022c,ChipSeq,Rv0260c
31,whiB5,Rv0022c,ChipSeq,Rv0293c
32,whiB5,Rv0022c,ChipSeq,Rv0334
33,whiB5,Rv0022c,ChipSeq,Rv0342
34,whiB5,Rv0022c,ChipSeq,Rv0391
35,whiB5,Rv0022c,ChipSeq,Rv0399c
36,whiB5,Rv0022c,ChipSeq,Rv0405
37,whiB5,Rv0022c,ChipSeq,Rv0417
38,whiB5,Rv0022c,ChipSeq,Rv0427c
39,whiB5,Rv0022c,ChipSeq,Rv0435c
40,whiB5,Rv0022c,ChipSeq,Rv0449c
41,whiB5,Rv0022c,ChipSeq,Rv0458
42,whiB5,Rv0022c,ChipSeq,Rv0460
43,whiB5,Rv0022c,ChipSeq,Rv0486
44,whiB5,Rv0022c,ChipSeq,Rv0487
45,whiB5,Rv0022c,ChipSeq,Rv0501
46,whiB5,Rv0022c,ChipSeq,Rv0524
47,whiB5,Rv0022c,ChipSeq,Rv0568
48,whiB5,Rv0022c,ChipSeq,Rv0576
49,whiB5,Rv0022c,ChipSeq,Rv0582
50,whiB5,Rv0022c,ChipSeq,Rv0592
51,whiB5,Rv0022c,ChipSeq,Rv0601c
52,whiB5,Rv0022c,ChipSeq,Rv0658c
53,whiB5,Rv0022c,ChipSeq,Rv0663
54,whiB5,Rv0022c,ChipSeq,Rv0870c
55,whiB5,Rv0022c,ChipSeq,Rv0894
56,whiB5,Rv0022c,ChipSeq,Rv1002c
57,whiB5,Rv0022c,ChipSeq,Rv1022
58,whiB5,Rv0022c,ChipSeq,Rv1028c
59,whiB5,Rv0022c,ChipSeq,Rv1032c
60,whiB5,Rv0022c,ChipSeq,Rv1108c
61,whiB5,Rv0022c,ChipSeq,Rv1132
62,whiB5,Rv0022c,ChipSeq,Rv1140
63,whiB5,Rv0022c,ChipSeq,Rv1148c
64,whiB5,Rv0022c,ChipSeq,Rv1155
65,whiB5,Rv0022c,ChipSeq,Rv1173
66,whiB5,Rv0022c,ChipSeq,Rv1206
67,whiB5,Rv0022c,ChipSeq,Rv1212c
68,whiB5,Rv0022c,ChipSeq,Rv1218c
69,whiB5,Rv0022c,ChipSeq,Rv1285
70,whiB5,Rv0022c,ChipSeq,Rv1290A
71,whiB5,Rv0022c,ChipSeq,Rv1312
72,whiB5,Rv0022c,ChipSeq,Rv1395
73,whiB5,Rv0022c,ChipSeq,Rv1493
74,whiB5,Rv0022c,ChipSeq,Rv1511
75,whiB5,Rv0022c,ChipSeq,Rv1557
76,whiB5,Rv0022c,ChipSeq,Rv1593c
77,whiB5,Rv0022c,ChipSeq,Rv1627c
78,whiB5,Rv0022c,ChipSeq,Rv1629
79,whiB5,Rv0022c,ChipSeq,Rv1639c
80,whiB5,Rv0022c,ChipSeq,Rv1675c
81,whiB5,Rv0022c,ChipSeq,Rv1731
82,whiB5,Rv0022c,ChipSeq,Rv1777
83,whiB5,Rv0022c,ChipSeq,Rv1798
84,whiB5,Rv0022c,ChipSeq,Rv1801
85,whiB5,Rv0022c,ChipSeq,Rv1803c
86,whiB5,Rv0022c,ChipSeq,Rv1812c
87,whiB5,Rv0022c,ChipSeq,Rv1821
88,whiB5,Rv0022c,ChipSeq,Rv1832
89,whiB5,Rv0022c,ChipSeq,Rv1847
90,whiB5,Rv0022c,ChipSeq,Rv1866
91,whiB5,Rv0022c,ChipSeq,Rv1879
92,whiB5,Rv0022c,ChipSeq,Rv1895
93,whiB5,Rv0022c,ChipSeq,Rv1913
94,whiB5,Rv0022c,ChipSeq,Rv1936
95,whiB5,Rv0022c,ChipSeq,Rv1945
96,whiB5,Rv0022c,ChipSeq,Rv1966
97,whiB5,Rv0022c,ChipSeq,Rv1979c
98,whiB5,Rv0022c,ChipSeq,Rv1983
99,whiB5,Rv0022c,ChipSeq,Rv1985c
100,whiB5,Rv0022c,ChipSeq,Rv2027c
101,whiB5,Rv0022c,ChipSeq,Rv2036
102,whiB5,Rv0022c,ChipSeq,Rv2054
103,whiB5,Rv0022c,ChipSeq,Rv2071c
104,whiB5,Rv0022c,ChipSeq,Rv2079
105,whiB5,Rv0022c,ChipSeq,Rv2080
106,whiB5,Rv0022c,ChipSeq,Rv2124c
107,whiB5,Rv0022c,ChipSeq,Rv2138
108,whiB5,Rv0022c,ChipSeq,Rv2142c
109,whiB5,Rv0022c,ChipSeq,Rv2152c
110,whiB5,Rv0022c,ChipSeq,Rv2154c
111,whiB5,Rv0022c,ChipSeq,Rv2173
112,whiB5,Rv0022c,ChipSeq,Rv2176
113,whiB5,Rv0022c,ChipSeq,Rv2185c
114,whiB5,Rv0022c,ChipSeq,Rv2189c
115,whiB5,Rv0022c,ChipSeq,Rv2235
116,whiB5,Rv0022c,ChipSeq,Rv2238c
117,whiB5,Rv0022c,ChipSeq,Rv2241
118,whiB5,Rv0022c,ChipSeq,Rv2260
119,whiB5,Rv0022c,ChipSeq,Rv2265
120,whiB5,Rv0022c,ChipSeq,Rv2299c
121,whiB5,Rv0022c,ChipSeq,Rv2318
122,whiB5,Rv0022c,ChipSeq,Rv2329c
123,whiB5,Rv0022c,ChipSeq,Rv2344c
124,whiB5,Rv0022c,ChipSeq,Rv2410c
125,whiB5,Rv0022c,ChipSeq,Rv2411c
126,whiB5,Rv0022c,ChipSeq,Rv2476c
127,whiB5,Rv0022c,ChipSeq,Rv2483c
128,whiB5,Rv0022c,ChipSeq,Rv2488c
129,whiB5,Rv0022c,ChipSeq,Rv2509
130,whiB5,Rv0022c,ChipSeq,Rv2518c
131,whiB5,Rv0022c,ChipSeq,Rv2524c
132,whiB5,Rv0022c,ChipSeq,Rv2531c
133,whiB5,Rv0022c,ChipSeq,Rv2580c
134,whiB5,Rv0022c,ChipSeq,Rv2630
